equipment_age_years,operating_hours_total,hours_since_last_maintenance,vibration_level_mm_s,temperature_bearing_celsius,oil_pressure_psi,coolant_flow_rate,power_output_mw,load_factor_pct,ambient_temperature,num_previous_failures,manufacturer,equipment_type,last_maintenance_type,humidity_pct,startup_count_last_month,operating_mode,alarm_count_last_week,efficiency_rating,thermal_image_anomaly_score,target
9.3,62602.0,425.0,4.46,65.2,41.7,140.2,355.6,97.7,32.5,1.0,2.0,0.0,0.0,85.0,6.0,1.0,1.0,74.7,0.168,0
4.8,25679.0,801.0,1.82,49.0,47.6,132.1,411.2,77.1,42.8,1.0,3.0,0.0,1.0,21.3,5.0,2.0,2.0,85.6,0.078,0
13.1,101955.0,1739.0,0.96,56.4,38.7,103.7,273.7,60.4,18.8,0.0,2.0,1.0,2.0,86.2,4.0,1.0,6.0,88.8,0.164,0
14.0,100758.0,2050.0,1.84,53.7,36.0,119.3,486.4,75.6,9.1,0.0,0.0,3.0,0.0,71.0,2.0,2.0,2.0,87.9,0.185,0
25.9,139797.0,24.0,3.3,96.4,40.8,126.1,407.3,63.0,31.1,0.0,2.0,1.0,1.0,47.6,4.0,2.0,2.0,73.5,0.046,0
0.9,6069.0,2150.0,0.94,97.4,48.9,128.6,205.6,32.0,16.1,1.0,2.0,3.0,1.0,94.8,1.0,2.0,3.0,83.2,0.305,0
7.4,61179.0,336.0,3.75,46.7,47.7,118.0,390.4,72.0,33.6,1.0,2.0,2.0,2.0,43.0,2.0,0.0,1.0,93.4,0.279,0
0.5,2580.0,184.0,1.56,77.6,57.8,100.9,295.4,46.1,29.1,1.0,2.0,1.0,0.0,35.7,6.0,1.0,0.0,98.2,0.311,0
4.6,37467.0,410.0,1.25,66.8,45.9,140.9,292.7,36.3,26.2,3.0,1.0,2.0,0.0,20.3,4.0,1.0,3.0,83.9,0.471,0
21.3,107879.0,9.0,1.79,83.5,58.0,151.9,385.5,77.4,17.5,0.0,2.0,2.0,0.0,39.0,2.0,0.0,1.0,75.3,0.064,0
1.6,8945.0,786.0,1.04,69.4,45.6,132.4,335.2,81.2,2.5,1.0,2.0,3.0,0.0,21.1,5.0,0.0,2.0,74.5,0.757,0
2.1,12875.0,554.0,4.46,93.9,34.4,131.5,339.9,52.5,11.2,5.0,2.0,3.0,1.0,34.8,1.0,1.0,0.0,88.8,0.011,0
18.8,96543.0,333.0,1.05,82.2,52.0,110.6,286.6,76.8,24.1,1.0,0.0,0.0,2.0,53.5,3.0,2.0,3.0,80.2,0.479,0
4.9,41123.0,192.0,1.15,68.5,43.1,119.9,212.3,64.8,28.4,1.0,1.0,2.0,0.0,36.8,2.0,1.0,3.0,92.0,0.224,0
10.5,66234.0,1438.0,6.16,73.6,39.0,134.0,284.7,61.4,39.0,1.0,1.0,2.0,0.0,83.9,3.0,2.0,1.0,89.0,0.273,0
26.2,149557.0,375.0,2.6,111.2,33.8,124.6,237.1,67.2,20.3,0.0,4.0,0.0,2.0,86.8,4.0,1.0,2.0,77.6,0.058,0
18.4,123828.0,3225.0,2.21,67.9,48.1,70.1,411.0,88.1,12.1,1.0,0.0,0.0,0.0,50.9,6.0,0.0,1.0,78.1,0.012,0
2.2,15824.0,137.0,3.3,74.9,47.9,100.5,487.9,81.7,17.9,0.0,2.0,3.0,0.0,51.4,2.0,0.0,4.0,84.7,0.16,0
0.6,3270.0,635.0,3.99,55.2,45.7,92.9,312.8,74.7,18.7,1.0,3.0,2.0,0.0,94.6,4.0,1.0,1.0,83.5,0.271,0
3.6,20574.0,222.0,4.49,88.6,53.2,107.6,476.0,56.9,46.4,2.0,4.0,3.0,2.0,94.1,1.0,2.0,3.0,92.1,0.183,0
21.5,112777.0,521.0,1.79,68.6,36.4,120.8,247.1,86.8,31.2,0.0,4.0,3.0,1.0,93.1,3.0,1.0,0.0,89.2,0.206,0
3.6,18709.0,130.0,1.63,97.8,45.1,80.8,421.4,69.3,11.6,2.0,2.0,3.0,1.0,94.1,5.0,2.0,2.0,92.0,0.34,0
4.6,32210.0,357.0,5.65,70.5,46.4,124.9,334.9,53.9,18.7,0.0,1.0,0.0,2.0,33.1,4.0,1.0,1.0,81.0,0.248,0
3.3,16835.0,973.0,4.53,71.9,49.2,101.2,405.2,46.1,22.5,2.0,0.0,3.0,1.0,70.3,3.0,0.0,0.0,100.0,0.021,0
10.3,62402.0,617.0,6.74,80.5,41.5,136.7,357.8,72.2,23.8,0.0,2.0,1.0,2.0,39.3,3.0,0.0,2.0,100.0,0.999,1
2.5,16540.0,146.0,2.38,78.1,49.0,109.4,344.1,38.3,23.5,0.0,3.0,3.0,2.0,70.0,4.0,1.0,2.0,92.9,0.282,0
0.5,3112.0,343.0,2.8,121.1,44.9,109.7,234.7,66.4,32.5,0.0,0.0,2.0,2.0,84.0,2.0,2.0,1.0,87.8,0.2,0
4.1,31585.0,813.0,5.55,72.9,57.2,129.2,340.5,74.5,37.6,3.0,4.0,1.0,1.0,78.8,1.0,0.0,2.0,92.8,0.196,0
7.0,34922.0,1819.0,1.65,80.3,59.0,111.6,204.8,68.2,22.5,0.0,0.0,2.0,1.0,52.5,4.0,2.0,1.0,91.7,0.242,0
6.0,44801.0,1162.0,2.21,90.1,35.9,108.8,346.7,78.2,19.3,1.0,2.0,1.0,2.0,93.0,2.0,2.0,0.0,77.4,0.19,0
8.3,49330.0,30.0,3.61,74.1,37.7,75.4,445.6,94.4,13.6,1.0,4.0,0.0,2.0,82.2,4.0,1.0,3.0,95.6,0.166,0
0.5,3508.0,388.0,1.1,80.5,55.0,134.4,306.8,93.7,26.7,2.0,1.0,0.0,0.0,54.6,8.0,0.0,1.0,76.5,0.121,0
22.0,154410.0,699.0,4.27,56.6,55.1,143.8,250.8,78.5,25.1,0.0,0.0,3.0,2.0,27.0,1.0,0.0,2.0,83.9,0.143,0
11.7,69780.0,4309.0,1.47,52.5,59.9,132.1,258.7,95.1,18.4,2.0,3.0,2.0,2.0,51.5,3.0,1.0,0.0,87.7,0.158,0
0.5,3039.0,319.0,1.36,60.9,50.0,127.7,361.5,50.8,17.4,0.0,2.0,0.0,1.0,27.9,1.0,2.0,2.0,74.6,0.043,0
9.7,71647.0,508.0,1.38,49.5,47.3,131.2,341.2,84.2,26.5,0.0,2.0,3.0,1.0,37.0,3.0,2.0,1.0,76.4,0.549,0
8.0,49699.0,621.0,2.56,47.1,48.4,101.3,348.5,46.4,12.6,1.0,1.0,1.0,0.0,41.1,7.0,1.0,0.0,83.7,0.002,0
14.2,117126.0,47.0,3.34,84.2,41.2,115.2,397.3,61.2,30.5,0.0,1.0,2.0,0.0,82.4,0.0,2.0,2.0,84.4,0.014,0
2.1,13784.0,472.0,1.55,55.3,35.0,128.5,245.2,73.1,25.5,1.0,0.0,2.0,2.0,28.9,2.0,0.0,1.0,65.1,0.104,0
10.6,71546.0,397.0,2.38,107.9,28.4,124.0,324.9,65.3,26.9,0.0,3.0,1.0,2.0,83.9,3.0,0.0,2.0,64.2,0.536,0
0.5,2728.0,1867.0,5.81,67.2,51.9,157.6,408.2,85.1,24.0,1.0,1.0,2.0,1.0,25.7,2.0,1.0,2.0,87.7,0.192,0
8.3,57793.0,585.0,4.37,63.5,47.8,79.9,414.9,70.6,30.7,1.0,3.0,1.0,2.0,89.2,3.0,0.0,3.0,69.0,0.025,0
4.5,33503.0,821.0,4.13,81.2,23.6,114.2,265.4,72.0,38.1,1.0,0.0,3.0,2.0,77.0,0.0,1.0,0.0,75.8,0.256,0
10.4,70606.0,410.0,0.82,58.0,43.9,97.3,344.2,51.5,27.0,1.0,3.0,3.0,2.0,86.9,0.0,1.0,1.0,80.1,0.555,0
8.9,46941.0,371.0,2.26,79.8,45.1,123.7,309.5,90.7,34.4,3.0,3.0,0.0,2.0,89.6,1.0,1.0,4.0,88.4,0.111,0
3.9,28543.0,1511.0,2.28,84.4,28.3,109.3,365.6,93.7,16.6,0.0,2.0,1.0,1.0,92.7,4.0,2.0,0.0,87.5,0.056,0
10.0,50474.0,123.0,1.79,52.3,47.2,141.3,341.6,90.0,29.2,1.0,4.0,3.0,1.0,72.1,3.0,0.0,1.0,80.3,0.24,0
7.7,53039.0,850.0,4.04,75.1,43.0,104.5,407.8,57.4,11.9,1.0,3.0,2.0,2.0,44.5,1.0,0.0,1.0,80.7,0.407,0
0.5,3159.0,346.0,2.28,69.3,30.8,141.7,387.0,59.2,16.3,0.0,0.0,1.0,0.0,24.4,3.0,2.0,2.0,70.8,0.365,0
12.0,75344.0,51.0,5.48,78.1,48.3,80.0,388.2,59.7,18.2,3.0,2.0,2.0,0.0,90.5,4.0,1.0,2.0,84.4,0.043,0
1.2,9180.0,361.0,2.04,71.3,36.0,84.8,428.0,85.5,12.5,1.0,3.0,1.0,1.0,63.1,3.0,1.0,4.0,76.9,0.124,0
0.5,4028.0,790.0,1.99,86.7,38.4,160.3,345.1,77.7,15.7,0.0,3.0,3.0,2.0,33.5,6.0,1.0,1.0,85.8,0.114,0
1.2,7150.0,2504.0,4.84,89.0,46.5,138.2,335.1,96.4,24.1,0.0,1.0,1.0,0.0,77.3,2.0,0.0,1.0,81.5,1.416,1
8.3,59430.0,3801.0,5.42,85.9,42.9,128.0,426.8,75.7,34.7,0.0,4.0,2.0,0.0,26.1,0.0,2.0,0.0,74.0,0.072,1
5.5,41408.0,15.0,4.6,72.3,37.9,127.1,299.8,79.2,46.5,2.0,0.0,3.0,0.0,64.6,3.0,1.0,2.0,88.3,0.019,0
6.2,38002.0,1394.0,4.94,91.5,62.2,150.9,457.0,48.2,39.8,2.0,3.0,1.0,2.0,22.7,4.0,1.0,4.0,84.8,0.953,0
1.0,6446.0,139.0,3.92,86.4,34.9,121.9,255.2,82.0,15.7,1.0,3.0,1.0,0.0,72.1,2.0,0.0,1.0,88.7,0.323,0
4.1,20567.0,753.0,4.62,60.6,42.4,136.3,419.0,93.3,29.2,2.0,1.0,0.0,0.0,52.1,3.0,2.0,0.0,92.0,0.03,0
1.7,9101.0,845.0,1.36,55.8,38.0,116.4,440.9,72.7,15.7,2.0,1.0,2.0,1.0,85.7,6.0,2.0,1.0,90.6,0.523,0
5.5,31610.0,349.0,4.93,76.4,38.6,117.6,180.1,79.2,16.1,1.0,1.0,1.0,0.0,88.5,2.0,0.0,2.0,82.4,0.136,0
7.3,42665.0,0.0,2.64,86.2,46.2,133.1,303.3,64.5,31.6,0.0,4.0,0.0,1.0,20.6,2.0,0.0,1.0,79.6,0.088,0
14.4,101238.0,361.0,1.73,75.4,56.3,85.3,299.4,87.8,24.9,0.0,0.0,0.0,2.0,29.4,3.0,2.0,2.0,94.3,0.042,0
1.9,10232.0,2654.0,1.9,70.0,50.3,107.2,240.8,26.8,13.1,1.0,1.0,2.0,0.0,64.9,2.0,1.0,0.0,87.7,0.591,0
9.4,71707.0,292.0,1.16,94.2,45.1,112.8,431.8,72.0,13.0,2.0,0.0,0.0,2.0,29.5,2.0,0.0,3.0,94.4,0.048,0
3.3,18136.0,381.0,5.29,64.2,40.5,139.0,370.5,72.4,25.2,0.0,3.0,3.0,1.0,26.8,5.0,0.0,2.0,86.4,0.012,0
0.8,4332.0,40.0,2.63,65.0,46.8,146.4,323.7,64.0,20.8,1.0,2.0,2.0,0.0,68.7,0.0,1.0,1.0,86.3,0.1,0
8.9,65055.0,974.0,3.02,82.7,57.5,134.0,297.9,50.7,16.7,2.0,0.0,2.0,0.0,44.9,1.0,2.0,1.0,96.3,0.593,0
0.5,3101.0,38.0,1.92,71.0,51.6,119.4,242.8,70.0,41.9,2.0,0.0,0.0,0.0,23.8,4.0,1.0,0.0,78.0,0.012,0
13.4,98953.0,56.0,2.98,79.9,36.7,98.4,298.4,86.4,15.3,2.0,2.0,2.0,2.0,43.3,2.0,2.0,1.0,88.2,0.409,0
6.9,51799.0,263.0,2.3,87.5,58.0,103.5,359.0,62.1,33.6,2.0,1.0,3.0,1.0,23.9,4.0,2.0,3.0,92.5,0.591,0
11.8,69411.0,144.0,1.83,73.5,46.0,133.9,367.1,65.1,12.3,0.0,3.0,3.0,2.0,66.2,3.0,1.0,1.0,82.2,0.208,0
4.8,35656.0,655.0,2.72,67.7,50.2,102.3,382.3,93.2,15.8,1.0,4.0,0.0,0.0,60.1,3.0,1.0,2.0,100.0,0.019,0
2.6,19030.0,1122.0,1.12,94.7,45.7,112.0,339.6,67.7,26.5,0.0,3.0,0.0,0.0,48.6,3.0,0.0,1.0,98.7,0.3,0
1.3,8284.0,202.0,2.58,58.1,33.6,136.5,466.1,66.0,17.3,1.0,4.0,3.0,1.0,87.5,3.0,2.0,3.0,88.3,0.031,0
4.8,27560.0,3826.0,6.35,91.8,53.3,103.1,282.8,78.7,8.2,2.0,2.0,3.0,1.0,64.9,6.0,0.0,4.0,78.8,0.634,1
1.1,9057.0,7.0,1.39,65.7,38.3,90.8,477.4,48.5,14.8,3.0,2.0,3.0,2.0,37.3,2.0,2.0,1.0,92.1,0.228,0
1.3,9555.0,1644.0,4.16,72.0,51.1,118.6,264.1,86.0,25.3,1.0,0.0,1.0,1.0,31.4,3.0,1.0,0.0,86.3,0.237,0
10.9,76752.0,1373.0,5.43,79.0,57.9,153.0,436.0,66.2,15.7,0.0,4.0,1.0,0.0,75.0,1.0,0.0,1.0,80.6,0.597,0
3.0,24369.0,586.0,13.53,84.4,47.8,149.3,313.4,81.9,26.5,1.0,3.0,3.0,2.0,36.1,4.0,1.0,0.0,78.1,0.015,0
3.7,28151.0,127.0,3.82,55.4,56.0,142.0,319.7,84.9,22.2,2.0,4.0,2.0,1.0,75.1,1.0,1.0,1.0,82.7,0.317,0
0.7,3770.0,1580.0,4.39,95.2,57.9,95.8,283.9,41.3,-0.3,1.0,0.0,2.0,1.0,84.0,4.0,2.0,2.0,78.3,0.555,0
3.8,28145.0,897.0,3.34,70.4,31.9,98.2,327.0,95.2,28.5,1.0,4.0,2.0,1.0,74.7,3.0,2.0,4.0,93.3,0.139,0
7.3,37013.0,101.0,2.59,49.8,30.2,110.7,306.3,87.6,9.1,0.0,3.0,3.0,1.0,92.4,4.0,0.0,2.0,93.4,0.134,0
9.5,64484.0,1396.0,4.34,54.0,56.6,108.9,454.3,58.4,35.1,0.0,2.0,0.0,2.0,90.4,4.0,1.0,3.0,93.7,0.023,0
13.6,84015.0,831.0,3.62,83.1,40.3,130.7,362.2,74.9,16.6,1.0,2.0,2.0,1.0,59.8,1.0,2.0,1.0,92.9,0.396,0
15.2,117460.0,234.0,2.81,77.7,53.1,106.1,310.7,74.7,25.1,3.0,4.0,2.0,1.0,30.5,3.0,2.0,3.0,97.4,0.119,0
4.7,39389.0,1352.0,2.38,81.5,43.1,81.0,270.7,83.1,44.4,2.0,4.0,1.0,2.0,57.7,3.0,2.0,3.0,87.7,0.383,0
16.3,124438.0,134.0,1.7,82.1,45.6,128.7,268.2,43.7,30.1,1.0,0.0,3.0,0.0,56.2,4.0,1.0,1.0,67.0,0.066,0
3.4,22131.0,1926.0,1.6,93.5,43.6,89.6,381.0,56.5,34.0,2.0,0.0,0.0,2.0,57.0,1.0,0.0,2.0,86.6,0.017,0
4.0,28209.0,207.0,4.89,76.0,50.9,75.1,325.4,66.8,37.6,0.0,2.0,1.0,1.0,35.7,1.0,1.0,3.0,95.3,0.106,0
1.1,8064.0,82.0,6.0,71.0,43.1,142.3,349.1,74.9,30.4,2.0,1.0,1.0,2.0,42.7,1.0,2.0,3.0,90.7,0.008,0
15.1,76176.0,38.0,1.4,104.1,35.7,134.9,347.4,90.3,21.1,1.0,2.0,3.0,2.0,56.9,3.0,2.0,4.0,88.9,0.772,0
5.1,39130.0,320.0,1.52,82.1,25.3,133.2,319.9,60.8,29.3,0.0,4.0,0.0,0.0,73.0,2.0,2.0,1.0,95.8,0.346,0
1.9,12573.0,538.0,2.5,82.2,33.1,119.8,407.2,65.7,19.1,2.0,4.0,1.0,2.0,78.8,3.0,1.0,2.0,84.5,0.043,0
0.8,6613.0,418.0,1.5,80.9,48.3,108.3,419.6,89.5,24.3,0.0,2.0,3.0,2.0,59.1,5.0,2.0,1.0,90.6,0.028,0
0.5,3532.0,502.0,2.29,89.3,45.8,137.9,281.4,94.6,18.0,3.0,2.0,0.0,0.0,57.2,0.0,1.0,1.0,70.9,0.042,0
0.5,3717.0,20.0,1.92,81.9,41.3,122.4,396.7,87.1,26.3,0.0,0.0,3.0,2.0,32.2,3.0,1.0,1.0,78.6,0.308,0
4.0,31845.0,1567.0,1.38,105.1,53.1,108.7,273.8,53.1,34.0,0.0,0.0,0.0,1.0,86.8,4.0,1.0,2.0,75.3,0.023,0
12.4,79391.0,662.0,1.38,94.2,39.4,112.3,385.5,87.6,24.7,0.0,0.0,0.0,0.0,28.8,4.0,0.0,2.0,95.8,0.63,0
4.9,40554.0,97.0,2.49,66.4,54.2,138.0,348.7,52.2,37.4,2.0,4.0,1.0,2.0,33.1,2.0,1.0,3.0,75.4,0.004,0
2.6,13966.0,857.0,2.34,99.3,44.9,127.5,468.6,34.3,19.9,1.0,2.0,3.0,0.0,46.9,2.0,1.0,2.0,78.7,0.162,0
14.1,79786.0,996.0,1.44,81.4,42.6,123.6,360.3,58.5,15.8,0.0,4.0,0.0,1.0,53.5,6.0,2.0,3.0,85.3,0.168,0
1.7,11615.0,129.0,1.76,56.9,37.9,119.4,366.8,95.4,14.1,0.0,0.0,1.0,1.0,48.2,4.0,2.0,1.0,92.9,0.093,0
9.1,48570.0,330.0,2.07,56.8,38.8,124.2,282.1,75.1,18.6,1.0,3.0,0.0,0.0,46.3,6.0,2.0,2.0,78.0,0.173,0
3.3,18080.0,448.0,1.88,84.0,42.3,126.8,486.8,90.2,7.0,1.0,0.0,2.0,2.0,76.4,8.0,2.0,2.0,82.6,0.073,0
19.0,150701.0,1018.0,2.19,78.5,49.9,138.0,402.9,65.6,30.6,0.0,4.0,2.0,2.0,85.1,5.0,1.0,0.0,75.3,0.214,0
5.0,29361.0,1125.0,2.29,64.3,50.5,135.8,348.2,97.7,19.0,1.0,1.0,2.0,2.0,39.2,3.0,0.0,1.0,84.6,0.309,0
2.3,18663.0,401.0,1.94,68.4,46.9,149.8,540.1,94.2,21.1,1.0,0.0,2.0,2.0,72.8,5.0,2.0,4.0,84.7,0.663,0
11.0,90092.0,851.0,2.91,69.5,39.7,128.2,263.4,81.9,25.9,0.0,2.0,3.0,0.0,58.6,3.0,2.0,3.0,85.6,0.123,0
12.0,93045.0,980.0,5.63,89.3,48.9,139.2,205.4,80.5,29.0,4.0,0.0,3.0,2.0,30.4,1.0,1.0,3.0,74.9,0.034,0
2.5,18534.0,884.0,1.54,82.5,51.7,121.2,416.9,78.6,21.5,2.0,3.0,1.0,1.0,85.9,1.0,0.0,5.0,82.2,0.517,0
1.1,8821.0,41.0,2.5,60.7,48.2,83.1,317.5,51.2,35.7,1.0,4.0,2.0,1.0,48.1,2.0,2.0,1.0,93.6,0.049,0
0.5,3994.0,44.0,2.72,77.7,55.7,152.5,268.0,51.8,29.4,2.0,3.0,2.0,2.0,81.0,3.0,0.0,4.0,83.0,0.2,0
7.1,57807.0,341.0,3.34,88.6,46.6,113.7,199.7,75.4,18.5,1.0,2.0,0.0,2.0,87.0,2.0,0.0,1.0,84.4,0.078,0
2.3,11352.0,603.0,5.17,72.8,47.0,119.7,283.6,83.1,24.7,0.0,0.0,1.0,2.0,94.6,4.0,1.0,0.0,86.9,0.047,0
5.2,27930.0,126.0,1.68,60.3,36.3,105.3,402.3,64.6,42.1,0.0,0.0,2.0,2.0,59.0,5.0,2.0,1.0,77.9,0.05,0
7.4,41332.0,2115.0,1.65,61.6,58.9,105.9,271.3,84.7,27.5,1.0,0.0,3.0,1.0,93.8,1.0,2.0,3.0,80.1,0.516,0
9.4,79279.0,840.0,3.13,76.6,41.3,108.6,349.4,65.2,27.9,1.0,4.0,1.0,1.0,60.7,2.0,0.0,1.0,82.3,0.045,0
1.2,8007.0,163.0,6.26,75.6,50.0,131.3,348.5,52.8,10.7,2.0,1.0,1.0,0.0,79.9,2.0,0.0,0.0,75.1,0.611,0
7.3,43823.0,1198.0,4.24,87.9,53.1,104.0,407.7,97.6,41.8,0.0,4.0,0.0,0.0,69.6,5.0,2.0,1.0,81.4,0.121,0
0.5,3542.0,900.0,3.05,107.7,45.3,133.6,418.9,69.3,0.9,3.0,1.0,1.0,1.0,91.2,2.0,0.0,2.0,91.1,0.237,0
1.7,14323.0,164.0,1.67,96.5,40.9,134.4,387.9,68.5,22.1,1.0,3.0,3.0,1.0,93.5,3.0,0.0,2.0,82.0,0.066,0
2.4,12506.0,958.0,1.97,68.1,48.1,111.3,484.3,78.3,41.4,0.0,1.0,0.0,1.0,87.1,5.0,1.0,2.0,92.6,0.041,0
2.0,12492.0,1193.0,3.44,91.7,41.4,113.2,391.3,82.8,17.7,1.0,0.0,2.0,1.0,45.3,2.0,0.0,2.0,75.4,0.163,0
6.6,42749.0,757.0,7.52,63.3,37.7,117.0,361.8,88.3,36.2,0.0,2.0,3.0,1.0,80.3,4.0,1.0,1.0,81.6,0.452,0
1.6,10582.0,255.0,4.3,75.4,39.5,113.9,463.4,82.6,43.9,0.0,2.0,1.0,0.0,83.8,2.0,0.0,1.0,92.2,0.13,0
4.4,34570.0,51.0,4.48,71.2,36.4,142.3,262.1,91.3,20.0,0.0,2.0,1.0,1.0,40.7,4.0,2.0,2.0,87.7,0.067,0
1.5,10329.0,750.0,2.71,98.7,33.1,123.0,331.2,91.3,30.1,0.0,1.0,2.0,0.0,76.6,3.0,1.0,1.0,97.2,0.083,0
17.3,135679.0,217.0,5.77,68.2,49.1,79.0,348.9,86.8,20.8,2.0,2.0,3.0,0.0,40.3,2.0,2.0,2.0,89.2,0.936,0
3.5,23640.0,328.0,2.38,61.1,53.5,115.1,299.0,65.6,26.1,1.0,3.0,1.0,1.0,82.5,3.0,0.0,0.0,79.9,0.032,0
1.7,10291.0,1021.0,11.87,69.4,57.3,124.2,393.0,52.2,17.4,0.0,4.0,2.0,1.0,89.4,3.0,2.0,1.0,79.0,0.038,0
7.3,46968.0,332.0,3.13,60.6,54.1,103.6,332.0,94.2,22.1,2.0,1.0,2.0,1.0,33.4,1.0,1.0,1.0,84.8,0.097,0
0.5,4040.0,573.0,8.36,78.8,39.5,123.5,275.8,42.2,26.3,1.0,3.0,2.0,2.0,25.8,4.0,0.0,2.0,95.7,0.18,0
20.3,128668.0,198.0,5.0,84.1,41.5,119.5,214.5,58.6,28.4,1.0,3.0,2.0,2.0,51.0,4.0,0.0,1.0,97.4,0.359,0
3.4,28134.0,109.0,3.06,51.3,60.7,135.2,378.6,84.0,19.7,1.0,3.0,1.0,1.0,22.4,6.0,1.0,0.0,86.6,0.062,0
3.1,25402.0,575.0,4.09,73.2,42.1,93.9,332.7,71.8,20.1,0.0,0.0,3.0,2.0,68.6,5.0,1.0,3.0,82.4,0.35,0
0.5,3446.0,202.0,0.99,70.2,42.2,133.0,394.4,39.0,18.9,2.0,2.0,3.0,2.0,38.0,4.0,1.0,2.0,89.7,0.296,0
8.8,45144.0,849.0,2.72,81.9,42.5,142.2,205.5,87.2,30.5,0.0,3.0,0.0,0.0,68.8,2.0,0.0,1.0,75.5,0.166,0
4.5,35788.0,333.0,1.16,72.3,50.5,153.9,320.3,93.3,40.0,1.0,4.0,3.0,0.0,30.4,6.0,1.0,2.0,74.4,0.059,0
4.0,26634.0,876.0,1.76,105.0,39.9,104.2,372.0,48.8,20.1,0.0,0.0,3.0,0.0,66.8,5.0,2.0,2.0,80.8,0.124,0
6.1,51978.0,48.0,7.17,60.4,55.7,102.4,294.5,67.0,30.6,1.0,3.0,2.0,0.0,70.1,2.0,0.0,4.0,77.9,0.145,0
5.7,42647.0,1730.0,2.68,79.5,41.8,88.8,265.0,69.7,40.0,0.0,4.0,1.0,2.0,23.0,6.0,1.0,1.0,70.8,0.7,1
15.4,117113.0,352.0,1.53,72.2,44.1,122.2,338.3,60.5,19.4,1.0,1.0,3.0,0.0,93.9,3.0,0.0,0.0,82.7,0.718,0
0.5,3970.0,1493.0,1.73,63.3,46.5,160.8,484.0,72.1,26.2,1.0,3.0,3.0,0.0,88.6,3.0,1.0,2.0,95.7,0.599,0
4.0,23298.0,2526.0,2.7,40.0,44.8,122.6,254.8,75.4,15.4,1.0,1.0,0.0,0.0,68.6,4.0,1.0,0.0,88.6,0.419,0
8.5,43819.0,101.0,1.72,44.4,42.0,105.9,384.2,66.1,11.2,1.0,1.0,1.0,2.0,55.1,1.0,2.0,0.0,89.9,0.211,0
