property_age_years,property_value,square_footage,num_stories,roof_age_years,roof_material,heating_type,has_security_system,has_fire_alarm,distance_to_fire_station_miles,distance_to_coast_miles,flood_zone_risk,wildfire_risk_score,crime_rate_index,num_prior_claims,years_as_customer,credit_score,num_occupants,has_pool,has_trampoline,dog_breed_risk,tree_coverage_pct,target
5.0,196252.0,1180.0,3.0,5.0,0.0,1.0,1.0,0.0,6.4,35.7,0.0,2.26,5.03,0.0,28.1,693.0,5.0,0.0,0.0,3.0,72.4,0
1.3,291935.0,755.0,2.0,1.3,2.0,1.0,0.0,1.0,3.3,44.4,0.0,0.59,3.58,1.0,0.6,749.0,1.0,0.0,0.0,1.0,32.3,0
51.6,307220.0,1121.0,1.0,38.7,2.0,1.0,0.0,1.0,3.9,1.6,1.0,2.25,3.28,0.0,10.9,738.0,1.0,0.0,0.0,0.0,34.2,0
3.8,121113.0,1228.0,3.0,3.8,1.0,0.0,1.0,1.0,10.7,21.8,0.0,3.16,2.11,1.0,18.4,777.0,1.0,0.0,0.0,0.0,79.7,0
39.0,555027.0,1498.0,2.0,17.1,3.0,1.0,1.0,1.0,3.7,31.3,0.0,2.74,3.19,1.0,16.2,683.0,1.0,0.0,1.0,0.0,22.8,0
3.4,218216.0,1123.0,2.0,3.4,2.0,1.0,0.0,0.0,1.9,3.1,0.0,2.63,3.2,0.0,1.3,600.0,3.0,0.0,0.0,0.0,45.7,0
16.9,249854.0,1917.0,2.0,8.8,1.0,2.0,1.0,1.0,3.5,16.7,0.0,4.82,2.37,1.0,8.6,711.0,3.0,0.0,0.0,0.0,48.2,0
16.8,164782.0,2514.0,1.0,12.8,0.0,0.0,1.0,0.0,1.4,95.5,0.0,4.73,2.15,0.0,3.4,800.0,1.0,0.0,0.0,0.0,50.4,0
20.2,129365.0,1321.0,1.0,8.0,3.0,3.0,0.0,1.0,0.8,87.2,2.0,2.04,1.23,0.0,8.5,726.0,4.0,0.0,0.0,2.0,46.4,0
36.3,482552.0,1904.0,1.0,5.2,3.0,1.0,1.0,1.0,2.4,49.4,3.0,0.67,3.26,0.0,7.4,704.0,4.0,0.0,1.0,0.0,58.6,0
8.3,85295.0,1848.0,1.0,8.3,2.0,0.0,1.0,1.0,9.1,124.4,2.0,3.27,3.04,0.0,11.8,656.0,5.0,1.0,0.0,1.0,58.0,0
62.9,150166.0,1615.0,2.0,22.4,1.0,2.0,0.0,1.0,1.4,45.7,0.0,1.64,1.08,2.0,21.6,712.0,2.0,0.0,0.0,3.0,28.3,0
24.2,239370.0,1527.0,2.0,0.5,2.0,0.0,1.0,0.0,1.6,5.9,0.0,2.63,1.19,0.0,8.9,785.0,2.0,0.0,0.0,3.0,75.4,0
0.5,123440.0,2087.0,2.0,0.5,3.0,1.0,1.0,1.0,0.6,31.9,0.0,2.36,2.18,2.0,19.6,798.0,2.0,0.0,0.0,0.0,21.4,0
1.9,175408.0,1441.0,2.0,1.9,0.0,0.0,0.0,1.0,0.7,54.9,0.0,3.11,3.68,1.0,9.2,683.0,1.0,0.0,0.0,0.0,38.5,0
16.3,252653.0,1888.0,2.0,16.3,1.0,3.0,0.0,1.0,5.4,86.4,3.0,0.96,1.21,0.0,4.4,602.0,1.0,0.0,0.0,3.0,82.6,0
21.5,88615.0,1266.0,2.0,0.9,3.0,0.0,0.0,1.0,0.6,3.9,1.0,3.96,0.5,0.0,2.4,669.0,3.0,0.0,0.0,1.0,31.5,0
19.3,179657.0,1291.0,1.0,4.4,1.0,3.0,1.0,1.0,6.9,7.5,0.0,3.68,0.78,2.0,2.1,744.0,2.0,0.0,0.0,0.0,64.2,0
68.7,167734.0,1852.0,2.0,12.0,0.0,1.0,0.0,0.0,1.4,12.3,3.0,0.55,1.84,0.0,5.8,831.0,3.0,0.0,0.0,0.0,53.4,0
16.7,136141.0,1399.0,2.0,15.1,0.0,1.0,0.0,1.0,4.2,38.9,0.0,5.25,3.0,1.0,7.8,761.0,4.0,0.0,0.0,0.0,59.3,0
3.1,223183.0,1229.0,1.0,3.1,0.0,2.0,1.0,1.0,1.4,5.5,1.0,4.44,2.52,1.0,1.2,655.0,2.0,1.0,0.0,0.0,47.1,0
30.8,120912.0,1726.0,1.0,28.2,1.0,0.0,0.0,1.0,2.9,12.2,0.0,2.93,2.64,0.0,5.7,750.0,6.0,0.0,0.0,0.0,29.5,0
20.0,201020.0,1204.0,2.0,1.3,1.0,2.0,0.0,1.0,3.6,2.9,2.0,3.67,3.39,0.0,15.1,675.0,1.0,1.0,0.0,0.0,54.9,0
31.0,227202.0,2694.0,2.0,13.5,4.0,1.0,1.0,1.0,1.0,33.2,1.0,1.79,2.8,1.0,4.9,704.0,6.0,1.0,0.0,3.0,74.2,0
1.3,505428.0,1421.0,1.0,1.3,1.0,0.0,1.0,0.0,4.2,56.4,2.0,0.58,1.81,0.0,0.3,636.0,2.0,0.0,1.0,2.0,43.1,0
86.4,198718.0,1859.0,2.0,14.2,1.0,1.0,1.0,1.0,5.5,12.9,2.0,4.56,0.99,1.0,22.9,704.0,1.0,0.0,0.0,0.0,73.3,0
27.1,232103.0,1269.0,1.0,0.5,1.0,1.0,0.0,0.0,1.8,19.8,1.0,1.76,3.13,0.0,3.8,801.0,1.0,0.0,0.0,0.0,71.8,0
4.8,115472.0,2565.0,1.0,4.8,2.0,0.0,0.0,1.0,4.7,7.7,2.0,1.72,6.75,1.0,4.7,721.0,1.0,0.0,0.0,0.0,29.1,0
10.5,161929.0,1451.0,3.0,8.1,2.0,0.0,1.0,1.0,1.0,26.2,0.0,6.12,0.73,1.0,9.2,776.0,3.0,0.0,0.0,2.0,49.4,1
7.0,91669.0,1863.0,1.0,0.8,4.0,0.0,1.0,1.0,15.3,32.3,0.0,1.44,1.87,0.0,3.4,693.0,3.0,0.0,0.0,2.0,56.1,0
18.7,361684.0,1128.0,3.0,3.0,4.0,1.0,1.0,0.0,1.7,19.1,2.0,1.57,1.56,0.0,14.5,684.0,3.0,0.0,0.0,3.0,63.9,0
6.7,155401.0,1934.0,2.0,0.1,1.0,2.0,1.0,1.0,3.0,66.8,1.0,3.19,2.15,2.0,10.0,750.0,3.0,0.0,0.0,2.0,53.9,0
20.9,157998.0,1373.0,2.0,1.0,1.0,0.0,1.0,1.0,0.2,15.1,1.0,1.31,3.46,0.0,17.4,707.0,2.0,0.0,0.0,0.0,74.0,0
32.3,327063.0,1104.0,3.0,10.0,2.0,2.0,1.0,1.0,10.6,24.3,0.0,3.72,2.64,0.0,2.1,758.0,1.0,0.0,0.0,0.0,54.6,0
48.3,279427.0,1417.0,1.0,4.2,2.0,0.0,0.0,1.0,5.5,62.9,0.0,1.3,3.05,0.0,6.7,744.0,3.0,0.0,1.0,0.0,46.5,0
3.5,237832.0,791.0,3.0,3.5,0.0,0.0,1.0,1.0,0.6,31.6,1.0,0.92,6.41,1.0,18.9,719.0,1.0,1.0,0.0,0.0,26.7,0
15.2,446388.0,686.0,3.0,5.1,1.0,0.0,1.0,1.0,0.5,13.6,1.0,1.15,4.75,0.0,12.2,642.0,1.0,0.0,0.0,2.0,56.1,0
2.6,178673.0,670.0,2.0,1.4,2.0,0.0,1.0,1.0,0.7,81.0,0.0,2.67,1.58,1.0,22.1,786.0,2.0,0.0,0.0,0.0,48.5,0
69.9,300557.0,2113.0,2.0,10.3,0.0,0.0,1.0,1.0,8.7,68.9,0.0,0.83,1.77,1.0,5.6,778.0,1.0,0.0,0.0,0.0,49.0,0
39.4,255374.0,1392.0,1.0,0.9,2.0,0.0,1.0,1.0,2.5,70.4,0.0,2.32,0.76,0.0,2.5,696.0,4.0,0.0,0.0,0.0,54.8,0
31.6,93568.0,1433.0,2.0,3.6,2.0,0.0,1.0,1.0,0.2,25.0,3.0,1.47,2.57,0.0,16.3,658.0,4.0,0.0,0.0,0.0,65.7,0
4.8,178999.0,1171.0,2.0,4.8,4.0,0.0,1.0,1.0,23.4,60.4,1.0,1.01,2.6,0.0,4.8,698.0,3.0,0.0,0.0,0.0,48.3,0
21.8,209883.0,1725.0,1.0,0.7,0.0,2.0,1.0,1.0,1.8,39.7,1.0,2.19,1.32,0.0,9.9,685.0,2.0,0.0,0.0,0.0,31.3,0
50.2,299271.0,2181.0,2.0,10.6,4.0,1.0,1.0,1.0,0.6,91.4,0.0,0.84,3.31,0.0,3.6,701.0,1.0,0.0,0.0,2.0,44.4,0
32.6,426390.0,1971.0,1.0,0.8,1.0,2.0,0.0,0.0,3.6,18.8,3.0,1.8,3.2,1.0,19.2,674.0,1.0,0.0,1.0,0.0,67.2,0
0.1,82044.0,1350.0,2.0,0.1,1.0,1.0,1.0,1.0,1.0,96.0,1.0,1.45,1.54,0.0,3.2,779.0,3.0,0.0,0.0,1.0,63.8,0
25.4,112758.0,891.0,2.0,18.0,0.0,2.0,1.0,0.0,7.0,31.8,4.0,0.72,6.38,0.0,0.7,688.0,4.0,1.0,0.0,0.0,11.4,1
1.3,135544.0,1547.0,2.0,1.3,0.0,1.0,0.0,1.0,2.6,11.8,1.0,3.52,2.39,1.0,2.5,720.0,2.0,0.0,0.0,0.0,43.3,0
62.9,181799.0,2200.0,3.0,8.2,2.0,0.0,1.0,1.0,4.9,15.9,4.0,2.65,3.83,2.0,1.6,850.0,2.0,0.0,0.0,0.0,70.7,0
18.8,144449.0,2594.0,2.0,18.8,4.0,3.0,1.0,0.0,0.2,79.0,2.0,3.01,1.89,1.0,1.9,714.0,3.0,0.0,0.0,0.0,64.5,0
0.4,116933.0,1482.0,2.0,0.4,1.0,0.0,1.0,0.0,6.2,31.4,0.0,2.98,3.34,0.0,40.0,780.0,6.0,0.0,0.0,1.0,64.4,0
42.7,476627.0,1272.0,1.0,0.4,1.0,0.0,0.0,1.0,1.2,0.5,0.0,1.24,4.63,1.0,0.3,799.0,2.0,0.0,1.0,1.0,53.1,0
26.0,167915.0,1973.0,2.0,22.0,2.0,0.0,1.0,1.0,0.4,52.4,3.0,0.36,0.09,0.0,1.2,771.0,4.0,0.0,1.0,1.0,62.8,0
90.0,283187.0,936.0,2.0,8.5,4.0,0.0,1.0,1.0,2.7,56.0,2.0,1.34,0.55,1.0,6.8,708.0,3.0,0.0,0.0,3.0,43.5,0
2.5,313191.0,1268.0,1.0,2.5,3.0,2.0,0.0,1.0,5.2,78.2,1.0,2.14,0.87,0.0,14.8,804.0,5.0,1.0,0.0,1.0,27.3,0
0.3,193536.0,1489.0,2.0,0.3,0.0,1.0,1.0,1.0,3.0,2.1,1.0,0.31,3.3,0.0,3.9,710.0,3.0,1.0,0.0,0.0,75.8,0
59.0,208724.0,892.0,1.0,29.5,1.0,0.0,1.0,0.0,1.1,34.5,0.0,1.2,1.24,2.0,2.3,751.0,1.0,1.0,0.0,0.0,67.2,0
0.3,265940.0,2710.0,2.0,0.3,1.0,1.0,1.0,0.0,3.1,13.4,1.0,0.09,3.1,1.0,4.5,757.0,3.0,0.0,0.0,0.0,35.1,0
35.2,76545.0,1329.0,2.0,35.2,2.0,0.0,1.0,1.0,10.5,95.8,0.0,2.86,0.67,0.0,12.3,709.0,4.0,1.0,0.0,0.0,45.0,1
17.1,253154.0,1745.0,2.0,10.6,0.0,2.0,0.0,1.0,1.1,132.3,3.0,0.78,0.18,0.0,13.8,736.0,5.0,0.0,1.0,0.0,27.5,0
120.0,162148.0,1111.0,1.0,14.5,3.0,0.0,0.0,0.0,6.1,21.1,0.0,2.74,0.45,0.0,0.3,717.0,5.0,1.0,0.0,0.0,83.0,0
36.3,256298.0,1696.0,2.0,30.0,0.0,0.0,1.0,1.0,2.1,19.9,3.0,1.76,2.42,2.0,21.6,757.0,7.0,0.0,1.0,0.0,45.3,1
18.6,125655.0,872.0,2.0,10.3,1.0,2.0,1.0,1.0,8.6,24.6,3.0,1.65,0.79,0.0,2.1,662.0,1.0,0.0,0.0,3.0,51.7,0
0.9,177473.0,876.0,1.0,0.9,0.0,0.0,0.0,1.0,5.9,2.2,3.0,0.79,4.74,1.0,0.0,638.0,1.0,0.0,0.0,2.0,28.8,1
108.0,132586.0,1724.0,2.0,3.3,1.0,2.0,1.0,0.0,2.7,1.9,0.0,0.21,1.73,0.0,5.0,619.0,3.0,1.0,0.0,0.0,59.2,0
26.0,129531.0,1614.0,1.0,12.6,0.0,0.0,1.0,0.0,2.0,20.6,1.0,1.81,2.69,0.0,8.1,716.0,2.0,0.0,0.0,1.0,50.6,0
52.9,136202.0,987.0,1.0,3.1,2.0,0.0,1.0,0.0,4.1,9.7,1.0,3.49,0.53,0.0,4.7,725.0,5.0,0.0,0.0,3.0,55.5,0
36.8,160351.0,1537.0,1.0,16.5,4.0,1.0,0.0,1.0,3.1,32.1,1.0,0.83,1.7,1.0,9.7,696.0,1.0,0.0,1.0,0.0,42.2,0
2.6,208440.0,2199.0,2.0,0.9,0.0,1.0,0.0,0.0,14.9,19.4,1.0,1.83,4.57,1.0,10.3,744.0,2.0,1.0,0.0,0.0,35.0,0
0.8,286424.0,2221.0,2.0,0.8,0.0,0.0,0.0,1.0,9.3,17.4,1.0,1.21,0.94,2.0,8.4,673.0,6.0,0.0,0.0,0.0,47.0,0
3.4,324838.0,1066.0,3.0,3.4,1.0,2.0,1.0,1.0,2.6,67.8,0.0,1.08,2.36,0.0,4.8,728.0,1.0,0.0,0.0,3.0,47.5,0
71.0,217755.0,1669.0,2.0,40.0,2.0,2.0,0.0,1.0,7.4,6.8,0.0,1.9,5.32,1.0,4.5,606.0,4.0,0.0,0.0,2.0,30.7,1
27.3,204032.0,1373.0,2.0,3.3,4.0,0.0,1.0,1.0,5.2,19.3,2.0,2.21,2.88,0.0,0.1,695.0,1.0,0.0,0.0,3.0,33.8,0
66.3,200780.0,1773.0,1.0,21.8,2.0,0.0,0.0,1.0,2.6,23.5,3.0,3.7,5.07,2.0,4.9,753.0,3.0,0.0,0.0,0.0,7.3,1
17.0,414465.0,1241.0,2.0,3.9,1.0,1.0,0.0,1.0,1.7,36.4,4.0,0.56,0.91,1.0,32.3,750.0,3.0,0.0,0.0,2.0,52.8,0
15.8,319118.0,644.0,1.0,7.4,1.0,1.0,1.0,1.0,3.1,31.5,0.0,1.26,2.12,0.0,9.6,678.0,4.0,0.0,1.0,1.0,41.0,0
46.5,307680.0,1037.0,2.0,13.3,1.0,0.0,0.0,1.0,20.3,174.8,3.0,1.13,2.16,0.0,1.9,722.0,7.0,0.0,1.0,0.0,19.1,0
25.2,280267.0,1687.0,2.0,1.0,2.0,0.0,0.0,1.0,4.6,58.7,4.0,1.25,3.65,0.0,2.7,766.0,4.0,0.0,0.0,1.0,36.7,0
33.9,95518.0,1440.0,1.0,8.6,0.0,1.0,1.0,1.0,8.4,21.2,2.0,0.35,2.26,0.0,16.0,775.0,2.0,0.0,0.0,0.0,63.8,0
2.7,181202.0,1197.0,1.0,0.6,1.0,0.0,1.0,1.0,9.6,39.6,1.0,1.59,2.95,2.0,1.4,661.0,4.0,0.0,0.0,1.0,43.9,0
24.0,852056.0,2056.0,2.0,24.0,2.0,3.0,0.0,0.0,6.8,58.9,0.0,1.89,1.07,2.0,3.4,692.0,1.0,0.0,0.0,1.0,38.4,0
31.0,272586.0,1819.0,1.0,5.7,0.0,0.0,1.0,1.0,3.6,74.7,1.0,3.43,6.7,0.0,2.5,719.0,3.0,0.0,0.0,0.0,79.6,0
19.1,338791.0,1456.0,1.0,12.9,0.0,0.0,1.0,1.0,7.7,50.0,0.0,1.65,1.38,0.0,4.7,807.0,5.0,0.0,0.0,0.0,40.4,0
34.0,95576.0,2514.0,1.0,13.4,2.0,0.0,1.0,1.0,3.9,1.0,2.0,2.48,7.16,1.0,24.9,742.0,4.0,1.0,0.0,0.0,51.0,0
27.8,127321.0,1303.0,1.0,12.3,4.0,1.0,0.0,1.0,2.5,3.4,1.0,2.64,0.79,0.0,1.6,722.0,3.0,0.0,0.0,1.0,30.3,0
12.2,381972.0,1156.0,1.0,12.2,2.0,2.0,0.0,0.0,0.9,11.1,0.0,1.12,0.9,1.0,1.8,684.0,1.0,0.0,0.0,0.0,82.3,0
78.0,155686.0,1097.0,1.0,1.0,0.0,1.0,0.0,0.0,0.5,51.5,0.0,0.99,6.55,0.0,0.9,721.0,4.0,0.0,0.0,0.0,58.7,0
33.1,333679.0,823.0,3.0,6.9,1.0,0.0,0.0,1.0,0.9,48.2,0.0,0.87,5.24,0.0,1.1,667.0,2.0,0.0,0.0,2.0,89.8,0
15.3,416807.0,841.0,1.0,15.3,4.0,2.0,0.0,1.0,4.1,19.5,2.0,3.39,3.69,1.0,3.1,733.0,3.0,1.0,0.0,0.0,24.5,1
1.8,301674.0,600.0,2.0,1.8,0.0,0.0,0.0,1.0,8.4,53.4,0.0,1.41,6.45,2.0,1.8,657.0,1.0,0.0,0.0,0.0,26.2,0
23.8,172529.0,1800.0,1.0,23.8,1.0,0.0,1.0,1.0,2.0,121.4,2.0,1.82,1.74,1.0,18.2,755.0,2.0,0.0,1.0,0.0,63.8,0
6.7,193750.0,1474.0,1.0,6.7,1.0,1.0,0.0,0.0,3.2,15.1,2.0,0.88,2.69,0.0,3.8,700.0,3.0,0.0,0.0,0.0,55.3,0
13.4,63473.0,1211.0,3.0,13.4,1.0,2.0,0.0,1.0,6.2,7.6,0.0,2.01,3.07,0.0,4.0,655.0,4.0,0.0,0.0,0.0,45.8,0
62.5,259158.0,1484.0,2.0,5.7,1.0,0.0,0.0,1.0,2.6,18.4,1.0,1.52,4.26,1.0,7.3,730.0,6.0,0.0,0.0,0.0,61.5,0
25.4,308045.0,1417.0,3.0,24.0,3.0,3.0,0.0,1.0,7.6,1.5,0.0,2.18,4.29,1.0,10.1,734.0,2.0,0.0,0.0,2.0,70.4,0
4.7,55593.0,892.0,2.0,4.7,4.0,3.0,0.0,1.0,4.0,52.2,0.0,4.26,0.59,1.0,4.3,685.0,3.0,1.0,0.0,0.0,80.7,0
91.2,87618.0,907.0,2.0,5.7,3.0,0.0,0.0,1.0,1.0,103.5,0.0,3.39,2.12,1.0,21.6,814.0,2.0,0.0,0.0,0.0,46.5,0
73.5,141240.0,1571.0,2.0,6.0,0.0,3.0,0.0,0.0,0.6,36.7,1.0,1.11,2.5,0.0,40.0,661.0,3.0,0.0,0.0,0.0,38.9,0
53.4,364758.0,1695.0,1.0,21.3,0.0,3.0,0.0,1.0,14.6,1.3,3.0,1.28,0.68,0.0,4.7,635.0,2.0,0.0,0.0,2.0,58.4,0
22.4,232344.0,1447.0,2.0,1.0,0.0,3.0,0.0,0.0,15.0,2.4,1.0,3.43,3.61,1.0,10.1,687.0,2.0,0.0,0.0,3.0,62.2,0
13.1,257765.0,2486.0,2.0,9.4,3.0,0.0,0.0,1.0,3.7,33.7,2.0,2.18,2.28,0.0,5.5,702.0,4.0,0.0,0.0,3.0,29.6,0
11.6,77730.0,756.0,2.0,8.5,1.0,0.0,1.0,1.0,1.1,18.3,4.0,1.6,2.47,2.0,35.7,663.0,2.0,0.0,0.0,0.0,22.0,0
12.4,239551.0,1441.0,1.0,12.4,3.0,0.0,0.0,1.0,0.7,108.3,4.0,1.11,1.9,0.0,16.4,773.0,1.0,1.0,0.0,0.0,81.0,0
1.7,157655.0,859.0,2.0,1.0,3.0,2.0,1.0,1.0,1.6,15.1,0.0,2.48,3.08,0.0,5.9,707.0,1.0,0.0,0.0,1.0,59.9,0
43.4,130392.0,1073.0,2.0,0.1,1.0,0.0,0.0,1.0,0.7,28.3,3.0,0.67,3.62,1.0,7.0,689.0,3.0,0.0,0.0,1.0,91.2,0
13.6,126763.0,1260.0,2.0,13.6,3.0,1.0,0.0,1.0,2.9,56.2,0.0,1.18,2.34,1.0,1.6,750.0,4.0,1.0,0.0,0.0,68.0,0
36.8,156379.0,1576.0,1.0,28.7,1.0,1.0,0.0,1.0,0.6,17.7,2.0,1.47,0.64,0.0,0.8,638.0,2.0,0.0,0.0,0.0,65.6,0
72.8,307784.0,1155.0,1.0,0.3,1.0,0.0,0.0,1.0,11.3,23.2,0.0,4.23,4.47,1.0,2.0,604.0,2.0,0.0,0.0,0.0,69.2,0
9.4,72447.0,1770.0,2.0,8.2,1.0,3.0,1.0,1.0,1.8,91.4,0.0,3.77,3.01,0.0,10.8,762.0,1.0,0.0,0.0,0.0,27.0,0
16.6,380704.0,2483.0,1.0,14.7,1.0,0.0,0.0,1.0,3.0,28.8,1.0,1.33,1.54,2.0,0.9,640.0,4.0,0.0,0.0,1.0,62.5,0
24.2,89307.0,1468.0,3.0,4.1,1.0,1.0,0.0,1.0,1.2,25.0,1.0,1.47,4.05,1.0,0.7,753.0,1.0,0.0,0.0,0.0,33.6,0
34.9,162262.0,1927.0,2.0,5.2,2.0,2.0,1.0,1.0,8.7,123.2,1.0,3.51,3.27,0.0,9.9,732.0,3.0,1.0,0.0,3.0,52.9,0
27.5,490521.0,1358.0,2.0,3.1,0.0,0.0,0.0,1.0,2.5,39.6,0.0,0.14,4.02,0.0,2.2,692.0,1.0,1.0,0.0,0.0,84.9,0
29.9,211059.0,2544.0,2.0,27.0,4.0,0.0,1.0,1.0,1.4,73.4,1.0,0.36,1.78,1.0,7.8,824.0,1.0,0.0,0.0,0.0,21.7,0
16.0,256899.0,1843.0,1.0,5.6,0.0,1.0,1.0,1.0,3.3,134.2,1.0,1.73,1.44,1.0,2.1,660.0,2.0,0.0,0.0,1.0,34.8,0
30.7,233594.0,2328.0,2.0,25.8,0.0,2.0,0.0,0.0,0.2,2.5,0.0,1.87,1.05,0.0,2.1,763.0,1.0,1.0,1.0,1.0,66.3,1
2.6,141470.0,1374.0,2.0,2.6,1.0,0.0,1.0,1.0,7.1,17.5,0.0,5.04,3.08,1.0,4.3,794.0,6.0,0.0,0.0,1.0,17.0,0
25.6,50694.0,1890.0,1.0,5.4,1.0,1.0,1.0,1.0,5.4,106.8,0.0,0.91,1.99,1.0,4.9,733.0,3.0,0.0,0.0,0.0,84.1,0
34.8,247622.0,1925.0,1.0,2.9,0.0,1.0,1.0,0.0,9.1,0.7,1.0,1.8,3.17,0.0,1.2,715.0,2.0,0.0,0.0,2.0,47.5,0
38.7,234698.0,1726.0,2.0,1.8,3.0,0.0,0.0,1.0,9.2,32.0,3.0,1.83,6.08,1.0,24.8,825.0,2.0,1.0,0.0,1.0,43.5,0
65.4,236755.0,1729.0,1.0,3.4,2.0,0.0,0.0,1.0,3.3,8.3,1.0,2.37,3.69,0.0,12.9,781.0,7.0,0.0,0.0,3.0,52.6,0
32.9,114740.0,826.0,2.0,0.5,1.0,1.0,0.0,1.0,0.5,64.1,0.0,0.36,6.9,0.0,8.4,749.0,2.0,0.0,0.0,0.0,6.6,0
8.2,111764.0,1134.0,1.0,8.2,0.0,0.0,1.0,1.0,2.9,13.5,3.0,0.89,1.58,0.0,0.2,817.0,5.0,1.0,0.0,1.0,82.7,0
31.1,165182.0,1057.0,1.0,13.8,0.0,0.0,1.0,1.0,3.1,22.2,0.0,2.71,3.51,0.0,0.0,738.0,2.0,0.0,0.0,1.0,71.8,0
1.5,161667.0,1799.0,2.0,1.5,0.0,3.0,0.0,1.0,0.5,11.7,0.0,1.6,1.86,1.0,19.3,689.0,1.0,0.0,0.0,0.0,35.1,0
23.1,169470.0,2210.0,3.0,8.8,3.0,0.0,0.0,0.0,0.3,4.6,0.0,2.9,4.04,0.0,0.0,775.0,2.0,1.0,0.0,0.0,52.0,0
54.6,94658.0,1713.0,2.0,2.2,4.0,0.0,1.0,1.0,11.0,21.1,3.0,1.86,0.81,0.0,10.6,798.0,4.0,0.0,0.0,0.0,30.3,0
7.5,104340.0,3143.0,2.0,0.6,1.0,2.0,1.0,0.0,0.7,109.9,4.0,2.28,5.02,0.0,12.8,721.0,2.0,1.0,1.0,3.0,72.3,0
9.3,153053.0,766.0,2.0,2.3,1.0,2.0,1.0,1.0,3.9,81.7,0.0,2.59,0.95,0.0,6.0,723.0,5.0,1.0,0.0,0.0,32.5,0
37.9,103968.0,2026.0,3.0,2.1,0.0,2.0,0.0,1.0,6.1,30.5,1.0,2.18,0.73,1.0,29.3,692.0,4.0,0.0,0.0,0.0,8.8,0
58.7,134286.0,2707.0,2.0,22.5,2.0,1.0,0.0,1.0,2.8,35.3,1.0,2.5,3.34,2.0,18.1,745.0,5.0,1.0,0.0,0.0,76.2,1
13.0,126805.0,1207.0,2.0,13.0,0.0,2.0,0.0,1.0,12.9,12.4,1.0,0.55,2.88,1.0,0.5,590.0,2.0,0.0,0.0,0.0,62.8,0
98.9,491257.0,2611.0,1.0,27.1,2.0,0.0,0.0,1.0,8.4,17.2,3.0,2.78,2.58,0.0,1.1,687.0,1.0,0.0,0.0,0.0,47.4,0
34.5,160883.0,1306.0,2.0,10.1,1.0,1.0,1.0,1.0,13.5,15.7,3.0,0.71,1.74,0.0,0.2,659.0,2.0,0.0,0.0,0.0,54.2,0
4.0,225063.0,1915.0,2.0,0.4,2.0,0.0,0.0,1.0,3.1,46.4,2.0,1.44,1.31,1.0,7.1,751.0,5.0,0.0,0.0,2.0,23.7,0
3.0,295812.0,2318.0,1.0,3.0,1.0,2.0,1.0,0.0,0.4,3.3,0.0,0.43,4.59,1.0,10.4,754.0,1.0,0.0,0.0,0.0,31.8,0
32.1,172795.0,1137.0,1.0,17.9,4.0,0.0,0.0,0.0,8.2,190.3,0.0,2.06,3.03,0.0,6.2,840.0,1.0,0.0,0.0,0.0,75.1,0
35.2,315349.0,1630.0,1.0,0.8,4.0,3.0,1.0,0.0,8.7,87.0,4.0,6.1,1.5,0.0,3.8,651.0,1.0,0.0,0.0,0.0,56.9,0
