packet_size_bytes,connection_duration_sec,num_packets,bytes_sent,bytes_received,protocol_type,service_type,flag_type,src_port_ephemeral,dst_port_wellknown,num_failed_logins,is_guest_login,num_access_files,num_outbound_commands,count_connections_same_host,serror_rate,rerror_rate,same_service_rate,diff_host_rate,dst_host_count,target
101,5.54,43,176,38180,0,3,5,1,1,0,0,2,1,7,0.0296,0.0167,0.7041,0.0133,30,0
3499,8.41,54,139,8205,2,6,1,1,1,0,0,2,0,14,0.0042,0.0125,0.8023,0.0817,19,0
1238,19.59,42,100,20349,0,0,5,1,1,1,0,3,0,7,0.0669,0.0127,0.8025,0.0748,26,0
1075,58.39,49,9300,3265,0,3,5,0,1,0,0,1,0,9,0.0161,0.0121,0.8301,0.1213,45,0
453,83.53,58,5934,5059,0,10,0,1,0,0,0,1,0,17,0.0115,0.038,0.846,0.2057,26,0
100,13.98,59,47897,845,1,8,3,1,1,1,0,2,1,13,0.1687,0.0591,0.3987,0.4288,19,0
100,72.86,48,5581,1044,1,3,2,1,1,0,0,3,0,13,0.0696,0.0928,0.79,0.0185,36,0
626,0.52,48,505,12548,2,10,0,0,0,0,0,1,1,5,0.4601,0.0037,0.6555,0.1801,30,0
100,34.15,39,40026,953,2,0,0,1,0,2,0,2,0,6,0.0474,0.0414,0.8312,0.2139,33,1
281,6.38,51,223,3654,1,2,3,1,1,0,0,1,1,9,0.0039,0.034,0.752,0.0914,23,0
1594,21.97,49,4022,8637,1,7,3,0,0,0,0,2,0,16,0.0015,0.0761,0.7548,0.0866,29,0
295,20.38,50,267,6899,2,6,3,0,1,2,0,2,0,16,0.0862,0.0377,0.6217,0.0556,28,1
451,11.78,40,154,157,2,10,2,1,0,2,0,3,0,5,0.3088,0.0335,0.9401,0.2756,36,1
100,19.61,49,16536,17112,2,11,0,1,1,1,0,2,0,13,0.0591,0.0123,0.7393,0.1237,35,0
267,5.14,53,1256,834,2,9,3,0,0,0,0,7,1,12,0.1553,0.065,0.5148,0.4107,22,0
853,20.01,65,4547,7902,0,6,4,1,0,1,1,2,0,4,0.2743,0.0992,0.6903,0.2029,34,1
100,68.54,60,576,190,3,2,2,1,1,0,0,0,2,20,0.2465,0.0488,0.3858,0.2064,34,0
376,18.91,58,11445,100,3,1,3,0,1,0,0,3,2,11,0.0051,0.088,0.7658,0.216,44,0
1037,107.81,37,1612,172,1,6,1,1,1,0,0,2,0,8,0.072,0.1242,0.6092,0.3387,31,0
100,65.65,43,19062,8486,3,3,0,1,1,2,0,2,0,13,0.0392,0.0855,0.8853,0.2725,25,0
223,0.54,65,12620,5289,1,7,5,0,1,0,0,2,0,7,0.1218,0.0078,0.5331,0.0589,26,0
823,6.09,60,358,1880,3,7,4,0,0,0,0,0,0,9,0.025,0.0142,0.7486,0.285,33,0
512,28.09,50,899,40388,3,8,3,0,0,1,0,4,0,13,0.006,0.0248,0.6794,0.1053,27,0
261,16.97,50,302,8314,1,0,4,1,1,0,0,1,0,13,0.1173,0.1642,0.6649,0.1707,28,0
390,30.73,58,1409,1681,3,6,1,1,1,0,0,1,0,17,0.1391,0.1379,0.6738,0.1696,26,0
1104,7.44,48,100,2604,0,10,2,1,0,0,0,4,2,5,0.017,0.0414,0.6222,0.0592,31,0
2366,12.45,56,46402,14662,2,0,3,1,1,0,1,2,0,8,0.0611,0.0351,0.7757,0.3595,34,1
572,61.32,52,5672,784,3,5,4,0,1,1,0,0,0,12,0.0993,0.1216,0.4623,0.2686,26,0
411,4.38,55,3200,214,0,6,2,0,1,1,0,1,2,11,0.1042,0.0077,0.5718,0.4186,35,0
3420,2.09,56,300,910,1,7,3,1,1,0,0,1,0,10,0.0525,0.1365,0.7349,0.0695,36,0
100,28.25,46,346,4220,2,6,2,1,1,1,0,1,1,11,0.1644,0.0997,0.8111,0.1712,39,1
223,33.95,48,2471,4176,0,4,5,0,0,0,0,0,0,10,0.0881,0.0772,0.5553,0.1524,33,0
1610,1.48,52,6458,7482,0,1,4,0,1,0,0,1,1,8,0.0437,0.206,0.8736,0.0536,30,0
379,53.25,62,15736,300162,1,0,4,1,1,0,0,2,1,7,0.0457,0.1114,0.9119,0.2571,29,0
235,5.54,33,2839,1537,2,3,2,1,0,1,0,1,3,9,0.0252,0.099,0.6056,0.3864,31,1
994,24.7,47,2304,1619,3,10,3,1,0,0,0,1,0,5,0.1312,0.1043,0.4781,0.123,21,0
382,69.15,38,5738,3699,1,11,5,1,0,0,0,3,0,5,0.0428,0.1105,0.7074,0.098,23,0
297,16.22,66,5972,6755,1,7,3,1,0,0,0,6,1,13,0.0953,0.0144,0.7691,0.3961,35,0
100,51.32,63,32333,112626,0,0,5,1,1,0,0,2,0,7,0.187,0.0731,0.8744,0.0777,23,0
392,0.62,69,1323,31999,2,1,1,0,0,0,0,1,1,6,0.0616,0.0515,0.61,0.1744,22,0
491,93.49,60,1272,33435,3,0,3,0,1,1,0,5,0,11,0.001,0.016,0.7993,0.1814,32,0
1876,51.98,44,19211,3527,3,1,3,1,1,0,0,0,0,12,0.0206,0.0422,0.8285,0.0227,27,0
1307,4.93,43,952,39122,0,4,0,1,1,0,0,1,0,8,0.1561,0.1979,0.8434,0.558,25,0
100,6.85,54,5430,341,3,1,4,1,1,0,0,3,0,14,0.1878,0.014,0.5954,0.1025,44,0
100,4.81,47,25525,4296,1,11,2,1,0,0,0,7,0,6,0.2767,0.0468,0.7418,0.2389,20,1
1616,10.62,54,221,577,0,8,1,1,1,0,0,3,0,13,0.0303,0.0008,0.5794,0.1829,19,0
100,39.96,42,3407,628,2,10,1,0,1,0,0,3,0,9,0.135,0.043,0.8526,0.0539,34,0
563,48.62,57,614,325,0,0,4,0,1,0,0,1,0,8,0.0209,0.0422,0.6836,0.0547,35,0
29392,43.53,66,1504,387,0,7,3,0,0,1,0,3,1,13,0.0519,0.0118,0.6749,0.1137,29,0
207,77.92,53,9025,63532,3,5,2,1,0,0,0,3,0,13,0.2522,0.0688,0.42,0.3394,27,1
131,0.63,46,2793,4433,0,11,0,0,1,1,0,1,0,13,0.0916,0.034,0.8852,0.0198,29,0
132,10.25,41,307,2323,3,2,2,1,1,0,0,0,0,7,0.1144,0.0685,0.7183,0.2928,27,0
484,18.27,39,15489,640,1,2,5,1,1,1,0,3,0,8,0.1204,0.0069,0.885,0.3432,27,0
479,6.73,50,1393,63150,1,3,1,0,1,0,0,4,0,10,0.0309,0.035,0.7956,0.2792,25,0
439,5.75,48,323,270,3,3,5,1,0,0,0,3,2,12,0.1748,0.0761,0.7123,0.0871,28,0
100,84.69,53,20215,100,1,8,3,1,1,1,0,0,1,9,0.0512,0.116,0.9499,0.3605,26,0
2305,25.58,45,4909,410,1,10,2,1,1,0,0,3,1,5,0.0743,0.0994,0.3749,0.0571,29,0
568,11.69,60,42274,1893,0,5,4,0,0,0,0,0,1,9,0.3952,0.1129,0.8543,0.1995,31,1
365,22.54,37,139,1098,1,10,2,1,1,0,0,2,0,15,0.0214,0.1064,0.7309,0.1975,21,0
351,6.03,53,16195,870,0,11,5,1,1,0,0,3,0,11,0.0748,0.0005,0.8297,0.2705,25,0
665,27.79,63,134,512,2,11,1,0,1,1,0,0,1,11,0.1772,0.0916,0.8402,0.1349,31,0
146,37.86,59,15167,47852,1,6,2,1,0,0,0,3,0,11,0.3972,0.032,0.6714,0.0983,21,1
115,11.7,48,2758,780,1,9,5,0,0,0,0,1,1,7,0.2687,0.0145,0.5277,0.3632,35,1
137,20.7,54,898,11791,3,2,4,1,1,0,0,0,1,8,0.0515,0.0552,0.689,0.6117,29,0
465,25.35,60,9149,1019,1,0,5,1,0,1,0,7,0,10,0.1553,0.0409,0.8381,0.1763,37,0
3922,22.36,42,168,4487,1,8,4,0,0,0,0,3,1,9,0.1265,0.2151,0.5169,0.0691,36,0
267,14.14,38,189,10187,1,1,3,1,1,0,0,7,0,12,0.0745,0.056,0.7835,0.3126,26,0
1066,4.64,58,100,4828,1,11,3,1,1,0,0,3,1,9,0.069,0.1006,0.4018,0.0768,23,0
607,1.72,51,673,10311,0,2,4,1,1,1,0,3,0,12,0.0359,0.0821,0.3975,0.239,47,0
125,35.05,51,1837,2663,0,7,5,1,1,0,0,1,2,16,0.0201,0.0615,0.3689,0.1698,35,0
250,6.88,50,5857,313,1,3,2,1,1,0,0,2,2,6,0.071,0.0749,0.8096,0.0898,25,0
100,6.85,52,33390,2714,0,9,3,1,0,1,0,1,0,11,0.2366,0.1022,0.7317,0.488,35,1
299,2.83,53,347,432,1,2,0,0,1,1,0,1,0,5,0.0719,0.0145,0.5669,0.1645,34,0
100,73.4,58,27659,32474,1,0,1,1,0,0,0,1,0,14,0.0189,0.0261,0.7519,0.0682,27,0
728,1.84,47,2352,1309,0,6,2,1,1,0,0,0,2,7,0.0346,0.0409,0.841,0.3239,34,0
1223,118.08,51,25041,1341,3,4,4,1,0,0,0,1,0,9,0.1301,0.0374,0.7073,0.2096,27,0
100,10.04,37,699,9579,1,11,5,1,1,0,0,2,1,9,0.0042,0.0297,0.8508,0.1721,21,0
2529,5.15,43,448,1625,0,10,3,0,0,0,0,3,0,9,0.033,0.271,0.8618,0.0462,22,0
766,1.94,43,7899,2726,1,11,4,0,1,0,0,1,1,6,0.116,0.063,0.5762,0.4108,34,0
1074,30.22,49,2781,3821,2,6,1,0,1,0,0,2,0,10,0.2188,0.0316,0.3851,0.1364,31,0
310,7.48,39,19180,2734,1,8,2,1,1,0,0,2,0,13,0.0518,0.1809,0.8875,0.1309,36,0
651,9.64,51,8561,1300,2,1,0,0,1,0,0,3,0,10,0.0014,0.0417,0.6055,0.2543,32,0
387,28.27,43,26161,1498,2,1,5,1,1,0,0,2,2,10,0.1635,0.1998,0.7189,0.1031,32,0
133,16.11,60,9748,100,3,8,3,1,1,0,0,1,0,11,0.0606,0.021,0.6094,0.0607,28,0
890,40.77,49,5607,29178,1,9,0,1,1,1,0,2,0,14,0.2771,0.0026,0.8239,0.0816,35,1
325,9.09,46,786,1028,2,1,5,1,1,0,0,5,1,13,0.1037,0.0236,0.6923,0.3442,25,0
2408,4.85,58,29319,1737,3,8,3,1,0,0,0,3,1,7,0.1072,0.0484,0.8814,0.0627,32,0
100,5.98,53,100,1305,2,4,4,1,1,0,0,1,0,7,0.047,0.035,0.5672,0.0722,35,0
8436,59.19,51,286315,2894,3,3,1,1,0,0,0,3,2,12,0.068,0.0424,0.3589,0.0817,26,1
100,6.58,49,261,3177,1,0,3,1,0,1,0,3,0,8,0.1985,0.0312,0.8961,0.3234,30,0
202,15.35,48,2006,19819,0,5,1,0,0,0,0,2,0,10,0.0473,0.0269,0.7864,0.345,37,0
455,1.93,53,11960,18873,0,10,5,1,0,1,0,3,1,13,0.0983,0.0488,0.7622,0.0433,39,0
3678,7.44,47,2940,134491,1,6,2,1,1,0,0,0,0,9,0.0128,0.1754,0.7771,0.3285,27,0
1692,72.71,46,90641,11359,2,6,4,1,0,0,0,1,1,4,0.0423,0.0223,0.798,0.2619,34,0
705,7.81,48,970,5224,0,11,4,1,1,2,0,3,1,6,0.0414,0.0526,0.7396,0.228,31,0
2313,25.5,48,519,1690,0,1,1,0,0,0,0,3,0,10,0.0283,0.1204,0.8429,0.2014,30,0
164,2.84,55,159819,334,0,0,1,1,0,1,0,1,0,12,0.19,0.0354,0.9903,0.1191,29,1
5747,36.06,76,359,2750,1,11,0,0,1,0,0,1,0,4,0.0342,0.0261,0.686,0.0119,26,0
100,5.76,62,18666,172,0,9,5,0,0,0,0,1,0,6,0.0437,0.0334,0.842,0.372,23,1
100,10.34,59,100,3354,2,8,0,1,0,1,0,4,0,8,0.0751,0.0262,0.7345,0.1347,32,0
1485,12.92,45,388,4963,2,0,1,1,0,0,0,4,0,7,0.0546,0.1534,0.5589,0.068,26,0
100,35.84,60,589,632,2,1,2,1,0,1,0,1,1,12,0.3466,0.0285,0.7856,0.0583,31,1
427,64.97,33,100,28255,1,1,4,0,1,0,0,2,0,9,0.1984,0.1681,0.8752,0.0782,40,0
580,20.21,47,434,435,3,0,4,1,1,0,0,3,0,8,0.3832,0.0061,0.895,0.1682,42,0
195,31.17,52,7562,920,1,11,3,1,1,0,0,2,1,11,0.0148,0.1016,0.5871,0.4136,32,0
7994,5.06,42,355,10954,2,4,0,1,0,0,1,1,1,6,0.2103,0.1824,0.8467,0.0349,27,0
100,11.17,52,49943,354,0,7,0,1,1,1,0,0,0,4,0.1071,0.1042,0.628,0.2294,30,0
104,40.75,54,14439,69397,3,1,1,0,0,0,0,5,0,7,0.2165,0.1,0.8526,0.1973,36,0
1022,17.24,50,75402,11695,0,10,5,1,1,0,0,0,1,6,0.011,0.09,0.3036,0.2408,30,0
2575,88.12,49,13192,9221,3,7,1,1,1,0,0,3,0,17,0.2158,0.0102,0.6935,0.143,33,0
1592,0.42,51,48453,27764,0,6,2,1,1,0,0,2,0,14,0.0645,0.0013,0.8885,0.2452,33,0
226,32.23,45,5168,33856,1,4,4,1,0,0,0,6,0,10,0.0635,0.059,0.6701,0.1217,24,0
311,3.49,53,39110,41523,1,6,0,1,1,1,0,3,0,11,0.2049,0.0772,0.6725,0.0416,23,1
153,15.38,55,1006,1203,1,4,1,1,0,1,1,2,0,4,0.1131,0.0891,0.8088,0.0416,35,0
1584,7.64,55,2942,17938,0,3,4,1,0,1,0,2,0,9,0.0026,0.0128,0.5938,0.1718,25,0
50000,38.83,55,4584,5004,2,1,5,1,0,1,0,0,1,7,0.092,0.0369,0.8443,0.2097,31,0
950,85.15,46,3663,1000,3,3,2,1,0,3,0,3,1,5,0.0058,0.0974,0.6811,0.1769,35,0
846,72.15,52,8036,24742,3,2,1,1,1,0,0,3,0,13,0.0093,0.0838,0.6879,0.0601,42,0
191,14.69,66,5384,166,2,6,0,0,0,0,0,0,0,7,0.1199,0.0218,0.7439,0.265,33,0
431,64.46,47,60990,2019,0,0,0,0,0,0,1,3,0,10,0.0457,0.0311,0.6267,0.0852,32,1
691,54.43,49,2642,1301,1,6,1,1,1,0,0,4,1,10,0.0934,0.0399,0.8985,0.0561,31,0
1492,22.35,60,7614,1201,0,5,3,1,0,0,0,1,1,8,0.1546,0.0192,0.288,0.1322,24,0
123,14.16,51,545,26821,3,4,0,1,1,0,0,2,1,16,0.1041,0.0637,0.9142,0.1781,21,0
127,2.33,44,381,100,1,6,4,1,0,0,0,1,0,11,0.0073,0.1248,0.3984,0.0737,20,0
100,58.59,46,26174,7474,2,9,1,1,0,0,0,3,0,6,0.0193,0.1327,0.3694,0.3493,26,0
216,43.36,53,16155,2712,3,8,3,1,1,0,0,4,2,6,0.0821,0.0043,0.961,0.2865,31,0
811,54.01,64,36069,3028,2,5,2,0,0,1,0,1,0,12,0.0166,0.0771,0.7731,0.1442,37,0
268,24.33,52,21867,10443,1,0,4,1,1,0,0,0,0,10,0.2353,0.0198,0.9599,0.0799,22,0
1578,17.12,57,4111,445,3,4,2,1,1,2,0,2,0,5,0.0122,0.0447,0.6878,0.0328,29,0
4184,1.88,46,286,722,3,4,0,1,0,0,0,1,0,5,0.0072,0.0913,0.9071,0.1899,32,0
16385,1.37,56,15855,1395,0,4,5,1,1,0,0,0,0,5,0.0178,0.1015,0.5821,0.082,38,0
305,94.27,55,4009,14430,1,4,0,1,0,0,1,2,2,10,0.0686,0.0973,0.6515,0.2849,35,0
100,0.1,60,5235,55726,3,6,0,0,0,0,0,2,0,16,0.0011,0.0181,0.4882,0.3724,33,0
100,15.99,52,1297,368,1,7,0,1,1,0,0,3,0,11,0.0043,0.0103,0.5549,0.1613,30,0
416,4.7,49,467,68530,0,1,1,1,1,0,0,1,0,15,0.1288,0.0743,0.5722,0.0474,35,0
100,4.5,45,3123,3524,0,8,0,1,1,0,0,7,1,4,0.0431,0.0299,0.8179,0.0332,35,0
423,28.99,46,43828,153,3,7,5,1,1,0,0,5,1,13,0.082,0.119,0.852,0.3283,25,0
100,0.5,51,16459,3036,3,0,3,0,0,0,0,0,2,11,0.0178,0.0419,0.3479,0.0731,40,0
400,75.15,46,346,1722,1,6,4,0,0,0,0,2,0,16,0.1682,0.1157,0.9431,0.0115,26,0
100,40.88,49,953,361,0,10,4,0,1,2,0,1,0,12,0.0073,0.0378,0.5606,0.1755,25,0
1746,6.75,54,694,286232,1,10,4,1,0,0,0,1,0,10,0.0052,0.0804,0.6963,0.5504,25,0
205,16.16,52,849,8536,3,5,4,0,0,1,0,0,0,9,0.3321,0.0659,0.5571,0.1882,22,1
100,63.1,47,918,100,0,7,0,1,0,0,0,2,2,13,0.2124,0.026,0.6304,0.0969,26,0
1481,15.03,49,100,254,1,10,0,1,1,0,0,2,0,14,0.0806,0.0211,0.8104,0.0945,33,0
100,13.7,55,2303,2263,1,4,0,1,1,0,0,6,0,4,0.0811,0.0482,0.9481,0.1932,40,0
5709,2.17,46,47478,6893,3,2,2,0,0,0,0,4,0,12,0.001,0.0932,0.6207,0.0852,29,0
650,26.29,56,230,4682,1,7,3,0,1,0,0,1,0,13,0.1839,0.0211,0.5031,0.1174,27,0
100,21.61,56,3165,376,2,1,4,1,0,0,0,2,0,17,0.1034,0.1112,0.4679,0.0509,30,0
100,9.32,39,30603,419,0,4,4,1,0,0,0,5,1,8,0.0182,0.3712,0.735,0.0555,38,0
262,66.9,57,1631,33108,1,8,3,1,1,1,0,3,1,8,0.1133,0.0174,0.269,0.2597,28,0
259,1.92,49,3985,973,2,5,0,1,1,0,0,3,0,12,0.0359,0.1629,0.8628,0.2693,32,0
595,138.36,53,1896,67602,2,6,4,1,0,0,1,1,0,9,0.0608,0.086,0.656,0.2371,31,0
1391,0.2,48,2339,3915,3,8,2,1,1,0,0,2,0,10,0.0899,0.0557,0.7255,0.1557,42,0
578,4.89,52,19504,840,2,0,3,1,1,0,0,4,0,8,0.1039,0.1028,0.605,0.1267,42,0
575,42.77,56,628,7514,2,10,2,1,0,0,0,0,2,21,0.0074,0.1048,0.7016,0.1795,30,0
179,3.64,43,421,100,0,8,0,0,1,0,0,1,0,8,0.1468,0.0295,0.3693,0.281,31,0
100,19.34,50,2100,2340,0,6,0,1,0,1,0,2,1,10,0.0791,0.0733,0.7433,0.1389,32,0
4079,79.62,47,7776,15750,2,0,2,1,1,0,0,4,1,9,0.007,0.021,0.3053,0.2854,26,0
100,46.67,48,113348,2394,0,7,5,1,0,0,0,0,1,10,0.0556,0.01,0.6917,0.3272,17,0
1861,123.07,48,275,16206,3,4,1,1,0,1,0,2,1,13,0.0312,0.0974,0.7314,0.2896,33,0
345,44.72,49,17768,100,1,10,4,1,1,0,0,2,1,12,0.0224,0.0021,0.8094,0.1653,25,0
203,26.19,44,829,613,0,6,4,1,1,0,0,2,0,8,0.0295,0.1129,0.6267,0.2569,35,0
1267,11.81,56,2264,46810,0,8,4,1,1,0,0,5,0,15,0.0727,0.0401,0.8131,0.1423,28,0
278,18.4,56,421,166,2,1,0,1,1,1,0,2,1,11,0.0436,0.02,0.4169,0.2951,28,0
163,19.07,49,122,402,1,2,3,1,0,1,0,3,0,13,0.1821,0.0463,0.817,0.3103,19,0
664,59.83,50,961,1709,0,6,5,0,1,0,0,5,0,10,0.3225,0.1835,0.6192,0.1,30,1
459,52.68,55,1198,757,1,1,1,1,0,0,0,3,1,12,0.0042,0.1197,0.871,0.0573,35,0
4375,56.71,51,1756,2462,1,7,4,1,1,0,0,2,0,13,0.0681,0.0366,0.8626,0.0969,33,0
100,7.87,44,8729,50564,1,11,3,1,1,0,0,2,0,12,0.2058,0.0359,0.5738,0.233,26,0
315,10.18,45,48462,4666,1,10,4,1,0,0,0,1,0,7,0.1373,0.0113,0.4745,0.1217,27,0
292,10.01,43,2045,11993,2,3,5,1,1,2,0,2,0,5,0.0794,0.1551,0.5701,0.2776,24,0
1862,10.73,47,100,3720,0,9,0,1,0,0,0,2,2,13,0.077,0.0698,0.8538,0.0988,33,0
374,33.53,46,144439,468297,2,0,0,0,0,0,0,1,0,11,0.0522,0.109,0.5632,0.1199,29,0
100,44.03,44,127484,167907,0,6,5,1,1,0,0,3,0,14,0.0144,0.0066,0.7301,0.3039,29,0
312,1.49,58,461,4815,2,10,2,1,0,0,0,7,2,5,0.104,0.0586,0.9139,0.159,34,0
3381,47.6,47,3128,484,0,11,0,1,1,0,1,2,1,6,0.1517,0.0304,0.6817,0.2938,15,1
448,12.91,37,507,72913,0,10,2,1,1,0,0,3,0,14,0.1269,0.0185,0.7317,0.1604,33,0
173,91.58,53,2775,2231,2,3,3,1,1,0,0,3,1,11,0.085,0.2119,0.8989,0.1172,30,0
207,23.85,56,77693,2096,0,9,5,1,1,0,0,2,0,9,0.1522,0.0138,0.7115,0.1598,41,0
100,5.36,41,2379,20955,0,11,0,0,1,0,0,0,1,15,0.1162,0.057,0.6936,0.3718,30,0
2338,5.25,39,18529,3914,3,4,5,1,1,3,0,4,1,11,0.1257,0.0393,0.893,0.1965,17,0
207,4.18,46,11591,6476,3,0,2,0,1,1,0,0,0,6,0.0678,0.0233,0.4152,0.2261,28,0
100,25.61,50,8468,15485,1,10,3,1,1,0,0,0,2,7,0.0629,0.0345,0.3843,0.1805,41,0
345,65.35,47,531,606,2,10,2,1,1,0,0,1,0,11,0.0815,0.0405,0.3764,0.1746,36,1
100,0.65,48,21221,5686,3,1,4,1,0,0,0,1,0,4,0.1378,0.036,0.6462,0.4468,25,0
2215,36.55,59,1352,500000,1,6,2,0,1,1,0,1,1,12,0.1383,0.0754,0.6161,0.1701,25,0
100,2.27,59,1274,81974,3,10,4,1,1,0,1,4,2,10,0.3416,0.0611,0.9261,0.0655,34,1
5510,19.71,47,9720,301,0,2,2,1,1,2,0,3,1,10,0.0074,0.0827,0.7006,0.2178,29,0
100,55.1,39,847,15477,0,3,3,1,0,0,0,3,0,9,0.0107,0.1284,0.5884,0.1453,10,0
749,9.44,61,17378,25527,1,4,0,1,0,1,0,4,2,11,0.0267,0.0868,0.7685,0.0726,31,0
3101,47.32,50,415,9002,3,7,0,1,0,0,0,2,0,9,0.0017,0.025,0.6244,0.2153,27,0
100,15.37,50,41535,20756,0,3,4,0,0,1,0,2,0,12,0.0289,0.0028,0.7542,0.3266,33,0
109,69.46,58,4307,4779,3,11,2,1,1,0,0,2,0,15,0.0393,0.0603,0.3378,0.25,23,0
6186,5.5,52,817,1336,3,5,1,1,0,0,0,1,0,13,0.0007,0.0039,0.8612,0.1495,42,0
6371,27.62,49,163382,21945,0,3,0,0,1,0,0,4,1,11,0.0279,0.0478,0.641,0.1298,25,0
448,14.6,45,417,768,2,2,0,0,0,1,0,1,1,7,0.0374,0.0458,0.8535,0.0507,28,0
724,15.05,52,20790,2273,0,3,0,0,0,1,0,3,0,7,0.094,0.1579,0.6063,0.2899,33,0
1146,26.82,54,49370,261248,3,9,2,1,1,0,0,2,2,5,0.0496,0.0962,0.6128,0.2918,35,0
100,20.65,51,5221,1318,3,3,5,1,1,0,0,1,0,14,0.0369,0.0276,0.5817,0.5772,30,0
292,61.4,47,14131,100,1,1,5,0,1,0,0,3,0,6,0.1863,0.1151,0.5101,0.2019,29,0
1519,31.97,52,375,1123,0,4,4,0,0,0,0,3,1,15,0.1786,0.0776,0.8843,0.0418,33,1
108,20.11,60,80983,6746,2,6,5,1,0,0,0,4,1,4,0.0189,0.0032,0.6656,0.2006,40,0
