transaction_amount,merchant_category,time_since_last_transaction,distance_from_home,is_online,transaction_hour,day_of_week,card_age_days,avg_daily_transactions,amount_vs_avg_ratio,num_transactions_last_hour,is_international,merchant_risk_score,customer_age,account_balance,credit_limit_utilization,num_declined_last_month,velocity_score,target
79.93,3,11.98,5.7,0,16,4,1823,2.9,0.84,4,0,0.7851,31,1672.77,0.7249,0,2.6689,0
240.26,3,10.96,74.0,0,15,2,3256,0.7,4.39,2,0,0.0998,72,2547.16,0.1091,0,1.8662,0
5.07,0,24.46,11.5,0,1,6,1682,7.63,0.04,3,0,0.5079,55,3132.16,0.1218,0,2.0278,0
17.74,9,11.34,7.6,0,6,5,391,7.34,0.19,1,0,0.3535,18,11351.33,0.5422,1,1.0108,0
29.45,3,4.79,24.5,0,16,3,353,1.3,0.17,1,0,0.7636,52,7630.61,0.3856,0,1.2756,0
41.01,7,8.09,4.0,0,0,3,1905,7.24,0.26,0,0,0.8133,59,2816.21,0.1549,0,0.2764,0
188.92,2,0.99,2.8,1,8,0,707,14.83,3.46,1,0,0.8016,38,3813.25,0.2791,1,3.2866,0
778.95,1,17.11,35.3,0,19,1,2450,8.56,7.86,0,0,0.105,34,10125.47,0.3792,1,0.9182,0
241.69,7,4.3,8.8,1,3,2,3178,3.44,2.59,0,0,0.739,30,13463.54,0.171,1,0.5493,1
51.92,8,0.79,20.4,0,3,4,3338,4.09,0.45,0,0,0.5417,20,2100.52,0.2422,0,3.7581,0
13.13,9,18.29,5.7,0,11,5,3581,1.51,0.31,0,0,0.6846,41,4091.29,0.4197,0,0.1451,0
29.17,2,2.95,8.7,0,19,1,2077,11.3,0.22,2,0,0.2963,51,14957.48,0.068,0,2.0518,0
9.11,6,1.17,13.0,1,17,6,2588,4.24,0.06,1,0,0.0414,46,539.47,0.0548,0,3.037,0
358.65,2,34.67,19.9,0,16,4,1756,14.78,4.48,1,0,0.7243,55,444.14,0.0613,0,0.5522,0
136.7,5,12.89,0.3,0,10,0,142,10.23,1.21,1,1,0.0805,18,4117.33,0.156,0,0.6798,0
158.72,0,1.65,2.5,0,14,1,3032,9.1,5.02,1,0,0.3547,47,813.75,0.5547,0,2.0903,0
72.44,8,16.96,0.4,0,8,2,3413,11.1,2.08,1,0,0.7699,43,4704.62,0.3054,0,0.4526,0
5.41,1,22.33,28.3,1,20,6,1691,7.93,0.22,4,0,0.7636,42,3193.97,0.3014,0,2.5844,0
13.17,2,1.84,4.6,1,11,2,3241,12.29,0.12,1,1,0.8091,18,5629.44,0.101,1,3.1595,0
4.75,3,0.2,4.7,1,13,2,2367,2.32,0.03,3,0,0.9887,35,4276.0,0.0852,0,11.5993,0
150.16,7,6.06,1.7,0,15,2,1434,12.02,0.88,5,0,0.4211,41,2525.19,0.503,0,3.0267,0
27.12,5,0.81,11.2,1,14,5,1423,2.89,0.31,0,0,0.3037,24,13714.12,0.2303,0,3.4163,0
43.44,5,0.61,32.2,1,9,1,1865,6.35,0.25,2,1,0.4225,25,2172.46,0.0666,0,5.8661,0
333.32,6,7.16,3.4,0,17,1,1599,7.27,9.75,0,1,0.4637,37,1814.9,0.1937,0,0.6228,0
277.49,9,11.77,6.8,0,6,5,501,1.85,2.73,3,0,0.0976,52,6841.56,0.2555,0,2.6726,0
50.68,4,9.96,32.3,0,3,0,2305,4.5,1.18,1,0,0.0307,45,1640.36,0.689,0,1.342,0
37.96,9,2.39,16.2,0,17,0,1800,10.82,1.51,3,0,0.9036,36,2664.31,0.2102,0,3.1045,0
77.67,2,14.11,4.3,1,16,3,106,12.58,1.02,1,0,0.3336,39,849.23,0.4951,0,1.3318,0
7.77,6,16.19,12.6,0,0,5,1118,4.86,0.05,2,0,0.7152,57,3186.6,0.3906,1,1.5813,0
25.42,9,9.06,3.9,0,23,5,3033,6.33,0.32,5,0,0.7605,44,1738.05,0.4714,0,3.3123,0
53.86,1,2.67,10.1,0,15,6,476,11.45,0.6,1,1,0.6593,29,5820.97,0.2469,0,1.7131,0
20.67,1,1.31,8.1,1,13,6,493,5.33,0.16,2,0,0.4834,34,7094.39,0.4589,1,3.8512,0
14.88,9,0.95,23.1,0,3,2,1153,4.65,0.5,0,0,0.1264,37,16477.52,0.0964,0,2.7364,0
8.56,3,17.12,9.5,0,13,6,1973,7.32,0.06,0,0,0.6961,69,1840.57,0.1139,0,-0.4746,0
4.29,8,5.29,5.5,0,17,3,2819,3.42,0.11,0,0,0.3925,34,1378.02,0.1791,0,0.6286,0
127.87,4,16.44,12.5,0,4,4,3573,5.1,2.07,0,0,0.8985,36,5113.39,0.0911,0,0.5479,0
6.57,4,7.13,6.3,1,2,6,1709,11.5,0.08,2,0,0.8165,36,2771.65,0.1042,0,1.3581,0
52.52,2,10.23,1.2,0,6,4,3052,4.93,0.3,1,0,0.2677,36,6006.94,0.1219,0,0.8626,0
9.5,6,2.81,11.2,1,3,2,3157,6.75,0.07,3,0,0.2019,34,1310.74,0.129,1,3.3512,0
461.58,8,1.03,14.0,1,12,2,453,10.24,3.63,1,0,0.7943,56,489.56,0.488,1,3.0082,0
39.64,7,9.57,2.1,1,11,3,3453,13.04,0.22,0,0,0.896,59,3018.05,0.3092,0,0.2844,0
118.48,9,5.33,0.2,0,9,4,781,6.05,2.69,0,0,0.9245,45,2092.93,0.3989,1,0.2096,0
234.08,9,13.33,2.5,1,4,2,67,14.88,2.06,1,0,0.5485,45,1522.88,0.1634,0,0.4293,0
175.77,1,8.07,0.2,0,1,2,3476,5.96,2.62,0,0,0.8835,55,4765.92,0.0794,0,0.247,0
168.11,8,11.34,10.8,0,15,3,1976,1.46,2.23,0,1,0.3273,54,2173.2,0.7238,2,0.3762,0
13.79,9,11.48,7.8,0,8,0,2810,11.55,0.08,1,1,0.6184,37,1220.57,0.1304,0,0.9338,0
7.9,1,6.45,0.5,1,9,0,1876,1.56,0.14,2,0,0.1528,48,3980.96,0.2688,0,1.7586,0
61.26,6,2.51,10.4,1,9,0,1442,13.03,0.74,0,0,0.8375,37,3158.58,0.3836,0,1.2035,0
28.06,7,5.51,10.3,1,17,1,2008,7.8,0.31,2,0,0.2248,41,11427.76,0.1733,0,1.8598,0
741.62,1,8.65,18.3,0,5,1,1164,12.73,8.16,2,0,0.8822,26,3141.98,0.1627,0,1.2587,0
158.24,9,17.05,8.7,1,15,1,912,10.9,2.19,1,0,0.7384,38,699.48,0.0296,0,0.7619,0
75.33,0,7.87,68.0,1,12,0,653,9.89,2.79,2,0,0.7501,51,5953.54,0.216,0,1.6239,0
57.54,4,2.02,5.0,0,21,2,1835,11.87,0.87,2,0,0.462,67,5774.08,0.3618,0,2.4222,0
30.9,6,15.39,24.6,1,15,1,2255,2.52,0.3,1,0,0.8983,36,2039.76,0.1045,0,0.9329,0
15.67,1,14.52,18.7,0,16,4,732,13.47,0.12,0,0,0.91,44,8001.39,0.4706,0,0.2021,0
11.57,1,6.04,19.2,0,18,0,2290,1.93,0.35,2,0,0.9373,54,385.21,0.3994,0,2.1337,0
60.56,1,13.4,77.3,0,11,4,1640,7.75,0.43,0,0,0.014,34,2257.7,0.2666,0,0.6301,0
76.17,2,2.56,6.3,1,14,3,746,4.29,0.5,1,1,0.5288,23,2376.46,0.085,0,1.891,0
46.18,5,1.66,5.5,1,11,5,1426,10.31,0.24,4,0,0.9908,38,3381.1,0.4009,0,4.2958,0
23.87,5,10.44,29.4,0,19,6,1267,4.67,0.26,1,1,0.5643,61,4764.16,0.075,2,1.2077,0
0.7,4,5.97,31.4,0,7,3,1851,9.46,0.01,2,0,0.5459,67,4563.9,0.3592,1,1.383,0
26.09,3,9.39,26.9,0,11,2,1007,3.6,0.65,1,0,0.4566,35,36247.08,0.2653,0,1.3004,0
8.56,5,5.78,8.1,1,18,2,816,12.28,0.05,2,0,0.6648,23,3177.79,0.3786,0,2.2899,0
141.11,7,13.21,3.6,0,2,4,1198,1.57,1.33,1,0,0.12,29,3051.46,0.3081,0,0.4415,0
16.77,5,21.32,1.5,0,11,3,745,12.73,0.42,2,1,0.1435,31,2090.84,0.1117,0,1.2959,0
71.01,9,15.85,26.0,1,12,1,3356,7.48,0.52,2,0,0.0603,22,4183.7,0.4653,0,1.3355,0
8.61,0,2.32,19.9,0,1,3,2017,5.3,0.33,3,0,0.1433,37,2313.66,0.1346,1,2.623,0
4.7,0,4.97,7.8,1,18,5,3017,13.1,0.03,6,0,0.275,51,5041.58,0.2489,1,4.1683,0
44.7,1,1.24,20.9,1,9,3,2195,12.11,0.24,1,0,0.7442,44,1575.1,0.3542,0,2.5651,0
7.49,7,7.28,6.8,0,19,4,3240,14.96,0.1,0,0,0.5803,43,2709.26,0.4179,0,0.4205,0
53.89,2,8.69,21.5,1,22,4,2903,1.31,0.53,0,0,0.4627,19,3711.92,0.347,1,0.18,0
44.87,0,10.69,14.2,0,14,1,1257,11.76,0.46,1,0,0.0022,35,3594.31,0.3016,0,1.1388,0
24.45,4,1.36,46.8,0,20,2,3371,9.45,0.85,1,0,0.0071,61,2971.08,0.2347,0,2.9053,0
35.54,3,0.2,6.0,0,10,2,1123,8.95,0.44,0,0,0.6722,22,3259.65,0.3546,0,9.5062,1
17.43,3,0.73,3.6,1,11,5,638,5.68,0.26,0,0,0.7284,36,1266.47,0.1999,0,3.6911,0
14.51,9,4.45,17.2,0,1,0,3413,7.41,0.09,0,0,0.2075,43,5118.15,0.348,0,0.925,1
7.63,0,13.96,6.0,0,9,4,3528,9.27,0.12,0,0,0.8168,27,735.67,0.6246,0,0.417,0
27.37,3,4.34,0.8,1,0,2,2061,1.48,1.01,2,0,0.6221,29,599.43,0.0772,1,1.9354,0
16.93,9,4.52,19.8,0,12,6,3103,2.42,0.12,3,0,0.4543,35,1591.07,0.2944,0,3.2086,0
3.43,2,17.75,7.7,0,3,5,2611,12.47,0.03,1,0,0.266,49,709.22,0.5093,1,0.9149,0
110.42,4,16.32,9.5,0,14,2,1022,0.75,0.61,1,0,0.1253,21,1374.63,0.1986,0,0.8031,0
67.48,7,0.17,10.1,1,20,2,646,14.01,0.41,3,0,0.8431,29,1567.02,0.5513,0,12.4449,0
14.8,5,48.13,6.0,1,22,5,2116,11.72,0.24,2,0,0.8068,27,857.97,0.4423,0,1.1209,0
12.36,5,18.21,39.9,1,20,0,3641,13.45,0.11,1,0,0.2869,44,4841.32,0.1479,1,0.3776,0
172.79,8,2.07,20.6,0,23,5,2899,13.26,4.01,0,0,0.1777,43,2111.21,0.357,0,1.4957,0
84.13,1,2.3,0.7,0,1,4,2722,1.12,0.49,0,1,0.3162,41,7325.65,0.2064,0,1.1667,0
221.88,9,1.24,18.6,1,1,2,3570,10.17,4.6,1,0,0.0273,21,4943.57,0.724,0,3.0644,0
217.02,9,2.14,17.7,0,11,1,3401,9.51,5.1,1,0,0.4926,59,3217.84,0.2696,0,1.9694,1
17.52,2,5.87,5.1,1,16,0,3335,11.92,0.12,0,0,0.8044,30,1821.57,0.0886,0,0.6086,0
11.04,5,5.67,32.0,0,0,0,3393,14.22,0.11,1,0,0.7213,58,4545.78,0.2682,0,1.1578,0
110.32,0,10.85,14.2,1,0,4,1459,12.25,1.83,1,0,0.0767,33,809.21,0.4704,0,0.9451,0
151.98,4,3.21,44.8,0,16,3,786,3.49,0.83,1,0,0.0569,33,1346.22,0.3038,0,1.6299,0
44.49,3,6.94,9.0,0,23,5,859,5.91,0.36,3,0,0.9342,35,2371.44,0.4258,2,1.7343,0
7.75,2,8.88,27.5,0,17,6,253,5.92,0.09,1,0,0.4057,47,8649.74,0.0462,0,0.9654,0
4.94,2,22.43,1.4,1,6,6,2697,11.99,0.05,1,0,0.3357,49,17541.03,0.6541,0,1.0323,0
10.08,2,2.69,113.9,1,15,2,2215,1.93,0.06,2,0,0.828,55,9948.25,0.533,0,2.3342,0
5.14,7,11.25,8.4,0,7,1,78,13.21,0.03,1,0,0.008,54,1562.6,0.3846,2,1.1954,0
47.14,9,5.62,0.0,0,15,1,3516,8.37,0.3,2,0,0.0315,68,1251.62,0.1682,0,1.6058,0
16.57,1,2.47,17.7,1,17,5,1346,1.8,0.11,0,1,0.1221,50,6842.99,0.2369,0,1.3932,0
42.72,0,5.31,7.1,0,9,1,977,1.1,0.68,1,0,0.9584,54,3964.2,0.3415,1,1.1865,0
86.9,2,7.29,16.5,0,14,2,3310,14.92,1.22,1,1,0.7247,64,10596.5,0.1101,0,0.7776,0
24.18,8,10.45,13.3,1,12,5,2422,13.85,0.13,1,0,0.9086,62,3138.09,0.4371,0,1.1334,0
74.65,8,13.99,4.0,1,1,3,2022,14.71,0.81,1,0,0.2369,25,3867.87,0.5179,0,0.6764,0
55.17,5,6.71,0.6,0,19,6,2611,5.88,0.35,1,0,0.5225,55,2699.67,0.2052,0,1.0161,0
41.38,1,1.82,37.8,0,6,0,2929,12.49,0.25,0,1,0.0117,18,5151.32,0.4472,1,1.7168,0
11.35,0,3.58,5.7,1,5,6,479,2.85,0.06,1,0,0.2454,47,17706.86,0.2976,0,1.7179,0
61.0,6,3.66,11.4,0,2,0,2773,11.03,0.34,0,0,0.9348,38,1416.02,0.4627,0,0.8338,0
35.52,9,17.69,5.5,0,17,4,3533,7.18,1.02,6,0,0.9738,18,9267.11,0.1714,0,3.991,0
77.53,6,4.48,4.0,0,10,2,3295,11.33,0.48,2,1,0.5878,36,4301.11,0.3485,2,1.8785,0
45.6,7,4.43,1.6,1,15,6,417,12.16,1.53,1,0,0.4371,57,22553.23,0.178,0,1.5526,0
103.46,8,4.02,21.1,0,0,3,1695,9.44,0.71,1,0,0.1228,22,1754.82,0.1851,0,1.5213,0
22.67,1,4.72,1.6,0,5,0,881,5.75,0.42,3,0,0.7899,36,8245.21,0.0924,0,2.2357,0
23.28,0,3.62,3.5,0,3,3,2821,8.79,0.27,1,1,0.2467,38,9297.5,0.162,0,0.9621,0
167.31,8,0.27,19.7,0,1,0,2794,7.04,0.86,0,0,0.2628,47,12688.96,0.5075,0,7.6932,0
37.17,8,6.69,30.6,1,23,3,1542,1.22,0.88,1,0,0.513,35,775.72,0.1055,1,0.9229,0
20.55,8,23.23,12.8,1,8,4,1575,5.95,0.13,1,0,0.5582,37,5698.36,0.2512,0,0.8911,0
142.27,6,0.37,1.3,0,18,1,1541,11.04,1.09,2,0,0.0798,34,1385.54,0.0883,0,7.2166,0
24.21,2,13.37,3.0,0,2,2,1850,10.49,0.53,1,0,0.6094,38,963.63,0.3408,0,0.5384,0
177.72,1,14.98,20.0,1,17,1,2166,7.64,2.32,1,0,0.146,20,2954.56,0.145,0,0.525,0
9.41,9,3.3,23.6,1,7,3,2594,5.77,0.05,3,0,0.3495,42,1645.23,0.1318,0,2.5821,0
26.35,2,28.29,0.0,0,14,1,1458,7.41,0.22,2,0,0.814,37,12042.63,0.294,0,1.2912,0
113.43,0,16.41,1.6,0,6,1,3319,2.99,0.61,0,0,0.6931,29,2985.95,0.2311,1,-0.1473,0
133.05,2,1.81,9.1,0,1,6,2852,9.72,0.79,0,1,0.1911,48,19071.45,0.34,1,2.1726,0
30.75,3,0.63,23.6,0,14,3,439,13.21,0.32,3,0,0.5051,31,1851.29,0.4024,0,6.5002,0
19.82,9,1.42,11.5,0,23,3,1090,9.52,0.5,4,1,0.9746,31,908.31,0.1911,0,4.4737,0
9.29,6,2.53,2.2,1,19,2,2865,10.42,0.06,0,0,0.8762,49,8370.45,0.2443,1,1.1714,0
21.25,3,0.83,4.6,1,3,3,1781,14.81,0.52,3,0,0.2412,45,2161.95,0.3024,1,4.4002,0
75.58,5,1.39,17.9,1,7,2,3552,7.1,0.46,2,0,0.0855,20,11984.62,0.3792,0,3.6664,0
29.0,1,2.0,12.0,1,9,1,1328,7.43,0.52,3,0,0.0495,40,2492.41,0.0986,0,3.1921,0
25.31,6,17.44,0.8,1,8,4,3022,7.66,0.13,1,0,0.6505,55,12122.34,0.1941,0,0.666,0
237.86,5,23.45,10.9,0,6,1,57,1.68,2.01,1,0,0.1654,34,7268.57,0.2192,1,0.7109,0
66.2,1,0.48,7.2,1,4,4,2291,7.76,0.42,1,0,0.1067,42,2358.61,0.4367,0,6.2057,1
536.57,6,10.97,9.5,0,0,6,3388,10.61,10.41,2,0,0.7846,49,30490.19,0.3292,0,1.9057,0
42.32,7,0.38,8.7,0,19,6,2384,12.47,0.3,1,0,0.947,31,630.15,0.229,0,6.2328,1
139.15,0,31.79,35.4,0,2,4,2881,13.93,0.86,2,0,0.9909,53,4393.94,0.2623,0,1.1975,0
23.6,3,0.22,10.1,1,21,4,3601,13.06,0.14,2,0,0.4336,58,1006.81,0.2792,0,10.8609,0
37.35,2,3.99,40.0,1,9,0,2032,13.61,1.41,1,0,0.3154,56,984.37,0.6689,0,1.3018,0
40.44,3,0.76,17.9,0,19,1,3526,14.07,0.64,0,0,0.5988,18,325.15,0.5699,1,3.322,0
21.96,4,6.05,16.8,1,1,2,3171,13.88,0.25,0,1,0.7822,50,1725.44,0.4165,0,0.7884,0
41.69,6,0.03,20.1,0,14,1,183,9.27,0.33,1,0,0.7511,27,9328.43,0.143,0,23.2071,0
11.23,3,5.94,123.6,0,22,6,976,8.84,0.07,2,0,0.8767,21,5473.12,0.2366,0,2.021,0
7.65,9,7.24,6.9,0,22,6,1467,13.27,0.04,3,1,0.2075,23,5113.26,0.3127,0,2.1321,0
4.33,6,2.61,25.6,1,13,4,2424,5.0,0.05,3,0,0.7273,60,4085.58,0.039,0,2.7825,0
97.41,9,1.46,20.0,0,9,4,297,12.16,0.57,1,0,0.4831,48,1507.58,0.5136,1,2.3446,0
48.51,9,9.67,47.1,0,4,4,3537,9.13,0.28,0,1,0.8777,43,1871.25,0.0843,1,0.225,0
12.55,5,24.68,12.0,1,15,4,1551,10.28,0.15,1,0,0.049,18,19094.14,0.3959,1,1.093,0
25.66,4,20.52,12.5,1,21,4,2397,1.79,0.74,2,0,0.6303,20,4975.38,0.2909,0,1.2847,0
22.81,5,1.06,17.8,1,14,1,2479,9.79,0.6,2,0,0.4197,40,7335.37,0.1727,1,3.143,0
4.05,1,18.44,45.9,0,12,0,1176,4.58,0.02,2,0,0.873,18,4747.22,0.1153,0,1.3908,0
226.73,0,2.46,1.0,1,15,0,2296,5.35,1.46,1,0,0.8879,28,21233.73,0.2792,0,2.0894,0
236.03,4,14.17,7.7,1,21,4,1912,12.9,3.38,1,0,0.7553,37,2977.76,0.5204,0,0.5453,0
151.94,4,7.29,3.8,0,12,3,800,9.78,5.41,0,0,0.705,37,21075.41,0.5024,1,0.5519,0
103.08,3,2.7,0.9,0,4,3,546,6.21,0.69,1,0,0.278,61,35543.36,0.2042,0,1.8518,0
16.92,0,2.16,4.2,1,19,2,133,6.72,0.37,1,0,0.9264,31,6725.23,0.2318,0,1.8435,0
154.71,9,3.8,9.1,0,18,1,3216,11.84,3.54,2,0,0.6485,31,1342.86,0.1004,0,1.9266,0
440.45,1,8.05,19.1,0,18,3,2334,6.84,2.55,0,1,0.8472,51,3663.79,0.2422,1,0.3278,0
4.41,2,12.54,23.1,1,10,1,1090,13.3,0.15,1,0,0.6143,28,6650.61,0.1229,0,0.641,0
22.57,0,16.21,15.2,0,3,2,1459,4.85,0.16,4,0,0.7399,27,388.94,0.1865,0,2.4866,0
33.38,1,2.44,7.0,0,8,0,3178,2.7,0.27,2,0,0.4754,60,1477.28,0.0437,0,2.1026,0
91.13,3,8.4,5.9,1,7,4,2951,4.12,0.49,1,0,0.7834,28,2008.87,0.0951,0,0.7762,0
13.72,2,5.46,7.1,1,0,4,302,14.74,0.3,2,0,0.1009,19,1091.45,0.0456,0,2.256,0
2.26,8,12.9,6.7,1,1,0,1356,12.57,0.02,3,1,0.5837,50,6983.84,0.1475,2,1.9972,0
309.57,9,6.05,11.1,0,10,2,1674,9.61,1.98,2,0,0.9421,18,1019.18,0.6,0,1.2603,0
20.41,5,7.93,20.2,1,18,4,3023,9.96,0.33,0,0,0.9691,43,617.05,0.2182,0,-0.0023,0
6.69,0,14.71,0.2,0,15,3,127,14.74,0.21,2,0,0.0501,26,23193.41,0.116,1,1.0399,0
394.61,2,13.98,9.7,0,4,0,2186,11.48,3.36,1,0,0.6389,35,9986.22,0.2253,0,1.0738,0
4.18,6,16.67,6.8,1,9,6,3058,13.65,0.04,1,0,0.9872,40,1988.25,0.3423,0,0.628,0
6.0,4,0.38,3.3,0,16,2,3507,1.45,0.03,2,0,0.1488,53,1029.76,0.3939,0,7.4219,0
45.9,1,1.1,11.4,0,20,2,2780,14.84,0.96,3,0,0.1625,35,934.23,0.1879,0,4.4228,0
20.81,8,2.55,16.7,1,15,5,102,0.6,0.15,4,1,0.4674,49,2239.47,0.1635,0,3.3301,0
17.85,8,13.36,4.4,1,3,4,3262,4.13,0.12,2,0,0.0844,57,3771.2,0.6366,0,1.4919,0
49.77,6,4.21,30.7,0,8,6,2335,13.14,0.47,3,0,0.9089,61,2135.99,0.3966,0,2.6144,0
38.12,6,3.47,7.6,1,10,3,354,11.98,0.33,0,1,0.6227,18,7047.8,0.0359,1,0.4897,0
310.8,1,15.83,37.2,1,8,5,1969,13.21,10.08,0,0,0.0063,43,540.08,0.2982,0,0.9103,0
61.18,5,11.01,4.6,0,12,6,2797,14.62,0.52,1,0,0.6553,66,893.32,0.1174,0,0.8566,0
13.92,4,2.43,21.8,0,16,2,3384,11.81,0.08,2,0,0.6788,54,4582.67,0.6663,0,2.5317,0
51.0,2,0.48,2.2,0,17,0,2456,8.48,0.59,1,0,0.7231,38,1212.65,0.5476,1,5.3502,0
85.58,8,3.79,0.5,0,21,2,3067,0.52,0.43,1,0,0.3921,48,8674.69,0.3451,0,1.6157,0
38.81,7,4.35,8.7,0,15,6,484,11.71,0.34,2,0,0.0261,33,1556.35,0.1876,0,2.0617,0
58.26,3,1.81,8.9,0,12,5,2728,13.46,0.49,6,1,0.9563,32,2510.64,0.0884,0,5.3271,0
42.48,7,26.97,12.4,0,23,0,3585,5.4,0.56,1,0,0.1731,32,19953.13,0.3778,0,0.8054,0
480.09,2,14.5,7.3,0,21,4,90,11.57,3.12,3,0,0.6694,56,28346.99,0.2209,0,1.8081,0
21.55,3,8.08,7.7,1,7,0,210,14.27,0.13,7,0,0.6716,42,599.24,0.7655,1,4.6206,0
17.58,4,6.32,12.6,0,12,0,3069,1.2,0.51,2,0,0.652,33,1868.64,0.142,0,2.0272,0
44.56,2,2.02,7.9,0,14,2,2936,14.16,0.43,0,0,0.2864,49,2314.42,0.1176,0,1.2748,0
62.76,2,4.8,22.1,0,4,1,2880,7.43,0.36,2,0,0.6138,53,2903.92,0.0681,0,1.8818,0
5.85,6,1.11,3.9,0,11,5,192,7.07,0.09,0,0,0.1024,66,2754.34,0.5511,0,2.5378,0
24.24,7,10.14,15.2,0,20,0,1258,11.25,0.31,0,0,0.0488,36,307.63,0.4078,0,0.2955,0
43.02,9,3.64,16.2,0,23,0,1675,0.62,0.61,3,0,0.9262,23,6516.64,0.4228,1,2.595,0
44.57,5,18.21,5.2,0,20,5,1253,5.11,0.84,2,0,0.3936,34,3686.8,0.1806,0,1.399,0
13.55,0,18.4,9.5,0,22,3,1163,14.94,0.08,3,0,0.7186,42,557.84,0.074,0,2.1748,0
14.04,4,2.81,12.0,1,4,5,2437,0.77,0.09,4,1,0.6183,38,17226.39,0.3716,0,3.2123,0
117.78,2,0.35,19.0,0,16,6,3159,12.01,5.06,2,0,0.3597,73,663.84,0.1605,1,7.792,0
