recency_days_since_last_purchase,frequency_purchases_last_year,monetary_total_spend,avg_order_value,num_catalog_requests,email_open_rate,website_visits_last_month,loyalty_program_member,years_as_customer,age,household_income_bracket,home_ownership,num_children,distance_to_store_miles,previous_campaign_responses,category_preference,seasonality_score,credit_card_on_file,returned_items_last_year,target
19.9,3.0,419.3,139.77,4.0,0.0539,10.0,0.0,1.4,30.0,3.0,2.0,2.0,24.7,1.0,5.0,0.393,0.0,0.0,0
116.5,3.0,619.95,206.65,0.0,0.0826,11.0,1.0,6.0,58.0,1.0,1.0,1.0,4.2,0.0,0.0,0.8075,1.0,0.0,0
91.4,7.0,166.03,23.72,2.0,0.0342,2.0,0.0,0.0,47.0,1.0,1.0,2.0,4.1,3.0,5.0,0.9683,1.0,0.0,0
15.8,2.0,61.22,30.61,1.0,0.217,6.0,0.0,1.5,63.0,1.0,0.0,2.0,6.9,0.0,0.0,0.3103,1.0,0.0,0
12.6,5.0,191.11,38.22,0.0,0.4237,4.0,0.0,1.9,54.0,2.0,1.0,2.0,7.7,1.0,0.0,0.2308,1.0,1.0,1
42.0,2.0,416.99,208.49,1.0,0.2313,3.0,0.0,10.9,64.0,4.0,0.0,0.0,1.2,2.0,1.0,0.4744,1.0,1.0,0
27.7,3.0,900.07,300.02,2.0,0.3876,8.0,0.0,11.6,36.0,4.0,2.0,2.0,29.9,0.0,1.0,0.3766,1.0,1.0,0
16.0,4.0,131.97,32.99,0.0,0.5466,5.0,0.0,1.3,44.0,0.0,1.0,1.0,1.7,1.0,4.0,0.6207,1.0,0.0,0
114.1,4.0,139.06,34.76,2.0,0.1463,3.0,1.0,10.3,43.0,3.0,1.0,1.0,6.0,1.0,1.0,0.9299,1.0,0.0,0
113.7,3.0,70.4,23.47,1.0,0.1826,4.0,0.0,1.3,36.0,3.0,1.0,0.0,0.2,2.0,1.0,0.9197,0.0,1.0,0
52.5,4.0,572.43,143.11,4.0,0.1309,3.0,0.0,11.0,38.0,1.0,2.0,3.0,23.5,6.0,2.0,0.5388,1.0,1.0,0
92.3,4.0,479.07,119.77,2.0,0.4181,3.0,1.0,1.6,26.0,2.0,2.0,2.0,6.0,0.0,5.0,0.8274,0.0,0.0,0
54.0,2.0,1360.94,680.47,2.0,0.2558,4.0,0.0,1.3,61.0,3.0,1.0,2.0,4.9,2.0,2.0,0.2955,1.0,1.0,0
3.8,6.0,561.15,93.53,2.0,0.3137,5.0,0.0,3.8,32.0,1.0,2.0,1.0,17.7,2.0,2.0,0.0892,1.0,0.0,1
170.2,3.0,20.54,6.85,0.0,0.1719,6.0,1.0,0.1,58.0,1.0,0.0,2.0,34.4,2.0,0.0,0.0722,1.0,0.0,0
12.0,4.0,280.75,70.19,7.0,0.2878,5.0,0.0,5.4,50.0,3.0,0.0,2.0,19.1,2.0,5.0,0.4204,1.0,0.0,0
94.3,4.0,134.2,33.55,3.0,0.0407,6.0,1.0,8.2,60.0,3.0,0.0,2.0,19.8,0.0,4.0,0.3973,1.0,1.0,0
98.9,4.0,169.87,42.47,3.0,0.111,7.0,0.0,3.2,33.0,2.0,2.0,0.0,41.3,2.0,5.0,0.7054,1.0,0.0,0
15.6,5.0,205.4,41.08,4.0,0.5186,4.0,0.0,0.1,27.0,0.0,2.0,2.0,22.3,2.0,2.0,0.4445,0.0,0.0,0
9.4,1.0,319.41,319.41,0.0,0.5189,2.0,0.0,6.0,47.0,4.0,1.0,2.0,6.8,1.0,1.0,0.9139,1.0,1.0,0
11.2,5.0,98.37,19.67,1.0,0.7449,10.0,0.0,7.5,47.0,2.0,0.0,0.0,17.3,2.0,2.0,0.9517,1.0,0.0,1
79.9,4.0,508.05,127.01,3.0,0.4106,5.0,1.0,0.3,52.0,3.0,1.0,0.0,0.4,3.0,4.0,0.0334,0.0,0.0,0
94.0,7.0,135.89,19.41,2.0,0.5236,1.0,1.0,1.2,72.0,1.0,1.0,0.0,5.1,2.0,1.0,0.9356,1.0,0.0,0
40.7,4.0,184.89,46.22,3.0,0.2378,4.0,1.0,1.0,49.0,3.0,1.0,1.0,16.9,1.0,1.0,0.2861,0.0,1.0,0
61.5,4.0,168.44,42.11,0.0,0.0718,8.0,0.0,17.8,45.0,2.0,2.0,0.0,4.7,0.0,3.0,0.5982,1.0,0.0,0
163.2,5.0,587.82,117.56,2.0,0.0908,2.0,0.0,0.5,19.0,3.0,1.0,1.0,74.7,3.0,3.0,0.1786,1.0,0.0,0
63.2,2.0,94.65,47.33,4.0,0.2348,5.0,0.0,0.8,61.0,4.0,0.0,3.0,19.3,3.0,3.0,0.9733,1.0,3.0,0
156.5,9.0,28.52,3.17,0.0,0.4157,4.0,0.0,0.6,59.0,2.0,1.0,0.0,16.2,4.0,3.0,0.901,0.0,1.0,0
205.1,4.0,1985.24,496.31,2.0,0.708,8.0,0.0,1.8,61.0,3.0,0.0,1.0,10.0,2.0,0.0,0.7904,1.0,0.0,0
88.4,5.0,231.37,46.27,4.0,0.058,3.0,0.0,16.3,57.0,1.0,2.0,1.0,10.8,3.0,2.0,0.8666,0.0,0.0,0
7.5,3.0,1399.46,466.49,1.0,0.3538,3.0,1.0,10.0,51.0,3.0,0.0,0.0,5.5,3.0,2.0,0.3455,1.0,1.0,0
19.9,6.0,398.64,66.44,5.0,0.2975,4.0,0.0,4.6,47.0,2.0,1.0,1.0,13.5,2.0,4.0,0.0629,1.0,1.0,1
12.7,3.0,360.85,120.28,2.0,0.0504,11.0,1.0,2.5,61.0,2.0,0.0,3.0,8.2,2.0,2.0,0.9636,0.0,1.0,0
97.1,4.0,1490.3,372.58,1.0,0.567,5.0,0.0,1.4,50.0,2.0,0.0,1.0,40.5,1.0,3.0,0.0246,1.0,1.0,0
117.6,5.0,239.02,47.8,2.0,0.1527,7.0,0.0,2.0,28.0,2.0,1.0,2.0,6.1,3.0,3.0,0.615,0.0,0.0,0
34.9,3.0,231.01,77.0,0.0,0.1451,1.0,1.0,9.1,44.0,2.0,1.0,2.0,3.2,3.0,4.0,0.2906,0.0,1.0,1
36.8,6.0,756.92,126.15,1.0,0.4048,4.0,0.0,0.7,43.0,2.0,0.0,2.0,0.8,3.0,3.0,0.5385,1.0,1.0,0
12.2,5.0,61.23,12.25,0.0,0.4066,4.0,0.0,2.7,57.0,3.0,2.0,0.0,4.0,1.0,5.0,0.4432,0.0,2.0,0
44.5,5.0,311.97,62.39,1.0,0.13,4.0,0.0,2.0,63.0,0.0,1.0,1.0,34.3,1.0,0.0,0.8501,1.0,0.0,0
108.3,4.0,38.49,9.62,1.0,0.1515,4.0,0.0,11.9,42.0,1.0,0.0,1.0,20.3,2.0,4.0,0.6963,0.0,0.0,0
26.4,4.0,378.75,94.69,2.0,0.1421,5.0,1.0,9.6,53.0,2.0,1.0,1.0,6.1,1.0,0.0,0.4412,1.0,1.0,0
2.0,4.0,45.57,11.39,1.0,0.4271,6.0,1.0,1.2,42.0,1.0,1.0,1.0,67.2,1.0,2.0,0.1379,1.0,1.0,0
195.1,7.0,167.1,23.87,2.0,0.3118,2.0,0.0,13.7,58.0,1.0,0.0,2.0,11.5,0.0,1.0,0.8471,1.0,2.0,0
25.3,4.0,357.36,89.34,0.0,0.533,5.0,0.0,2.1,62.0,3.0,2.0,1.0,32.1,2.0,2.0,0.6684,0.0,1.0,0
15.8,5.0,605.41,121.08,2.0,0.4528,6.0,0.0,3.0,32.0,2.0,1.0,1.0,6.7,2.0,2.0,0.9554,0.0,1.0,0
143.3,5.0,526.55,105.31,4.0,0.2479,2.0,0.0,0.6,72.0,1.0,0.0,3.0,14.8,0.0,0.0,0.7784,1.0,0.0,0
14.7,5.0,152.36,30.47,2.0,0.3044,5.0,0.0,0.4,39.0,2.0,1.0,3.0,44.7,2.0,2.0,0.4029,1.0,0.0,0
40.2,6.0,17.84,2.97,2.0,0.1881,3.0,0.0,2.4,53.0,2.0,2.0,0.0,1.0,2.0,3.0,0.0607,1.0,3.0,0
264.8,2.0,346.49,173.24,3.0,0.1319,5.0,1.0,3.7,27.0,1.0,1.0,0.0,23.9,1.0,4.0,0.6766,0.0,0.0,0
1.2,6.0,309.64,51.61,0.0,0.1859,6.0,0.0,0.1,46.0,2.0,0.0,0.0,7.4,1.0,2.0,0.9452,0.0,0.0,0
284.0,3.0,233.4,77.8,1.0,0.0765,5.0,1.0,25.0,29.0,3.0,1.0,3.0,18.3,2.0,2.0,0.9488,0.0,0.0,0
65.7,3.0,111.07,37.02,4.0,0.283,8.0,1.0,4.4,44.0,2.0,2.0,0.0,17.1,3.0,3.0,0.9918,0.0,0.0,1
2.5,5.0,236.93,47.39,2.0,0.5472,9.0,0.0,6.6,55.0,1.0,2.0,0.0,15.7,0.0,1.0,0.7463,1.0,1.0,1
202.4,3.0,283.92,94.64,4.0,0.5553,10.0,0.0,2.7,58.0,2.0,2.0,1.0,21.2,3.0,5.0,0.2538,0.0,1.0,0
122.7,5.0,645.98,129.2,3.0,0.7024,4.0,0.0,3.8,68.0,1.0,1.0,1.0,2.7,3.0,0.0,0.1152,1.0,0.0,0
137.8,6.0,252.84,42.14,0.0,0.2387,5.0,0.0,0.1,38.0,1.0,0.0,2.0,9.9,4.0,0.0,0.0739,1.0,1.0,1
95.7,4.0,632.23,158.06,2.0,0.3609,4.0,0.0,2.4,50.0,2.0,0.0,1.0,28.1,2.0,0.0,0.8246,1.0,0.0,0
35.8,5.0,1596.73,319.35,0.0,0.4713,5.0,1.0,0.5,43.0,3.0,1.0,0.0,0.5,0.0,4.0,0.2945,1.0,0.0,0
82.0,7.0,1222.19,174.6,2.0,0.1196,10.0,1.0,2.2,78.0,1.0,1.0,0.0,28.3,2.0,4.0,0.1199,1.0,1.0,1
26.8,8.0,92.03,11.5,2.0,0.2164,3.0,0.0,1.8,46.0,3.0,1.0,3.0,3.5,0.0,1.0,0.9517,1.0,0.0,0
9.6,5.0,160.04,32.01,1.0,0.2513,7.0,0.0,1.5,58.0,0.0,1.0,1.0,2.0,3.0,0.0,0.7355,1.0,0.0,0
36.4,2.0,558.54,279.27,0.0,0.4931,5.0,1.0,4.6,49.0,1.0,1.0,0.0,2.7,1.0,1.0,0.3165,0.0,0.0,0
57.4,4.0,37.75,9.44,2.0,0.3432,6.0,0.0,0.6,59.0,2.0,0.0,2.0,5.8,2.0,2.0,0.472,1.0,0.0,0
127.3,4.0,159.51,39.88,4.0,0.5929,4.0,0.0,0.4,42.0,2.0,1.0,0.0,63.0,1.0,2.0,0.8789,1.0,0.0,0
2.4,2.0,470.97,235.48,4.0,0.1503,7.0,0.0,8.6,38.0,1.0,0.0,2.0,4.5,2.0,1.0,0.5848,1.0,0.0,0
16.5,2.0,3464.56,1732.28,2.0,0.5393,5.0,1.0,1.8,58.0,3.0,1.0,1.0,27.7,3.0,3.0,0.2933,0.0,0.0,0
66.3,5.0,84.53,16.91,4.0,0.4502,2.0,1.0,3.3,57.0,0.0,0.0,2.0,12.7,1.0,3.0,0.6082,1.0,0.0,0
27.5,5.0,185.26,37.05,2.0,0.2669,3.0,0.0,10.4,54.0,4.0,1.0,1.0,44.1,4.0,2.0,0.4153,1.0,0.0,0
157.7,5.0,130.21,26.04,1.0,0.0762,4.0,0.0,1.9,73.0,0.0,1.0,0.0,31.2,1.0,5.0,0.457,1.0,2.0,0
24.1,4.0,47.55,11.89,2.0,0.285,3.0,0.0,8.8,36.0,2.0,0.0,0.0,29.8,2.0,4.0,0.9483,1.0,0.0,0
19.4,4.0,64.21,16.05,3.0,0.2841,8.0,0.0,2.3,48.0,3.0,1.0,2.0,11.7,2.0,3.0,0.9775,0.0,0.0,0
6.5,4.0,237.74,59.44,0.0,0.1619,0.0,0.0,21.4,33.0,3.0,1.0,1.0,20.4,0.0,1.0,0.6458,1.0,1.0,0
23.1,4.0,98.19,24.55,3.0,0.596,8.0,0.0,7.0,29.0,1.0,2.0,2.0,15.4,1.0,0.0,0.3286,1.0,0.0,0
32.3,3.0,23.65,7.88,1.0,0.2452,2.0,0.0,15.3,43.0,2.0,1.0,0.0,13.3,3.0,1.0,0.081,0.0,0.0,0
3.4,8.0,62.98,7.87,4.0,0.1357,9.0,1.0,1.0,47.0,2.0,1.0,0.0,32.5,0.0,1.0,0.7128,1.0,0.0,0
5.0,7.0,75.74,10.82,3.0,0.3573,1.0,0.0,2.1,41.0,4.0,1.0,2.0,0.6,1.0,4.0,0.4509,1.0,0.0,1
101.0,3.0,67.78,22.59,3.0,0.0954,6.0,0.0,2.8,32.0,3.0,1.0,0.0,0.1,2.0,0.0,0.47,1.0,1.0,0
274.4,6.0,519.54,86.59,1.0,0.3047,4.0,0.0,10.8,85.0,3.0,1.0,1.0,7.1,2.0,4.0,0.0546,0.0,1.0,0
43.3,5.0,186.01,37.2,3.0,0.445,3.0,1.0,5.4,56.0,1.0,2.0,1.0,2.9,1.0,3.0,0.689,1.0,0.0,1
14.7,1.0,1282.92,1282.92,1.0,0.265,7.0,0.0,9.4,66.0,0.0,0.0,2.0,12.2,0.0,1.0,0.7382,1.0,0.0,0
60.8,3.0,119.8,39.93,2.0,0.1825,4.0,0.0,5.7,37.0,2.0,1.0,1.0,12.1,0.0,0.0,0.6522,1.0,0.0,0
109.2,4.0,3693.16,923.29,2.0,0.3077,5.0,1.0,1.9,43.0,4.0,0.0,0.0,7.7,5.0,1.0,0.2603,0.0,0.0,0
86.9,1.0,2188.2,2188.2,1.0,0.3404,2.0,0.0,1.1,60.0,2.0,2.0,0.0,12.6,1.0,2.0,0.6158,0.0,0.0,0
84.5,4.0,166.72,41.68,5.0,0.1003,12.0,0.0,15.8,34.0,3.0,1.0,0.0,24.8,3.0,5.0,0.7715,1.0,0.0,0
64.0,3.0,154.52,51.51,2.0,0.122,7.0,0.0,1.6,50.0,3.0,2.0,2.0,13.0,0.0,1.0,0.4267,1.0,0.0,1
14.8,3.0,129.51,43.17,4.0,0.4233,5.0,0.0,0.7,77.0,2.0,2.0,3.0,23.8,2.0,1.0,0.7949,1.0,0.0,0
62.1,4.0,1347.55,336.89,2.0,0.3384,4.0,0.0,4.6,58.0,4.0,2.0,1.0,10.6,2.0,0.0,0.1919,1.0,1.0,0
53.7,5.0,784.24,156.85,4.0,0.3729,4.0,0.0,1.1,69.0,4.0,0.0,1.0,13.7,1.0,5.0,0.1609,1.0,0.0,0
11.8,2.0,336.4,168.2,0.0,0.0901,5.0,0.0,1.3,61.0,2.0,1.0,4.0,49.2,2.0,0.0,0.5174,0.0,0.0,0
2.4,4.0,36.36,9.09,1.0,0.6616,5.0,1.0,3.6,45.0,4.0,1.0,1.0,44.8,2.0,2.0,0.6579,0.0,2.0,0
100.8,5.0,91.17,18.23,0.0,0.1825,5.0,0.0,0.3,70.0,1.0,1.0,1.0,8.2,0.0,2.0,0.4138,1.0,2.0,0
82.9,3.0,202.6,67.53,2.0,0.5433,5.0,0.0,6.1,28.0,2.0,2.0,2.0,23.5,1.0,5.0,0.5458,0.0,0.0,0
69.9,4.0,141.31,35.33,4.0,0.2597,6.0,0.0,13.1,51.0,3.0,1.0,0.0,11.0,2.0,3.0,0.2139,0.0,1.0,0
145.7,4.0,118.76,29.69,3.0,0.2179,2.0,0.0,0.7,50.0,2.0,1.0,4.0,0.9,1.0,2.0,0.6608,1.0,0.0,0
5.6,2.0,395.21,197.61,0.0,0.2839,1.0,0.0,0.4,51.0,2.0,1.0,0.0,34.3,2.0,0.0,0.0683,1.0,0.0,0
68.4,4.0,57.17,14.29,2.0,0.3972,9.0,0.0,0.7,67.0,2.0,0.0,1.0,19.5,0.0,0.0,0.2476,1.0,0.0,0
191.1,2.0,236.8,118.4,2.0,0.0491,6.0,0.0,1.3,19.0,1.0,1.0,2.0,0.2,2.0,0.0,0.8679,0.0,0.0,0
20.3,5.0,339.53,67.91,2.0,0.6225,4.0,0.0,6.1,57.0,2.0,1.0,1.0,33.6,0.0,4.0,0.5406,0.0,0.0,0
31.2,5.0,924.33,184.87,1.0,0.2645,5.0,0.0,3.1,66.0,4.0,0.0,0.0,12.3,1.0,3.0,0.7682,0.0,1.0,0
20.0,8.0,208.53,26.07,2.0,0.3055,5.0,0.0,4.0,56.0,0.0,1.0,1.0,29.1,0.0,0.0,0.3273,1.0,0.0,0
78.2,4.0,92.53,23.13,2.0,0.0154,2.0,0.0,2.4,59.0,2.0,1.0,2.0,18.0,1.0,4.0,0.3149,0.0,1.0,0
30.4,6.0,1153.7,192.28,1.0,0.4896,4.0,0.0,5.1,60.0,3.0,2.0,0.0,17.8,3.0,1.0,0.1594,0.0,0.0,1
17.7,3.0,60.77,20.26,2.0,0.4332,4.0,1.0,2.5,48.0,1.0,1.0,2.0,0.4,1.0,4.0,0.0125,1.0,1.0,0
11.2,2.0,2276.77,1138.39,2.0,0.3714,5.0,0.0,1.0,63.0,2.0,0.0,1.0,14.1,2.0,4.0,0.3794,1.0,0.0,0
52.6,4.0,102.23,25.56,2.0,0.1347,6.0,0.0,9.4,46.0,2.0,2.0,1.0,2.4,1.0,0.0,0.0939,0.0,0.0,0
19.1,5.0,121.72,24.34,2.0,0.2458,4.0,0.0,8.4,35.0,3.0,0.0,1.0,5.1,4.0,0.0,0.0889,1.0,1.0,0
16.9,4.0,38.06,9.51,0.0,0.1471,1.0,0.0,4.1,44.0,1.0,1.0,0.0,52.7,0.0,5.0,0.4096,1.0,0.0,0
4.9,1.0,266.65,266.65,0.0,0.3852,11.0,1.0,12.6,49.0,1.0,1.0,0.0,7.1,1.0,3.0,0.7904,1.0,0.0,0
37.1,4.0,94.97,23.74,3.0,0.1324,6.0,0.0,1.3,56.0,3.0,0.0,2.0,17.1,1.0,2.0,0.3628,1.0,1.0,0
85.5,3.0,183.44,61.15,3.0,0.4299,6.0,0.0,7.4,56.0,4.0,1.0,0.0,21.7,0.0,3.0,0.3365,0.0,1.0,0
11.4,6.0,479.61,79.94,1.0,0.1025,11.0,0.0,7.0,69.0,3.0,1.0,1.0,88.4,1.0,3.0,0.608,1.0,1.0,1
65.5,4.0,239.54,59.88,3.0,0.0982,4.0,0.0,2.0,35.0,2.0,1.0,1.0,11.4,3.0,2.0,0.579,1.0,0.0,0
66.8,6.0,514.68,85.78,1.0,0.5454,4.0,0.0,6.8,18.0,2.0,1.0,1.0,9.3,0.0,2.0,0.5661,1.0,1.0,0
11.0,3.0,419.03,139.68,2.0,0.3458,3.0,1.0,2.6,57.0,3.0,0.0,1.0,6.4,1.0,1.0,0.4166,1.0,0.0,0
226.2,4.0,95.99,24.0,2.0,0.0502,0.0,0.0,8.4,85.0,2.0,1.0,0.0,20.7,1.0,1.0,0.29,1.0,0.0,0
26.5,5.0,620.53,124.11,0.0,0.0609,4.0,1.0,0.2,66.0,3.0,1.0,2.0,8.7,0.0,5.0,0.23,0.0,0.0,0
80.4,6.0,157.14,26.19,3.0,0.393,4.0,1.0,1.4,38.0,1.0,1.0,2.0,19.1,1.0,0.0,0.7976,1.0,0.0,0
63.5,3.0,271.09,90.36,2.0,0.1565,5.0,1.0,1.7,42.0,2.0,0.0,0.0,5.3,2.0,2.0,0.4876,1.0,0.0,0
8.0,3.0,334.87,111.62,2.0,0.1566,5.0,0.0,1.4,48.0,4.0,1.0,3.0,7.4,1.0,5.0,0.2851,0.0,1.0,0
45.8,7.0,385.25,55.04,0.0,0.5062,2.0,1.0,7.2,25.0,2.0,2.0,3.0,13.3,0.0,3.0,0.4886,1.0,0.0,1
1.9,4.0,39.9,9.98,2.0,0.298,1.0,0.0,3.9,58.0,3.0,1.0,1.0,5.4,0.0,0.0,0.7011,0.0,0.0,0
116.6,5.0,68.77,13.75,1.0,0.0812,4.0,0.0,1.9,61.0,0.0,1.0,0.0,21.5,2.0,1.0,0.3471,1.0,1.0,0
7.9,4.0,317.86,79.46,1.0,0.5027,2.0,0.0,5.7,53.0,1.0,0.0,1.0,12.0,1.0,4.0,0.5983,0.0,1.0,0
4.9,3.0,5819.72,1939.91,1.0,0.0343,7.0,0.0,4.9,52.0,1.0,1.0,3.0,40.7,3.0,5.0,0.2822,1.0,0.0,1
1.7,5.0,211.71,42.34,4.0,0.3255,4.0,0.0,1.7,44.0,2.0,2.0,0.0,0.7,2.0,4.0,0.291,1.0,1.0,0
3.8,5.0,82.85,16.57,1.0,0.0616,3.0,1.0,6.9,42.0,0.0,1.0,1.0,22.0,2.0,3.0,0.6721,1.0,0.0,0
13.7,6.0,1667.03,277.84,0.0,0.2604,3.0,1.0,3.2,27.0,1.0,1.0,1.0,27.1,0.0,0.0,0.3896,0.0,0.0,0
49.9,0.0,499.59,499.59,4.0,0.427,2.0,1.0,0.5,50.0,0.0,2.0,1.0,24.7,0.0,2.0,0.2135,0.0,0.0,0
81.7,4.0,376.53,94.13,2.0,0.3914,4.0,1.0,7.0,44.0,2.0,1.0,0.0,12.9,0.0,3.0,0.3863,0.0,0.0,0
29.0,6.0,1063.36,177.23,3.0,0.2385,3.0,1.0,1.5,56.0,2.0,1.0,2.0,6.2,3.0,3.0,0.8611,1.0,0.0,1
42.5,7.0,4610.93,658.7,1.0,0.2879,5.0,0.0,6.8,61.0,2.0,1.0,0.0,5.7,1.0,5.0,0.0222,0.0,1.0,1
298.1,2.0,203.76,101.88,0.0,0.2892,1.0,0.0,3.3,34.0,1.0,0.0,1.0,21.3,1.0,4.0,0.2056,0.0,0.0,0
61.1,2.0,955.87,477.94,4.0,0.3438,3.0,0.0,0.6,56.0,3.0,1.0,1.0,30.1,2.0,0.0,0.1955,0.0,0.0,0
5.2,1.0,594.56,594.56,2.0,0.2688,6.0,0.0,0.5,18.0,1.0,1.0,1.0,7.0,3.0,5.0,0.8873,1.0,1.0,0
18.8,2.0,235.58,117.79,4.0,0.2668,6.0,0.0,2.1,55.0,2.0,2.0,1.0,3.1,0.0,0.0,0.0381,0.0,0.0,0
61.2,5.0,240.9,48.18,1.0,0.3835,4.0,0.0,15.3,47.0,1.0,0.0,1.0,60.0,3.0,5.0,0.2423,1.0,0.0,0
17.6,1.0,241.82,241.82,3.0,0.2081,5.0,0.0,2.8,38.0,2.0,0.0,0.0,11.6,1.0,3.0,0.8441,0.0,0.0,0
44.5,4.0,116.01,29.0,1.0,0.5395,4.0,1.0,3.7,43.0,3.0,2.0,2.0,3.2,2.0,4.0,0.0061,1.0,0.0,1
155.1,7.0,454.86,64.98,2.0,0.1538,6.0,0.0,1.5,65.0,2.0,1.0,0.0,0.3,1.0,1.0,0.9581,1.0,1.0,1
13.1,4.0,111.58,27.9,1.0,0.1752,5.0,0.0,1.8,40.0,2.0,1.0,2.0,3.2,2.0,3.0,0.8688,1.0,1.0,0
15.0,5.0,128.58,25.72,4.0,0.6978,5.0,1.0,5.3,33.0,3.0,0.0,1.0,9.3,1.0,2.0,0.7612,1.0,0.0,0
17.7,7.0,124.0,17.71,1.0,0.2656,5.0,0.0,2.2,57.0,2.0,1.0,0.0,0.4,1.0,0.0,0.2813,1.0,0.0,0
98.4,4.0,332.84,83.21,0.0,0.6054,7.0,0.0,0.6,37.0,3.0,0.0,1.0,16.5,2.0,0.0,0.0825,0.0,1.0,0
12.6,2.0,150.29,75.15,0.0,0.1475,5.0,0.0,1.1,54.0,4.0,1.0,1.0,9.4,1.0,2.0,0.5255,1.0,1.0,0
260.6,3.0,1657.0,552.33,0.0,0.2736,5.0,1.0,1.0,45.0,1.0,0.0,1.0,9.3,1.0,1.0,0.6861,0.0,2.0,0
79.3,3.0,253.57,84.52,2.0,0.1405,2.0,0.0,10.0,42.0,3.0,1.0,2.0,2.2,2.0,5.0,0.0763,0.0,0.0,0
71.0,4.0,184.88,46.22,2.0,0.1278,3.0,1.0,0.0,36.0,3.0,1.0,0.0,6.9,1.0,1.0,0.471,0.0,0.0,0
174.4,9.0,652.04,72.45,2.0,0.1525,2.0,0.0,2.7,69.0,3.0,0.0,0.0,3.7,0.0,0.0,0.3662,1.0,1.0,0
126.3,6.0,324.38,54.06,2.0,0.4606,7.0,1.0,0.5,54.0,1.0,1.0,2.0,3.3,1.0,5.0,0.3888,1.0,0.0,0
42.1,3.0,494.17,164.72,2.0,0.2049,7.0,0.0,0.9,34.0,2.0,0.0,2.0,2.2,1.0,2.0,0.2351,0.0,0.0,0
64.0,1.0,143.02,143.02,1.0,0.3802,8.0,1.0,6.6,46.0,2.0,1.0,2.0,6.8,4.0,4.0,0.4804,0.0,1.0,0
34.1,3.0,1770.92,590.31,1.0,0.103,5.0,0.0,26.1,60.0,2.0,1.0,2.0,20.5,4.0,1.0,0.4857,0.0,2.0,0
