claim_id,policy_age_months,policy_type,premium_amount,claimant_tenure_years,prior_claims_3yr,prior_fraud_flags,claim_amount,days_to_report,police_report_filed,witnesses_present,claim_description_length,incident_hour,weekend_incident,holiday_adjacent,out_of_state,recent_policy_change,coverage_increase_90d,payment_issues,adjuster_experience_years,documentation_complete,repair_shop_preferred,is_fraud
62,11,auto,608.37,8.1,0,0,10941.41,7,1,1,233,8,0,0,0,1,0,0,0.5,1,0,0
63,63,auto,890.14,1.2,0,0,5611.06,5,1,0,154,18,0,0,1,0,0,1,3.3,0,1,0
64,15,auto,2176.33,2.5,0,0,1775.08,4,0,0,74,5,0,0,0,0,0,0,14.6,1,1,0
65,11,auto,1136.19,13.1,1,0,3247.41,13,1,0,277,4,0,0,0,1,0,0,5.3,1,1,0
66,28,home,2879.38,0.7,0,0,7885.64,0,0,0,233,16,0,0,0,0,0,0,12.0,0,0,0
67,5,home,1586.0,1.5,3,0,1959.0,5,1,1,50,12,0,0,0,0,0,0,5.8,0,1,0
68,58,home,794.41,1.5,0,0,23018.06,0,0,1,129,12,0,1,0,0,0,0,25.0,1,1,0
69,2,auto,1125.0,4.2,2,0,8608.11,0,0,0,140,23,1,0,0,0,0,0,1.0,1,0,0
70,156,home,715.79,2.6,0,0,11267.75,3,0,0,199,12,0,0,0,0,0,0,0.5,1,1,0
71,53,commercial,785.08,0.4,0,0,5835.89,0,1,1,229,4,1,0,0,0,0,0,0.8,1,1,0
72,7,home,10296.32,5.0,1,0,9036.96,3,1,0,190,13,1,0,0,0,0,0,3.7,0,1,0
73,1,home,1824.96,0.5,1,0,40772.16,0,1,0,143,21,0,0,0,0,0,0,1.9,1,1,0
74,60,auto,1686.73,4.7,0,0,3165.27,4,1,0,78,18,0,0,0,0,0,0,0.5,1,1,0
75,44,commercial,803.04,3.5,2,0,3336.19,1,0,0,428,16,0,0,0,0,0,0,0.5,1,0,0
76,47,auto,2403.77,3.4,1,0,40369.97,0,0,0,326,18,1,0,1,0,0,0,0.5,1,0,0
77,53,auto,1900.19,0.3,1,0,18042.83,7,1,0,259,13,0,0,0,0,0,0,0.5,1,0,0
78,2,auto,2809.64,5.1,0,0,4138.33,2,0,0,317,20,1,0,1,0,0,0,6.3,1,1,0
79,15,auto,2742.31,2.8,0,0,2242.81,2,1,0,90,12,1,1,0,0,0,0,7.9,0,1,0
80,4,commercial,523.46,2.6,2,1,3244.17,2,0,0,213,8,0,0,0,0,1,0,7.1,1,1,1
81,71,auto,629.6,4.5,1,0,37560.17,0,0,1,222,21,1,0,0,0,1,0,4.3,1,1,0
82,35,auto,663.88,4.7,0,0,5378.75,3,0,1,58,3,0,0,0,0,0,1,3.7,1,0,0
83,14,home,684.05,0.1,1,0,14099.8,5,1,0,191,15,0,0,1,0,1,1,25.0,1,1,0
84,2,auto,1289.13,0.7,1,0,6252.06,11,0,0,100,22,0,0,0,0,0,0,11.5,1,0,0
85,13,auto,826.0,1.3,0,0,6780.98,7,0,1,191,11,0,0,0,0,1,0,1.9,1,1,0
86,14,home,3091.15,5.7,2,0,8905.37,0,0,0,222,22,1,0,1,1,0,0,1.3,1,1,0
87,47,home,2842.22,4.3,0,0,4359.63,0,0,0,148,22,0,0,0,0,0,0,2.3,0,0,0
88,36,auto,1093.1,7.1,1,0,3807.03,0,0,0,246,16,1,0,0,0,0,0,3.5,1,1,0
89,78,home,2915.11,6.7,2,0,23909.57,0,1,0,247,2,1,0,0,0,0,0,1.6,0,0,0
90,23,auto,2307.84,9.6,0,0,3958.06,3,1,0,91,6,1,0,0,1,0,0,3.8,1,1,0
91,4,auto,875.37,2.4,3,0,8315.04,1,0,0,62,23,0,0,1,0,0,1,3.8,1,1,0
92,44,auto,500.0,2.1,1,0,14423.45,5,1,0,77,5,0,0,0,0,0,0,1.5,1,0,0
93,51,auto,983.4,8.9,0,0,8704.88,0,1,0,385,7,0,0,1,0,0,0,0.5,1,0,0
94,29,home,794.48,1.4,0,0,10526.87,9,1,1,84,22,1,0,0,0,0,0,3.1,1,0,0
95,53,home,1215.92,3.1,0,0,962.46,5,0,0,128,11,0,0,0,0,0,0,3.1,1,1,0
96,24,auto,1146.67,1.1,1,0,6213.56,17,1,1,155,10,1,0,0,0,0,0,0.5,1,1,0
97,26,auto,1131.74,12.3,1,0,17810.16,15,1,1,89,5,0,0,0,0,0,0,6.6,1,1,0
98,20,home,1424.88,2.6,1,0,46945.38,5,0,0,130,13,1,0,0,1,0,0,2.3,1,0,1
99,1,auto,598.09,1.2,0,0,15786.1,0,0,0,52,13,0,0,0,0,0,0,4.2,0,1,1
100,4,auto,1347.06,5.9,1,0,6372.6,1,1,0,265,9,0,0,0,0,0,0,0.5,1,1,0
101,1,commercial,880.24,1.4,0,0,8856.54,1,0,0,204,14,0,0,0,0,0,0,0.5,1,1,0
102,36,home,1211.96,14.4,1,0,10184.51,2,0,0,313,0,0,0,0,0,1,0,1.9,1,0,1
103,13,commercial,1769.95,2.3,2,0,641.37,4,0,0,123,22,0,0,1,0,0,0,17.0,1,0,0
104,25,auto,594.55,5.5,1,0,1550.28,5,0,1,125,6,0,0,1,1,0,0,11.2,1,1,0
105,85,home,952.75,2.1,2,0,5674.84,0,0,1,169,10,0,0,0,0,0,0,19.0,1,1,0
106,10,auto,1033.53,8.2,0,0,4547.82,4,0,0,118,10,1,0,0,0,0,0,2.9,1,1,0
107,19,auto,847.99,11.4,0,0,3377.85,0,0,0,105,8,1,0,0,0,0,0,0.5,1,0,0
108,50,auto,1719.72,7.8,1,0,7247.48,8,1,0,56,23,0,0,0,0,0,0,2.8,1,0,0
109,9,auto,764.95,9.4,2,0,8135.51,0,0,0,377,7,0,0,0,0,0,0,2.8,0,1,0
110,2,auto,830.73,0.5,0,0,1059.97,2,0,0,97,3,0,0,0,1,0,0,19.0,1,1,1
111,12,auto,768.96,12.9,1,0,1244.54,2,0,1,138,16,0,1,1,0,0,0,0.6,1,0,0
112,6,auto,1893.21,4.9,2,0,3246.14,4,0,1,120,20,1,0,0,1,0,0,0.6,1,1,0
113,95,home,857.29,10.2,0,0,8629.82,0,0,0,137,0,0,0,1,0,0,1,2.7,1,1,0
114,59,auto,1380.25,5.8,1,0,4001.8,13,0,1,100,2,0,0,0,0,0,0,5.5,1,1,0
115,36,auto,2944.97,1.1,0,0,2860.88,2,1,1,123,3,0,0,0,0,0,0,8.5,1,0,0
116,73,auto,1056.37,4.7,2,0,20525.54,2,0,0,382,10,0,0,0,0,0,0,5.2,1,0,0
117,58,auto,1912.24,0.5,0,0,9575.4,1,1,0,214,12,0,0,1,0,0,0,11.6,0,1,0
118,7,home,2529.25,5.9,2,0,4125.09,7,0,0,79,21,0,0,0,0,0,0,2.2,1,1,0
119,80,auto,1832.79,2.6,1,0,29921.47,0,1,0,115,18,1,0,0,0,1,1,5.6,1,0,0
120,27,home,1087.46,0.8,0,0,5437.79,0,1,1,80,3,1,0,0,0,0,1,3.7,1,0,0
121,59,auto,1511.8,19.4,0,1,12775.88,3,1,0,69,5,1,0,1,1,0,0,1.5,1,1,0
122,81,auto,576.12,11.6,0,0,1878.11,17,1,0,239,2,0,0,0,0,0,0,4.5,1,1,0
123,13,home,742.47,11.2,1,0,1214.68,0,0,0,134,13,0,1,0,0,0,0,6.5,1,1,1
124,4,home,810.51,7.8,1,0,2195.3,0,0,0,287,0,0,0,0,0,1,0,10.6,1,1,0
125,9,auto,3362.05,5.9,0,0,8401.82,6,0,0,95,6,0,0,0,0,0,0,5.8,1,1,0
126,20,home,730.48,5.3,0,0,4325.19,6,0,1,258,15,0,0,0,1,0,0,5.8,1,1,0
127,61,auto,725.07,0.6,1,0,4142.61,11,0,1,150,5,0,0,0,0,0,0,0.5,1,0,0
128,70,home,650.69,11.5,0,0,6218.44,4,1,0,145,8,1,0,0,0,0,0,2.2,1,0,0
129,1,home,1450.85,10.6,2,0,5723.37,2,0,0,245,11,1,1,0,0,0,0,3.7,1,0,0
130,25,home,1177.69,6.9,2,0,16801.36,2,0,0,170,19,1,1,0,0,1,0,4.8,1,1,1
131,19,commercial,1888.2,13.1,2,0,2821.09,2,1,0,167,21,1,0,0,0,0,0,2.7,0,1,0
132,9,auto,1533.99,4.0,1,0,1185.02,18,0,0,207,20,0,0,0,0,0,0,12.0,1,0,0
133,4,home,549.94,3.0,1,0,25231.01,2,1,1,50,14,0,0,0,1,0,0,0.7,1,1,1
134,14,auto,732.43,17.2,0,0,3079.77,0,0,0,201,2,0,1,1,0,1,1,7.3,1,0,0
135,103,auto,2170.39,3.1,0,0,16390.6,1,0,1,113,17,0,0,0,0,0,0,3.4,1,1,0
136,14,auto,990.64,5.1,0,0,7354.83,16,1,0,83,12,0,1,1,0,0,0,0.5,0,1,0
137,26,auto,1985.84,2.3,1,0,21360.83,2,0,0,110,19,1,0,0,1,0,0,1.4,1,0,0
138,43,home,1017.56,5.1,2,0,2637.37,1,1,1,100,21,1,0,0,1,0,0,0.9,1,0,0
139,16,auto,675.99,6.4,0,0,11744.5,1,0,1,325,10,1,0,0,0,0,0,0.5,0,0,0
140,128,auto,942.34,4.9,0,0,3712.01,0,1,1,96,23,1,0,0,1,0,0,4.9,1,0,0
141,118,auto,675.85,3.6,2,0,2517.93,5,1,0,193,2,1,0,0,0,0,0,3.5,1,0,0
142,10,auto,826.52,1.8,0,0,26396.01,6,1,1,197,3,1,0,1,0,1,0,6.7,1,1,0
143,24,commercial,1212.53,5.2,0,0,2330.71,2,0,0,120,22,0,0,0,0,0,0,0.9,1,1,0
144,12,auto,1416.3,12.0,0,0,2228.53,10,0,0,106,14,0,0,0,1,0,1,15.9,1,1,0
145,12,home,500.0,0.1,2,0,1607.22,6,0,1,146,17,0,0,0,0,0,0,1.4,0,0,0
146,1,home,1087.15,0.7,1,0,3141.75,4,1,0,96,5,0,0,0,1,0,0,7.5,1,1,0
147,33,home,817.86,0.6,1,0,5758.54,6,0,0,100,7,0,0,0,1,0,0,20.2,1,0,0
148,25,auto,792.98,12.8,0,0,4175.46,7,0,0,247,5,0,0,0,0,0,0,0.8,1,1,0
149,1,home,1171.85,5.4,0,0,7249.22,3,1,0,354,2,0,0,1,0,0,0,0.7,1,1,0
150,11,auto,832.78,15.2,1,0,1012.23,2,1,0,149,22,1,0,0,1,0,0,5.1,1,0,0
151,85,home,2188.71,4.4,1,0,4726.39,0,1,1,75,23,0,1,0,0,0,0,16.7,1,1,0
152,9,auto,1986.3,3.1,0,0,1181.91,2,0,0,270,20,1,0,0,1,0,0,0.9,1,1,0
153,5,auto,1980.12,7.9,0,0,3164.85,3,0,1,191,22,0,0,0,0,0,0,1.8,0,0,0
154,24,auto,856.24,0.9,0,0,3874.43,14,0,0,253,4,0,0,1,0,0,0,1.2,1,0,0
155,152,home,677.73,2.4,1,0,4762.73,0,1,1,121,9,1,0,0,0,1,0,4.8,1,0,0
156,9,auto,1142.55,3.1,2,0,7038.15,7,0,0,248,15,0,0,0,0,0,0,2.4,1,1,0
157,40,auto,1017.22,1.8,1,0,1391.43,1,0,1,128,11,0,0,0,0,0,0,7.6,1,1,0
158,51,auto,808.83,2.3,0,0,3138.28,15,0,0,95,21,0,0,1,0,1,0,3.7,1,0,1
159,9,commercial,609.19,0.4,1,0,48303.06,4,0,0,82,20,0,0,0,0,0,0,4.9,1,0,0
160,46,home,1074.1,1.1,0,0,4544.54,2,1,0,147,1,1,1,0,1,1,0,0.7,1,0,0
161,16,auto,896.02,2.0,0,0,4052.68,2,1,0,388,21,0,0,0,0,0,0,1.1,1,1,0
162,36,home,1547.16,7.9,0,0,717.61,1,0,1,214,17,0,0,0,0,0,0,19.7,1,1,0
163,36,auto,1529.28,1.0,0,0,5810.12,6,0,1,101,10,1,0,1,0,0,0,4.6,1,1,0
164,27,auto,1901.5,2.1,0,0,1004.51,5,1,0,132,2,1,1,0,0,0,0,10.8,1,1,0
165,3,commercial,584.26,0.3,1,0,500.0,11,0,0,330,17,0,0,0,1,0,0,1.7,1,0,0
166,64,auto,1340.14,4.1,0,0,7630.0,4,0,0,189,0,0,0,0,0,0,0,2.0,1,0,0
167,13,auto,762.24,4.7,0,0,7587.25,0,1,0,188,1,0,1,0,0,0,1,0.5,1,1,0
168,7,auto,595.73,10.0,1,0,978.49,5,0,1,135,1,0,0,0,0,0,0,11.5,1,1,0
169,1,auto,885.1,8.5,0,0,1205.71,10,1,1,97,22,1,0,0,0,0,0,0.8,1,1,0
170,32,auto,1871.23,1.7,1,0,2248.29,23,0,0,465,4,1,0,0,0,0,0,1.9,1,0,0
171,40,auto,910.36,0.7,1,0,34274.04,5,0,0,112,6,1,0,0,0,0,1,2.6,1,0,0
172,1,auto,2398.81,0.8,0,0,6498.09,1,1,0,298,17,0,0,0,0,0,1,8.5,1,1,0
173,25,auto,1442.94,17.4,0,0,8747.52,4,0,0,144,21,0,0,0,0,0,0,4.9,0,1,0
174,9,auto,900.5,5.6,1,0,16800.92,3,0,0,71,14,1,0,0,0,0,0,0.5,0,0,0
175,37,auto,1958.68,0.2,0,0,22541.02,3,0,0,187,6,0,0,0,0,0,0,2.6,1,1,0
176,6,auto,1370.18,0.7,1,0,5678.56,0,0,0,356,23,1,0,1,0,0,0,21.4,1,1,0
177,42,home,687.95,3.3,1,0,7760.76,1,0,1,128,20,0,0,0,0,1,0,6.5,1,1,0
178,17,auto,2777.76,1.2,4,0,4998.11,3,0,1,117,13,1,0,0,0,0,0,1.2,1,1,0
179,99,home,1248.55,8.1,1,0,682.08,8,0,1,153,19,0,0,1,0,0,0,18.7,1,1,0
180,5,home,1106.99,4.3,1,0,6561.43,1,0,1,80,0,0,0,0,0,0,0,5.4,0,0,0
181,15,home,714.97,4.7,0,0,2846.69,0,0,1,111,20,0,0,0,0,0,0,1.9,1,0,0
182,4,auto,1977.86,3.1,1,0,500.0,7,0,1,303,10,0,0,0,0,0,0,10.3,1,0,0
183,93,auto,1420.32,1.5,2,0,2255.01,5,0,0,126,18,0,0,0,0,0,1,0.6,1,0,0
184,75,auto,1502.1,4.5,1,0,2997.99,3,0,0,75,7,0,0,0,0,0,0,1.0,1,1,0
185,10,home,850.85,6.3,4,0,12279.3,0,1,1,126,13,0,0,0,0,0,1,0.7,1,1,1
186,38,auto,1664.12,2.3,0,0,4195.43,3,1,0,139,5,0,0,0,0,1,0,4.8,1,1,0
187,61,home,1730.05,3.5,0,0,2327.41,9,1,0,143,3,1,0,1,0,0,0,4.2,1,1,0
188,29,home,784.94,9.2,1,0,1309.7,0,0,0,319,3,0,0,0,0,0,0,5.1,1,0,0
189,27,auto,539.97,0.8,1,0,3898.93,0,0,1,491,23,0,0,1,0,0,0,4.8,1,0,0
190,9,auto,1466.58,3.9,0,0,5669.48,8,0,0,166,8,0,0,0,0,0,0,12.1,1,0,0
191,3,home,500.0,2.1,0,0,8531.28,3,0,0,282,0,0,0,0,0,0,0,0.6,1,1,0
192,81,auto,1183.24,6.1,0,0,11090.6,5,0,0,163,0,1,0,0,0,0,1,2.8,1,1,0
193,83,auto,876.89,0.1,1,0,1172.57,6,1,0,62,3,1,0,0,0,0,0,0.9,1,1,0
194,36,home,2016.93,5.6,0,0,6282.17,1,1,0,57,9,0,0,0,1,0,0,1.1,1,1,0
195,14,auto,901.07,0.5,1,0,4132.46,1,0,0,118,14,1,1,0,0,0,0,19.1,1,1,0
196,15,commercial,1907.67,0.3,0,0,3777.35,1,1,0,87,21,1,1,1,0,0,0,1.8,1,1,0
197,46,home,848.01,6.4,1,0,5990.19,0,0,1,91,4,0,0,1,0,0,0,7.8,1,1,0
198,81,home,1808.03,5.1,1,0,27024.35,1,0,0,64,8,0,1,0,1,0,0,1.2,1,1,0
199,78,auto,3072.27,11.3,0,0,3642.69,15,1,0,367,2,0,0,1,0,0,0,0.5,0,1,1
200,54,auto,642.89,3.7,1,0,5437.15,0,0,0,354,4,0,0,0,0,0,1,1.6,1,0,1
201,36,auto,1269.04,3.8,1,0,1804.62,1,0,1,184,3,0,0,0,0,0,0,12.3,1,0,0
202,3,auto,4334.63,6.1,0,0,1621.55,1,0,1,96,6,1,0,0,0,0,0,1.0,0,1,0
203,6,auto,1133.76,2.0,0,0,1543.41,0,1,0,203,2,0,0,0,1,0,0,12.5,1,1,0
204,82,auto,1131.04,0.2,2,0,992.77,0,1,0,171,14,0,1,1,0,0,0,1.3,1,0,0
205,33,auto,1626.6,1.3,1,0,2504.2,0,0,1,208,13,0,0,0,0,0,0,0.5,1,1,0
206,1,auto,1119.39,1.4,1,0,28599.13,3,0,0,121,1,1,0,0,0,0,0,0.5,1,0,1
207,3,home,500.0,2.0,0,0,2206.49,4,0,1,70,6,1,0,0,0,0,0,1.3,1,1,0
208,39,auto,1931.68,14.4,0,0,3491.26,1,0,0,127,14,0,0,0,0,0,0,0.9,1,1,0
209,1,auto,500.0,8.2,0,0,1188.24,3,0,0,134,11,0,0,0,0,0,0,0.5,1,1,0
210,6,home,890.34,13.7,0,0,3928.15,0,0,1,153,5,0,0,0,0,0,0,3.9,1,0,0
211,28,commercial,2005.63,30.0,0,0,1651.7,4,1,1,87,14,0,0,0,0,0,1,3.6,1,0,0
212,42,auto,917.57,2.8,0,0,3477.69,0,1,0,127,7,0,0,0,0,0,0,4.9,1,0,0
213,37,auto,775.22,1.3,3,0,3453.2,5,0,1,199,8,0,0,0,0,0,0,18.0,1,1,0
214,9,auto,1702.12,4.1,0,0,4356.93,3,1,0,145,21,1,0,1,0,0,0,13.7,1,1,0
215,44,commercial,716.55,10.6,1,0,14862.8,0,0,1,215,10,0,0,0,0,0,0,0.5,1,1,0
216,9,home,595.19,3.1,1,0,29236.62,0,0,0,69,5,0,0,0,0,0,0,17.2,1,1,0
217,14,home,1257.97,3.5,1,0,28947.52,0,0,1,246,23,0,0,0,0,0,0,5.3,0,1,0
218,49,auto,1000.78,0.7,3,0,5474.64,4,0,0,91,15,0,0,0,0,0,0,15.1,1,1,0
219,37,auto,588.85,2.7,0,0,5841.52,8,0,0,182,16,0,0,0,0,0,0,2.0,1,1,0
220,68,auto,1507.9,2.4,0,0,5397.72,9,0,0,157,14,1,0,0,0,1,0,3.0,1,1,0
221,38,home,1383.32,2.2,0,0,10605.38,4,1,1,80,11,0,0,1,0,0,0,4.1,1,1,0
222,30,home,916.1,10.9,0,0,2466.94,10,0,0,85,0,0,0,0,0,0,1,2.5,1,0,0
223,3,commercial,947.98,0.3,0,0,1776.54,9,0,1,112,13,0,0,0,1,0,0,1.0,1,1,0
224,16,auto,1387.41,17.9,0,0,662.01,5,1,0,185,3,0,0,0,0,0,0,9.8,1,1,0
225,11,auto,1988.59,0.1,1,0,11987.11,2,1,1,232,20,0,0,0,0,0,0,6.5,1,1,0
226,10,auto,952.04,14.6,1,0,6148.57,8,0,1,216,13,0,0,1,0,0,0,16.2,1,1,0
227,130,home,1521.34,4.0,2,0,2161.46,2,0,1,183,20,0,0,0,0,0,0,3.6,1,1,0
228,17,home,1454.77,6.1,1,0,24473.94,2,0,0,222,4,0,0,1,0,0,0,3.6,1,1,1
229,80,auto,1702.16,1.0,1,0,2536.65,5,0,0,116,22,0,0,0,1,0,0,3.6,1,0,0
230,35,auto,1118.4,5.3,0,0,22212.45,13,0,0,90,11,0,0,1,0,0,1,1.0,1,0,1
231,57,auto,694.95,10.7,0,0,2055.27,3,0,0,160,12,1,0,0,0,0,0,7.5,1,0,0
232,25,auto,870.22,0.8,0,0,5892.32,0,0,0,393,19,1,0,0,0,0,0,2.2,0,1,0
233,30,home,1301.7,0.7,2,0,7630.05,0,0,0,136,7,0,0,1,0,0,0,7.3,1,0,0
234,24,auto,2722.3,1.8,1,0,2888.67,1,0,0,158,11,0,0,0,0,0,0,9.2,1,0,0
235,7,home,860.91,0.9,0,0,1351.74,3,1,0,185,10,0,0,0,0,0,0,1.3,1,1,0
236,46,auto,1639.91,0.6,1,0,5071.72,1,0,1,142,12,1,1,0,1,0,0,0.5,1,0,0
237,11,home,930.73,5.7,0,0,2260.83,6,0,1,249,14,1,0,0,0,0,0,2.3,1,1,0
238,1,auto,1158.91,1.2,1,0,1008.87,3,1,0,104,5,0,0,0,0,0,0,13.1,1,1,0
239,37,home,2339.51,5.5,0,0,800.61,2,1,0,507,7,0,1,0,1,0,0,5.2,1,0,0
240,7,auto,1607.04,9.9,0,1,5922.81,1,0,1,123,14,0,0,0,0,0,0,1.6,1,1,0
241,101,auto,589.54,5.3,1,0,500.0,4,0,0,296,13,0,0,0,0,0,0,4.0,1,1,0
242,110,auto,823.66,0.6,0,0,3667.67,5,1,0,391,8,0,0,0,0,0,0,14.6,1,1,0
