gpa_first_semester,gpa_current,credit_hours_completed,credit_hours_attempted,course_withdrawal_count,financial_aid_amount,unmet_financial_need,is_first_generation,is_pell_eligible,campus_housing,extracurricular_count,advisor_meetings_per_semester,declared_major,distance_from_home_miles,age_at_enrollment,high_school_gpa,sat_score,num_absences_current_semester,part_time_work_hours,library_visits_per_month,target
3.25,3.51,42,43,2,8022.6,1141.62,1,1,1,3,1,1,16.3,18,3.12,795,1,4.6,2,0
3.26,2.9,40,45,1,6817.7,1897.44,0,0,1,1,1,1,29.0,22,3.73,787,1,3.2,7,0
4.0,3.08,54,56,2,1436.16,21275.68,1,0,1,1,1,1,258.7,17,3.35,909,0,16.7,2,1
3.08,3.16,44,47,1,2972.4,2182.38,1,1,0,0,2,0,225.8,21,3.27,1081,2,0.3,1,0
3.04,2.6,52,57,0,6149.2,1450.86,0,0,1,2,2,1,102.0,18,2.41,975,4,3.8,4,0
2.76,3.21,46,48,2,39881.86,14989.62,0,1,1,0,0,1,31.0,17,3.15,1089,6,7.1,3,0
1.99,2.19,51,55,0,10467.56,122.04,1,1,0,1,1,1,21.0,17,2.44,820,0,4.6,3,0
1.5,2.2,40,48,1,9771.52,759.32,1,1,0,2,0,0,270.0,19,2.77,1015,6,29.4,1,1
2.74,2.81,46,49,0,22587.69,2006.0,1,1,1,0,0,1,44.7,21,1.56,894,3,7.8,6,0
2.65,3.23,49,51,1,2164.61,1397.66,0,1,0,2,0,0,367.5,19,3.22,1043,2,1.8,2,0
1.7,2.59,49,53,1,2019.74,556.62,0,1,1,2,2,0,46.3,24,2.98,1118,3,5.7,2,0
3.53,3.16,37,40,1,2163.76,2667.25,1,0,0,1,3,1,115.5,17,3.38,875,0,2.6,1,0
3.84,3.65,49,51,4,28451.77,3677.97,1,1,0,3,1,1,182.0,19,3.25,802,1,6.3,2,0
3.73,3.32,53,54,1,4309.63,1794.63,0,1,1,2,1,1,25.6,17,2.64,770,3,1.0,8,0
2.34,3.08,42,45,2,7658.24,328.07,1,0,0,0,0,1,14.1,17,2.93,1157,1,8.7,3,0
2.57,3.0,36,37,1,2177.58,865.79,0,1,1,3,1,1,666.5,17,2.78,995,2,9.2,5,0
3.36,3.09,49,51,2,12840.93,287.25,1,1,1,1,2,1,159.4,21,3.75,1015,4,0.2,8,0
4.0,3.59,31,32,1,4217.04,9859.8,1,0,1,1,2,1,69.2,17,2.88,1357,4,0.1,3,0
2.36,2.73,50,52,0,5581.16,5014.4,0,1,0,3,1,0,59.7,17,3.04,865,5,10.4,4,0
3.09,2.74,40,41,2,5384.0,3030.92,0,1,1,0,0,1,574.1,27,3.31,1153,7,0.5,2,1
3.53,3.65,43,46,0,6848.54,3439.99,1,1,1,0,5,1,30.7,19,3.03,1051,2,16.3,3,0
2.11,2.53,54,54,4,4908.65,103.83,1,1,0,0,1,1,23.5,19,3.47,887,2,20.1,3,0
2.4,2.51,51,55,0,7780.56,5843.74,1,1,1,2,1,1,17.9,23,3.2,1229,7,2.2,1,0
2.59,3.32,34,35,1,18469.04,2520.94,0,0,0,2,2,0,118.3,19,3.55,1204,4,2.4,3,0
3.21,3.55,45,45,3,2493.1,593.33,0,0,0,1,1,1,71.0,21,3.69,1099,3,17.2,3,0
3.44,2.85,36,40,1,2537.97,772.68,0,0,0,1,0,0,29.2,18,2.89,1048,1,6.7,2,1
2.53,2.66,43,45,2,3322.72,1734.68,0,0,0,4,2,0,16.0,17,2.45,1189,3,1.9,5,0
2.45,3.34,60,61,1,2416.25,903.53,0,0,1,2,0,0,9.7,19,3.99,1269,1,6.1,3,1
3.33,3.45,50,53,0,14585.58,4334.06,0,0,0,0,0,0,94.4,18,3.27,1044,4,12.5,3,0
1.79,2.19,39,42,1,5410.32,299.47,1,1,0,3,0,1,115.3,21,2.65,1017,5,1.6,0,0
1.43,2.26,41,44,1,10670.45,8852.73,1,0,0,2,1,0,42.2,19,3.32,1085,8,0.1,6,1
2.89,2.55,43,45,2,2874.45,5738.28,0,0,0,2,1,1,66.6,18,3.64,1123,4,10.6,3,0
2.54,2.68,51,55,2,16615.66,793.98,0,1,0,1,0,1,165.8,20,3.83,817,0,9.4,2,0
1.93,2.52,39,41,2,16471.27,3507.31,1,1,1,2,0,1,148.6,21,3.16,1157,2,0.0,1,1
2.32,2.78,49,51,2,4190.51,383.78,1,1,0,3,0,0,20.4,17,2.99,952,4,0.0,5,0
2.76,2.74,44,46,1,6590.77,837.2,0,1,1,1,0,1,84.9,21,2.79,918,2,12.0,3,0
2.96,2.91,48,53,0,6058.86,1172.03,0,1,0,3,0,1,5.0,23,2.21,1072,6,4.5,5,0
2.67,3.19,33,35,1,3263.24,1914.53,0,0,0,1,0,0,38.6,17,4.0,1195,1,3.3,5,0
3.48,3.03,46,48,0,1892.15,4434.93,0,0,0,0,5,1,14.9,21,3.98,1268,2,4.9,1,0
2.58,2.97,44,46,2,2955.48,2251.14,0,0,1,3,3,0,35.9,17,3.23,1210,4,12.4,6,0
2.39,2.51,45,49,0,58696.25,1972.71,1,1,0,2,3,1,13.7,17,3.15,1227,5,4.4,8,0
1.85,2.38,54,56,0,2950.57,6956.59,0,0,1,5,0,1,25.6,17,4.0,959,4,7.8,4,0
0.84,1.96,41,49,3,3820.42,707.88,0,0,0,0,3,1,261.5,18,3.65,1053,3,10.5,4,1
2.61,2.64,50,52,2,1310.16,5178.34,1,0,1,0,2,0,100.8,20,3.77,1172,1,13.4,5,1
3.22,3.19,33,37,0,4467.47,954.23,0,0,1,2,1,1,68.3,19,2.54,1190,2,8.9,2,0
2.31,2.47,43,47,1,14265.2,4081.39,1,0,0,2,1,1,239.0,18,3.14,1242,2,3.1,6,0
3.66,3.35,50,57,1,4583.36,3110.59,1,1,1,2,0,1,14.5,24,2.95,979,2,6.8,7,0
3.91,3.55,53,56,3,26396.11,2285.41,1,1,0,4,0,1,18.2,20,3.54,1270,8,2.4,3,1
3.08,2.86,36,39,1,1579.63,534.5,0,1,1,3,1,1,8.8,24,3.5,952,1,2.2,7,0
3.0,2.33,32,36,1,4003.13,3151.18,0,1,0,0,0,1,53.2,18,2.63,1275,4,2.8,0,0
3.34,3.26,52,55,2,5020.24,4337.08,0,1,0,2,0,0,42.8,18,3.41,1183,1,14.1,6,0
2.28,3.1,34,39,1,5545.9,4914.55,0,0,0,0,1,1,7.9,20,3.57,1343,1,20.5,6,0
3.02,3.03,41,45,2,5257.36,5898.76,1,0,1,2,0,1,70.3,22,2.51,1108,3,10.4,1,0
2.35,2.21,50,55,1,1849.45,2345.98,0,0,1,3,0,1,11.5,18,1.93,1131,3,0.8,1,0
2.6,2.76,46,47,1,1003.22,3482.74,1,1,1,1,1,1,5.0,17,3.71,950,2,11.3,4,0
2.64,2.98,55,59,2,711.52,2853.97,0,0,1,4,3,0,20.2,19,2.9,965,2,25.0,3,0
2.24,2.76,50,53,3,13183.56,2171.81,0,0,1,2,1,0,65.8,21,2.67,985,7,3.8,4,0
3.2,2.76,43,46,0,2237.74,890.85,1,0,0,1,3,1,15.3,17,2.95,1240,1,4.9,6,0
2.08,2.92,51,54,0,7021.23,1275.2,0,0,1,2,1,1,6.4,19,2.79,945,3,6.5,1,0
1.94,1.93,52,53,1,7174.93,277.65,0,1,0,3,0,1,7.2,20,3.29,1284,2,0.3,1,0
2.18,2.88,39,41,1,18676.05,1000.76,0,0,0,0,2,0,154.7,19,3.93,1264,3,0.6,0,1
2.04,3.13,47,52,2,2899.37,1837.15,0,0,0,2,0,1,182.3,20,3.96,1155,5,2.8,6,0
3.8,3.34,39,44,1,6508.84,418.66,0,0,0,3,2,0,5.0,18,3.76,1116,2,5.3,2,0
2.15,2.28,48,52,2,1617.09,62.75,0,0,0,1,2,0,16.4,19,2.82,892,0,6.6,5,0
3.07,3.15,41,43,2,8395.94,4974.37,0,0,0,1,1,0,16.6,17,2.91,1168,1,11.8,5,0
2.68,2.85,50,58,2,15946.53,3475.2,1,1,1,2,2,1,149.0,18,3.55,1046,3,6.9,0,1
3.35,2.86,37,43,1,5369.27,6643.97,1,0,0,1,1,1,19.6,17,2.9,913,4,9.6,4,1
2.2,2.74,55,56,1,19770.41,3554.44,1,1,1,0,1,0,68.9,23,3.23,1300,2,2.3,6,0
2.84,3.23,40,42,2,7869.19,2861.01,0,1,0,3,1,0,5.0,17,3.55,1188,3,16.4,4,0
3.02,2.9,48,53,1,6673.8,17090.88,0,1,0,3,1,1,191.8,17,3.84,1124,5,3.8,1,1
3.26,3.31,43,48,1,37206.41,1380.88,0,0,0,0,1,1,284.5,17,3.61,1117,5,0.0,3,1
3.43,3.26,43,45,0,24936.11,384.53,0,1,0,2,4,1,8.2,17,3.25,1014,3,6.2,1,0
2.53,2.67,49,52,1,35966.2,4930.99,0,0,0,2,1,1,42.0,17,2.15,1093,3,0.2,2,0
2.28,2.77,47,53,3,25517.5,4264.7,1,0,0,0,1,1,11.2,17,3.19,928,5,7.7,3,1
3.37,3.27,43,43,2,3857.43,4298.31,0,0,0,2,3,1,37.7,19,3.76,1274,0,2.1,4,0
3.81,3.22,42,43,3,5806.33,1854.31,1,1,1,1,0,1,111.9,21,3.03,1161,3,2.1,4,0
3.96,2.98,50,54,0,42783.86,1541.38,0,1,1,2,2,0,12.4,23,2.67,1007,3,10.2,4,0
2.43,2.53,42,45,1,6718.28,268.78,1,0,0,1,1,1,502.5,21,3.13,964,4,8.0,2,0
4.0,3.37,56,56,2,11817.47,607.38,0,1,0,0,1,1,248.5,17,3.25,1297,2,8.5,3,1
1.86,2.91,23,27,2,2652.53,364.31,0,0,1,2,2,1,19.2,19,3.41,1106,4,7.2,3,0
4.0,3.4,42,48,1,2650.26,9421.58,0,0,0,1,0,0,8.2,24,2.62,1043,0,7.6,4,0
3.4,2.94,48,52,1,3150.76,1735.36,1,1,0,0,0,0,842.2,17,3.01,929,2,4.1,2,1
3.47,3.05,58,61,2,2282.71,140.31,0,0,0,0,0,1,21.7,17,3.03,823,2,15.2,3,0
2.68,2.45,47,48,1,5158.4,90.85,0,0,0,0,0,1,47.3,22,2.06,1014,2,3.1,4,0
2.26,2.29,47,48,1,2907.43,2483.53,0,1,1,1,1,1,16.4,20,3.8,1329,3,6.0,3,0
3.67,3.28,44,48,1,11699.14,2154.96,0,1,0,2,2,1,262.5,17,3.31,855,3,16.7,2,0
4.0,4.0,46,47,1,4234.6,5343.15,0,1,1,1,3,1,32.1,17,3.66,1018,3,0.7,5,0
3.96,3.2,44,48,1,1771.5,8261.83,0,1,1,1,4,1,231.7,21,3.27,1160,1,10.5,2,0
3.68,3.49,35,35,0,3792.1,5324.78,1,1,1,0,0,1,15.6,22,2.7,980,4,2.9,2,0
2.98,3.49,40,41,2,65000.0,1421.31,1,1,1,1,0,0,42.5,23,3.03,805,4,10.2,7,0
4.0,3.11,38,39,2,6232.82,153.94,0,1,0,1,1,0,217.5,17,3.07,895,2,8.7,7,0
3.79,3.16,43,45,1,3715.31,396.02,1,1,1,2,0,1,42.9,19,3.51,1429,7,7.3,4,1
3.84,3.58,55,58,1,45507.58,2376.82,0,1,1,0,0,1,169.4,17,3.76,1155,4,11.5,7,0
3.81,2.94,42,44,0,2786.35,1945.87,0,0,1,1,0,1,73.0,17,2.7,755,3,6.9,2,0
2.53,3.19,40,42,0,50000.0,4570.2,0,0,1,0,2,1,24.7,17,3.47,1201,11,39.5,6,0
3.41,2.71,34,35,1,1686.66,2270.68,0,0,1,0,0,0,45.1,17,2.46,1011,2,2.8,8,1
2.39,2.91,55,59,0,3183.16,1835.58,1,1,1,3,2,1,36.3,17,3.12,1068,2,3.9,6,0
2.31,2.46,37,44,1,57515.25,2707.22,0,1,1,0,0,1,84.1,23,2.45,1144,5,6.6,4,0
1.93,2.3,35,38,1,22616.59,1570.26,0,1,1,2,0,1,59.8,23,3.85,1252,1,7.8,5,0
2.15,2.71,39,40,2,3980.44,4236.57,1,0,1,3,3,1,47.1,19,3.43,909,3,25.4,2,0
3.34,3.58,48,49,2,7241.76,3389.8,0,0,0,1,0,0,348.9,17,2.56,1097,5,4.6,5,0
2.04,2.89,46,48,3,4818.43,279.68,0,0,0,3,1,0,31.0,17,3.31,1202,5,7.7,3,1
3.38,3.22,55,57,0,6532.86,858.52,0,1,0,2,1,0,58.7,22,2.86,1079,2,0.0,2,1
2.79,2.53,38,40,0,1348.74,4014.87,0,1,1,0,1,1,49.6,17,2.93,924,4,6.4,5,1
3.03,3.2,44,49,1,11404.3,13856.78,0,1,0,4,2,1,121.1,17,3.38,1337,0,1.6,4,0
3.34,2.97,44,45,2,8224.67,980.14,0,1,0,2,0,1,42.8,21,3.16,1010,3,4.6,3,1
2.73,3.3,44,46,0,11277.09,487.16,0,1,0,2,0,1,97.6,22,2.8,1038,1,3.7,2,0
3.44,2.86,30,33,0,6363.45,2161.01,0,0,0,1,0,1,6.0,19,2.36,959,1,2.5,0,0
2.72,2.4,43,45,1,8220.65,1021.56,1,0,1,0,0,1,25.0,23,2.83,1101,2,8.1,3,0
2.37,1.97,43,49,1,7197.73,239.27,1,1,1,2,0,0,5.2,19,3.68,795,2,1.4,4,0
1.89,2.25,40,46,3,7411.1,5375.73,0,0,1,1,2,1,791.8,19,3.38,1144,0,3.6,6,0
2.42,2.62,41,45,0,9005.55,5163.73,0,1,0,2,2,1,83.1,17,3.37,1115,3,5.0,5,0
3.57,3.36,42,45,2,4590.93,3275.48,0,0,1,1,1,0,110.2,22,3.45,1132,3,8.7,7,0
1.73,2.01,41,44,1,10100.3,8366.5,0,1,1,1,1,1,5.0,20,3.27,1299,2,26.3,5,0
3.05,2.63,45,49,1,592.14,603.42,0,1,0,1,1,0,28.2,17,3.43,1408,2,1.7,1,0
3.14,3.21,37,39,0,2127.09,12121.14,0,0,0,0,1,0,124.5,17,3.19,1196,4,22.8,7,1
2.91,2.96,43,47,0,4310.0,13424.25,0,1,0,0,2,1,43.2,19,3.51,1431,4,2.2,3,0
1.35,2.29,40,44,0,4000.99,1073.5,1,0,1,1,1,1,23.7,19,2.59,1068,3,22.6,3,0
2.2,2.32,50,53,2,3181.67,4698.74,0,0,1,3,1,0,203.3,17,3.14,1114,5,4.6,3,0
1.8,2.59,50,56,1,42209.11,2513.48,1,1,0,1,0,0,35.6,22,3.7,1262,0,2.5,4,0
3.0,2.86,44,45,0,33338.95,3536.85,0,1,0,2,1,1,104.1,18,3.14,1133,2,3.2,7,0
2.48,2.74,46,49,3,3201.5,1300.63,0,1,1,2,1,1,66.3,17,4.0,1248,5,12.2,4,0
3.01,2.89,44,48,2,7669.27,766.14,0,0,0,1,1,1,40.3,21,2.75,927,1,10.9,4,0
1.7,1.97,51,55,0,7438.53,377.59,0,0,0,2,1,0,16.5,17,3.61,1256,4,12.8,3,0
2.98,3.01,44,46,1,9809.67,6791.79,0,1,0,0,0,0,11.2,17,2.91,1075,6,2.5,5,1
2.78,2.47,38,40,2,4641.65,625.07,1,1,0,1,2,0,6.0,18,3.54,1029,1,20.7,2,1
3.14,3.21,40,41,2,2724.93,6844.8,0,0,0,3,1,1,18.7,19,3.68,1037,3,6.5,4,0
4.0,3.74,45,46,1,8508.67,3110.46,1,1,1,2,2,1,32.0,17,3.15,864,3,5.3,6,1
2.87,2.51,45,46,1,3829.73,1201.31,0,0,1,0,2,0,43.1,17,4.0,1192,3,8.6,1,0
2.08,2.37,54,55,0,10590.34,6702.24,0,0,1,1,2,1,49.0,20,2.34,922,2,21.0,5,0
2.7,2.48,44,48,1,8455.56,5859.76,0,0,0,3,4,1,60.2,19,3.0,1412,4,1.4,6,0
1.91,2.4,40,42,3,7009.37,753.99,0,0,0,3,2,1,75.7,27,3.0,1346,5,3.6,3,1
3.37,3.34,43,48,2,31187.35,3745.23,1,1,0,0,1,1,86.9,21,3.21,906,3,2.7,3,0
3.65,2.69,48,51,0,2271.74,5717.07,0,0,1,1,0,1,25.8,18,3.14,1084,3,1.4,7,1
1.9,2.11,47,51,1,4050.83,1084.27,1,1,0,2,2,1,10.5,17,4.0,1012,4,34.7,6,0
2.71,2.8,41,48,1,4530.28,495.79,1,0,1,2,5,0,91.5,19,2.38,855,3,0.8,3,1
1.55,2.65,50,53,0,949.15,1870.82,0,1,0,2,0,1,24.4,17,2.3,1157,4,22.2,6,1
3.07,3.14,56,60,1,6884.82,379.78,0,1,1,1,3,1,224.3,18,3.29,1174,8,0.1,1,0
2.1,2.36,53,58,2,3512.41,7591.67,0,0,1,3,4,1,427.4,24,3.2,1378,3,14.4,5,0
3.81,3.52,60,63,1,1327.01,725.71,0,0,0,1,1,1,198.5,17,3.33,1123,2,8.4,3,0
2.75,3.32,41,44,1,2692.81,3763.57,0,0,1,1,2,0,103.8,23,3.29,1241,2,13.8,3,0
3.42,2.74,57,61,2,1655.97,2249.77,1,1,1,2,1,1,78.6,22,2.11,1228,5,33.5,2,0
1.7,1.66,47,50,0,1311.72,4367.33,0,1,1,2,1,0,28.4,20,3.99,806,1,19.7,1,0
2.7,2.97,44,45,1,17434.45,1492.25,0,0,1,4,4,0,36.8,17,2.72,1078,3,11.8,4,0
2.82,3.31,45,48,1,4910.83,87.97,0,0,1,1,1,1,45.6,17,2.6,853,6,5.6,5,1
3.83,3.31,43,47,0,3249.45,1145.03,0,1,1,0,4,1,20.8,18,2.92,1204,2,11.9,3,0
1.97,1.92,44,48,5,19430.77,6740.2,1,0,0,3,0,1,76.6,17,2.84,900,3,2.4,3,1
2.74,3.17,50,53,1,7004.12,2499.12,0,1,1,2,0,1,104.6,21,3.49,901,3,11.7,4,0
3.05,3.03,46,49,0,6232.18,982.81,1,1,0,0,1,1,21.4,17,3.18,1195,3,2.0,7,0
2.21,2.67,39,45,1,2857.78,2825.96,1,1,0,0,1,0,62.1,20,3.05,937,2,6.2,6,1
1.94,1.79,36,37,1,8465.77,1365.71,0,1,1,2,0,1,38.7,23,2.86,1072,3,3.9,3,0
2.65,2.82,42,45,0,50000.0,1793.41,0,0,0,1,1,1,6.9,17,3.72,1213,7,5.4,4,0
1.64,2.56,47,52,1,9615.14,3515.84,0,0,1,0,0,0,26.8,18,3.24,1077,4,8.8,0,1
3.42,3.3,42,48,3,913.62,669.48,0,0,1,3,0,1,174.5,18,3.74,1309,1,8.8,3,0
3.84,3.77,34,41,2,4764.23,6745.54,0,0,0,1,1,1,132.3,17,3.63,1271,3,18.7,6,0
2.75,2.68,42,42,1,7120.84,998.49,1,1,1,4,0,1,42.7,21,2.84,1181,0,5.7,2,0
2.48,2.31,44,45,4,10141.34,371.29,0,0,1,0,2,1,905.7,21,2.74,1148,5,1.2,3,1
3.8,3.53,43,47,0,10428.49,9786.64,1,0,0,2,2,0,70.8,18,3.21,1190,3,1.0,1,0
2.4,1.94,41,47,1,3995.46,11606.58,0,1,0,1,2,0,190.8,17,2.58,950,4,8.8,4,1
2.77,2.77,46,47,1,5133.17,1609.75,0,0,0,3,2,1,229.0,17,3.54,1219,4,4.8,2,0
3.94,3.52,46,49,0,8953.2,4797.6,0,1,0,2,3,1,39.5,20,2.94,1163,4,2.5,2,1
3.22,3.02,28,31,0,11506.81,1281.11,0,0,0,2,2,0,11.3,20,3.26,1209,1,3.6,4,0
3.02,3.08,40,42,0,16118.82,419.42,1,1,1,0,1,1,107.4,21,3.06,1032,2,3.7,5,0
2.11,2.61,41,44,2,2766.04,382.98,0,0,0,0,0,1,116.7,18,2.91,967,4,8.5,2,0
3.16,2.96,32,36,1,4996.3,2057.73,1,1,0,3,1,1,408.3,23,2.76,1080,2,6.1,0,0
2.65,3.14,35,36,2,3626.88,1262.85,0,1,0,3,0,1,25.7,20,4.0,1321,1,11.5,2,1
0.85,2.2,36,40,2,3469.93,1573.14,0,0,0,1,0,1,72.8,17,2.67,1047,5,1.5,3,0
