customer_tier,account_age_months,num_open_tickets,priority_level,submission_hour,is_weekend,num_users_on_account,monthly_spend,product_module,days_since_last_ticket,escalation_history_count,ticket_description,department
3,3,0,3,21,0,35,749.04,1,10,1,breach issue unable check request,Security
1,1,2,1,8,0,7,3018.61,1,1,0,contact issue getting started today time team check,Onboarding
0,42,2,1,2,0,6,783.7,5,12,1,yesterday migration team broken broken,Onboarding
3,35,3,1,20,0,4,1451.89,2,53,2,change please information contact details unable timeout,Technical
0,2,1,1,16,0,4,78.87,1,6,1,broken urgent need need support overcharge,Billing
0,28,0,1,13,0,5,179.24,4,24,1,SSO contact system urgent service contact time,Account
3,25,0,2,2,0,2,136.63,4,37,0,access contact loading invoice account check unable user,Billing
0,85,1,1,11,0,25,665.19,1,3,0,help yesterday broken refund time issue access,Billing
2,15,0,1,9,1,36,297.54,5,12,0,issue update help check loading check login details,Account
0,23,0,1,21,0,3,288.42,0,77,1,need API access problem please update,Technical
1,119,1,2,14,1,4,270.03,0,76,0,time request issue yesterday overcharge contact loading,Billing
0,1,3,1,23,0,14,802.87,4,37,0,time service resolved getting started broken fix error change user,Onboarding
0,8,1,1,20,0,27,528.56,1,36,1,system change request account resolved would like help urgent,Feature_Request
2,1,2,1,16,0,2,47.27,4,38,1,need change error request help login service broken,Account
1,1,0,1,0,0,2,191.78,0,11,0,user resolved today loading import data,Onboarding
2,65,0,2,16,0,15,169.54,3,29,0,resolved team request enhance loading check check,Feature_Request
2,6,4,1,4,0,3,195.55,3,27,0,check request yesterday change need contact refund team,Billing
1,104,1,2,0,0,3,72.03,1,24,0,resolved unable fix please broken crash today timeout,Technical
1,7,0,3,10,0,1,474.63,4,59,1,information fix team account resolved change loading details page,Technical
2,4,1,3,10,0,2,557.26,0,7,0,access broken team broken need change request team API service,Technical
3,6,1,2,20,0,5,568.97,2,9,0,need request issue change change user help setup user,Onboarding
0,7,2,2,17,0,9,471.0,4,2,0,team account login details contact issue today yesterday account,Account
2,78,2,1,15,0,23,489.23,3,170,1,support crash service user page please bug user,Technical
0,25,2,1,5,0,4,813.84,2,10,0,time access urgent problem,Technical
0,22,2,1,14,1,8,2041.25,3,16,1,issue fix update phishing service,Security
1,19,2,2,10,0,5,3140.86,4,59,0,broken issue breach urgent system not working user access,Security
2,23,1,2,15,0,4,194.95,3,11,0,update phishing loading help details,Security
0,18,2,2,3,0,3,1685.36,5,5,1,unable account support not working invoice check details check fix,Billing
3,14,1,1,14,0,20,707.12,4,38,0,information help page user unable bug account contact,Technical
1,24,2,1,18,0,3,252.23,1,91,0,support problem contact fix fix broken problem check timeout,Technical
2,76,3,1,23,0,3,772.19,5,19,0,help fix update service invoice loading,Billing
0,17,1,3,20,0,10,1341.39,1,70,1,broken overcharge account need please access,Billing
1,1,0,2,2,0,3,99.66,3,19,0,change issue unable getting started broken,Onboarding
0,4,1,3,21,1,4,308.29,0,40,1,request broken not working request service invoice urgent system update urgent,Billing
3,42,0,1,11,0,9,6090.9,5,27,0,service fix contact today overcharge unable change today need time,Billing
0,7,2,2,22,1,2,669.55,1,19,3,update today need page details bug request service time,Technical
3,3,1,1,1,0,4,89.24,1,24,0,system time API time change update,Technical
3,33,2,2,0,0,1,17.11,4,29,0,urgent account service service breach fix,Security
1,13,2,1,21,0,10,219.49,3,86,0,overcharge today yesterday help access overcharge contact change unable account access,Billing
0,10,3,2,3,0,5,537.07,3,0,1,help overcharge yesterday fix not working,Billing
0,23,0,1,13,0,9,438.97,4,36,0,issue time API request help change loading,Technical
3,22,1,1,9,0,24,624.97,4,79,0,API change issue change user,Technical
3,22,0,1,15,0,17,308.67,2,11,0,error user check page today details crash help,Technical
2,13,1,2,23,0,7,429.83,1,25,1,today time system not working import data broken check resolved team,Onboarding
3,88,3,1,23,0,18,108.68,2,34,1,update page invoice urgent support check time urgent,Billing
3,44,1,1,16,0,10,5978.75,1,19,0,time details team request,Billing
3,18,0,1,13,0,3,2847.28,4,13,0,need contact support unable page change account check,Account
0,121,2,2,17,0,2,58.19,3,24,0,today need not working add feature support help today,Feature_Request
0,15,1,1,16,0,12,362.35,2,0,1,resolved error bug contact broken,Technical
2,44,0,2,21,0,2,757.48,4,27,2,problem problem error error today overcharge yesterday help change service,Billing
2,50,0,2,20,0,30,593.8,0,55,1,not working time request team access today please not working unauthorized update,Security
3,89,1,1,14,0,15,278.62,3,14,0,information help information phishing phishing issue access page account time unable,Security
1,26,1,1,16,0,2,2221.12,5,9,1,today user team information SSO please,Account
2,5,1,1,9,0,2,400.89,0,5,1,please team user unable,Technical
1,37,0,3,15,0,11,418.06,1,31,0,loading fix resolved details,Feature_Request
1,16,0,3,6,0,5,207.75,3,60,0,need unable check page team,Billing
1,15,1,1,13,0,6,1357.7,1,44,1,help account subscription unable contact unable help check,Billing
3,17,2,1,1,0,23,968.48,4,14,1,user urgent page problem change not working unable update,Onboarding
3,13,2,2,16,0,10,278.28,1,15,0,fix information check support setup issue access time,Onboarding
0,53,1,1,18,0,6,633.4,2,4,0,support check password contact today update system team support today,Account
1,33,2,1,7,0,5,1259.4,5,19,0,service setup team user problem,Onboarding
3,41,1,3,18,0,13,2838.65,1,6,2,update help account team problem API system,Technical
0,1,1,1,23,0,10,592.73,3,48,1,refund today subscription today fix page unable,Billing
0,15,1,1,17,0,40,136.14,4,12,2,yesterday contact system access fix migration issue loading time information,Onboarding
0,30,0,1,16,1,16,2179.27,0,55,0,problem help error request help system would like,Feature_Request
3,21,0,3,4,1,6,192.34,5,3,0,loading contact information contact team unable,Billing
2,65,1,1,15,0,13,4073.31,0,25,0,request not working overcharge request not working check,Billing
1,4,2,1,2,0,59,131.76,1,13,0,page information account details,Account
0,46,3,1,11,0,7,1102.83,1,7,0,unable SSO today broken team contact account help check SSO,Account
1,24,1,1,12,0,10,330.47,3,6,0,unable service please roadmap system information details broken service update,Feature_Request
2,9,1,3,22,0,5,1453.75,1,93,0,API system access check page,Technical
0,2,2,1,13,0,3,5518.56,4,8,0,service roadmap help resolved page,Feature_Request
2,3,2,3,13,0,10,81.76,0,11,1,information fix yesterday API team,Technical
3,8,2,1,11,0,4,102.03,5,36,0,error help fix permission broken contact page urgent,Account
1,42,0,1,12,0,20,81.88,4,3,1,details loading page information permission system details problem help,Account
1,71,0,2,7,0,30,1526.41,2,16,1,update resolved change urgent subscription issue information fix check,Billing
3,31,2,3,15,0,27,680.56,2,54,0,system support problem not working problem,Onboarding
2,46,3,2,2,0,2,94.59,5,29,0,page please details service service login please time issue today,Account
2,24,1,1,21,0,4,770.25,2,29,1,access system change account page overcharge details help resolved,Billing
3,19,1,1,12,0,5,122.77,5,43,1,help API contact please broken system today unable page,Technical
2,4,3,2,2,0,4,381.65,2,64,0,contact information update support getting started broken issue,Onboarding
3,3,1,1,1,1,14,615.84,3,49,0,problem team access yesterday information subscription overcharge unable account,Billing
0,13,0,2,19,0,9,336.58,2,1,2,today access error bug today support account yesterday contact,Technical
1,2,2,1,3,0,1,398.96,4,5,0,need urgent unable time update invoice fix request,Billing
0,17,3,1,9,0,3,328.66,0,68,3,issue change access fix unable error,Feature_Request
3,16,4,3,6,0,10,556.04,3,37,1,import data access issue check error loading change user,Onboarding
2,29,2,3,18,0,8,416.96,5,3,0,API unable yesterday account today change,Technical
2,1,1,3,11,0,5,1006.72,2,1,1,phishing issue not working broken not working support,Security
1,66,2,1,23,0,31,1122.44,0,2,1,not working update access access SSO yesterday help problem unable,Account
3,5,0,1,14,0,6,1453.79,2,35,0,loading error error check time roadmap access,Feature_Request
2,15,2,3,14,0,1,210.8,0,11,2,today please need migration fix page,Onboarding
3,55,1,3,10,0,22,1058.98,5,25,0,urgent please page today,Account
2,36,1,1,23,0,12,512.7,5,7,0,migration support access support broken loading,Onboarding
1,5,0,1,22,0,7,306.61,2,78,0,yesterday yesterday unable bug urgent support support user,Technical
1,23,0,1,1,0,1,433.26,3,1,0,please access team system today broken user need,Billing
2,20,1,3,22,0,17,251.79,2,18,0,page help bug unable issue page,Technical
1,8,0,1,22,0,21,441.8,1,1,2,not working crash fix details update urgent issue,Technical
3,8,0,1,2,1,14,1824.33,4,65,0,error please team change today subscription time need update user,Billing
2,101,5,3,21,0,5,322.41,2,54,0,today SSO page service check service not working details time broken,Account
3,1,3,2,10,0,2,316.16,3,64,0,help team time loading,Technical
1,53,0,3,15,0,65,1450.06,0,0,2,need fix getting started service please migration unable page,Onboarding
2,2,1,1,19,0,6,87.96,1,15,0,error urgent support account change would like today not working error,Feature_Request
3,32,3,1,17,0,12,657.5,5,56,3,need fix change urgent bug please,Technical
1,10,3,2,14,0,12,517.62,5,8,0,loading help update check API access,Technical
2,11,3,2,8,0,2,198.49,1,69,0,team service need issue urgent support login request today,Account
0,15,2,1,3,0,1,145.39,0,183,0,please problem please details user update fix information contact timeout,Technical
1,1,4,3,20,0,2,1260.6,4,0,0,setup today issue need please time resolved today contact setup issue,Onboarding
0,5,0,2,6,0,22,36.21,4,7,0,loading system loading bug team please,Technical
2,14,3,1,2,0,19,522.21,4,3,0,request password time unable contact,Account
2,4,2,1,22,0,2,127.07,1,6,0,loading permission yesterday access broken page service broken resolved,Account
2,7,1,2,18,0,18,324.38,3,83,0,urgent unable access time time API details need,Technical
0,12,3,3,0,1,4,124.67,4,10,0,broken service add feature update system page access,Feature_Request
0,2,2,1,10,0,7,93.95,4,25,0,not working contact check contact access request fix check phishing,Security
1,105,2,1,10,0,3,66.04,3,56,0,change system team help broken crash,Technical
0,1,2,1,18,1,3,1719.76,0,8,0,change check API broken issue time issue yesterday please support,Technical
2,1,1,1,6,0,4,294.97,3,29,0,update contact time page need support system subscription update,Billing
3,3,2,1,19,0,10,480.09,4,19,0,check system details account broken service error not working page setup,Onboarding
3,14,0,2,4,0,18,443.58,0,91,0,permission page issue request unable,Account
3,4,0,2,20,0,10,242.23,2,45,0,support refund overcharge not working service service access,Billing
0,54,0,2,15,0,154,91.15,2,36,0,system support today change account resolved refund refund broken request,Billing
3,15,0,1,23,0,15,105.57,2,30,0,time add feature update issue fix today error contact access broken,Feature_Request
3,7,1,2,12,0,12,75.54,2,17,0,service access help problem fix loading need check password team,Account
1,29,2,1,20,0,11,1357.61,1,11,1,broken yesterday fix time issue would like error check change,Feature_Request
0,18,2,1,10,1,31,2257.55,0,58,1,details problem user service,Account
3,2,2,1,10,0,3,118.22,0,54,0,resolved time problem access,Feature_Request
0,26,3,1,3,0,13,350.58,2,61,0,issue issue issue support,Technical
1,37,2,2,22,0,59,1009.82,0,3,0,time system broken check enhance details,Feature_Request
3,50,1,2,23,0,16,1555.01,5,28,0,account page user resolved time check password access,Account
3,1,1,2,15,0,11,517.39,4,20,0,check team page urgent error fix,Technical
1,3,4,2,20,0,22,320.42,0,7,0,loading need service error broken crash system check,Technical
0,33,5,2,1,0,1,280.18,2,31,1,update page overcharge request resolved contact unable problem,Billing
3,49,2,2,19,0,14,440.34,3,107,0,fix not working user urgent issue change yesterday,Onboarding
1,16,2,1,5,1,8,41.15,1,54,0,issue crash access urgent team please details unable yesterday,Technical
1,42,0,3,23,0,31,614.72,5,26,1,issue team today account subscription please yesterday issue request,Billing
3,1,1,3,10,0,3,426.75,3,11,0,contact service setup request error broken problem,Onboarding
2,4,3,2,12,0,13,130.91,1,31,1,information contact team update timeout error,Technical
1,4,2,1,15,0,11,171.65,4,35,0,account bug support not working not working update support,Technical
0,51,2,2,10,0,21,1255.47,3,10,0,change error page loading API time unable,Technical
1,1,3,2,11,0,14,102.67,3,65,1,please information loading service update timeout account not working please,Technical
0,35,3,1,11,0,5,65.27,4,6,0,problem information today problem error service help yesterday help,Account
3,1,0,2,16,0,34,131.56,1,61,1,system broken request need,Billing
