num_links,num_images,has_attachment,subject_length,body_length,num_exclamation_marks,num_caps_words,sender_domain_age_days,sender_reputation_score,num_recipients,has_unsubscribe_link,is_html_email,num_spelling_errors,time_sent_hour,contains_urgency_words,contains_financial_words,sender_in_contacts,previous_emails_from_sender,header_authenticity_score,reply_to_mismatch,target
1,2,0,93,3122,1,4,855,0.7886,1,0,0,1,10,0,0,1,3,0.6518,0,0
2,1,0,6,106,0,0,3175,0.7009,2,0,0,0,15,0,0,1,55,0.8136,0,0
0,1,0,14,335,0,3,1427,0.6123,2,0,1,3,1,0,0,0,5,0.695,0,0
1,1,1,25,614,0,3,2,0.7365,3,1,0,0,6,0,0,0,18,0.6669,0,0
2,3,0,22,1308,0,2,279,0.5041,1,0,1,1,0,0,1,1,19,0.6965,0,0
1,1,0,12,242,0,1,272,0.5368,2,0,1,1,21,0,0,0,0,0.8903,0,1
3,3,0,71,844,0,2,416,0.6359,1,1,0,0,17,1,0,1,4,0.7041,0,0
0,1,0,40,810,0,2,1364,0.4209,1,0,0,1,18,0,0,1,6,0.6257,0,0
2,2,0,14,95,0,2,112,0.7411,1,0,1,2,6,0,0,0,6,0.9838,1,1
3,2,1,32,212,3,3,911,0.5609,1,0,1,1,10,0,1,1,9,0.6203,0,0
0,2,0,16,240,2,1,1809,0.7125,1,0,0,0,6,0,0,1,22,0.9041,0,0
1,1,0,25,2404,0,1,383,0.6756,2,0,0,3,15,0,0,1,37,0.9509,0,0
2,4,0,15,461,1,1,933,0.9267,4,0,1,0,3,0,0,1,5,0.4843,0,0
7,0,0,19,786,1,0,133,0.7086,2,0,1,0,3,0,0,1,11,0.7922,0,1
2,2,0,18,520,2,5,1232,0.8099,1,0,0,1,18,0,0,1,10,0.7806,1,0
1,2,0,17,372,1,3,290,0.5915,1,0,0,1,21,0,0,0,0,0.7577,0,1
3,4,0,14,86,3,4,610,0.834,1,0,1,1,8,0,0,1,3,0.7954,0,0
1,3,0,14,913,0,2,434,0.7502,4,1,0,2,6,1,0,1,14,0.6337,0,0
2,1,1,64,223,1,0,3263,0.5598,7,0,1,1,12,1,0,1,1,0.8549,0,0
1,1,0,24,822,0,2,528,0.7866,2,1,1,2,18,0,0,1,11,0.665,0,0
2,0,1,13,3081,1,3,190,0.391,4,1,1,1,12,0,0,0,0,0.7967,0,1
3,1,0,5,110,1,6,1006,0.5208,2,1,1,2,1,0,0,0,11,0.9357,0,0
3,2,1,20,764,2,1,1137,0.8556,1,0,1,1,18,0,0,1,10,0.9094,0,0
0,3,0,37,258,0,0,16,0.5431,4,0,0,3,20,1,0,0,13,0.8291,0,1
2,4,0,39,164,1,1,47,0.7453,1,0,1,2,18,0,0,1,12,0.9565,0,0
0,1,0,64,1227,0,6,542,0.6397,4,0,0,4,20,0,1,0,3,0.7435,0,0
1,1,0,38,1302,1,1,1509,0.7149,2,0,1,0,22,0,0,0,1,0.6401,0,1
5,1,0,11,1407,1,2,1205,0.7531,1,0,1,2,6,1,0,1,15,0.8293,0,0
2,0,0,11,516,4,1,1200,0.8352,7,0,0,3,14,0,0,1,0,0.8145,0,0
4,1,0,24,2319,2,2,135,0.5295,5,0,0,5,13,0,0,1,7,0.8293,0,1
3,1,0,36,107,2,0,432,0.6637,1,1,0,1,3,0,0,0,2,0.4163,0,0
2,3,0,26,318,1,5,2528,0.5139,1,0,1,3,18,0,0,0,5,0.701,0,1
1,1,0,31,375,3,1,58,0.443,1,1,1,3,4,0,0,1,12,0.6499,0,1
0,1,1,87,508,0,4,545,0.9228,1,0,1,3,8,1,0,1,3,0.7636,0,0
1,1,0,24,673,1,0,443,0.5701,3,0,0,0,13,0,0,1,3,0.66,0,0
3,1,0,28,649,0,1,372,0.4708,1,1,1,2,6,0,0,1,5,0.7231,0,0
4,1,0,29,634,1,1,719,0.3194,1,0,0,1,9,0,0,1,4,0.8073,0,0
3,2,0,5,3309,1,2,75,0.7506,1,0,1,2,12,0,0,1,0,0.3546,1,0
2,1,1,21,224,2,1,259,0.5191,7,1,0,1,19,1,0,1,7,0.8528,0,0
2,1,0,16,1566,2,3,1057,0.7824,2,0,0,1,7,0,0,1,3,0.8752,0,0
0,2,1,3,220,0,3,63,0.8009,1,0,1,2,15,0,0,1,6,0.6253,0,0
0,5,1,13,6163,1,2,155,0.8203,1,0,1,4,19,0,0,0,36,0.6443,0,0
1,2,0,34,2678,0,0,623,0.6812,1,0,1,0,6,0,0,1,10,0.8628,0,1
3,0,0,68,1392,0,4,993,0.8143,2,1,0,2,7,0,0,0,13,0.8631,0,0
5,1,0,90,299,1,3,5219,0.7229,1,0,1,2,10,0,0,1,7,0.6067,0,0
3,0,0,88,467,1,1,71,0.6158,3,1,0,1,0,0,0,1,8,0.7405,0,1
3,0,0,14,2579,3,3,443,0.7262,1,0,0,1,23,0,0,0,2,0.8174,0,0
2,0,0,29,207,0,3,269,0.7129,1,0,1,1,16,0,0,1,13,0.7542,0,0
2,1,0,7,96,0,2,926,0.7098,1,0,1,1,2,0,1,0,14,0.7778,0,0
2,1,0,27,454,1,2,2974,0.4958,5,1,0,0,18,0,0,0,15,0.8819,0,0
0,2,0,8,45,1,0,48,0.8793,1,0,1,0,14,0,0,0,12,0.5193,0,0
4,1,0,33,961,1,1,2078,0.8547,1,1,0,1,14,1,0,1,2,0.859,0,0
4,0,0,29,22,0,1,1031,0.6944,1,0,0,1,4,0,0,1,10,0.7147,0,0
1,0,0,12,670,1,1,1211,0.89,1,1,0,1,16,1,0,1,3,0.7697,0,0
0,3,0,67,877,0,3,1944,0.8979,1,0,1,0,3,0,0,1,6,0.9307,0,0
2,6,0,10,129,2,2,156,0.8508,1,0,1,2,13,0,0,0,2,0.9179,0,1
2,2,0,11,992,0,3,525,0.7265,5,1,0,2,7,0,0,0,6,0.6814,0,0
5,2,0,27,85,2,0,282,0.7711,2,1,0,2,1,0,0,1,3,0.8486,1,0
5,2,1,52,195,0,3,2449,0.536,2,0,1,1,20,1,0,0,0,0.6207,0,1
4,5,1,17,211,0,2,170,0.718,3,0,0,2,0,0,0,1,1,0.8337,1,0
2,3,0,38,249,1,3,263,0.5941,1,1,1,2,8,0,0,0,5,0.7403,0,1
1,2,1,16,89,0,2,237,0.7394,3,0,1,2,10,1,1,1,3,0.7688,0,1
1,4,0,15,1196,0,1,139,0.7518,4,0,1,2,22,1,0,1,0,0.5761,0,1
2,1,0,18,317,1,7,682,0.6687,1,0,1,1,12,0,0,0,2,0.5663,0,1
3,2,0,43,179,0,1,113,0.6138,2,0,1,2,6,0,0,0,56,0.8371,0,0
3,1,0,4,632,2,1,2447,0.6929,1,0,0,1,15,0,0,0,0,0.7988,0,0
3,1,0,50,835,0,3,646,0.4505,1,0,0,0,8,0,0,0,10,0.7459,0,0
1,0,0,73,179,2,0,365,0.7192,1,0,0,3,8,0,0,1,16,0.8823,0,0
2,0,0,7,1078,0,2,366,0.545,1,0,1,1,20,0,0,0,7,0.8474,0,0
0,2,0,16,1626,1,2,895,0.7659,1,0,0,4,9,0,0,1,1,0.8024,0,0
2,0,0,49,150,0,1,62,0.9249,6,1,0,0,5,0,0,1,3,0.596,0,0
2,1,0,26,574,2,1,622,0.8655,2,1,0,2,13,0,1,0,20,0.9009,0,0
1,1,0,19,91,0,1,330,0.7307,1,0,1,0,9,0,0,0,8,0.7007,0,0
2,1,0,44,39,0,1,1248,0.6047,1,0,1,0,2,0,0,1,2,0.9114,0,0
4,3,0,7,701,0,0,2822,0.8471,2,1,0,2,7,0,0,0,1,0.8142,0,0
3,1,1,48,916,0,2,1409,0.7118,1,0,1,0,10,1,0,0,14,0.8778,0,1
5,1,0,25,934,1,1,165,0.4606,1,1,1,0,10,0,0,0,0,0.7327,0,0
3,3,0,25,6987,3,1,1015,0.8253,1,0,1,3,9,0,0,1,4,0.6945,0,0
2,1,0,21,2026,2,2,176,0.3743,2,0,0,2,20,0,0,1,9,0.8972,0,0
3,4,1,16,852,3,1,145,0.92,2,1,0,4,6,0,0,0,3,0.7205,0,0
4,1,0,8,3624,0,2,870,0.8355,6,0,1,2,5,0,0,0,3,0.9457,0,1
3,2,1,20,28,1,2,140,0.6579,7,0,1,2,11,1,0,0,0,0.4872,1,1
2,0,0,6,943,2,0,67,0.7095,6,0,0,0,1,0,0,1,4,0.7804,0,1
1,2,0,4,388,0,3,1121,0.3804,1,0,1,2,14,1,1,1,24,0.698,0,1
2,2,0,25,2319,0,1,285,0.669,1,1,0,3,19,0,0,0,12,0.72,0,0
3,0,0,11,116,0,5,842,0.7022,2,0,0,1,11,1,0,1,21,0.4832,0,1
0,2,0,25,223,0,4,928,0.7795,6,0,0,0,12,0,0,1,25,0.809,0,0
3,1,0,26,484,0,3,1286,0.7936,1,1,1,2,9,0,0,1,5,0.923,0,0
5,0,1,16,3484,0,1,215,0.7458,1,0,0,2,10,1,1,1,0,0.6958,0,0
3,2,0,62,233,1,0,2007,0.7069,6,0,0,0,8,0,0,1,5,0.7477,0,0
2,4,1,5,300,0,6,2306,0.6919,1,1,0,2,4,0,1,0,20,0.8256,0,0
1,1,0,23,61,1,3,276,0.5793,2,0,1,1,1,1,0,0,28,0.9071,0,1
0,1,0,8,23,2,2,48,0.9294,3,1,0,3,18,0,0,0,17,0.5459,0,1
0,1,1,33,518,1,1,21,0.5954,1,0,1,2,4,0,0,0,7,0.5157,0,1
1,0,0,33,395,2,1,2792,0.3743,2,1,0,0,13,0,0,0,4,0.7672,0,1
2,0,0,27,979,1,1,4151,0.8335,1,0,1,2,15,0,0,0,60,0.8527,0,0
3,0,0,16,1041,1,1,1214,0.5287,1,1,0,2,6,0,0,1,0,0.8019,0,0
1,2,0,18,78,0,1,396,0.6641,1,1,0,2,9,0,0,0,1,0.9053,0,0
2,1,0,36,2381,1,2,481,0.9718,1,0,0,1,1,0,0,0,22,0.7537,0,0
3,1,0,20,862,2,4,2939,0.6288,1,1,1,1,13,0,0,0,0,0.6555,0,0
1,0,1,39,1722,0,1,1440,0.5009,17,0,0,1,12,0,0,1,4,0.8591,0,0
1,3,0,56,293,1,1,419,0.7545,3,0,0,0,19,0,0,0,0,0.7377,1,0
0,1,0,19,448,3,2,782,0.9566,1,0,0,3,15,0,0,1,2,0.7195,0,0
5,4,0,9,413,1,2,852,0.986,1,1,1,1,6,1,0,0,5,0.7529,0,0
1,1,0,7,127,3,1,270,0.8645,7,0,1,0,2,1,0,0,7,0.7675,0,1
2,1,0,96,889,3,1,988,0.6727,1,0,1,2,13,1,0,1,3,0.8909,0,0
1,2,0,20,416,0,3,578,0.8367,1,0,1,2,22,0,0,1,1,0.7142,0,0
1,1,1,25,245,0,1,53,0.7139,1,0,0,3,10,0,0,1,10,0.7512,0,0
5,1,1,91,524,0,1,4373,0.6009,1,1,0,2,18,0,0,0,0,0.82,0,0
0,0,1,5,936,3,2,4366,0.8897,2,0,0,1,12,0,0,1,1,0.9106,0,0
2,3,1,55,98,2,3,122,0.4279,2,1,0,0,5,0,1,0,2,0.8788,0,1
0,0,0,21,424,1,0,1234,0.6909,1,1,1,2,14,1,0,1,0,0.5306,0,0
5,1,0,14,205,0,3,2341,0.8794,1,0,1,4,18,0,0,1,11,0.725,0,0
2,0,0,160,629,1,4,707,0.524,1,0,0,2,4,0,0,0,0,0.8597,0,0
1,0,0,2,357,0,2,1374,0.9401,5,0,0,0,23,0,0,0,12,0.2837,1,1
2,2,1,40,129,0,2,805,0.6439,5,0,1,2,9,0,0,1,1,0.8031,0,0
3,1,0,50,47,4,3,53,0.6964,1,1,0,4,4,1,0,1,5,0.8437,0,1
1,2,0,11,51,1,4,1395,0.7357,6,0,0,0,19,0,0,1,16,0.7613,0,0
1,2,1,36,62,0,0,4133,0.6409,6,0,0,0,16,0,1,0,7,0.6626,0,0
3,1,0,12,141,2,0,7,0.8294,2,1,0,2,5,0,0,0,1,0.7773,0,0
2,3,0,20,280,2,0,89,0.8288,1,0,1,1,14,0,0,1,3,0.8167,0,1
2,0,1,11,165,0,0,712,0.5617,1,0,1,0,15,0,0,0,26,0.9865,0,1
1,1,0,14,111,0,2,4,0.7831,1,1,0,0,3,1,0,0,1,0.8531,0,1
4,1,0,8,136,1,2,1595,0.7713,3,1,1,1,18,0,0,0,0,0.7548,0,1
1,1,0,22,1189,1,2,4655,0.6195,2,1,1,2,0,0,0,0,32,0.8012,0,0
3,0,1,116,243,1,5,331,0.6582,4,1,1,2,10,0,0,1,13,0.8017,0,0
0,3,0,20,227,0,4,66,0.6653,5,0,1,1,16,0,0,1,32,0.7252,0,0
1,2,0,9,405,0,2,907,0.6916,2,0,0,3,12,0,1,0,15,0.8783,0,0
4,2,0,8,493,2,1,1072,0.64,1,0,1,0,8,0,0,1,4,0.849,1,0
2,1,0,20,1259,0,4,356,0.7917,7,0,1,3,10,1,0,1,9,0.8225,0,0
3,1,0,38,474,1,7,212,0.5794,1,0,1,1,7,0,0,0,3,0.8852,0,1
1,1,0,38,75,1,1,728,0.8099,1,0,0,1,20,0,0,1,2,0.7385,1,0
4,0,0,20,64,2,1,761,0.7555,4,0,1,5,5,0,0,1,1,0.6843,1,0
2,1,0,11,271,1,2,784,0.8071,2,0,1,3,6,1,0,1,13,0.8593,0,1
0,4,0,7,78,1,2,327,0.8118,3,0,1,0,8,0,1,0,9,0.918,0,0
2,1,1,23,804,1,5,73,0.6479,1,1,0,4,20,0,1,0,4,0.8953,0,0
0,2,0,8,3144,0,0,598,0.7451,9,0,0,2,9,0,0,1,0,0.706,0,0
3,0,0,53,173,1,2,371,0.5046,1,0,1,3,19,0,0,0,2,0.8994,0,0
1,3,0,21,990,0,1,274,0.313,1,0,1,3,14,1,1,1,1,0.4801,0,1
0,3,0,58,2478,1,1,1946,0.7328,11,1,0,1,23,0,0,1,1,0.8303,0,0
0,0,0,27,407,0,5,2167,0.5921,1,0,0,0,22,0,0,1,6,0.6591,0,0
0,2,0,54,987,3,1,1737,0.6933,6,1,1,2,19,0,0,1,19,0.6275,0,0
2,1,1,18,50,0,7,45,0.7832,4,0,0,0,16,0,0,0,1,0.836,0,0
2,3,1,27,213,1,6,1578,0.742,1,0,1,3,5,0,0,0,9,0.8282,0,1
0,3,0,14,167,3,1,51,0.9629,1,0,1,3,0,0,1,1,19,0.6655,0,0
1,0,0,16,467,3,1,318,0.8309,1,0,0,3,7,0,0,1,3,0.7496,0,0
3,2,1,21,3675,0,1,1087,0.708,3,0,0,0,23,0,0,1,8,0.9013,0,0
3,2,0,8,106,1,2,223,0.7343,2,0,1,3,0,0,0,0,10,0.6709,0,0
1,1,1,8,683,1,2,894,0.5623,3,0,0,1,3,0,0,1,10,0.8175,0,0
2,0,1,36,72,0,4,5149,0.3565,2,0,1,2,18,0,0,1,1,0.7083,0,0
1,1,1,84,857,1,2,1317,0.8463,2,0,0,0,7,0,0,1,11,0.7717,0,0
5,2,0,26,122,1,2,418,0.7076,1,0,0,2,7,0,0,0,5,0.8295,0,0
0,2,1,17,209,2,1,250,0.8507,1,1,0,1,9,1,0,1,3,0.7677,0,1
1,1,1,23,358,0,1,5107,0.7051,1,0,0,0,3,0,0,1,13,0.8473,0,0
3,1,1,12,209,1,5,184,0.9742,1,1,1,2,15,0,0,1,3,0.8654,0,0
2,2,1,15,175,0,2,25,0.7344,1,0,1,1,12,0,0,1,9,0.8099,0,0
2,2,1,23,2138,2,3,2639,0.525,7,0,1,3,11,0,0,1,11,0.9946,0,0
1,0,0,20,155,0,0,481,0.9537,1,0,1,0,7,0,1,1,1,0.7774,0,0
3,1,0,46,404,1,2,3698,0.7847,1,0,0,5,2,0,0,1,13,0.6363,0,0
0,0,0,11,114,2,2,1314,0.4801,3,0,0,1,21,0,0,1,12,0.7928,0,0
2,1,0,5,22,1,5,303,0.5699,1,1,1,2,20,0,0,1,0,0.636,0,0
1,4,1,34,66,1,2,1456,0.6337,3,0,0,1,8,0,0,0,1,0.8112,0,0
2,1,1,20,232,0,6,2024,0.4112,1,0,0,0,10,0,0,0,7,0.909,0,1
2,1,0,42,1018,1,3,664,0.7441,6,0,0,1,19,0,0,1,10,0.6196,0,0
2,1,0,6,429,1,2,2607,0.9679,1,1,0,3,3,0,0,1,3,0.7514,0,0
6,1,0,28,181,2,3,270,0.7067,1,0,1,2,16,0,0,0,1,0.8452,1,1
0,2,0,8,181,1,1,41,0.958,1,1,0,0,0,0,0,0,13,0.6785,0,1
2,1,0,13,563,0,4,134,0.6632,1,0,1,3,20,0,0,0,3,0.7522,0,1
0,1,1,14,189,0,2,3074,0.6908,2,1,1,2,10,0,0,0,20,0.8373,0,0
0,0,0,15,471,0,5,603,0.7733,2,0,1,1,0,0,1,1,13,0.8388,0,0
4,1,0,29,1319,2,0,157,0.5516,1,0,1,1,23,1,1,0,38,0.469,0,1
1,1,1,12,26,0,1,266,0.8177,1,1,0,1,18,0,0,0,1,0.4797,1,1
2,3,1,64,89,0,1,726,0.5906,1,0,1,3,17,0,0,1,0,0.882,0,0
0,4,0,15,717,1,3,1176,0.7854,3,0,0,2,10,0,0,1,5,0.4558,0,0
2,1,0,15,691,3,4,2543,0.8157,1,1,1,3,19,0,0,1,16,0.8213,0,0
4,1,1,17,392,0,4,134,0.779,5,0,1,2,5,1,0,1,2,0.7076,0,1
3,3,0,2,170,2,1,658,0.885,1,0,1,2,13,0,0,0,9,0.8483,0,0
2,3,0,15,538,2,1,784,0.7914,1,1,1,2,16,0,0,1,14,0.8293,0,0
4,4,1,21,317,3,3,77,0.5329,6,1,1,1,6,0,0,1,6,0.8688,0,1
1,1,0,17,316,1,3,1343,0.7589,3,1,0,3,19,1,0,1,1,0.6596,0,0
2,1,0,12,197,0,3,1711,0.5932,8,0,1,3,23,0,0,0,34,0.8971,1,0
3,4,0,32,394,5,0,879,0.721,1,0,0,0,15,0,1,1,0,0.527,0,0
4,2,1,19,42,2,1,1698,0.6423,3,1,1,2,12,0,1,1,4,0.6602,0,0
2,1,0,15,217,3,4,374,0.9643,1,0,0,2,11,0,0,1,0,0.8803,0,0
0,1,0,10,2898,1,5,1037,0.5428,6,1,0,0,16,0,0,0,6,0.8679,0,1
0,1,1,6,835,1,1,796,0.643,4,0,0,3,21,0,0,1,1,0.6747,0,0
0,2,0,12,656,0,1,79,0.7688,1,0,1,2,19,0,0,0,1,0.7155,0,1
2,3,0,18,962,1,1,714,0.8648,2,1,1,2,12,1,0,0,13,0.639,0,0
1,2,0,26,487,0,1,3602,0.5198,1,1,1,0,6,0,0,1,15,0.693,0,0
5,1,0,13,192,1,4,1228,0.8141,1,1,0,0,0,0,0,1,0,0.6189,0,0
3,1,1,22,212,1,1,674,0.8792,7,1,1,2,8,0,0,0,11,0.8434,0,0
5,2,0,33,480,1,1,189,0.3643,7,0,1,0,2,0,1,1,7,0.6663,0,1
2,2,0,14,1082,0,2,94,0.6012,2,0,1,0,22,0,0,1,19,0.8293,0,0
3,2,0,24,609,1,1,448,0.8512,1,0,1,1,17,1,0,1,15,0.9164,0,0
1,1,1,33,515,0,4,1608,0.5404,6,0,1,1,15,0,0,1,0,0.5821,0,0
1,1,1,7,59,1,1,361,0.5801,1,0,1,1,20,0,0,1,2,0.9032,0,0
0,2,1,37,295,0,1,703,0.7699,1,0,0,0,2,0,0,1,11,0.9412,0,0
8,0,1,24,182,2,1,2828,0.6046,2,1,1,1,13,0,0,1,1,0.7759,1,0
1,2,0,27,187,1,2,719,0.3724,6,0,1,1,22,0,0,1,26,0.5537,0,0
1,0,0,12,440,2,3,142,0.9552,2,0,1,1,8,1,0,0,2,0.7421,0,1
0,2,0,18,353,2,4,2754,0.9223,1,1,0,0,4,0,0,1,3,0.7895,0,0
1,1,0,21,405,1,6,62,0.3768,2,0,1,0,20,0,1,1,2,0.8506,0,1
2,4,0,14,580,1,0,2135,0.7387,4,0,1,1,3,0,0,1,1,0.5206,0,0
2,3,1,54,91,0,2,245,0.7412,1,0,1,1,7,0,1,0,23,0.8583,0,1
3,3,1,31,2613,1,1,1367,0.8055,1,0,0,1,21,0,0,0,7,0.4464,0,0
6,3,0,14,208,2,2,1221,0.9121,1,0,0,4,8,0,0,1,26,0.7378,0,0
1,2,0,39,76,1,3,3628,0.3822,2,0,0,2,8,0,0,0,10,0.6327,0,0
3,0,0,7,198,1,2,916,0.9472,8,1,1,0,8,0,0,0,9,0.7565,0,0
3,0,0,32,333,0,2,2426,0.8001,1,0,0,2,13,0,0,0,4,0.6992,1,1
1,3,0,21,105,0,2,248,0.6145,2,1,0,2,20,0,0,1,58,0.6722,0,1
4,1,0,16,2906,2,3,141,0.8709,1,0,1,1,23,0,1,0,12,0.843,0,0
1,3,0,28,385,1,2,854,0.7569,1,1,1,1,6,0,0,1,10,0.9809,0,0
3,1,0,33,1288,0,0,525,0.897,18,0,1,1,17,0,0,0,10,0.8361,0,0
3,1,0,20,345,1,2,233,0.3738,5,0,1,2,8,0,0,1,19,0.6002,0,1
3,1,1,19,289,1,0,1499,0.7235,3,0,1,5,7,0,0,0,18,0.8177,0,0
4,3,0,50,358,0,4,226,0.8718,3,1,1,1,14,0,0,0,5,0.9171,0,1
5,1,0,9,303,1,2,323,0.857,1,0,0,1,0,0,0,1,8,0.9899,0,0
2,3,0,23,125,1,4,519,0.56,2,1,0,0,17,1,0,1,21,0.7603,0,0
2,0,0,33,129,1,3,2403,0.5228,5,0,0,1,17,0,0,0,10,0.7413,0,0
1,1,0,16,298,0,1,2894,0.4438,1,0,1,3,14,0,0,1,0,0.7148,1,0
2,2,0,28,721,3,2,428,0.6195,1,0,0,0,4,1,0,1,9,0.5392,0,0
4,2,1,37,457,0,2,1421,0.6127,1,0,1,3,20,0,0,0,4,0.8612,0,1
3,2,0,120,372,1,3,642,0.7378,1,0,0,1,16,1,0,0,33,0.7244,0,1
3,1,1,21,98,0,2,381,0.523,2,0,0,0,21,1,0,0,11,0.863,0,0
0,0,0,28,895,0,1,501,0.4709,4,0,1,3,12,0,0,1,6,0.3923,1,0
3,0,0,10,186,1,3,1498,0.6809,3,0,0,2,20,0,0,1,17,0.8557,0,0
1,2,0,17,458,2,2,374,0.6794,1,0,0,0,20,1,0,1,17,0.2572,0,1
1,2,0,40,1239,0,0,1069,0.6081,4,0,1,1,20,0,0,1,11,0.4516,0,0
3,2,1,6,101,0,1,228,0.8234,1,0,1,3,4,1,0,0,26,0.5984,0,0
3,2,0,12,5098,3,0,197,0.7318,1,0,0,2,2,0,1,0,8,0.9223,0,1
5,1,0,16,23,0,2,844,0.8752,1,0,1,1,14,0,0,0,22,0.7745,0,0
0,3,0,21,142,2,3,1365,0.7174,1,0,0,0,6,0,0,1,4,0.7043,0,0
3,2,0,11,462,1,3,555,0.4086,2,0,1,4,21,1,0,1,8,0.7083,1,1
1,0,0,14,219,0,3,42,0.7721,2,1,1,0,3,0,0,1,0,0.5829,0,1
2,2,1,15,99,1,4,903,0.567,1,1,1,2,7,0,0,1,5,0.7309,0,0
2,0,0,12,100,1,0,56,0.7202,1,0,1,0,17,0,0,1,52,0.8051,0,1
2,0,0,40,81,1,5,1058,0.546,1,0,1,2,12,0,0,0,0,0.9314,0,1
4,1,1,28,102,1,3,178,0.5072,4,0,1,2,1,0,0,1,11,0.9067,0,0
5,2,0,5,4125,0,3,1324,0.5569,1,1,0,2,18,0,0,1,14,0.4904,0,0
0,0,0,21,61,2,4,10,0.5836,1,0,1,0,3,0,0,0,3,0.7166,0,1
2,3,0,7,1551,3,0,634,0.2893,1,0,1,2,17,0,0,0,5,0.4734,0,1
1,3,1,38,351,0,0,501,0.8322,5,0,0,2,8,0,0,1,6,0.5488,0,1
0,2,1,18,1505,1,2,1419,0.8075,1,0,0,2,4,0,0,1,0,0.8263,0,0
3,2,1,23,1904,1,0,254,0.4528,8,0,1,1,19,1,0,0,2,0.427,0,1
3,0,0,13,181,1,2,922,0.5555,1,1,1,2,15,0,0,0,22,0.6581,0,0
3,2,0,66,1711,1,3,217,0.6935,1,1,0,0,17,0,0,1,0,0.5706,0,1
5,2,0,14,1347,1,2,53,0.643,3,1,1,1,23,0,0,1,14,0.9579,0,0
1,0,0,14,442,1,2,830,0.926,1,0,0,1,4,0,0,0,1,0.9079,0,0
5,2,0,54,1545,0,3,730,0.4607,7,0,0,1,12,0,0,1,17,0.9155,0,0
0,2,1,13,906,2,2,3912,0.8651,1,0,0,2,6,0,0,1,4,0.8194,0,0
3,0,0,13,1217,3,1,435,0.8292,1,1,1,1,5,0,0,0,27,0.9325,0,1
2,1,1,8,77,0,2,1865,0.6585,3,0,1,2,12,0,0,0,12,0.3775,0,0
2,0,0,74,1335,2,2,468,0.7659,1,0,1,1,2,1,0,0,1,0.646,0,0
0,3,0,14,92,0,0,1258,0.7975,2,1,0,2,8,1,0,1,10,0.6348,0,1
3,1,0,4,2022,1,1,2239,0.8535,1,1,1,1,3,0,0,1,1,0.7021,0,0
1,2,1,27,2263,1,2,2280,0.8772,1,0,0,1,8,0,0,0,3,0.5006,0,0
4,1,0,6,342,3,1,1251,0.7325,2,0,0,1,17,0,0,0,0,0.8208,0,0
4,4,0,75,1583,0,2,625,0.851,1,0,0,1,12,0,0,1,21,0.7691,0,0
