years_at_company,monthly_salary,overtime_hours_per_week,num_projects,last_promotion_months_ago,satisfaction_score,manager_rating,department,commute_distance_miles,stock_option_level,training_hours_last_year,work_life_balance,relationship_with_manager,age,education_level,num_companies_worked,years_since_role_change,performance_rating,target
1.8,7057.06,17.4,12,25,7.8,3,1,29.3,0,29.2,3,4,29,4,3,8.9,5,0
6.0,3783.59,2.5,4,5,1.0,4,2,20.1,2,27.6,3,2,23,5,0,1.4,5,0
0.8,3624.96,6.9,2,8,7.3,3,0,2.9,0,23.8,4,3,34,4,3,2.8,3,1
0.7,7670.52,0.1,4,5,5.4,5,6,48.0,0,23.1,2,3,26,2,3,6.0,3,1
0.5,6539.74,0.7,3,35,9.3,1,5,11.3,0,40.8,5,4,34,4,0,9.9,5,0
5.2,7557.67,1.6,3,34,5.6,4,6,6.6,0,37.8,4,3,45,3,3,0.4,3,0
2.0,4577.78,0.1,1,23,5.1,3,3,1.0,0,2.5,4,5,38,2,2,1.8,5,0
3.4,10692.8,3.7,2,5,9.9,5,5,4.8,2,20.5,2,1,21,3,0,3.8,3,0
8.3,4436.64,20.0,1,10,7.3,4,5,9.8,0,13.5,3,4,26,3,2,2.1,3,1
5.2,3685.85,4.7,4,10,5.1,4,6,4.7,2,32.5,3,5,37,2,3,5.9,5,0
4.7,5679.9,1.0,2,33,7.3,3,4,25.7,1,14.1,1,3,36,1,3,0.6,3,0
13.6,6689.45,0.8,5,24,8.7,3,0,19.4,1,14.4,4,4,35,3,1,1.0,3,1
0.6,11990.27,2.8,3,1,7.6,3,0,11.9,0,30.6,3,4,29,5,0,7.7,5,0
7.0,3300.0,2.6,7,5,4.0,1,6,1.9,3,37.8,4,5,21,4,0,3.6,3,0
4.6,9739.62,0.2,5,27,10.0,1,5,40.5,0,25.2,5,5,30,5,3,1.9,3,0
0.4,3891.64,0.1,4,2,3.8,4,2,8.2,1,12.3,3,2,31,3,2,4.1,2,0
0.5,10628.58,2.5,4,37,10.0,5,0,27.4,0,22.3,3,3,27,3,3,0.2,3,0
0.4,9786.78,7.2,2,2,10.0,4,1,4.8,1,23.6,2,4,21,5,0,0.6,2,0
3.2,14736.48,2.5,7,2,6.8,4,0,7.5,3,15.3,4,3,42,3,4,5.2,3,0
0.5,9209.78,16.4,5,11,7.3,3,2,5.2,2,40.0,2,2,21,2,1,8.8,4,0
1.8,6944.66,1.0,8,6,8.8,3,0,1.6,1,9.7,3,1,41,2,2,1.8,2,0
0.4,7435.99,0.5,3,1,10.0,4,3,11.7,0,31.8,3,3,27,2,4,2.2,2,0
8.0,4721.82,0.5,2,9,5.5,1,2,11.6,0,28.7,1,4,52,2,2,0.5,3,1
3.2,12180.11,2.1,3,1,6.3,3,6,18.2,0,29.7,3,4,39,5,2,2.6,3,0
2.5,4479.72,2.2,4,0,6.7,5,2,7.0,1,26.1,2,4,56,2,3,0.6,2,1
5.4,5166.0,0.8,1,5,3.1,3,1,2.2,0,28.3,2,2,39,3,0,0.5,3,1
2.5,5066.89,2.0,5,20,5.6,1,1,18.3,3,13.8,3,5,46,2,0,0.8,4,0
0.2,5646.48,0.2,4,1,7.5,4,0,12.6,0,16.1,3,2,40,4,0,0.2,3,0
8.9,11223.26,9.9,4,3,8.1,4,6,11.0,3,23.6,3,3,24,3,3,3.4,4,1
1.0,2900.0,1.1,4,24,6.4,3,4,7.8,1,7.2,3,2,48,2,5,1.8,5,0
0.2,7277.07,3.9,1,52,8.3,4,0,6.0,2,28.1,4,5,31,3,1,5.1,3,0
1.6,6500.44,2.3,1,17,3.4,4,6,31.3,0,14.6,4,3,27,4,1,4.2,3,1
6.2,12164.85,1.6,4,4,4.8,3,3,12.8,2,14.3,1,4,37,5,2,5.6,4,0
0.8,6269.81,4.4,3,23,6.7,3,6,14.0,1,16.4,2,4,39,2,0,5.8,4,0
2.9,10490.67,2.1,3,11,7.2,5,6,3.6,3,23.6,5,2,38,5,2,3.1,3,0
4.4,9869.2,2.1,3,14,7.4,2,1,32.3,0,39.1,2,2,41,4,3,1.4,4,1
6.2,11373.12,19.1,5,6,7.5,4,3,12.7,1,11.6,3,1,21,4,0,4.3,5,0
1.5,8495.38,7.7,1,3,5.4,2,2,25.4,2,28.2,2,4,35,2,2,1.6,1,0
4.7,5697.86,2.7,6,16,6.7,2,2,1.2,0,3.3,3,5,34,5,1,4.0,3,0
7.4,6893.05,1.6,3,31,7.2,4,1,1.0,0,19.5,2,3,29,2,5,0.6,4,0
6.4,8252.72,1.6,4,6,7.1,3,5,8.7,2,32.5,3,2,26,3,4,2.4,3,0
4.2,11832.35,5.3,1,65,2.3,4,2,4.4,3,20.9,3,1,44,1,3,1.3,4,0
4.1,11365.4,4.1,4,16,7.2,2,0,22.2,0,23.9,3,4,64,4,2,1.0,4,1
1.4,16204.33,3.0,6,20,4.3,4,5,2.9,1,42.5,2,2,34,3,1,4.8,4,0
2.2,9308.17,0.6,1,44,9.5,3,0,15.3,0,19.7,2,3,40,3,7,0.4,4,0
0.7,9459.01,4.8,1,65,5.5,1,3,6.3,2,15.0,5,3,29,2,5,0.4,4,0
7.4,4660.76,7.7,3,12,7.3,4,5,3.4,3,8.6,2,1,53,3,1,6.2,3,1
7.3,14420.05,8.6,4,8,5.8,2,4,1.0,0,0.0,4,2,36,2,3,1.4,5,0
0.3,9208.94,6.3,5,7,7.3,3,2,1.8,1,20.7,2,3,35,4,2,0.4,3,0
3.4,10198.58,2.7,4,13,9.0,5,5,17.0,1,25.3,3,1,26,2,1,0.5,3,0
0.9,4069.9,0.3,4,25,7.1,2,1,6.2,0,19.8,2,3,34,4,5,0.1,5,0
1.3,5979.78,0.6,3,1,6.3,2,1,2.8,0,10.1,4,2,40,2,2,1.0,4,0
6.5,6040.92,1.6,1,6,6.7,4,3,19.1,2,21.6,1,4,42,4,2,2.5,3,0
4.6,17182.23,1.0,3,1,2.3,5,1,28.0,1,21.8,3,3,39,5,0,0.7,3,0
3.1,6804.7,0.6,3,41,10.0,4,2,1.0,1,10.2,3,4,29,4,6,3.9,4,0
6.0,12196.73,1.3,3,13,5.6,3,0,10.3,1,21.0,5,3,24,2,5,0.2,3,0
1.4,11896.54,1.5,3,57,6.5,3,4,17.1,0,36.9,3,3,30,3,2,2.4,3,1
0.4,25485.3,6.9,1,31,7.9,5,6,10.4,2,24.8,2,4,44,3,3,4.0,4,0
3.8,4540.15,1.5,5,4,6.4,4,0,4.2,1,42.6,5,3,36,3,2,1.0,4,1
2.3,14375.22,0.2,8,3,6.2,2,6,8.2,2,16.9,5,5,32,3,0,1.7,4,0
1.5,9645.53,1.0,3,24,10.0,5,4,30.6,1,33.3,4,2,40,2,3,1.8,3,0
3.7,7528.88,6.2,7,0,5.3,4,6,22.3,0,20.1,4,4,26,3,0,0.1,4,0
0.1,7377.45,3.2,5,12,5.2,4,2,18.6,3,13.8,3,4,50,2,2,1.7,3,0
1.1,3865.91,6.9,5,30,5.0,2,5,1.1,0,7.0,5,3,43,5,1,0.1,2,0
0.5,8335.26,7.9,2,56,10.0,5,5,12.5,0,15.3,3,2,33,3,1,2.7,3,0
3.3,4192.59,1.1,4,4,4.5,1,4,1.0,0,18.5,1,1,51,3,2,2.9,3,0
0.7,9995.49,11.5,1,15,6.3,3,4,6.0,1,30.4,3,1,28,2,0,3.8,3,0
3.7,3533.93,1.5,2,8,8.4,3,3,7.4,0,25.3,4,4,21,2,1,5.7,3,0
3.2,12130.52,1.7,1,0,5.7,3,6,4.8,0,26.5,3,3,45,2,5,0.3,3,0
9.5,8238.12,12.4,1,32,7.1,4,6,1.9,2,5.1,3,3,26,3,2,3.4,2,0
7.0,12265.31,0.9,2,41,7.7,3,1,12.8,2,21.9,4,5,46,4,5,3.1,4,0
10.8,5360.58,4.7,2,8,7.1,5,5,15.4,1,27.6,3,5,47,3,3,4.6,4,0
0.1,8621.09,0.7,4,38,5.1,3,4,8.6,1,31.6,3,4,34,4,4,1.2,3,0
6.8,7396.14,3.2,3,6,2.1,3,1,3.8,3,33.5,4,2,26,2,4,0.7,5,1
3.7,8709.44,13.4,1,1,10.0,4,6,8.8,0,10.6,3,4,40,3,1,1.4,3,0
0.7,6758.75,1.2,1,9,6.7,4,0,9.5,0,29.1,3,3,21,2,3,5.9,4,0
2.5,14375.72,0.9,4,10,4.3,3,5,1.1,0,13.9,5,2,37,3,4,0.8,3,0
5.6,18002.33,0.5,2,58,4.9,1,4,21.3,0,10.9,2,4,50,5,0,12.1,3,0
2.3,19457.61,14.4,4,9,5.1,3,1,1.9,0,13.9,4,1,43,5,2,6.9,4,0
4.2,3238.34,3.5,2,3,4.4,1,1,1.0,1,7.0,2,3,21,1,2,0.9,4,1
1.1,9529.9,2.9,2,11,10.0,3,0,1.3,1,22.7,4,1,50,3,9,2.6,1,1
0.4,33000.0,0.5,5,17,9.6,3,0,17.1,1,4.2,1,5,31,4,1,1.0,3,0
2.1,6241.4,0.2,3,3,5.1,4,1,15.2,2,10.1,3,3,50,1,3,2.5,3,0
3.1,12117.39,0.4,6,2,6.8,3,1,1.0,1,14.9,3,3,23,1,0,8.4,1,0
3.5,5095.93,2.3,6,1,5.6,5,1,5.0,0,2.6,3,3,34,5,4,20.0,4,1
4.0,12317.98,2.0,1,11,6.9,4,3,26.8,0,36.7,3,4,29,3,1,0.1,4,0
3.5,6614.35,6.8,3,27,9.8,2,4,8.0,0,25.2,3,2,50,3,1,3.0,3,0
12.6,5824.58,1.9,2,16,4.8,4,2,3.7,1,5.0,2,2,33,4,1,2.2,4,1
4.8,4026.98,2.5,1,2,6.1,5,0,1.0,1,15.1,5,3,27,2,3,0.4,4,0
10.3,6268.69,0.0,2,35,5.4,5,1,3.4,0,0.0,1,2,24,1,6,0.6,4,0
1.0,4418.64,2.3,1,0,7.6,4,1,39.2,0,15.5,3,4,46,2,1,2.7,4,1
14.9,9894.48,6.5,4,1,5.0,3,1,20.3,0,29.0,3,5,37,2,3,5.3,4,1
4.3,15613.23,1.6,7,8,9.5,4,3,1.0,1,26.1,2,5,53,3,5,0.7,4,0
3.1,13344.81,0.6,6,29,5.2,3,0,9.4,0,9.6,4,4,23,5,0,1.7,4,0
4.6,9173.9,0.5,1,0,8.4,2,4,1.8,1,0.0,3,3,32,4,2,3.5,3,0
0.1,15756.72,4.5,4,2,7.2,2,0,1.0,0,13.6,4,5,21,4,3,2.9,3,0
0.7,5236.29,2.9,1,2,7.0,4,4,5.0,2,35.5,3,5,26,3,3,0.2,4,1
4.9,8305.23,0.9,4,30,5.7,3,1,22.5,2,12.5,3,1,26,5,2,0.5,3,1
2.5,9737.24,3.1,1,3,4.7,4,2,8.2,2,22.7,3,3,34,3,5,1.3,3,0
0.8,9847.57,0.9,4,7,9.2,5,4,5.0,2,19.7,4,4,30,1,2,1.3,4,0
0.2,6837.42,0.5,3,8,6.3,3,1,1.0,0,16.0,2,4,26,4,2,0.1,2,0
3.5,3876.85,0.4,3,2,6.2,3,0,20.6,2,20.4,2,4,36,1,3,6.4,2,0
2.3,10906.17,7.4,3,0,4.6,5,3,13.8,0,9.9,1,5,39,3,3,3.5,2,1
10.0,6196.77,8.3,3,37,8.4,4,6,4.2,2,35.4,3,5,34,4,4,0.2,3,0
1.3,14387.79,1.8,1,15,6.3,5,5,9.2,1,2.0,4,4,31,1,3,13.0,3,0
5.2,11470.81,7.7,5,4,7.6,2,1,16.8,1,18.8,4,4,34,2,4,0.2,3,0
7.0,13229.76,0.0,1,4,6.2,3,1,1.7,0,7.5,3,3,29,3,1,5.0,4,1
3.0,6934.7,0.6,1,3,5.0,1,3,11.7,1,7.8,4,2,46,2,5,5.0,3,1
1.7,9356.51,11.0,4,14,9.4,5,4,1.0,1,48.8,3,3,38,3,2,0.8,3,0
3.4,7844.73,2.0,3,2,9.0,3,6,10.0,2,18.6,3,3,48,3,4,2.9,4,0
1.8,3445.2,11.0,5,7,3.8,3,6,3.1,1,6.8,2,3,43,1,2,4.7,1,1
10.1,15158.44,14.3,2,27,6.8,4,4,21.6,1,21.7,3,3,40,2,5,0.2,4,0
1.3,20302.96,1.1,1,24,3.8,3,3,2.7,0,32.4,4,5,64,3,0,4.5,5,0
1.4,13680.71,0.7,2,47,7.2,5,6,9.4,2,15.0,3,3,21,2,1,0.7,3,0
0.8,3100.0,1.4,2,2,1.0,4,6,2.1,2,23.0,4,2,41,3,1,1.4,3,1
2.4,12323.75,3.8,3,5,4.9,1,0,12.9,0,5.3,1,2,31,4,4,2.6,2,0
1.2,13678.03,1.6,2,13,6.7,3,0,11.6,0,22.8,4,3,35,3,1,2.9,4,0
6.2,16507.75,1.1,8,15,9.4,3,4,12.3,1,25.4,5,3,39,4,2,0.0,3,0
2.0,4935.78,3.8,7,1,4.6,3,6,4.7,1,7.2,2,2,41,4,3,4.3,3,0
0.6,12789.49,2.3,5,16,5.4,2,3,15.5,3,43.9,4,3,38,4,0,1.2,1,0
6.6,3100.0,0.1,3,1,6.5,4,3,20.3,0,12.8,4,3,37,3,2,7.5,3,0
0.7,12198.96,2.0,1,2,8.0,3,0,2.8,0,11.2,3,5,25,4,0,0.1,3,0
5.6,5346.05,1.0,4,5,4.9,3,6,5.3,0,34.2,3,4,39,2,2,3.3,3,0
9.2,5293.52,5.0,2,35,10.0,3,2,22.3,0,6.7,4,4,31,3,3,6.3,4,0
2.9,12424.3,4.3,4,2,7.1,4,2,2.3,2,18.3,2,3,35,5,0,0.8,3,0
0.3,7218.69,10.0,1,1,6.3,3,3,19.6,0,25.8,3,3,46,4,1,1.7,3,0
0.6,7690.2,4.7,2,21,9.2,2,4,12.1,1,41.6,4,5,40,3,1,12.3,2,0
0.1,5195.07,4.8,5,0,6.9,4,6,25.3,0,4.3,4,3,21,3,2,7.4,3,1
4.6,4167.86,1.4,1,22,8.0,4,4,3.3,1,22.8,1,3,31,4,2,5.3,5,0
1.2,4486.31,5.2,4,14,6.3,5,3,5.7,2,8.7,3,3,30,3,4,2.3,3,0
2.2,13559.69,1.5,4,21,8.5,3,4,1.0,1,13.7,4,4,21,4,1,0.5,3,0
1.6,5532.0,4.1,8,44,6.8,4,4,4.3,1,23.2,2,3,22,1,2,3.4,4,1
0.8,6180.87,0.3,1,3,4.1,5,4,5.3,0,7.8,3,1,25,1,2,3.6,3,0
3.1,4166.68,2.7,5,1,9.4,4,0,47.8,3,46.8,4,2,21,3,3,5.0,5,0
7.8,6550.42,1.9,2,8,5.2,4,0,21.5,0,21.9,3,5,26,5,1,1.4,2,1
0.9,7976.5,0.7,5,2,6.6,3,2,14.8,1,18.0,3,3,26,5,2,0.5,2,0
5.1,6205.05,13.3,6,26,7.8,5,1,21.0,3,12.0,3,4,37,5,3,1.6,3,0
5.4,8886.4,8.5,5,21,5.8,3,1,9.5,2,21.4,2,4,29,2,1,0.9,2,1
3.1,4643.11,0.3,5,41,6.5,5,0,3.1,0,6.0,2,4,31,3,2,0.4,3,0
3.7,4258.09,6.8,5,2,7.6,4,6,1.5,2,27.7,2,1,27,3,2,3.1,3,1
4.6,10432.13,2.5,4,17,9.8,5,0,6.8,1,35.2,2,5,60,3,0,0.4,4,0
7.4,20103.02,3.8,2,0,6.8,2,5,18.2,0,22.9,3,4,41,4,2,2.4,4,0
3.9,4349.63,9.2,1,29,7.2,3,3,2.3,1,9.8,5,3,24,4,1,1.2,4,0
6.8,8944.77,2.3,4,54,7.9,4,3,11.0,1,31.0,2,4,41,2,4,3.2,3,1
11.6,4117.99,1.7,1,0,10.0,4,2,7.0,0,32.3,3,4,23,4,2,4.4,3,0
6.2,15654.14,8.1,4,4,5.4,5,1,1.0,1,45.3,4,4,37,2,1,8.1,4,0
9.1,12564.63,0.3,4,1,4.0,3,5,38.5,1,14.8,2,2,34,3,0,0.6,3,0
0.7,8428.92,2.0,3,21,7.6,3,0,7.0,0,14.3,2,3,22,3,4,1.0,2,0
2.4,6893.88,1.1,4,0,6.0,5,0,6.5,0,44.0,5,3,47,1,1,0.8,4,0
3.6,10009.11,2.2,5,7,3.9,2,3,1.0,2,5.7,3,4,35,3,1,1.8,4,1
5.1,5977.8,4.8,6,0,8.6,3,5,1.0,0,37.9,3,5,27,1,5,0.1,3,0
1.0,12357.36,0.1,2,38,3.3,3,5,20.7,3,12.9,3,3,28,3,2,3.3,3,0
0.8,7565.29,3.6,2,10,7.4,3,2,5.0,1,14.1,3,3,42,4,0,4.3,3,0
2.9,12818.6,4.8,5,3,7.0,3,2,23.0,1,11.4,2,3,36,2,2,3.0,2,0
1.5,5040.35,5.0,4,7,4.9,3,0,1.7,1,25.5,4,4,36,4,4,0.4,4,0
0.2,5230.06,2.6,2,20,1.8,4,0,5.8,0,12.3,5,5,30,3,3,0.0,3,0
1.4,11555.27,0.4,3,31,9.1,1,1,5.9,0,47.5,2,5,36,2,3,5.9,4,0
9.5,9285.18,8.1,2,36,4.2,3,1,11.1,1,7.3,1,1,21,4,2,0.5,3,1
8.0,10325.56,0.6,4,3,5.2,2,3,39.8,2,22.7,3,4,45,3,2,1.8,2,1
4.7,5486.85,6.6,5,6,6.9,4,2,23.1,0,23.6,5,5,30,2,5,5.8,3,0
0.4,10037.92,5.1,1,97,8.5,3,3,5.5,1,23.2,5,3,31,2,4,0.3,2,1
6.6,13453.41,1.7,4,7,6.4,5,5,6.9,1,10.3,2,1,40,3,5,0.3,1,0
6.4,12991.2,2.2,2,1,8.6,4,6,12.9,0,21.6,3,3,40,3,2,3.7,3,1
0.3,6629.26,3.1,1,15,4.6,3,3,3.0,1,16.1,2,5,40,3,1,6.0,4,1
0.4,8611.58,1.5,2,43,3.6,2,1,22.1,3,30.2,5,4,33,2,4,0.9,2,0
1.1,4682.68,5.3,3,12,8.8,2,2,19.8,2,27.8,4,3,21,1,1,4.5,2,0
1.5,16102.71,0.8,4,59,6.9,2,2,29.3,1,24.5,1,3,41,2,3,5.9,2,0
4.3,18274.25,5.5,1,27,5.3,5,6,11.3,0,28.9,4,2,38,1,1,0.6,3,0
2.7,6573.84,3.8,1,27,5.4,2,6,1.0,2,25.0,4,5,41,3,1,0.2,4,0
1.4,8556.32,1.6,3,7,3.9,5,5,35.8,3,12.7,4,4,52,3,2,0.5,3,0
4.7,16205.91,0.0,7,25,6.6,4,5,28.7,0,24.7,2,2,44,5,2,1.3,5,1
0.4,15326.52,5.3,2,7,5.8,3,1,3.7,2,0.0,3,2,50,3,2,1.8,3,0
1.5,8729.25,2.6,3,14,6.8,3,6,8.1,1,19.9,4,2,29,4,3,1.5,3,0
0.8,7331.99,1.4,4,3,3.2,5,2,2.1,1,33.9,1,3,47,4,4,10.4,3,1
8.1,8676.91,8.5,1,11,8.2,2,4,37.1,2,18.5,4,3,34,1,5,0.9,3,0
17.5,12510.71,1.1,5,24,8.8,3,0,18.5,2,27.6,4,1,54,4,3,5.2,4,0
1.2,6420.08,0.9,3,5,3.5,2,1,20.4,2,31.8,5,4,52,4,1,0.4,4,0
0.7,7671.33,2.0,7,37,5.1,5,0,25.2,0,20.1,1,4,32,5,2,4.3,3,0
0.6,25203.04,1.8,3,24,5.4,2,6,19.8,0,6.5,2,5,21,2,5,1.8,5,1
1.7,8017.62,0.7,2,0,8.6,4,6,29.4,2,29.3,5,3,36,3,1,1.9,3,0
0.5,8112.39,3.9,4,0,7.6,3,4,11.7,0,14.3,3,3,24,3,1,9.5,3,0
20.1,12767.22,8.5,3,12,5.4,3,4,3.3,0,41.9,4,3,59,2,1,1.9,2,0
0.6,3852.24,0.5,3,21,3.1,3,3,10.8,0,36.7,1,3,33,2,3,1.3,3,1
0.4,9794.0,1.4,2,29,9.2,3,4,7.2,2,17.6,4,4,31,3,3,0.6,3,0
0.7,8404.33,1.1,4,12,6.5,5,0,1.1,3,14.4,4,5,36,2,1,1.2,4,0
4.9,7870.74,5.8,2,63,4.0,2,1,17.1,0,30.6,4,4,32,2,6,1.4,2,1
0.3,8335.39,1.9,1,14,3.3,3,2,3.4,2,24.2,4,4,43,3,1,1.8,2,0
1.1,17315.93,0.8,1,2,8.7,5,3,1.7,2,15.5,2,4,41,4,2,1.0,5,0
3.0,6592.13,9.6,4,4,9.3,4,1,4.8,1,24.3,3,5,40,3,3,2.3,5,0
15.9,12242.9,3.8,5,15,7.3,5,5,41.8,2,24.4,2,1,37,3,2,6.9,4,0
5.9,7313.44,1.7,3,14,5.7,3,5,18.7,3,25.1,5,3,21,2,0,1.6,4,0
10.9,9846.28,6.4,4,10,6.7,3,6,11.6,0,39.9,3,3,46,3,0,0.0,3,0
0.1,13108.94,0.6,4,18,3.1,5,0,19.7,2,27.0,2,4,30,4,2,0.6,4,0
0.7,8270.5,1.5,2,19,7.4,3,3,3.9,1,0.7,4,2,45,5,3,1.9,2,0
0.4,8365.07,3.6,3,46,4.5,3,0,4.3,2,0.9,3,3,49,3,0,1.6,3,0
1.8,5730.52,0.9,3,59,8.6,3,5,1.0,0,16.5,3,4,26,2,3,1.2,4,0
5.8,11792.56,6.5,1,4,9.2,4,6,12.6,3,23.2,3,3,35,3,2,1.4,3,0
2.1,6549.09,5.3,5,11,5.4,4,1,20.1,2,6.0,1,5,25,5,4,4.2,5,1
2.1,5966.96,1.2,2,8,8.1,4,1,7.3,1,34.6,2,4,27,3,2,4.2,4,0
2.7,10224.95,1.2,5,22,7.6,3,3,6.3,1,0.0,4,5,29,4,3,4.1,4,0
0.7,7621.1,7.6,1,5,1.8,2,2,5.2,2,29.0,3,3,21,4,2,2.2,4,0
0.6,13670.13,0.3,3,3,7.9,2,2,6.3,2,40.9,3,2,21,2,1,1.8,4,0
2.4,8049.72,4.6,2,15,7.4,4,4,1.9,2,28.7,1,3,34,3,2,0.1,3,0
8.3,4629.32,3.4,3,31,7.3,3,6,5.1,2,34.3,4,1,42,1,6,1.6,3,1
2.6,6627.61,4.3,2,6,8.8,5,2,25.7,1,5.5,3,5,24,5,6,0.0,4,0
0.1,4449.12,9.7,2,30,7.7,2,0,23.4,1,24.3,4,4,38,3,3,6.6,4,1
30.1,5552.61,0.6,1,1,4.1,3,0,23.6,0,8.9,2,4,33,3,2,3.4,3,1
4.3,8589.14,1.3,1,0,8.3,2,6,6.3,0,23.4,5,4,36,3,2,3.5,3,0
10.0,8853.18,1.9,5,10,8.8,2,3,1.0,1,18.1,2,2,37,1,3,1.5,3,0
6.4,9546.3,0.1,5,10,6.1,5,2,3.8,2,31.9,3,2,27,3,0,1.9,2,0
3.1,6299.24,1.1,4,42,7.8,3,5,18.1,0,59.7,1,4,25,4,2,0.5,3,0
0.6,6180.1,5.7,2,13,3.7,3,5,1.9,0,26.3,3,5,41,2,0,2.3,4,0
0.9,14538.16,3.4,3,15,5.6,3,5,14.8,1,25.7,3,3,37,3,3,4.9,4,0
2.8,5192.18,1.7,1,3,6.6,3,4,10.7,0,24.5,3,3,47,4,4,3.7,4,1
2.7,7586.65,4.7,3,2,7.4,3,0,1.1,0,23.1,3,4,40,3,1,5.4,2,0
4.5,7832.72,5.2,7,7,8.1,5,6,10.0,0,16.2,3,5,34,4,6,5.3,4,0
1.6,17717.48,0.6,1,0,4.1,2,6,34.7,3,15.1,3,5,31,2,2,0.7,2,0
1.9,8586.92,3.0,2,29,6.7,5,2,7.2,0,20.9,4,4,21,2,0,0.9,3,0
1.2,5050.78,16.8,5,36,7.0,5,5,5.4,0,32.8,3,4,31,2,2,6.4,3,0
7.0,8606.47,0.2,5,8,6.7,3,6,16.3,0,29.9,4,3,28,4,5,3.1,3,0
2.5,4429.63,0.6,5,17,4.6,4,1,29.8,2,16.9,3,5,39,2,0,5.1,4,0
4.3,16421.49,2.9,5,26,5.9,2,5,11.3,0,14.2,3,1,60,4,2,4.6,4,0
8.1,10579.07,3.3,2,5,8.6,3,4,2.1,0,16.0,1,4,36,4,0,9.6,3,0
0.6,3469.27,10.4,5,16,5.7,4,5,8.7,0,45.1,5,2,41,3,1,0.9,4,0
1.1,10465.15,0.5,8,56,7.1,3,6,9.0,3,5.1,2,4,32,2,2,2.4,4,0
1.4,7095.84,0.0,4,40,7.6,5,2,3.6,0,24.2,3,4,37,2,4,2.8,2,0
0.4,6495.69,2.9,5,21,8.4,2,3,12.8,3,28.4,4,4,39,3,4,0.5,2,0
0.3,6901.37,4.4,3,6,4.3,4,1,9.9,2,15.0,2,2,30,3,1,0.1,3,0
