claim_amount,policy_age_months,claimant_age,num_prior_claims,num_prior_fraud_flags,days_to_report,police_report_filed,num_witnesses,vehicle_age_years,claim_type,injury_severity,time_of_incident_hour,is_weekend,is_holiday_adjacent,deductible,coverage_level,claimant_employment_status,financial_stress_score,repair_shop_is_preferred,target
4977.06,17,44,2,0,4,0,1,0,0,1,21,0,0,250.0,1,3,0.3009,0,1
5750.26,71,48,1,0,0,1,0,9,0,0,13,1,0,500.0,1,0,0.093,1,0
12970.32,7,35,6,1,2,1,0,3,0,1,14,1,0,1000.0,1,0,0.0383,0,0
2576.8,12,54,2,0,3,1,1,5,3,0,8,0,0,250.0,2,2,0.2058,1,0
17160.62,2,36,2,0,2,0,2,3,0,2,22,1,0,500.0,2,0,0.2203,1,0
2568.86,195,41,1,0,0,1,0,1,1,1,23,0,0,1000.0,1,2,0.2769,1,0
1553.96,19,66,0,0,0,0,0,1,2,3,0,0,0,500.0,2,0,0.5462,0,0
5063.82,7,35,2,0,3,1,1,7,0,3,12,0,0,1000.0,0,0,0.0252,0,0
6085.15,67,23,1,0,0,0,1,14,2,1,22,0,0,500.0,2,3,0.3628,1,0
3504.35,13,43,2,0,1,1,1,8,0,1,9,0,0,250.0,0,0,0.4008,1,0
1698.81,8,18,2,0,2,1,0,8,1,0,23,0,0,500.0,1,0,0.0519,1,0
6182.05,108,49,0,0,0,1,3,2,3,1,0,1,0,2000.0,2,2,0.3877,1,0
8818.06,13,26,0,0,0,0,2,4,0,0,3,0,0,1000.0,1,0,0.1891,1,0
2322.6,130,57,1,1,1,1,0,0,0,0,0,1,1,2000.0,0,0,0.2412,0,1
28994.99,61,35,1,0,6,1,1,4,0,0,7,0,0,250.0,2,1,0.4463,1,0
3738.56,76,48,1,0,0,0,1,3,2,0,7,0,0,2000.0,1,0,0.2319,0,0
1247.29,6,45,2,1,1,1,0,4,0,0,8,1,0,1000.0,0,2,0.1659,1,0
4658.58,53,51,1,0,1,1,1,1,3,0,13,0,0,250.0,2,2,0.0612,1,0
2746.3,20,47,2,0,0,1,2,1,2,1,19,0,0,250.0,1,0,0.3311,1,0
11381.48,61,41,1,0,3,1,2,1,0,3,19,0,0,1000.0,2,3,0.3553,1,0
1493.2,25,52,1,0,2,1,2,5,1,1,3,0,0,250.0,0,3,0.0725,1,0
8966.54,38,57,1,0,0,1,3,2,3,0,6,0,0,2000.0,1,3,0.472,1,0
5287.39,15,39,2,0,0,1,0,21,2,0,0,0,0,500.0,1,3,0.3041,1,0
16970.39,49,18,1,0,2,1,1,0,2,3,23,0,0,1000.0,1,1,0.467,1,0
1810.04,30,46,0,0,12,0,3,21,0,0,15,0,0,1000.0,0,0,0.1955,1,0
2407.25,6,46,1,0,2,0,0,1,2,3,22,1,0,500.0,1,1,0.3582,0,0
19422.56,1,54,1,0,1,1,2,4,2,0,16,0,0,2000.0,0,1,0.2894,0,0
5729.27,24,48,0,0,4,1,0,0,2,0,12,0,0,1000.0,1,3,0.0835,0,0
7392.07,5,32,1,0,2,1,0,0,3,1,14,0,0,500.0,1,0,0.3259,1,0
2400.79,5,46,1,0,0,1,0,19,2,0,22,1,0,500.0,0,2,0.0716,1,0
10333.79,4,48,0,0,0,0,2,3,3,3,20,0,0,2000.0,1,3,0.1117,1,0
2841.81,28,55,7,0,2,1,0,0,2,0,21,0,0,500.0,1,0,0.0692,1,1
5984.54,15,34,2,0,1,1,2,5,1,0,11,0,0,500.0,1,1,0.2468,0,0
4015.2,18,22,1,0,1,1,1,3,0,1,14,0,0,250.0,1,0,0.35,1,0
1752.34,7,22,1,0,10,0,2,9,1,0,17,0,0,250.0,2,0,0.2824,1,0
7252.33,20,65,1,0,0,0,1,5,1,1,17,0,0,2000.0,1,3,0.5694,1,0
4860.91,1,38,3,0,0,1,1,0,0,0,21,0,0,500.0,2,3,0.2814,1,0
2127.56,26,38,1,0,1,1,1,14,0,1,22,0,0,2000.0,1,0,0.1847,0,0
19938.81,1,45,0,0,0,1,1,0,0,1,4,0,0,1000.0,2,1,0.4991,0,0
2151.47,154,52,1,1,1,0,0,2,1,1,12,0,0,1000.0,1,0,0.5499,1,0
5120.4,19,58,2,1,0,1,2,4,0,0,7,1,0,1000.0,2,2,0.4861,1,0
2636.87,28,44,2,0,1,1,2,4,2,1,11,1,0,2000.0,1,2,0.2733,1,0
2198.2,2,36,1,0,2,0,1,6,1,3,1,1,0,500.0,1,0,0.1928,1,0
1662.55,54,31,1,0,7,1,1,4,0,1,11,0,0,2000.0,0,0,0.2673,1,0
5280.42,8,76,1,0,1,1,1,0,0,0,15,0,0,500.0,1,0,0.3836,0,0
3563.68,165,32,2,0,0,0,2,0,2,2,11,1,0,250.0,1,2,0.3037,1,0
11950.49,32,53,0,0,3,1,1,1,3,0,8,1,0,2000.0,1,0,0.2923,1,0
10975.83,17,18,0,0,0,0,3,0,0,0,0,0,1,500.0,1,2,0.1691,0,0
5353.86,133,31,0,0,0,1,0,2,3,0,20,1,0,500.0,1,1,0.4088,1,0
1665.62,39,34,2,0,1,0,0,10,2,1,12,0,0,500.0,0,0,0.0444,1,0
11977.95,11,18,3,1,0,1,3,1,2,1,3,0,0,500.0,2,0,0.6022,1,1
2024.66,19,37,2,0,0,1,1,5,3,0,1,1,0,500.0,1,0,0.1656,1,0
21381.4,4,55,3,0,4,0,1,1,0,0,21,0,0,500.0,0,3,0.2491,0,0
12048.42,24,45,1,0,2,1,0,2,2,2,6,0,0,500.0,0,0,0.2,1,0
7978.55,23,37,2,0,12,1,0,0,0,3,13,1,0,1000.0,1,0,0.4048,1,0
8773.61,32,18,2,0,0,1,0,3,3,0,14,0,0,250.0,1,0,0.1637,0,0
4596.8,14,57,1,0,7,1,1,18,1,2,21,1,1,250.0,1,2,0.214,0,0
51144.83,1,18,0,0,5,0,0,5,2,1,10,0,0,500.0,1,0,0.0311,1,0
3535.57,1,38,0,0,1,0,1,3,1,1,16,0,1,250.0,1,0,0.565,1,0
3160.11,19,42,1,1,2,1,1,6,1,0,9,1,0,1000.0,1,0,0.2917,0,0
1795.0,6,36,2,1,13,0,3,1,1,0,8,0,0,1000.0,2,1,0.4201,1,0
1316.0,15,34,1,0,2,0,0,1,1,1,21,0,0,250.0,2,3,0.3654,1,0
4057.76,10,41,0,0,0,1,0,1,0,0,0,1,0,500.0,1,3,0.3272,1,0
4922.54,79,47,2,0,8,1,1,0,3,0,16,1,0,250.0,0,0,0.1808,0,0
1819.14,26,40,0,0,0,1,0,5,3,0,2,0,0,1000.0,1,0,0.3581,0,1
4134.5,49,45,1,0,0,0,2,13,0,1,17,0,0,2000.0,2,1,0.1921,1,0
2168.54,17,63,2,0,1,0,0,2,1,0,4,0,0,500.0,2,0,0.3659,0,0
8908.01,13,18,0,0,2,1,0,5,1,3,15,0,0,2000.0,1,0,0.184,0,0
2796.74,3,53,1,0,10,0,1,0,0,1,9,1,0,500.0,1,0,0.1171,0,0
6256.67,39,47,0,0,2,0,1,0,0,0,19,0,0,500.0,0,0,0.1844,0,0
7860.59,33,22,1,0,1,1,0,6,2,2,17,1,0,500.0,2,3,0.2079,0,0
3196.65,27,25,2,1,0,0,1,2,0,0,15,1,0,500.0,1,3,0.2851,0,0
9003.95,1,33,2,0,2,0,1,1,3,0,3,1,0,1000.0,1,1,0.2163,1,0
3781.18,192,53,2,2,0,1,0,7,3,2,8,0,0,2000.0,0,0,0.2434,1,0
4244.79,84,31,0,0,3,1,3,7,0,1,17,0,0,500.0,0,0,0.68,1,0
1216.09,82,43,0,0,5,0,1,2,0,0,13,0,0,250.0,1,2,0.4154,0,0
34603.38,80,33,1,0,7,0,0,3,1,2,7,0,0,1000.0,0,0,0.2415,1,0
1191.03,60,41,1,0,1,0,2,0,2,3,22,1,0,1000.0,2,0,0.2716,1,0
948.63,34,45,0,0,0,1,0,1,3,2,18,0,0,250.0,2,0,0.0493,1,0
11813.34,33,44,2,0,2,0,0,3,0,3,15,0,0,500.0,1,3,0.3954,0,0
2284.01,57,41,0,0,0,1,1,0,0,3,23,0,0,250.0,1,1,0.2092,0,0
10029.46,12,34,1,0,0,1,1,16,0,0,16,0,0,1000.0,2,0,0.1959,0,0
20089.21,40,53,2,0,2,0,0,6,0,1,11,0,0,500.0,2,0,0.2773,0,0
1941.89,7,51,2,0,2,1,0,0,2,3,5,1,0,500.0,1,0,0.261,0,0
9640.67,1,50,1,0,4,1,1,1,0,2,11,0,1,500.0,0,0,0.5758,0,1
1645.59,22,28,1,0,0,1,1,3,0,1,17,0,0,1000.0,1,1,0.4414,1,0
1711.86,1,26,1,0,1,1,2,6,0,1,5,0,0,1000.0,2,2,0.493,1,0
7797.19,102,18,0,0,1,0,0,8,0,0,3,0,0,500.0,1,0,0.134,1,0
2622.63,21,34,2,0,0,1,1,1,1,0,2,1,0,500.0,0,2,0.2434,1,0
3937.92,21,43,1,0,2,0,2,1,2,2,4,1,0,2000.0,0,3,0.1236,0,0
3106.26,5,50,1,2,5,1,1,5,3,2,14,1,0,500.0,2,0,0.2054,1,0
5122.0,48,56,0,1,0,1,0,1,0,1,21,1,0,1000.0,2,0,0.4033,0,0
3535.06,220,74,4,0,1,0,4,0,3,0,18,0,0,2000.0,2,2,0.5548,1,0
3025.88,40,45,0,0,1,1,0,0,2,0,10,1,0,500.0,2,3,0.0479,1,1
10684.8,10,18,3,1,0,1,1,5,0,0,6,1,0,500.0,1,2,0.2817,0,1
24809.42,5,37,1,0,3,0,0,3,1,0,23,0,0,1000.0,0,0,0.1229,0,0
1353.06,40,51,1,1,3,1,0,1,2,0,17,0,1,250.0,1,0,0.3305,1,0
1729.25,1,47,3,0,0,0,0,2,2,1,0,0,0,500.0,1,3,0.3904,0,1
5999.78,27,51,1,0,0,1,2,0,0,3,0,0,0,250.0,0,0,0.4008,1,0
2133.58,8,37,2,0,3,1,3,3,2,1,6,0,0,1000.0,0,0,0.2578,0,0
6753.84,67,49,3,0,1,1,3,3,2,2,19,0,0,500.0,0,0,0.245,1,0
4409.82,53,18,2,0,7,1,1,9,2,1,2,0,0,2000.0,0,0,0.2844,0,0
2480.17,7,18,6,0,0,1,1,3,1,0,16,0,0,2000.0,2,2,0.3422,0,0
1230.94,39,37,0,0,1,1,0,2,1,1,0,0,0,1000.0,2,2,0.0886,1,0
12306.82,18,59,0,0,1,1,3,6,1,3,0,0,0,250.0,0,2,0.3463,1,0
8594.61,25,37,2,0,0,1,0,18,0,0,1,0,0,1000.0,0,0,0.2913,0,0
2172.04,44,56,3,0,0,1,3,0,3,1,10,1,0,1000.0,2,3,0.3374,1,0
3223.43,120,39,2,0,3,0,0,2,3,2,10,1,0,1000.0,0,0,0.3315,0,0
13963.58,40,30,2,0,0,1,0,1,1,1,2,0,0,250.0,0,0,0.1441,1,0
18937.9,104,37,1,0,2,1,0,0,0,0,22,1,0,500.0,2,2,0.2686,1,0
1195.22,6,46,1,0,0,0,4,13,1,1,17,0,0,500.0,2,3,0.1495,0,0
18693.3,2,56,2,0,0,1,0,1,0,0,20,0,0,2000.0,1,0,0.2076,1,0
1815.55,61,29,3,1,0,0,2,3,2,0,3,0,0,2000.0,1,0,0.621,1,0
571.84,26,36,3,0,6,0,1,4,0,1,16,0,0,500.0,1,0,0.1203,1,0
1162.25,149,33,0,0,11,1,0,4,0,0,18,1,0,500.0,0,3,0.504,0,0
3225.17,18,29,2,0,1,1,3,4,3,0,16,0,0,500.0,0,0,0.3176,1,0
2320.73,28,30,1,0,3,1,0,0,3,0,22,0,0,500.0,2,0,0.3737,0,0
4065.53,32,37,1,0,0,1,2,15,1,0,3,0,0,500.0,1,2,0.1282,1,0
7249.16,15,42,0,0,1,0,0,2,2,0,19,1,0,500.0,0,1,0.1958,0,0
25480.23,25,37,1,0,0,1,0,15,2,0,12,0,1,250.0,1,0,0.0437,0,0
4352.22,4,31,1,0,4,1,2,13,2,3,21,0,0,2000.0,0,2,0.4797,1,0
5044.26,22,69,0,0,1,0,2,4,1,3,20,0,0,500.0,0,1,0.435,0,0
2828.84,45,48,1,0,0,1,1,5,1,0,6,1,1,2000.0,2,0,0.475,1,0
25427.53,45,59,0,0,3,1,2,5,1,1,8,0,0,500.0,1,1,0.2108,1,0
2688.52,16,51,1,0,4,0,1,11,0,0,13,0,0,2000.0,0,3,0.1823,0,0
1827.17,52,22,2,0,0,0,2,0,1,3,20,0,0,1000.0,2,0,0.3428,1,0
3833.28,21,39,1,0,0,1,1,0,3,0,5,0,0,500.0,1,0,0.1736,1,0
5952.24,24,51,1,0,10,0,1,4,3,0,7,0,0,500.0,2,1,0.3501,1,1
6763.11,44,32,1,0,1,1,2,4,3,1,6,0,0,1000.0,1,3,0.4753,1,0
8184.73,37,49,0,0,2,0,2,10,3,1,1,0,0,500.0,0,2,0.3907,1,0
1214.44,21,39,1,0,3,0,0,0,0,0,3,0,0,250.0,0,0,0.1352,0,0
5320.42,55,32,1,0,2,1,0,2,0,1,5,1,0,500.0,1,3,0.192,1,0
5644.36,6,42,0,0,3,1,0,3,0,0,8,0,0,2000.0,2,0,0.4156,1,0
2428.33,62,47,1,0,0,1,1,22,3,2,9,0,0,250.0,0,0,0.1514,1,0
5375.17,26,28,1,0,0,1,3,2,2,0,3,1,0,250.0,0,2,0.0377,1,0
4246.43,6,33,1,0,1,0,1,3,3,1,21,0,0,500.0,2,2,0.146,0,0
1719.24,13,18,2,0,0,1,2,4,1,2,6,0,0,500.0,2,1,0.058,0,0
2337.77,85,19,0,0,0,1,0,2,0,0,12,0,0,500.0,0,2,0.2479,0,0
3951.92,16,18,0,0,0,1,0,9,1,1,18,0,0,500.0,2,0,0.3746,0,0
4722.53,182,69,2,0,5,1,3,2,0,1,1,1,0,500.0,1,0,0.4101,0,0
1079.91,43,27,2,0,0,1,2,0,0,0,17,1,0,1000.0,1,0,0.1688,0,0
1328.39,4,30,0,0,3,1,1,10,2,1,11,1,0,500.0,1,1,0.2664,0,0
20462.02,5,18,2,0,2,1,0,0,0,0,20,1,0,500.0,2,1,0.5295,0,0
2144.99,11,18,2,0,2,0,1,1,1,0,11,0,0,500.0,0,3,0.2194,1,1
7333.41,21,54,0,1,3,1,0,1,0,2,3,1,0,1000.0,1,0,0.2588,1,0
807.6,40,29,0,0,0,1,3,10,0,0,17,1,0,1000.0,1,0,0.4545,1,0
2520.76,1,36,1,0,0,1,1,20,2,2,4,1,0,2000.0,1,1,0.3105,1,0
1920.79,69,30,0,1,2,1,0,14,3,0,22,0,0,250.0,1,0,0.5455,1,0
1568.6,115,57,2,0,1,1,1,3,0,0,10,1,1,250.0,1,2,0.1681,1,0
3061.88,17,18,2,0,3,1,2,3,1,1,5,0,0,500.0,2,0,0.3662,1,0
20771.67,139,31,1,0,8,1,3,2,0,1,21,1,0,2000.0,2,0,0.1916,1,0
2325.57,6,30,1,0,6,1,0,22,0,0,15,0,1,500.0,1,3,0.2644,1,0
5823.75,6,34,3,1,0,1,2,0,3,2,18,1,0,250.0,0,3,0.0764,1,0
8388.76,7,60,0,0,0,1,1,0,0,0,17,0,0,1000.0,1,0,0.2417,0,0
2046.06,6,32,1,2,0,1,0,7,1,0,4,0,0,500.0,1,0,0.5038,1,1
2243.07,22,48,2,0,1,1,1,17,2,2,7,0,0,500.0,1,2,0.065,1,0
5546.71,151,53,1,0,0,1,0,10,0,3,15,0,0,250.0,2,0,0.318,0,1
2155.41,10,37,4,0,9,0,0,2,3,1,12,0,0,500.0,2,0,0.2369,1,0
893.44,9,22,3,0,4,0,0,1,0,0,4,0,1,2000.0,1,1,0.1779,1,0
3298.11,3,62,0,0,5,1,1,4,1,1,7,0,0,250.0,1,0,0.2167,0,0
12425.76,62,55,1,1,2,1,1,7,2,2,3,0,0,500.0,1,0,0.3416,0,0
6365.68,146,18,2,0,6,1,1,17,3,0,20,0,0,250.0,2,0,0.26,0,0
5682.6,44,30,2,1,2,0,4,5,0,3,11,1,0,2000.0,1,0,0.4672,1,0
4804.74,32,37,2,0,10,0,0,0,2,1,7,0,0,500.0,0,3,0.1387,1,0
5328.28,27,60,3,0,0,0,2,0,3,0,12,0,0,500.0,1,0,0.3055,0,0
4707.83,56,37,0,0,2,0,5,3,3,1,15,1,0,1000.0,1,3,0.1094,1,0
7791.93,23,39,2,1,1,0,0,8,0,1,13,0,0,1000.0,0,0,0.4013,0,0
6853.06,39,53,1,0,2,1,0,1,2,2,15,0,0,2000.0,2,0,0.3962,1,0
2072.43,1,25,1,0,4,1,0,6,0,1,16,0,0,500.0,1,0,0.202,1,0
1785.26,44,39,0,1,3,1,0,1,1,0,5,0,0,250.0,1,1,0.3532,0,1
4546.62,67,30,2,0,1,0,2,2,1,0,16,0,0,1000.0,2,1,0.1582,1,0
684.16,95,44,1,1,2,1,0,4,1,0,21,0,0,1000.0,1,0,0.291,1,0
10231.03,3,38,1,0,2,0,3,2,3,0,19,0,0,1000.0,1,1,0.5206,0,0
476.77,48,24,1,0,19,0,2,6,1,1,9,0,0,500.0,1,0,0.4878,0,0
3563.92,121,63,1,0,1,1,3,7,1,1,18,0,0,1000.0,0,0,0.2697,0,0
1245.22,13,42,1,0,1,1,1,2,3,0,8,0,0,1000.0,0,0,0.5914,1,0
1368.1,6,68,0,0,1,0,0,1,2,1,17,0,0,500.0,1,1,0.4352,1,0
6802.19,4,25,1,0,0,0,0,14,1,1,21,0,0,500.0,1,0,0.0643,1,0
4152.95,2,41,3,0,4,1,1,0,0,1,0,1,0,2000.0,1,0,0.3014,1,0
4567.37,56,38,2,0,2,1,1,3,1,1,2,1,0,500.0,2,0,0.4543,1,0
4597.47,1,42,1,1,3,0,0,0,0,1,13,1,0,2000.0,2,0,0.2264,0,0
2659.38,1,37,1,0,3,0,0,2,0,1,22,1,0,500.0,2,0,0.2868,1,0
2408.0,14,31,2,0,0,1,1,4,0,0,6,0,0,500.0,0,2,0.1097,1,0
644.68,10,34,3,0,13,0,1,1,1,2,3,0,0,1000.0,2,0,0.5675,1,0
2216.24,13,23,1,0,8,0,0,2,1,2,20,0,0,500.0,1,0,0.1648,0,0
970.22,43,18,2,0,0,0,1,7,0,0,2,0,0,500.0,2,2,0.4052,1,1
1349.58,19,51,2,0,2,1,0,2,0,0,19,0,0,1000.0,1,2,0.4899,0,0
4104.17,7,43,2,0,0,1,2,3,0,1,3,0,0,500.0,1,0,0.1873,1,0
10368.28,6,43,1,1,3,0,2,0,0,1,1,0,1,250.0,1,2,0.2604,1,1
10071.7,1,53,1,1,2,1,0,25,1,0,21,0,0,500.0,1,1,0.318,1,0
3086.74,31,32,3,0,8,1,0,2,0,0,18,1,0,2000.0,0,2,0.1353,0,0
8132.12,18,41,0,0,1,1,3,10,0,1,2,0,0,250.0,0,0,0.0128,1,0
3493.86,1,34,1,0,1,1,0,8,0,0,20,0,1,250.0,1,0,0.3062,0,0
8883.5,15,37,2,0,0,0,0,1,0,1,0,1,0,1000.0,1,2,0.3186,1,0
15860.91,27,18,1,0,3,1,2,12,2,1,1,0,0,250.0,0,0,0.1754,1,0
3447.37,61,40,0,0,0,1,0,0,3,1,23,1,0,250.0,0,0,0.6173,0,0
31116.74,17,27,0,1,0,1,2,0,2,0,22,0,0,500.0,2,0,0.1453,0,0
30301.45,7,36,0,0,4,0,1,15,0,0,8,1,0,1000.0,0,0,0.083,0,0
1303.99,45,26,0,0,1,0,3,13,0,1,15,0,0,250.0,2,0,0.4258,0,0
4955.09,16,26,0,0,0,1,2,0,1,0,11,0,0,1000.0,1,0,0.8003,1,0
13355.5,14,22,2,0,0,1,1,7,1,1,2,0,0,2000.0,1,3,0.429,1,0
1102.28,1,23,3,0,13,1,1,22,3,1,4,1,0,500.0,1,2,0.2706,1,0
793.86,10,45,0,1,1,1,0,9,2,0,0,1,0,500.0,1,0,0.1234,1,0
15733.82,15,64,1,1,3,1,2,0,0,0,9,0,0,500.0,1,3,0.5718,1,0
3011.16,21,54,0,0,0,1,0,6,2,0,17,0,0,500.0,1,0,0.4309,1,0
1575.38,53,24,1,0,2,1,1,9,1,3,7,0,0,500.0,1,2,0.3075,1,0
919.63,3,20,1,0,2,0,0,2,3,2,19,0,0,1000.0,1,1,0.3147,0,1
8530.38,10,24,0,0,2,1,3,2,3,1,21,1,0,250.0,0,0,0.0838,0,0
13639.86,87,33,0,0,1,1,2,6,0,0,20,0,0,1000.0,1,2,0.266,1,0
553.52,23,25,1,0,4,0,0,0,3,0,14,1,0,500.0,1,2,0.6448,1,1
2649.79,49,35,2,0,3,1,0,9,1,1,1,0,1,1000.0,1,0,0.4526,1,0
31018.47,18,56,0,0,0,1,2,7,2,0,16,0,0,1000.0,2,1,0.5429,1,0
4167.36,21,66,4,0,4,0,0,8,0,0,11,0,0,2000.0,1,2,0.2119,0,0
2324.74,3,44,3,0,1,1,1,0,3,0,1,0,0,250.0,0,3,0.2133,1,0
5748.61,42,56,1,0,1,0,1,1,0,2,17,0,0,2000.0,2,2,0.2699,1,0
2546.94,8,35,2,0,0,0,1,0,2,0,19,0,0,2000.0,2,0,0.4187,1,0
4164.61,42,52,2,1,0,1,2,5,2,1,12,0,0,250.0,0,2,0.144,1,0
5421.05,52,25,1,0,0,0,0,4,1,1,23,0,0,500.0,1,1,0.4361,1,0
2146.35,78,44,1,0,2,1,1,1,1,2,4,0,0,250.0,0,0,0.1722,0,0
1171.58,20,56,0,0,0,0,0,11,3,1,7,0,0,500.0,1,0,0.0738,0,0
3539.27,17,43,1,1,7,0,0,4,2,0,9,0,0,250.0,0,0,0.1829,0,0
2187.21,62,51,0,0,4,0,1,1,1,2,10,0,0,1000.0,2,1,0.5688,0,0
1600.59,7,52,0,0,3,1,0,1,2,1,5,0,0,500.0,0,3,0.3749,0,0
1228.48,38,31,0,0,1,0,2,15,3,1,14,1,0,1000.0,1,0,0.0294,0,0
1027.58,117,29,1,0,0,0,3,2,0,2,17,1,0,1000.0,0,1,0.1826,1,0
5873.74,3,50,2,0,4,1,2,11,0,0,2,1,0,500.0,2,0,0.0219,1,0
2871.48,52,32,0,0,1,1,0,8,3,1,20,0,0,500.0,2,3,0.2492,1,0
3841.82,38,26,0,1,0,0,6,6,1,1,9,0,0,250.0,1,3,0.1006,0,0
2983.69,21,45,0,0,0,1,2,1,3,0,6,0,0,250.0,0,0,0.222,1,0
5802.86,111,20,1,0,5,1,2,4,3,0,16,0,0,500.0,0,0,0.0708,1,0
7346.7,84,44,0,0,1,1,0,1,0,0,14,0,0,250.0,1,1,0.1245,1,0
3198.46,45,26,3,0,1,0,2,1,2,0,11,0,0,1000.0,1,0,0.0797,0,0
2054.14,37,31,2,0,0,1,1,1,0,2,17,1,0,250.0,1,0,0.2009,1,0
3726.46,9,35,2,0,1,0,0,4,3,0,21,0,0,500.0,1,1,0.171,1,0
488.25,48,61,2,0,0,0,1,1,1,1,1,0,0,250.0,1,3,0.0481,0,0
993.47,27,51,1,0,0,0,0,7,3,0,9,0,1,1000.0,2,2,0.1704,1,0
5158.36,13,40,1,0,5,1,0,6,1,1,11,1,0,500.0,1,0,0.2762,1,0
7055.82,48,37,0,0,4,1,2,5,0,1,23,0,0,1000.0,0,0,0.2106,1,0
868.3,29,43,1,0,7,1,0,7,2,1,7,0,0,1000.0,1,0,0.2902,1,1
732.7,20,36,1,0,0,1,1,12,1,3,12,1,0,1000.0,1,1,0.3784,0,0
3271.0,69,53,0,0,0,1,0,7,2,0,19,1,0,500.0,1,0,0.1634,0,0
1604.23,3,61,0,0,4,1,1,0,2,0,8,1,0,1000.0,2,2,0.1475,0,0
6309.18,52,40,2,0,0,0,0,9,2,1,6,0,0,1000.0,0,3,0.3232,1,0
684.23,43,39,0,0,2,0,3,0,0,3,22,0,0,1000.0,1,0,0.385,1,0
