product_age_months,warranty_remaining_months,claim_amount,product_category,purchase_channel,num_previous_claims,days_since_last_claim,issue_description_length,photo_submitted,receipt_provided,registered_product,customer_account_age_months,claim_filed_hour,claim_filed_day_of_week,product_price_original,repair_type_requested,distance_to_service_center,serial_number_verified,customer_satisfaction_history,target
8.9,17.7,209.55,5.0,2.0,1.0,275.0,122.0,0.0,1.0,1.0,33.7,17.0,3.0,533.11,3.0,0.1,1.0,6.9,0
14.4,8.2,406.45,3.0,1.0,0.0,999.0,321.0,0.0,0.0,1.0,1.2,8.0,3.0,359.22,0.0,2.3,0.0,5.5,1
1.4,28.3,189.82,1.0,1.0,0.0,999.0,55.0,1.0,1.0,0.0,6.4,11.0,2.0,356.86,3.0,4.9,1.0,7.6,0
0.7,19.8,201.45,1.0,3.0,0.0,999.0,66.0,1.0,1.0,0.0,8.5,20.0,6.0,440.24,3.0,6.8,1.0,9.3,0
2.8,19.0,60.49,0.0,1.0,0.0,999.0,173.0,1.0,0.0,1.0,0.3,6.0,3.0,338.99,3.0,18.4,0.0,6.3,0
35.0,0.0,59.05,5.0,2.0,0.0,999.0,149.0,1.0,1.0,1.0,8.0,8.0,1.0,439.29,1.0,5.0,0.0,8.5,0
2.0,23.4,674.79,1.0,1.0,1.0,46.0,33.0,1.0,1.0,1.0,49.1,23.0,0.0,860.77,1.0,11.4,0.0,7.1,0
53.5,0.0,75.23,4.0,1.0,2.0,100.0,463.0,1.0,1.0,0.0,23.7,9.0,5.0,422.32,3.0,2.2,1.0,7.7,0
6.7,18.5,93.31,4.0,1.0,0.0,999.0,65.0,0.0,0.0,1.0,39.7,2.0,2.0,533.79,1.0,5.5,1.0,6.9,0
7.2,16.5,80.99,2.0,0.0,1.0,52.0,64.0,1.0,1.0,0.0,46.6,12.0,5.0,408.74,0.0,19.2,1.0,5.0,0
40.4,0.0,40.71,0.0,1.0,0.0,999.0,187.0,1.0,1.0,1.0,15.7,0.0,6.0,300.66,2.0,1.4,1.0,8.0,0
3.0,25.0,175.93,2.0,0.0,0.0,999.0,78.0,1.0,0.0,0.0,25.7,18.0,4.0,195.74,2.0,0.4,1.0,6.9,0
0.1,21.2,270.83,0.0,3.0,2.0,107.0,70.0,1.0,1.0,0.0,1.6,10.0,2.0,211.74,0.0,20.9,0.0,9.2,0
3.4,13.2,68.71,0.0,1.0,0.0,999.0,30.0,1.0,1.0,0.0,58.6,19.0,3.0,372.1,2.0,12.1,0.0,6.5,0
4.6,17.6,131.59,2.0,1.0,1.0,2.0,49.0,1.0,1.0,0.0,0.0,5.0,4.0,122.61,0.0,39.3,1.0,7.0,0
9.4,14.0,28.08,1.0,0.0,2.0,38.0,48.0,1.0,1.0,1.0,16.9,7.0,5.0,530.86,1.0,1.1,1.0,8.0,0
28.7,0.0,104.75,3.0,0.0,0.0,999.0,201.0,0.0,1.0,1.0,16.6,10.0,5.0,585.42,0.0,21.1,1.0,6.5,0
6.1,17.4,485.8,5.0,1.0,1.0,44.0,27.0,0.0,1.0,0.0,13.1,6.0,4.0,352.83,1.0,24.8,1.0,8.3,1
12.1,5.8,129.3,5.0,1.0,2.0,153.0,95.0,0.0,1.0,1.0,83.2,10.0,3.0,349.58,3.0,46.8,1.0,6.3,0
29.5,0.0,145.81,5.0,1.0,0.0,999.0,41.0,1.0,1.0,0.0,2.7,4.0,0.0,585.14,3.0,0.1,1.0,8.9,0
10.8,13.9,343.23,3.0,2.0,0.0,999.0,84.0,1.0,1.0,0.0,10.7,8.0,6.0,439.98,3.0,16.8,0.0,6.9,0
11.4,10.9,356.68,2.0,1.0,0.0,999.0,214.0,1.0,0.0,0.0,77.1,8.0,4.0,574.98,2.0,23.9,0.0,9.6,0
25.0,2.7,245.92,0.0,1.0,0.0,999.0,21.0,0.0,1.0,1.0,32.9,17.0,4.0,302.06,0.0,13.6,1.0,6.7,0
12.1,15.3,229.22,1.0,3.0,1.0,50.0,58.0,1.0,0.0,0.0,20.1,8.0,4.0,988.24,2.0,10.8,1.0,6.6,0
36.4,0.0,168.09,5.0,1.0,2.0,159.0,58.0,1.0,1.0,0.0,23.0,22.0,0.0,1072.53,0.0,61.4,1.0,6.4,0
33.0,0.0,537.94,4.0,0.0,0.0,999.0,181.0,0.0,1.0,1.0,32.1,5.0,4.0,448.53,3.0,44.4,1.0,6.1,1
14.9,9.4,96.9,3.0,1.0,0.0,999.0,130.0,0.0,1.0,1.0,27.0,6.0,6.0,516.98,3.0,21.9,0.0,4.0,0
10.4,10.7,158.61,5.0,0.0,0.0,999.0,78.0,0.0,1.0,0.0,3.7,16.0,4.0,367.12,1.0,20.6,1.0,10.0,0
2.1,22.0,263.44,4.0,2.0,1.0,39.0,768.0,1.0,0.0,0.0,34.8,8.0,6.0,1094.95,2.0,22.9,0.0,5.6,0
2.9,23.1,123.63,2.0,1.0,0.0,999.0,100.0,1.0,1.0,1.0,0.9,22.0,3.0,1242.08,3.0,26.9,1.0,6.8,0
5.3,17.1,285.13,4.0,1.0,0.0,999.0,135.0,0.0,1.0,0.0,9.1,9.0,1.0,938.65,1.0,3.0,1.0,9.9,1
25.0,0.0,274.51,2.0,1.0,0.0,999.0,91.0,0.0,0.0,1.0,37.8,19.0,0.0,476.29,2.0,6.4,1.0,5.0,0
0.1,25.7,168.49,4.0,3.0,0.0,999.0,19.0,0.0,0.0,0.0,0.0,11.0,1.0,236.01,2.0,18.3,1.0,10.0,0
33.9,0.0,353.58,2.0,1.0,0.0,999.0,101.0,1.0,1.0,0.0,16.8,8.0,1.0,381.56,0.0,2.9,1.0,10.0,0
2.8,19.7,99.36,2.0,0.0,0.0,999.0,170.0,1.0,0.0,1.0,31.3,4.0,3.0,258.01,3.0,4.6,1.0,2.8,0
0.6,24.4,107.25,4.0,3.0,0.0,999.0,21.0,1.0,1.0,0.0,69.5,23.0,2.0,286.3,3.0,6.9,0.0,6.2,0
23.7,1.9,81.22,2.0,2.0,1.0,8.0,293.0,0.0,1.0,0.0,10.5,17.0,0.0,539.33,0.0,13.2,0.0,6.0,0
5.6,22.6,147.57,1.0,2.0,0.0,999.0,84.0,0.0,0.0,0.0,44.7,23.0,2.0,729.47,0.0,20.9,1.0,6.0,0
58.5,0.0,185.52,3.0,0.0,1.0,36.0,69.0,0.0,0.0,1.0,6.2,2.0,5.0,533.31,3.0,10.1,1.0,6.4,0
30.3,0.0,358.8,5.0,1.0,1.0,12.0,468.0,1.0,0.0,1.0,24.2,5.0,1.0,228.27,2.0,16.4,1.0,5.5,0
4.3,17.5,97.5,0.0,1.0,0.0,999.0,13.0,1.0,0.0,0.0,37.2,17.0,4.0,197.29,0.0,88.0,1.0,7.2,0
4.8,22.6,303.06,4.0,1.0,0.0,999.0,111.0,0.0,1.0,1.0,109.6,2.0,1.0,222.89,3.0,7.9,1.0,7.5,0
8.8,20.7,251.5,3.0,2.0,1.0,159.0,119.0,1.0,1.0,0.0,9.2,2.0,3.0,268.06,3.0,3.5,1.0,5.7,0
27.8,0.0,114.49,0.0,3.0,1.0,69.0,134.0,0.0,0.0,0.0,20.8,14.0,1.0,946.98,0.0,5.1,1.0,7.6,1
0.5,24.1,64.31,1.0,1.0,0.0,999.0,133.0,1.0,0.0,0.0,0.1,5.0,0.0,557.49,0.0,10.1,1.0,9.3,0
2.1,18.4,147.21,3.0,3.0,0.0,999.0,187.0,0.0,0.0,1.0,80.8,16.0,4.0,554.85,1.0,2.4,1.0,7.4,0
9.2,18.5,145.52,0.0,2.0,1.0,61.0,79.0,0.0,1.0,0.0,1.7,10.0,1.0,787.6,2.0,28.4,1.0,6.7,0
12.3,9.9,635.68,4.0,2.0,2.0,30.0,230.0,0.0,1.0,1.0,19.9,18.0,0.0,482.06,2.0,16.6,1.0,5.3,1
30.7,0.0,192.27,3.0,1.0,0.0,999.0,104.0,0.0,1.0,0.0,108.4,5.0,0.0,153.05,1.0,7.5,1.0,2.9,0
29.6,0.1,255.75,3.0,0.0,1.0,16.0,22.0,1.0,0.0,0.0,10.5,13.0,6.0,659.47,1.0,11.8,1.0,8.8,0
11.2,14.0,1962.13,4.0,0.0,0.0,999.0,155.0,1.0,0.0,0.0,19.0,1.0,6.0,170.53,3.0,5.4,0.0,8.8,0
15.6,9.1,251.12,0.0,1.0,2.0,1.0,18.0,0.0,1.0,0.0,19.0,0.0,3.0,302.58,3.0,1.0,1.0,8.3,1
39.4,0.0,90.17,1.0,3.0,2.0,121.0,82.0,1.0,1.0,1.0,23.3,14.0,1.0,1314.19,3.0,34.4,1.0,6.3,0
13.8,8.9,44.04,5.0,2.0,0.0,999.0,170.0,0.0,0.0,1.0,25.2,20.0,1.0,551.76,0.0,0.8,1.0,5.2,0
6.7,19.6,241.57,0.0,1.0,0.0,999.0,311.0,1.0,0.0,1.0,18.8,11.0,5.0,2459.71,3.0,18.3,1.0,6.3,0
60.0,0.0,74.47,4.0,3.0,0.0,999.0,27.0,0.0,1.0,0.0,6.7,9.0,6.0,325.2,3.0,2.9,0.0,2.5,0
35.6,0.0,179.87,4.0,2.0,0.0,999.0,55.0,0.0,1.0,0.0,17.6,21.0,6.0,874.92,2.0,2.6,1.0,6.1,0
60.0,0.0,182.3,5.0,3.0,0.0,999.0,33.0,0.0,1.0,0.0,2.2,10.0,6.0,804.75,3.0,3.9,1.0,6.0,0
46.6,0.0,1759.77,1.0,1.0,2.0,14.0,189.0,0.0,1.0,1.0,7.1,21.0,6.0,670.45,0.0,2.9,1.0,7.3,0
3.7,21.1,268.99,2.0,2.0,0.0,999.0,67.0,1.0,1.0,1.0,120.0,14.0,6.0,165.42,0.0,19.2,1.0,2.5,0
8.8,11.4,195.46,1.0,2.0,0.0,999.0,70.0,1.0,1.0,0.0,1.2,15.0,6.0,261.99,3.0,14.4,1.0,8.6,0
60.0,0.0,35.16,2.0,0.0,1.0,35.0,216.0,1.0,0.0,0.0,8.2,5.0,3.0,507.99,2.0,31.7,1.0,4.5,0
28.5,0.0,318.44,0.0,0.0,1.0,37.0,91.0,1.0,0.0,1.0,85.8,4.0,0.0,207.37,2.0,26.6,1.0,3.1,0
13.0,11.0,504.94,2.0,0.0,2.0,37.0,42.0,1.0,1.0,0.0,16.8,11.0,3.0,236.15,0.0,1.6,0.0,5.2,0
21.9,4.0,188.24,1.0,1.0,0.0,999.0,27.0,1.0,0.0,1.0,0.1,9.0,1.0,233.38,3.0,19.5,1.0,8.4,0
48.9,0.0,339.52,2.0,2.0,0.0,999.0,52.0,1.0,1.0,0.0,21.5,15.0,6.0,286.12,3.0,6.4,0.0,8.6,0
31.0,0.0,133.43,0.0,1.0,0.0,999.0,55.0,1.0,0.0,0.0,13.5,22.0,1.0,1933.25,1.0,15.1,1.0,6.2,0
15.4,2.2,145.1,5.0,1.0,1.0,34.0,41.0,0.0,1.0,0.0,50.0,11.0,6.0,67.08,2.0,13.1,1.0,3.6,0
5.4,21.2,186.59,0.0,2.0,0.0,999.0,194.0,0.0,1.0,1.0,80.7,4.0,1.0,281.1,1.0,14.6,1.0,5.6,0
24.9,0.0,106.04,2.0,1.0,1.0,183.0,364.0,1.0,0.0,1.0,9.9,23.0,1.0,1192.1,3.0,32.1,0.0,6.6,0
0.5,22.3,170.54,1.0,3.0,1.0,122.0,168.0,0.0,0.0,1.0,53.1,23.0,1.0,1671.8,0.0,4.1,1.0,3.9,0
11.4,10.6,532.05,2.0,0.0,0.0,999.0,48.0,0.0,1.0,1.0,35.6,11.0,5.0,382.36,2.0,3.2,1.0,7.9,0
2.1,20.3,106.96,3.0,3.0,1.0,26.0,184.0,1.0,1.0,0.0,88.8,4.0,6.0,201.1,1.0,27.1,1.0,6.5,0
1.5,25.1,119.89,3.0,0.0,0.0,999.0,29.0,0.0,1.0,1.0,0.7,9.0,4.0,1038.85,3.0,15.4,1.0,8.9,0
39.9,0.0,1620.43,4.0,2.0,0.0,999.0,101.0,1.0,0.0,0.0,4.5,21.0,2.0,190.04,3.0,24.0,0.0,6.0,1
4.2,13.6,137.54,3.0,0.0,0.0,999.0,138.0,1.0,0.0,0.0,20.7,19.0,6.0,185.58,3.0,5.8,1.0,3.9,0
11.0,12.0,271.63,1.0,1.0,1.0,44.0,215.0,1.0,0.0,1.0,1.1,18.0,2.0,218.85,2.0,9.4,1.0,7.5,0
17.6,6.5,260.51,4.0,0.0,1.0,63.0,80.0,1.0,0.0,0.0,6.6,2.0,3.0,353.52,3.0,31.0,1.0,7.0,0
8.2,15.4,76.47,4.0,0.0,0.0,999.0,69.0,0.0,0.0,1.0,10.4,5.0,4.0,1050.91,1.0,47.4,1.0,8.5,0
14.7,5.2,139.86,3.0,1.0,0.0,999.0,46.0,0.0,1.0,0.0,5.6,7.0,5.0,180.49,3.0,41.4,0.0,7.9,0
13.9,12.2,141.6,1.0,2.0,0.0,999.0,118.0,0.0,1.0,1.0,70.6,12.0,3.0,526.18,3.0,5.3,0.0,6.6,0
6.8,23.0,368.47,5.0,0.0,0.0,999.0,64.0,1.0,1.0,0.0,3.5,23.0,0.0,561.95,3.0,67.2,1.0,4.7,0
8.0,13.4,222.38,5.0,1.0,1.0,32.0,132.0,1.0,1.0,1.0,39.1,14.0,2.0,414.98,3.0,17.9,1.0,4.9,0
49.1,0.0,305.78,5.0,2.0,0.0,999.0,114.0,0.0,0.0,1.0,7.6,21.0,3.0,248.16,3.0,40.6,1.0,5.6,0
22.6,0.0,59.54,0.0,1.0,1.0,178.0,68.0,1.0,1.0,1.0,14.5,20.0,1.0,340.93,1.0,3.9,1.0,9.5,0
32.8,0.0,296.79,3.0,3.0,0.0,999.0,172.0,1.0,1.0,1.0,6.8,3.0,4.0,271.3,3.0,0.4,1.0,10.0,0
60.0,0.0,75.63,0.0,3.0,3.0,37.0,205.0,1.0,1.0,0.0,3.5,2.0,0.0,236.59,2.0,6.8,0.0,9.5,0
4.4,24.0,603.79,3.0,3.0,0.0,999.0,466.0,0.0,1.0,0.0,8.5,6.0,0.0,1395.13,1.0,9.3,1.0,7.3,0
5.0,19.7,93.82,1.0,2.0,1.0,150.0,123.0,0.0,1.0,1.0,37.8,9.0,1.0,322.69,1.0,36.2,1.0,4.3,0
26.1,2.2,128.68,3.0,3.0,0.0,999.0,41.0,1.0,1.0,1.0,54.1,12.0,5.0,583.22,3.0,33.4,1.0,7.7,0
0.1,23.8,152.45,0.0,1.0,0.0,999.0,171.0,0.0,1.0,1.0,12.1,23.0,4.0,197.69,3.0,43.2,1.0,7.8,0
35.4,0.0,303.68,2.0,2.0,1.0,113.0,57.0,1.0,0.0,0.0,20.2,2.0,1.0,1367.45,1.0,1.7,1.0,8.2,1
25.7,0.0,442.09,0.0,3.0,0.0,999.0,69.0,0.0,1.0,1.0,18.0,0.0,6.0,205.65,1.0,15.0,1.0,7.6,0
5.6,19.3,266.34,4.0,1.0,1.0,45.0,162.0,1.0,1.0,1.0,3.9,0.0,2.0,688.64,1.0,13.6,1.0,6.8,0
48.2,0.0,176.78,1.0,0.0,0.0,999.0,144.0,0.0,0.0,0.0,29.8,22.0,3.0,152.5,1.0,23.3,1.0,4.6,0
16.3,11.6,168.97,5.0,3.0,1.0,166.0,241.0,1.0,1.0,1.0,36.0,23.0,0.0,720.88,0.0,13.9,1.0,7.4,0
10.8,12.0,300.69,4.0,3.0,0.0,999.0,122.0,0.0,0.0,0.0,11.4,10.0,5.0,124.13,3.0,18.9,1.0,1.9,0
27.4,0.0,93.71,0.0,1.0,0.0,999.0,144.0,0.0,1.0,1.0,12.8,23.0,0.0,250.63,1.0,21.6,1.0,9.2,0
3.5,22.3,104.18,3.0,1.0,0.0,999.0,144.0,1.0,1.0,0.0,49.7,15.0,6.0,1135.42,3.0,94.0,1.0,8.2,0
1.1,22.9,511.73,5.0,3.0,2.0,195.0,89.0,1.0,1.0,1.0,1.1,21.0,6.0,692.65,3.0,6.3,1.0,8.6,0
52.2,0.0,168.95,3.0,1.0,1.0,10.0,79.0,1.0,1.0,0.0,6.7,8.0,6.0,555.7,3.0,36.3,1.0,6.4,0
13.4,6.2,56.48,1.0,0.0,0.0,999.0,410.0,0.0,1.0,0.0,9.2,19.0,5.0,502.55,2.0,30.4,1.0,7.1,0
3.9,22.8,52.72,2.0,1.0,0.0,999.0,112.0,1.0,1.0,1.0,26.7,13.0,0.0,172.45,2.0,10.7,1.0,6.7,0
22.6,0.0,80.01,1.0,2.0,0.0,999.0,42.0,1.0,1.0,1.0,23.5,2.0,1.0,488.49,1.0,4.2,1.0,7.7,0
23.1,3.0,48.86,3.0,0.0,0.0,999.0,249.0,0.0,1.0,1.0,25.9,18.0,0.0,300.11,1.0,23.7,1.0,8.5,0
1.6,20.9,273.35,1.0,1.0,2.0,32.0,37.0,0.0,1.0,0.0,78.6,12.0,6.0,483.15,2.0,11.9,0.0,7.9,0
32.0,0.0,156.5,3.0,1.0,0.0,999.0,38.0,1.0,1.0,0.0,33.9,17.0,0.0,289.36,3.0,16.8,1.0,5.8,0
52.1,0.0,290.93,5.0,1.0,2.0,44.0,186.0,1.0,1.0,1.0,58.4,8.0,3.0,995.01,3.0,2.3,1.0,5.9,0
9.7,17.1,102.82,2.0,2.0,0.0,999.0,151.0,0.0,1.0,1.0,21.3,21.0,1.0,1180.2,1.0,3.2,0.0,7.7,0
54.0,0.0,160.89,5.0,1.0,1.0,142.0,109.0,1.0,1.0,0.0,41.3,6.0,4.0,183.19,0.0,9.6,1.0,6.2,0
4.6,20.9,45.93,1.0,0.0,1.0,164.0,34.0,0.0,1.0,0.0,30.5,7.0,5.0,212.86,3.0,3.8,1.0,5.8,0
32.4,0.0,628.52,1.0,0.0,0.0,999.0,216.0,0.0,1.0,1.0,38.3,9.0,2.0,155.85,3.0,0.1,1.0,6.4,0
0.8,24.5,387.34,1.0,3.0,2.0,16.0,239.0,1.0,1.0,0.0,29.7,2.0,6.0,957.56,0.0,26.4,1.0,7.0,1
6.1,19.2,49.58,3.0,1.0,1.0,72.0,22.0,0.0,1.0,0.0,1.9,2.0,5.0,431.1,0.0,0.3,1.0,4.3,0
2.5,16.9,441.42,4.0,0.0,0.0,999.0,28.0,0.0,1.0,1.0,120.0,22.0,4.0,266.86,3.0,6.5,0.0,8.5,0
4.1,14.1,148.02,3.0,3.0,0.0,999.0,43.0,0.0,0.0,0.0,8.3,9.0,4.0,391.92,3.0,40.3,1.0,6.1,0
14.5,13.5,125.5,3.0,1.0,0.0,999.0,27.0,1.0,0.0,1.0,9.4,6.0,2.0,308.91,0.0,56.2,1.0,8.1,0
19.9,2.3,64.83,0.0,1.0,1.0,78.0,489.0,0.0,1.0,0.0,15.9,16.0,6.0,131.23,1.0,11.8,0.0,8.8,1
8.4,13.6,2625.89,2.0,0.0,0.0,999.0,171.0,0.0,1.0,1.0,5.0,21.0,6.0,495.25,0.0,28.6,1.0,4.8,0
9.5,12.5,616.44,5.0,1.0,2.0,216.0,47.0,1.0,0.0,0.0,19.9,10.0,6.0,614.51,0.0,13.5,1.0,6.8,1
2.0,22.4,672.35,0.0,1.0,0.0,999.0,22.0,0.0,0.0,0.0,45.1,9.0,4.0,810.37,2.0,24.6,1.0,5.9,0
32.0,0.0,2308.61,3.0,1.0,1.0,141.0,24.0,1.0,1.0,0.0,12.1,18.0,0.0,1233.82,2.0,4.0,1.0,6.0,1
43.2,0.0,124.18,5.0,1.0,0.0,999.0,27.0,1.0,1.0,1.0,51.1,18.0,1.0,432.36,2.0,35.8,1.0,8.1,0
17.9,6.0,51.57,0.0,2.0,0.0,999.0,85.0,0.0,1.0,1.0,37.2,6.0,6.0,251.07,3.0,23.1,0.0,5.5,0
10.1,10.6,267.22,5.0,0.0,0.0,999.0,43.0,1.0,1.0,0.0,57.2,19.0,2.0,249.98,3.0,75.6,0.0,9.0,0
2.8,25.8,61.82,2.0,2.0,2.0,79.0,177.0,1.0,0.0,1.0,55.2,4.0,1.0,282.97,3.0,6.9,1.0,8.2,0
36.1,0.0,47.57,1.0,1.0,0.0,999.0,20.0,1.0,0.0,0.0,21.6,18.0,4.0,588.96,2.0,31.0,0.0,6.5,0
17.0,8.0,134.48,5.0,0.0,1.0,1.0,115.0,1.0,1.0,1.0,9.0,3.0,5.0,770.66,3.0,46.5,0.0,7.8,0
55.1,0.0,442.23,2.0,2.0,0.0,999.0,122.0,0.0,1.0,1.0,18.8,6.0,3.0,1065.31,0.0,4.4,1.0,7.8,1
27.9,0.0,76.89,2.0,2.0,0.0,999.0,83.0,1.0,0.0,0.0,13.3,20.0,3.0,267.42,2.0,16.5,1.0,7.4,0
9.7,20.7,117.06,4.0,2.0,0.0,999.0,92.0,1.0,0.0,1.0,17.3,10.0,4.0,182.96,2.0,1.1,1.0,8.8,0
4.7,20.7,32.25,3.0,0.0,1.0,37.0,33.0,0.0,1.0,1.0,55.1,12.0,3.0,576.02,0.0,13.4,1.0,8.9,0
14.4,13.4,123.88,2.0,1.0,2.0,23.0,123.0,0.0,1.0,0.0,2.6,17.0,3.0,298.8,3.0,81.2,1.0,7.1,0
6.5,21.7,20.0,3.0,2.0,0.0,999.0,431.0,1.0,1.0,1.0,4.8,0.0,6.0,226.32,0.0,27.2,1.0,10.0,0
8.1,17.9,293.27,3.0,3.0,0.0,999.0,32.0,1.0,1.0,1.0,3.9,7.0,2.0,202.28,3.0,75.2,1.0,8.1,0
26.2,0.0,151.12,4.0,3.0,0.0,999.0,180.0,0.0,0.0,0.0,8.2,11.0,0.0,432.19,1.0,6.5,1.0,6.4,0
4.2,19.1,38.73,4.0,1.0,0.0,999.0,335.0,0.0,1.0,1.0,4.4,7.0,0.0,253.88,2.0,20.5,1.0,7.4,0
38.6,0.0,206.14,3.0,0.0,0.0,999.0,80.0,0.0,1.0,1.0,0.3,2.0,3.0,367.62,3.0,6.2,1.0,6.2,0
13.4,8.4,105.9,1.0,0.0,0.0,999.0,180.0,1.0,1.0,1.0,26.2,9.0,6.0,870.23,1.0,12.8,1.0,7.2,0
34.6,0.0,702.03,2.0,3.0,0.0,999.0,39.0,1.0,1.0,0.0,35.1,14.0,4.0,1236.81,1.0,39.5,0.0,5.3,0
13.2,13.4,189.59,2.0,0.0,1.0,287.0,28.0,0.0,0.0,0.0,2.2,10.0,1.0,1644.49,1.0,37.5,1.0,10.0,1
13.1,9.4,191.37,1.0,3.0,0.0,999.0,586.0,1.0,0.0,1.0,0.4,1.0,0.0,450.39,2.0,16.3,1.0,7.4,1
39.5,0.0,74.41,0.0,0.0,1.0,129.0,58.0,1.0,0.0,1.0,61.8,6.0,3.0,504.22,1.0,21.5,0.0,10.0,0
11.8,15.0,116.12,5.0,0.0,0.0,999.0,40.0,1.0,1.0,1.0,27.7,8.0,2.0,289.09,2.0,50.3,1.0,2.9,0
1.5,21.9,453.29,2.0,1.0,1.0,88.0,74.0,1.0,1.0,0.0,7.9,9.0,0.0,456.01,0.0,47.2,0.0,4.9,0
2.9,23.4,182.43,0.0,1.0,0.0,999.0,76.0,0.0,1.0,1.0,28.2,19.0,0.0,895.38,0.0,2.2,1.0,9.2,0
16.9,8.8,380.04,2.0,2.0,0.0,999.0,85.0,1.0,0.0,1.0,57.6,11.0,5.0,2768.42,1.0,8.3,0.0,6.8,0
5.9,20.7,66.08,4.0,1.0,0.0,999.0,129.0,0.0,1.0,0.0,23.0,11.0,6.0,274.44,0.0,71.6,0.0,7.2,0
38.7,0.0,143.73,5.0,1.0,0.0,999.0,115.0,1.0,1.0,0.0,53.8,15.0,3.0,166.94,1.0,4.3,0.0,5.5,0
8.2,17.0,46.06,3.0,1.0,0.0,999.0,83.0,1.0,1.0,1.0,11.7,15.0,0.0,171.59,2.0,13.8,1.0,4.7,0
