days_since_last_inspection,previous_violation_count,previous_critical_violations,restaurant_type,years_in_operation,num_employees,seating_capacity,has_liquor_license,complaint_count_last_6months,avg_health_score_history,owner_change_last_year,renovation_last_year,chain_restaurant,neighborhood_income_level,inspection_month,food_handler_certifications_pct,cuisine_risk_category,delivery_service_partner,outdoor_seating,kitchen_size_sqft,target
37.0,0.0,0.0,3.0,4.1,9.0,23.0,0.0,2.0,93.5,0.0,0.0,1.0,75362.0,7.0,83.3,4.0,1.0,0.0,511.0,0
71.0,1.0,0.0,6.0,10.3,14.0,31.0,1.0,2.0,98.8,0.0,0.0,0.0,50851.0,5.0,67.5,2.0,0.0,1.0,531.0,0
70.0,1.0,1.0,4.0,0.7,10.0,65.0,1.0,2.0,97.6,0.0,0.0,0.0,50603.0,8.0,75.7,1.0,0.0,0.0,200.0,0
344.0,1.0,0.0,4.0,2.9,10.0,40.0,0.0,0.0,75.5,1.0,0.0,0.0,89925.0,11.0,60.3,2.0,0.0,0.0,593.0,0
18.0,1.0,2.0,2.0,1.1,10.0,10.0,0.0,0.0,82.1,0.0,0.0,0.0,56721.0,9.0,88.4,0.0,1.0,0.0,820.0,0
56.0,4.0,2.0,2.0,4.8,11.0,23.0,0.0,1.0,65.0,0.0,1.0,1.0,58899.0,11.0,46.4,4.0,0.0,1.0,222.0,1
209.0,2.0,0.0,4.0,2.2,9.0,29.0,1.0,0.0,78.2,0.0,0.0,0.0,68835.0,7.0,83.2,0.0,0.0,0.0,348.0,0
131.0,2.0,0.0,7.0,1.9,6.0,152.0,0.0,3.0,87.4,0.0,0.0,1.0,78409.0,9.0,80.6,0.0,0.0,1.0,564.0,0
10.0,0.0,0.0,6.0,4.2,10.0,31.0,0.0,0.0,80.5,0.0,0.0,0.0,65460.0,11.0,61.7,3.0,0.0,1.0,560.0,0
179.0,3.0,1.0,3.0,2.5,16.0,18.0,0.0,0.0,71.8,0.0,0.0,0.0,29169.0,8.0,94.8,0.0,1.0,1.0,191.0,1
82.0,4.0,0.0,3.0,3.3,8.0,22.0,0.0,2.0,95.4,0.0,0.0,0.0,37827.0,12.0,71.4,3.0,1.0,1.0,460.0,0
169.0,1.0,0.0,7.0,2.0,7.0,51.0,1.0,1.0,98.6,0.0,0.0,0.0,56331.0,7.0,41.2,4.0,0.0,1.0,348.0,0
112.0,2.0,1.0,7.0,0.7,7.0,48.0,1.0,1.0,84.6,0.0,0.0,1.0,71473.0,9.0,48.4,3.0,0.0,0.0,253.0,1
88.0,1.0,0.0,2.0,4.8,16.0,32.0,1.0,0.0,84.7,0.0,0.0,0.0,80344.0,4.0,66.0,4.0,1.0,0.0,386.0,0
28.0,1.0,0.0,7.0,4.2,15.0,31.0,0.0,0.0,83.7,0.0,0.0,0.0,68836.0,12.0,61.0,3.0,1.0,0.0,339.0,0
158.0,0.0,1.0,3.0,2.7,10.0,11.0,0.0,0.0,83.9,0.0,0.0,0.0,55598.0,2.0,85.1,0.0,1.0,0.0,148.0,0
208.0,1.0,0.0,4.0,13.4,6.0,40.0,1.0,1.0,82.0,0.0,0.0,1.0,58810.0,12.0,56.2,4.0,0.0,0.0,423.0,1
188.0,3.0,0.0,6.0,3.4,12.0,28.0,0.0,0.0,100.0,0.0,0.0,0.0,60432.0,1.0,53.6,0.0,0.0,0.0,479.0,0
164.0,1.0,0.0,7.0,4.2,11.0,56.0,0.0,1.0,80.2,0.0,0.0,1.0,48662.0,8.0,87.3,1.0,0.0,0.0,344.0,1
10.0,1.0,1.0,1.0,6.8,13.0,22.0,0.0,0.0,83.4,0.0,0.0,0.0,35748.0,9.0,61.9,4.0,1.0,0.0,310.0,0
25.0,0.0,1.0,5.0,0.5,12.0,22.0,1.0,0.0,90.9,0.0,0.0,1.0,78244.0,2.0,65.7,3.0,0.0,0.0,107.0,0
40.0,1.0,0.0,5.0,6.0,11.0,40.0,0.0,0.0,74.5,0.0,0.0,0.0,31294.0,3.0,52.0,1.0,1.0,0.0,451.0,0
131.0,1.0,0.0,3.0,1.2,17.0,22.0,1.0,3.0,85.8,0.0,0.0,0.0,33677.0,5.0,61.8,2.0,0.0,1.0,378.0,0
138.0,2.0,0.0,6.0,11.3,9.0,30.0,0.0,3.0,87.4,0.0,0.0,0.0,75819.0,7.0,52.0,1.0,0.0,0.0,301.0,0
263.0,3.0,0.0,1.0,2.5,15.0,29.0,1.0,4.0,65.7,0.0,0.0,0.0,36560.0,12.0,93.6,4.0,0.0,1.0,292.0,0
38.0,0.0,0.0,6.0,2.0,16.0,28.0,0.0,1.0,73.5,1.0,0.0,1.0,66944.0,1.0,87.6,2.0,1.0,0.0,1450.0,0
121.0,1.0,0.0,6.0,9.7,13.0,56.0,1.0,0.0,76.1,0.0,0.0,0.0,50581.0,3.0,59.3,1.0,0.0,0.0,806.0,0
34.0,1.0,0.0,4.0,5.1,15.0,40.0,0.0,2.0,76.9,0.0,0.0,0.0,43552.0,9.0,57.5,4.0,0.0,0.0,261.0,0
84.0,2.0,1.0,5.0,4.8,11.0,35.0,1.0,0.0,88.3,0.0,0.0,0.0,36063.0,3.0,48.6,0.0,1.0,0.0,433.0,0
112.0,0.0,1.0,5.0,3.7,6.0,26.0,1.0,1.0,100.0,0.0,0.0,0.0,56832.0,6.0,88.9,2.0,0.0,0.0,710.0,0
10.0,1.0,1.0,2.0,12.9,7.0,30.0,1.0,2.0,75.8,0.0,0.0,0.0,48336.0,5.0,84.8,2.0,1.0,0.0,618.0,1
355.0,1.0,2.0,0.0,3.1,15.0,28.0,1.0,2.0,79.9,0.0,0.0,0.0,43948.0,1.0,83.1,3.0,0.0,1.0,323.0,1
18.0,4.0,0.0,5.0,3.6,11.0,15.0,0.0,0.0,84.9,0.0,0.0,0.0,66258.0,2.0,70.5,3.0,1.0,0.0,667.0,0
16.0,1.0,0.0,4.0,3.1,19.0,23.0,0.0,3.0,79.5,1.0,0.0,1.0,37533.0,12.0,87.7,2.0,1.0,1.0,331.0,0
317.0,1.0,0.0,1.0,12.4,8.0,35.0,1.0,0.0,84.5,0.0,0.0,1.0,62113.0,6.0,42.2,1.0,0.0,0.0,147.0,0
10.0,1.0,2.0,0.0,2.6,8.0,64.0,1.0,1.0,73.1,0.0,0.0,1.0,53319.0,11.0,90.2,1.0,0.0,0.0,243.0,0
133.0,1.0,0.0,7.0,2.7,9.0,41.0,0.0,2.0,83.0,0.0,0.0,0.0,46067.0,2.0,79.8,2.0,0.0,0.0,189.0,0
10.0,3.0,0.0,6.0,18.4,14.0,22.0,0.0,0.0,85.1,0.0,0.0,0.0,86938.0,11.0,98.0,4.0,0.0,0.0,258.0,0
21.0,0.0,0.0,5.0,0.5,13.0,49.0,0.0,0.0,76.4,1.0,0.0,0.0,32310.0,10.0,75.3,3.0,0.0,1.0,378.0,0
45.0,0.0,1.0,3.0,8.5,14.0,44.0,1.0,0.0,65.3,0.0,1.0,0.0,46845.0,11.0,43.7,3.0,0.0,0.0,270.0,0
10.0,2.0,0.0,6.0,17.0,15.0,25.0,1.0,0.0,80.0,0.0,0.0,0.0,69823.0,1.0,79.4,0.0,1.0,0.0,512.0,0
10.0,3.0,0.0,6.0,9.8,13.0,68.0,1.0,1.0,100.0,0.0,0.0,0.0,40508.0,7.0,83.1,3.0,0.0,1.0,420.0,0
75.0,1.0,0.0,5.0,4.5,10.0,39.0,1.0,0.0,82.5,0.0,0.0,1.0,56947.0,10.0,64.3,0.0,0.0,0.0,325.0,0
366.0,0.0,2.0,3.0,0.5,13.0,28.0,1.0,0.0,86.1,0.0,0.0,0.0,45611.0,7.0,78.8,2.0,0.0,0.0,369.0,1
237.0,2.0,0.0,7.0,0.7,13.0,29.0,0.0,0.0,72.6,0.0,0.0,0.0,87195.0,1.0,64.2,4.0,0.0,1.0,169.0,0
91.0,1.0,0.0,2.0,3.1,11.0,77.0,0.0,1.0,96.2,0.0,0.0,1.0,26659.0,3.0,98.0,3.0,0.0,0.0,324.0,0
74.0,1.0,0.0,5.0,2.1,13.0,41.0,1.0,0.0,94.7,0.0,0.0,1.0,49556.0,9.0,34.1,3.0,1.0,0.0,373.0,0
107.0,1.0,0.0,6.0,7.6,10.0,37.0,0.0,1.0,99.0,0.0,1.0,0.0,15000.0,2.0,95.6,3.0,0.0,1.0,924.0,0
127.0,1.0,0.0,3.0,3.2,15.0,41.0,1.0,0.0,89.3,0.0,0.0,0.0,52173.0,5.0,54.0,1.0,0.0,1.0,746.0,0
247.0,3.0,0.0,4.0,1.4,5.0,36.0,1.0,1.0,89.3,0.0,0.0,0.0,23414.0,5.0,76.6,2.0,1.0,0.0,445.0,0
104.0,2.0,0.0,7.0,2.8,12.0,67.0,1.0,3.0,83.0,0.0,0.0,1.0,31206.0,8.0,63.9,2.0,1.0,0.0,365.0,0
263.0,3.0,0.0,1.0,4.0,15.0,81.0,0.0,0.0,91.5,0.0,0.0,0.0,15926.0,8.0,60.9,4.0,0.0,1.0,329.0,1
65.0,0.0,0.0,6.0,17.3,14.0,63.0,1.0,0.0,90.8,0.0,0.0,1.0,55241.0,1.0,83.9,0.0,0.0,0.0,458.0,0
137.0,1.0,1.0,6.0,11.1,10.0,54.0,1.0,0.0,96.0,0.0,0.0,1.0,54389.0,3.0,86.8,4.0,0.0,0.0,206.0,0
151.0,2.0,0.0,7.0,8.6,12.0,30.0,1.0,0.0,71.1,0.0,0.0,0.0,39260.0,3.0,89.8,0.0,0.0,0.0,1211.0,0
191.0,2.0,0.0,0.0,0.9,12.0,24.0,1.0,2.0,97.7,0.0,0.0,0.0,48060.0,7.0,40.7,2.0,0.0,0.0,245.0,1
73.0,1.0,1.0,0.0,3.0,8.0,36.0,0.0,1.0,96.3,1.0,1.0,0.0,46455.0,11.0,84.4,4.0,1.0,0.0,705.0,0
54.0,1.0,0.0,4.0,6.7,15.0,10.0,0.0,2.0,69.5,0.0,0.0,0.0,69892.0,3.0,83.2,1.0,0.0,0.0,382.0,0
12.0,0.0,0.0,6.0,2.4,14.0,38.0,0.0,2.0,87.9,0.0,0.0,0.0,40740.0,10.0,87.6,2.0,0.0,0.0,306.0,0
433.0,0.0,0.0,2.0,3.4,10.0,62.0,0.0,0.0,85.0,0.0,0.0,0.0,58526.0,7.0,72.5,4.0,0.0,0.0,806.0,0
86.0,2.0,0.0,3.0,1.2,14.0,24.0,1.0,1.0,98.8,0.0,0.0,0.0,66055.0,2.0,81.9,3.0,1.0,0.0,483.0,0
415.0,1.0,1.0,7.0,0.5,9.0,24.0,0.0,0.0,93.0,1.0,1.0,0.0,67378.0,5.0,66.1,2.0,1.0,1.0,384.0,0
151.0,2.0,1.0,7.0,8.0,10.0,38.0,1.0,0.0,77.7,1.0,0.0,0.0,50098.0,12.0,76.2,2.0,1.0,1.0,218.0,1
59.0,1.0,0.0,7.0,2.2,11.0,65.0,0.0,1.0,95.6,1.0,0.0,1.0,81974.0,5.0,76.5,2.0,1.0,0.0,819.0,0
194.0,0.0,0.0,7.0,0.5,13.0,77.0,1.0,1.0,90.1,0.0,0.0,0.0,55430.0,11.0,87.0,3.0,1.0,1.0,290.0,0
49.0,2.0,1.0,2.0,3.5,11.0,13.0,0.0,3.0,85.1,0.0,0.0,0.0,49195.0,11.0,58.0,4.0,0.0,0.0,172.0,1
67.0,1.0,0.0,2.0,0.5,13.0,34.0,1.0,0.0,74.2,0.0,0.0,1.0,38950.0,1.0,96.3,0.0,0.0,1.0,379.0,0
38.0,5.0,0.0,4.0,3.4,15.0,98.0,0.0,0.0,91.2,0.0,0.0,0.0,15000.0,5.0,83.9,0.0,0.0,1.0,187.0,0
111.0,0.0,1.0,1.0,7.1,14.0,69.0,1.0,1.0,81.6,0.0,0.0,0.0,70260.0,4.0,65.3,3.0,0.0,1.0,317.0,0
150.0,0.0,0.0,0.0,13.5,14.0,78.0,1.0,0.0,89.7,0.0,0.0,0.0,72454.0,5.0,85.8,1.0,0.0,0.0,790.0,0
10.0,0.0,0.0,2.0,19.3,12.0,36.0,1.0,1.0,86.4,0.0,0.0,0.0,30340.0,4.0,89.7,3.0,1.0,0.0,253.0,0
307.0,2.0,1.0,6.0,10.9,17.0,49.0,1.0,3.0,84.0,0.0,1.0,0.0,17112.0,2.0,70.4,4.0,1.0,1.0,326.0,1
344.0,3.0,0.0,4.0,1.9,14.0,28.0,1.0,0.0,76.6,0.0,0.0,0.0,80064.0,6.0,59.7,3.0,0.0,0.0,968.0,0
33.0,1.0,0.0,3.0,4.9,9.0,15.0,0.0,1.0,86.4,0.0,0.0,0.0,119644.0,9.0,55.6,3.0,0.0,1.0,360.0,0
32.0,2.0,0.0,5.0,10.5,15.0,34.0,1.0,1.0,100.0,0.0,0.0,0.0,34376.0,6.0,57.5,3.0,0.0,1.0,281.0,0
216.0,0.0,0.0,1.0,4.0,13.0,28.0,1.0,0.0,84.9,0.0,0.0,0.0,81607.0,4.0,49.1,0.0,1.0,1.0,421.0,0
150.0,2.0,0.0,5.0,2.5,11.0,23.0,0.0,1.0,90.0,1.0,0.0,0.0,71551.0,3.0,64.5,1.0,1.0,0.0,425.0,0
20.0,2.0,0.0,4.0,1.7,14.0,44.0,1.0,1.0,74.8,0.0,0.0,0.0,48072.0,12.0,72.3,1.0,1.0,1.0,144.0,0
23.0,4.0,0.0,5.0,1.7,14.0,20.0,1.0,0.0,73.4,0.0,0.0,0.0,42958.0,4.0,53.4,1.0,0.0,0.0,531.0,0
65.0,2.0,0.0,1.0,1.5,15.0,71.0,1.0,0.0,61.7,0.0,0.0,1.0,59895.0,2.0,51.4,0.0,0.0,0.0,477.0,0
24.0,1.0,0.0,3.0,2.9,6.0,57.0,0.0,1.0,74.7,0.0,0.0,0.0,69187.0,4.0,98.6,0.0,0.0,0.0,289.0,0
65.0,1.0,1.0,5.0,11.0,12.0,26.0,0.0,0.0,86.5,0.0,0.0,0.0,73814.0,12.0,62.5,3.0,1.0,1.0,428.0,0
195.0,3.0,2.0,5.0,5.9,11.0,24.0,1.0,0.0,87.5,0.0,0.0,0.0,62032.0,4.0,94.4,0.0,0.0,0.0,180.0,0
94.0,3.0,1.0,0.0,4.6,11.0,22.0,0.0,1.0,100.0,0.0,0.0,0.0,82832.0,8.0,77.8,2.0,1.0,0.0,259.0,0
61.0,2.0,0.0,2.0,7.1,12.0,19.0,1.0,0.0,81.5,0.0,0.0,0.0,60732.0,1.0,61.1,3.0,1.0,0.0,236.0,0
191.0,4.0,0.0,3.0,8.6,13.0,24.0,0.0,0.0,89.2,0.0,0.0,0.0,68755.0,5.0,75.0,4.0,0.0,1.0,375.0,0
66.0,1.0,1.0,4.0,9.4,12.0,108.0,1.0,0.0,72.2,0.0,1.0,0.0,29922.0,6.0,85.1,4.0,0.0,1.0,709.0,0
14.0,0.0,0.0,4.0,1.1,8.0,32.0,1.0,0.0,82.8,0.0,0.0,0.0,63848.0,6.0,89.9,3.0,1.0,0.0,553.0,0
17.0,1.0,0.0,1.0,2.5,13.0,45.0,0.0,0.0,96.4,0.0,0.0,1.0,43167.0,10.0,56.6,2.0,0.0,0.0,451.0,0
116.0,1.0,0.0,1.0,16.2,8.0,20.0,1.0,0.0,81.8,0.0,0.0,0.0,31593.0,10.0,54.6,2.0,0.0,1.0,701.0,0
167.0,1.0,0.0,6.0,3.2,16.0,56.0,0.0,1.0,99.4,0.0,0.0,0.0,81026.0,6.0,52.8,4.0,0.0,1.0,1198.0,0
59.0,2.0,0.0,3.0,0.5,9.0,21.0,0.0,3.0,99.0,0.0,0.0,0.0,54343.0,3.0,81.4,4.0,0.0,0.0,290.0,0
134.0,1.0,0.0,1.0,13.9,20.0,49.0,0.0,1.0,81.3,0.0,1.0,0.0,39669.0,12.0,91.6,2.0,0.0,0.0,313.0,0
101.0,4.0,0.0,5.0,2.6,7.0,77.0,1.0,1.0,83.9,0.0,0.0,0.0,67163.0,6.0,59.7,1.0,1.0,0.0,578.0,0
122.0,0.0,1.0,6.0,4.2,10.0,84.0,1.0,1.0,73.9,0.0,0.0,1.0,32127.0,12.0,72.9,3.0,1.0,0.0,233.0,0
155.0,0.0,1.0,7.0,4.0,11.0,38.0,0.0,0.0,96.2,0.0,0.0,0.0,81574.0,7.0,65.0,0.0,1.0,1.0,216.0,0
86.0,0.0,0.0,7.0,12.6,12.0,16.0,0.0,0.0,84.6,0.0,0.0,0.0,78176.0,1.0,76.9,0.0,0.0,0.0,438.0,0
150.0,1.0,0.0,7.0,2.5,18.0,26.0,1.0,0.0,85.5,0.0,0.0,0.0,65459.0,6.0,72.5,3.0,0.0,0.0,676.0,0
92.0,1.0,1.0,2.0,0.5,11.0,24.0,0.0,0.0,80.5,0.0,0.0,0.0,44503.0,8.0,70.8,0.0,0.0,0.0,491.0,0
133.0,1.0,1.0,1.0,3.0,13.0,16.0,0.0,0.0,80.7,0.0,0.0,1.0,66509.0,3.0,51.0,3.0,1.0,1.0,97.0,1
280.0,4.0,0.0,0.0,1.1,17.0,64.0,1.0,1.0,93.9,0.0,0.0,0.0,79387.0,7.0,66.7,2.0,0.0,0.0,167.0,0
92.0,3.0,0.0,0.0,4.3,14.0,25.0,0.0,1.0,78.1,0.0,0.0,0.0,57387.0,3.0,93.4,2.0,1.0,0.0,357.0,0
10.0,0.0,0.0,0.0,0.9,16.0,14.0,0.0,0.0,93.8,0.0,0.0,0.0,51884.0,8.0,76.7,2.0,1.0,0.0,445.0,0
83.0,1.0,0.0,5.0,2.8,15.0,30.0,1.0,3.0,83.7,0.0,0.0,0.0,66467.0,10.0,83.3,3.0,0.0,1.0,467.0,0
82.0,1.0,0.0,7.0,8.5,10.0,27.0,0.0,2.0,96.3,0.0,0.0,1.0,51817.0,3.0,80.5,2.0,1.0,0.0,446.0,0
575.0,5.0,0.0,4.0,5.5,12.0,80.0,1.0,0.0,82.1,0.0,0.0,0.0,25347.0,6.0,85.4,3.0,0.0,1.0,769.0,1
10.0,4.0,1.0,2.0,2.2,14.0,35.0,1.0,0.0,100.0,0.0,0.0,0.0,45328.0,1.0,76.3,4.0,1.0,0.0,920.0,1
32.0,2.0,0.0,2.0,15.8,9.0,128.0,1.0,1.0,79.9,0.0,0.0,0.0,57269.0,6.0,85.3,4.0,0.0,0.0,376.0,0
120.0,4.0,0.0,2.0,0.7,8.0,23.0,0.0,0.0,66.5,0.0,0.0,1.0,69971.0,2.0,84.6,4.0,0.0,0.0,374.0,0
267.0,1.0,0.0,1.0,3.5,16.0,53.0,0.0,0.0,63.6,0.0,0.0,1.0,42016.0,3.0,85.7,2.0,1.0,0.0,488.0,1
24.0,3.0,0.0,4.0,0.6,15.0,60.0,0.0,1.0,83.5,0.0,0.0,1.0,17013.0,8.0,46.2,1.0,0.0,0.0,191.0,0
309.0,1.0,0.0,2.0,7.4,17.0,21.0,1.0,0.0,85.0,0.0,0.0,1.0,65145.0,12.0,88.9,2.0,0.0,1.0,442.0,0
224.0,1.0,0.0,4.0,10.6,12.0,34.0,0.0,1.0,100.0,0.0,0.0,0.0,53251.0,10.0,95.3,0.0,1.0,0.0,478.0,0
27.0,1.0,0.0,2.0,1.6,11.0,10.0,0.0,0.0,86.9,0.0,0.0,1.0,64164.0,3.0,57.9,1.0,0.0,1.0,252.0,0
33.0,2.0,1.0,1.0,1.1,12.0,58.0,0.0,2.0,87.4,0.0,0.0,0.0,40728.0,11.0,89.4,1.0,0.0,0.0,845.0,0
290.0,3.0,0.0,6.0,1.3,13.0,41.0,1.0,0.0,98.8,0.0,1.0,0.0,27033.0,10.0,52.9,0.0,0.0,0.0,609.0,0
198.0,2.0,1.0,6.0,3.6,14.0,62.0,0.0,1.0,81.7,0.0,1.0,0.0,47596.0,6.0,50.2,2.0,1.0,1.0,347.0,0
