loan_amount,annual_income,debt_to_income_ratio,credit_score,employment_length_years,home_ownership,loan_purpose,interest_rate,installment_amount,num_credit_lines,num_delinquencies,months_since_last_delinquency,total_credit_limit,revolving_utilization,public_records,inquiries_last_6months,age,years_at_current_address,target
15257.14,204932.61,0.2975,684,8.6,0,4,15.17,831.14,7,0,0,10873.51,0.3939,0,1,27,1.9,0
49577.77,69741.45,0.0836,555,1.0,1,5,10.76,855.89,9,1,26,21860.07,0.3109,0,0,34,0.3,1
49403.31,21826.85,0.0812,619,6.5,2,0,18.45,1767.0,11,1,46,69491.41,0.3501,0,2,43,12.5,1
6952.26,31050.21,0.4744,657,0.9,2,0,16.79,471.36,12,0,0,87385.16,0.4204,1,0,45,2.4,0
19293.79,63863.61,0.0875,724,9.7,2,1,16.79,1272.45,4,0,0,22514.54,0.6436,0,4,34,2.0,0
18757.41,93963.95,0.0976,717,0.3,0,4,13.82,949.64,6,1,3,8460.48,0.4155,0,3,27,15.0,0
31745.39,44981.51,0.0987,693,2.0,1,2,12.66,1885.04,10,1,19,11204.3,0.4289,0,2,47,8.2,0
12037.99,104197.14,0.1366,656,2.3,1,0,8.62,461.63,5,1,57,6066.78,0.4645,0,3,32,0.6,0
31817.9,39198.98,0.2708,759,1.3,2,3,12.16,726.7,12,1,60,56833.4,0.2728,0,2,33,1.0,0
22466.93,80666.89,0.0248,745,0.9,3,2,11.17,549.91,8,0,0,11999.69,0.3114,0,4,36,6.0,0
26468.62,43657.3,0.2661,762,0.5,3,1,14.01,580.36,10,1,40,27526.9,0.7673,1,0,25,0.1,0
15173.08,50247.79,0.2112,841,3.5,1,1,3.0,742.24,6,0,0,9048.73,0.6412,0,3,44,4.4,0
21469.22,48605.45,0.0432,773,9.8,0,2,11.23,486.89,10,1,12,36032.35,0.2012,0,0,48,0.4,0
36390.0,27073.05,0.1607,664,3.7,2,4,12.56,1059.66,8,0,0,18900.53,0.4588,0,0,38,4.2,0
25064.08,47361.48,0.1783,708,8.2,1,0,22.35,419.08,4,0,0,34155.03,0.8518,0,2,36,0.5,1
15340.6,80208.36,0.2221,631,2.8,1,5,11.45,258.15,12,0,0,37858.64,0.6446,0,0,26,2.2,0
11627.64,15690.94,0.1017,708,2.6,1,2,7.81,235.43,7,1,16,19411.35,0.6036,0,0,35,4.4,0
50513.99,71247.85,0.0588,728,8.3,2,1,8.65,953.74,5,1,2,15881.78,0.614,0,0,44,2.2,0
18797.94,128283.9,0.1347,641,0.3,0,5,7.62,608.48,12,0,0,82901.34,0.7408,0,1,49,2.1,0
6279.61,25634.91,0.1538,683,12.3,2,5,8.89,124.18,7,0,0,42040.99,0.2481,0,1,41,5.3,0
6121.32,26988.72,0.2178,698,4.6,2,4,9.55,129.22,10,0,0,11891.22,0.1316,0,4,51,13.1,0
23909.1,76328.7,0.12,674,7.4,0,5,21.98,1277.22,8,1,27,14572.13,0.2862,0,3,21,6.3,0
37982.33,25065.92,0.2093,766,1.5,1,2,8.16,1372.8,10,0,0,31072.92,0.1424,0,0,67,0.3,0
12001.35,51399.56,0.0514,821,6.3,0,2,10.57,285.6,8,1,28,31069.65,0.1222,0,1,55,4.4,0
9698.28,26277.53,0.1013,596,4.2,0,0,14.95,397.73,9,0,0,5000.0,0.6678,0,0,55,1.1,0
5293.16,95134.79,0.0809,648,3.6,0,4,13.21,139.63,3,0,0,42336.65,0.4379,0,2,23,1.0,0
11165.8,41584.08,0.1904,813,20.0,1,3,8.35,336.47,10,0,0,16551.53,0.077,0,4,39,0.1,0
16332.93,25303.63,0.2212,746,9.2,1,2,11.21,955.71,8,0,0,99658.33,0.2626,0,1,45,5.6,0
9497.03,97784.91,0.0844,639,5.1,2,3,9.9,335.22,7,0,0,29283.89,0.6473,0,2,47,12.0,0
43133.76,46790.16,0.2127,729,12.5,1,2,5.4,1167.02,9,0,0,12946.54,0.4617,1,0,40,6.4,0
21230.42,33054.85,0.2012,649,0.0,1,5,14.97,424.53,11,0,0,182341.36,0.4515,0,2,33,17.2,0
5201.31,33187.77,0.1074,690,4.8,1,1,9.86,150.21,7,0,0,13034.85,0.3252,0,0,40,4.0,0
21010.96,23474.69,0.1608,796,0.3,1,3,9.84,587.34,4,1,11,5000.0,0.2432,0,0,62,9.5,0
13615.02,84818.97,0.2848,640,1.9,1,1,20.76,251.13,8,0,0,45645.0,0.6538,0,0,51,8.0,1
23646.42,90558.05,0.2092,706,0.5,1,5,6.46,821.08,8,0,0,19276.68,0.8871,1,4,29,1.2,1
8504.04,49473.69,0.1988,746,0.9,0,1,4.24,270.94,5,0,0,14514.64,0.4658,0,0,31,2.3,0
22539.39,122758.5,0.2587,729,17.1,1,1,13.2,773.56,11,0,0,56027.01,0.4425,0,2,51,6.2,0
7569.74,26193.13,0.0748,740,11.4,2,4,5.59,233.59,9,0,0,13019.62,0.345,0,1,36,5.9,0
47240.41,30509.47,0.3186,688,5.9,3,0,7.56,1664.13,11,0,0,11141.19,0.6341,0,3,25,1.1,0
8900.76,44876.15,0.209,682,7.6,1,4,7.03,187.39,7,0,0,21266.62,0.0993,0,0,48,3.1,0
20136.2,73752.14,0.1978,587,1.0,1,2,15.51,564.66,7,0,0,28865.34,0.4327,0,0,46,5.2,0
7889.51,147747.88,0.3849,659,13.2,2,1,10.15,265.88,6,3,3,22716.68,0.4374,0,1,53,0.0,0
11299.71,102903.53,0.1297,776,9.0,0,1,9.31,204.58,8,1,8,53038.65,0.381,0,3,30,6.1,0
9304.95,79579.51,0.2066,531,6.8,1,0,14.57,498.53,9,1,8,19199.78,0.6576,0,0,21,12.9,0
22224.52,67960.19,0.2415,685,0.5,2,5,12.59,468.58,5,0,0,8136.06,0.518,0,1,24,2.7,0
17195.89,24091.56,0.1969,805,2.8,1,4,7.97,824.25,14,0,0,56695.12,0.1384,0,1,21,2.5,0
7034.18,45456.29,0.0468,690,10.0,1,1,9.48,191.89,3,0,0,20962.78,0.2093,1,1,49,0.9,0
25661.3,88762.79,0.4588,705,7.7,1,2,9.78,1286.18,8,0,0,10020.87,0.4712,0,1,45,11.7,0
20625.77,19630.08,0.1745,655,16.5,2,1,13.6,382.8,7,1,60,51532.61,0.0569,0,2,48,4.5,0
18108.08,25985.02,0.131,737,9.0,3,3,9.5,568.87,7,0,0,22005.48,0.301,0,0,58,6.4,0
3330.79,76875.87,0.116,697,0.4,2,0,18.32,213.09,6,0,0,14440.85,0.401,0,4,33,1.2,0
11739.11,69979.16,0.1522,716,6.5,1,0,3.0,505.86,8,0,0,143213.14,0.2695,0,1,60,19.6,0
33957.68,87889.95,0.0477,670,8.0,1,4,15.62,567.27,10,1,29,27424.74,0.3401,0,2,45,1.6,0
18406.87,70208.99,0.1269,813,3.3,1,1,11.98,689.7,11,1,12,40474.21,0.2116,0,1,31,0.5,0
23160.61,39880.3,0.2914,755,1.3,2,5,8.42,461.93,8,3,30,20780.07,0.5144,0,1,35,2.5,0
13130.69,58619.07,0.1367,850,4.6,3,5,11.71,437.97,5,1,9,36512.69,0.7774,1,1,29,2.5,0
55220.62,19218.0,0.2199,639,2.2,0,1,10.2,1587.4,9,0,0,19640.28,0.6726,0,2,36,0.5,0
11004.88,28818.72,0.1804,685,3.0,1,1,10.66,304.22,9,0,0,6175.23,0.6261,0,3,50,4.0,0
9213.47,111223.16,0.2721,625,9.4,2,3,12.98,334.02,3,0,0,51026.81,0.4031,1,1,39,3.6,0
6986.31,56843.56,0.1013,736,8.2,1,3,10.77,203.24,3,0,0,21106.93,0.3227,0,0,53,2.5,0
20723.69,56484.8,0.2482,723,2.0,2,5,6.03,541.42,8,0,0,27626.76,0.6302,1,1,26,0.5,0
24242.8,43644.85,0.0415,650,4.2,1,0,11.68,412.88,11,0,0,18048.44,0.1674,0,0,62,7.2,0
11033.61,123665.71,0.0817,618,2.0,2,4,15.04,224.02,7,1,15,35521.61,0.2746,0,2,21,0.7,0
14156.15,58149.68,0.1199,682,5.1,2,1,16.3,244.46,12,1,10,14892.31,0.1724,0,0,54,8.5,0
14500.66,81641.21,0.0837,680,6.4,2,0,11.47,437.08,9,0,0,33892.63,0.3625,0,1,46,5.9,0
12194.5,46783.14,0.2499,778,2.4,1,5,10.24,632.04,9,1,18,11657.62,0.241,0,0,45,5.5,0
6208.11,75192.49,0.158,732,5.0,1,3,9.65,172.74,9,0,0,44384.09,0.7902,0,3,32,2.1,0
54172.65,16478.57,0.1179,749,2.7,2,0,12.19,3054.11,10,0,0,42237.68,0.4013,0,1,31,2.9,0
13806.99,18181.43,0.0673,696,1.0,2,1,4.71,510.03,5,0,0,21561.96,0.14,0,0,33,2.6,0
13245.29,55266.96,0.0816,709,4.1,3,0,6.05,228.31,8,1,46,7267.89,0.3424,0,2,29,7.0,0
6852.0,41455.83,0.2333,695,7.9,2,2,7.29,241.84,6,1,62,34273.43,0.2411,0,1,21,7.3,0
4519.56,112604.09,0.1201,777,2.0,2,0,7.37,194.87,7,0,0,14569.08,0.5751,0,0,47,6.8,0
10536.32,26583.14,0.4702,698,13.9,2,0,10.03,507.42,4,1,22,22596.59,0.6187,0,1,34,5.3,0
44154.82,30213.28,0.1878,635,13.5,3,4,19.79,1121.9,7,1,7,35172.58,0.5757,1,2,22,2.9,1
4935.9,48173.42,0.0828,566,9.2,2,4,12.65,192.0,8,0,0,10206.13,0.3381,0,2,31,0.5,0
18643.45,94862.74,0.4385,763,1.4,2,2,5.72,555.21,5,1,39,35830.83,0.5612,0,1,30,2.6,0
33017.26,15000.0,0.3378,684,8.9,1,3,9.07,2671.53,6,1,9,31484.92,0.4473,0,1,45,3.4,0
19696.63,58696.44,0.1542,663,3.3,1,0,13.87,483.76,3,1,22,8262.84,0.4958,0,0,49,2.5,0
13136.78,44383.47,0.0829,625,2.1,2,4,20.37,231.32,7,2,42,5000.0,0.5353,0,2,44,9.5,0
10306.18,86656.7,0.2661,688,0.0,1,3,4.7,453.87,6,1,62,27171.45,0.8428,0,3,26,8.0,0
15225.48,24640.19,0.0727,615,2.1,1,0,19.46,496.01,9,0,0,19705.04,0.4948,0,1,36,3.9,0
10130.82,25009.06,0.3427,644,0.8,1,0,11.79,287.53,8,1,17,11340.24,0.6853,0,0,21,2.0,0
3250.75,36553.83,0.4098,686,5.3,1,4,4.87,154.66,8,1,8,23643.65,0.4695,0,1,44,3.0,0
4831.96,33030.63,0.117,648,4.9,0,0,7.15,122.47,7,1,9,13007.82,0.4153,0,1,24,5.8,0
23242.72,31497.7,0.1986,739,3.1,1,3,14.48,918.77,8,1,7,80329.22,0.4755,0,1,28,1.3,0
24870.41,35164.52,0.1632,706,3.4,2,1,14.05,673.38,8,0,0,9974.83,0.2521,0,2,29,1.5,0
9460.76,56205.05,0.2281,716,0.9,3,0,11.55,548.68,10,0,0,54681.87,0.3527,0,0,46,0.9,0
11057.19,19672.08,0.2823,736,18.2,0,2,9.69,378.62,7,0,0,17041.13,0.6484,0,1,37,4.1,0
2866.39,42183.9,0.236,738,0.3,1,3,9.28,70.73,15,0,0,13213.56,0.6466,0,2,49,1.3,0
8400.13,35183.35,0.1218,652,0.6,2,4,13.47,358.72,7,1,11,9306.53,0.6548,0,3,31,14.2,0
4289.74,29966.36,0.2443,624,6.3,3,3,11.64,182.81,12,0,0,8530.77,0.6689,0,1,45,1.0,0
19336.23,108505.49,0.1312,721,2.2,1,0,4.56,351.81,9,0,0,36244.36,0.3847,0,1,70,7.1,0
33772.09,71898.93,0.0855,700,21.4,0,2,8.06,744.79,6,0,0,28012.6,0.6964,0,2,22,5.4,0
8901.35,49555.25,0.3553,692,10.2,0,4,13.8,272.08,11,0,0,49439.62,0.7512,0,2,30,1.2,0
2471.04,77209.55,0.1089,626,1.4,2,4,16.23,50.75,6,1,31,48681.2,0.4245,0,3,40,2.1,0
13135.16,163742.48,0.0777,641,9.6,1,3,7.6,365.85,7,0,0,21011.46,0.148,0,1,43,1.5,0
8367.94,15000.0,0.1498,642,27.7,3,0,16.01,158.47,6,0,0,55916.24,0.6478,0,2,35,6.7,0
16578.18,48317.31,0.1649,587,0.1,1,3,12.3,580.4,8,3,26,28124.85,0.5181,0,0,41,3.2,0
4231.89,202077.31,0.2514,808,7.1,1,2,13.29,95.86,10,1,97,8046.36,0.2351,1,2,37,9.6,0
41134.46,48789.08,0.075,715,1.0,2,1,12.38,810.37,7,0,0,16881.8,0.2904,0,1,60,8.8,0
30359.59,97412.58,0.196,655,4.0,1,0,12.34,1084.58,7,1,8,19997.86,0.5545,0,1,54,9.4,0
10035.67,36126.57,0.2477,573,35.6,2,3,5.63,366.94,4,0,0,22739.66,0.4817,0,2,46,15.1,1
43737.51,15000.0,0.1636,708,10.6,2,3,8.84,1421.4,8,0,0,17770.91,0.3062,0,1,45,8.8,0
17936.92,27914.35,0.0766,610,1.1,1,1,8.16,1321.88,6,1,7,19098.31,0.2181,0,1,42,1.1,0
21837.26,77849.61,0.0507,789,1.1,2,4,12.54,607.73,9,3,33,54286.86,0.2601,0,2,39,4.0,0
10652.04,31635.22,0.1283,677,0.2,1,5,6.34,225.87,6,1,1,40101.74,0.1424,0,0,44,2.9,0
3972.15,149631.96,0.3315,731,0.8,2,3,10.47,95.81,7,0,0,19089.02,0.5334,0,2,30,0.1,0
5784.12,21100.81,0.2055,634,4.6,0,1,10.87,195.89,12,1,19,53928.19,0.4319,0,2,32,6.2,1
14370.45,33351.63,0.1116,773,11.0,2,1,12.59,416.62,13,1,48,21703.2,0.0639,0,2,31,4.9,0
7718.31,118411.74,0.1623,687,1.6,0,1,8.38,307.4,9,1,18,24765.02,0.2491,0,1,49,0.6,0
100000.0,99505.11,0.2989,708,1.9,3,4,3.0,3284.38,9,0,0,9297.76,0.1736,0,0,60,1.3,0
7341.29,37682.46,0.3333,655,4.3,2,2,7.48,142.11,11,1,34,53303.52,0.1917,0,2,34,0.1,0
20714.49,33316.23,0.2231,679,3.9,2,4,5.78,894.1,16,0,0,10565.42,0.5453,0,1,40,0.4,0
22957.41,41320.05,0.3119,494,4.4,1,0,8.07,947.26,10,1,6,23496.68,0.5527,0,2,37,2.1,1
10327.24,135730.14,0.3523,636,3.7,3,5,12.08,285.25,5,0,0,19950.02,0.8087,0,0,39,13.3,1
11131.25,47167.68,0.109,577,2.4,0,1,8.28,377.25,4,1,3,31880.07,0.4841,0,0,47,3.2,0
21805.22,31997.35,0.0721,723,6.5,2,3,11.17,385.2,8,1,28,27355.89,0.4029,0,1,31,2.7,0
18086.24,29464.52,0.1657,602,2.3,0,1,4.99,905.95,8,0,0,60492.74,0.3395,0,1,33,1.1,0
9399.33,29644.48,0.1316,678,4.5,0,0,10.03,368.5,3,0,0,25491.16,0.5962,0,1,62,1.1,0
7353.66,64605.53,0.0606,653,0.6,2,0,17.99,465.04,7,0,0,26604.43,0.5978,0,2,36,2.6,0
8920.99,17384.06,0.2533,673,3.5,0,0,13.95,669.59,8,1,3,9855.08,0.7364,0,0,63,5.4,0
9118.09,107552.4,0.051,592,9.9,1,2,14.1,160.05,6,1,5,12381.35,0.8324,2,1,21,4.8,0
22347.27,29124.83,0.2017,720,1.6,1,3,8.9,474.71,8,1,33,10233.31,0.6255,0,1,31,1.6,0
15589.81,65993.43,0.3313,697,3.2,2,2,11.56,267.61,10,1,1,45436.22,0.6066,0,0,33,9.7,0
37554.9,51104.3,0.2515,743,0.3,1,0,15.94,1732.4,13,0,0,16040.64,0.393,0,2,37,4.2,0
10891.3,36518.41,0.3347,642,3.2,2,3,4.06,287.18,9,1,1,5000.0,0.4273,0,0,44,0.3,0
18381.04,63867.14,0.0836,635,0.9,1,2,3.83,499.34,9,0,0,44929.49,0.1788,0,1,57,11.4,0
3394.18,155161.18,0.0815,574,4.9,3,3,5.42,103.24,8,0,0,129259.79,0.6912,0,2,53,10.4,0
14913.91,23772.51,0.1538,642,2.6,1,4,14.37,250.21,9,0,0,27259.99,0.8234,0,2,46,9.8,1
4574.51,34587.58,0.2351,736,17.3,2,4,4.22,218.67,11,0,0,26604.44,0.9022,0,0,46,2.5,0
41286.29,40678.23,0.1086,654,0.5,2,2,18.04,1488.67,3,0,0,5178.57,0.5979,0,2,33,2.4,0
14757.85,50088.52,0.1849,634,0.8,3,1,15.63,797.07,8,1,1,19604.03,0.5493,0,2,48,0.0,0
6686.56,113956.16,0.2402,657,1.9,1,4,13.47,318.26,8,0,0,21675.43,0.5937,0,2,62,11.0,0
21950.61,30259.83,0.1472,850,11.2,0,5,10.38,1551.93,6,2,46,29091.42,0.5433,0,0,23,4.9,0
12074.26,19363.04,0.2711,666,5.4,0,4,8.31,260.92,6,0,0,5007.82,0.5857,0,2,21,6.7,0
7712.06,33736.11,0.3371,850,0.2,1,2,10.36,236.61,7,0,0,17460.57,0.3464,0,0,53,4.5,0
24351.11,28540.21,0.1729,708,8.3,0,3,14.28,510.77,6,0,0,46414.68,0.86,0,1,34,2.5,0
47916.13,46324.7,0.2,814,3.8,1,3,13.6,845.11,10,0,0,16018.87,0.6264,0,2,43,10.8,0
21693.37,72999.61,0.2412,728,22.5,2,2,10.65,1681.33,12,0,0,28285.21,0.4778,0,1,31,0.9,0
21494.24,67271.33,0.195,774,13.7,2,3,8.57,378.17,10,0,0,8553.89,0.2185,0,0,37,0.8,0
66742.05,40557.58,0.1982,543,5.4,2,0,11.65,1282.7,11,2,14,15895.29,0.7998,0,1,27,10.1,1
12386.64,79476.2,0.2949,718,7.3,2,0,9.69,243.08,14,2,16,38587.85,0.9271,0,0,36,6.6,1
8245.27,35627.31,0.3365,630,4.5,0,3,12.11,299.99,12,0,0,6997.77,0.7857,1,0,21,7.3,1
33790.95,108500.97,0.4104,618,0.2,1,0,8.24,1824.96,9,0,0,7202.24,0.2743,0,1,31,4.7,0
21005.34,54605.55,0.2358,670,0.2,3,0,10.01,396.55,7,0,0,19407.16,0.2506,0,1,30,0.9,0
8317.41,92802.09,0.2491,648,5.6,1,5,5.04,464.9,6,1,51,10160.8,0.2208,1,1,39,1.0,0
46065.02,67560.24,0.0899,547,4.3,2,0,20.91,1989.8,17,1,18,5000.0,0.3209,0,2,32,7.6,1
20902.62,30561.68,0.1893,792,2.7,1,1,13.17,520.1,8,1,18,11172.87,0.8029,1,1,46,0.8,0
12721.81,102523.29,0.1491,599,5.9,1,4,14.36,328.73,14,2,9,42482.23,0.6823,0,4,25,15.8,0
30619.08,33976.26,0.2197,594,11.3,1,1,6.89,1562.98,9,0,0,28250.1,0.7825,0,1,36,5.9,1
9365.77,102644.87,0.0948,578,2.2,2,1,11.31,612.2,5,0,0,20846.83,0.6317,0,4,38,0.2,0
10034.27,15000.0,0.2426,602,0.4,1,1,10.43,182.22,10,0,0,21799.29,0.5203,0,0,21,3.8,0
56060.84,75483.5,0.2661,717,1.9,0,4,10.43,4465.12,10,1,4,35624.38,0.525,0,1,27,1.9,1
7456.32,37364.97,0.3316,752,0.2,0,3,10.94,135.01,7,0,0,172013.89,0.4613,0,0,40,3.0,0
6590.83,88479.72,0.1449,587,0.5,0,1,17.48,190.74,6,0,0,80311.05,0.3755,0,1,49,1.1,1
4908.37,63775.23,0.0859,746,3.6,1,1,6.86,99.62,3,0,0,50708.7,0.2018,0,1,27,11.4,0
3861.78,41167.96,0.2686,793,16.3,1,3,10.13,274.52,13,0,0,10983.55,0.4674,0,2,27,4.2,0
35069.09,148896.06,0.2077,708,0.4,1,1,8.4,591.12,5,1,7,38855.53,0.5762,0,1,33,2.7,0
2233.76,51082.85,0.3105,738,5.5,2,3,3.0,174.48,9,3,26,23614.79,0.6468,0,2,37,1.2,0
15470.1,28608.55,0.127,519,3.0,0,0,12.18,446.08,5,0,0,12404.36,0.6598,0,2,46,1.9,1
4471.0,35846.81,0.2663,738,10.4,2,1,13.75,147.33,6,1,2,18335.25,0.25,0,1,63,3.9,0
3393.41,39877.04,0.1137,598,2.9,1,0,13.23,95.11,18,0,0,21001.88,0.6974,0,0,60,1.7,0
10672.95,15828.48,0.3914,606,8.3,0,3,11.56,273.03,8,1,29,34097.35,0.3438,0,2,59,5.0,0
41667.53,58333.8,0.2992,810,0.5,1,0,6.83,695.54,8,0,0,6511.18,0.4573,0,1,52,1.5,0
10384.84,60629.99,0.2838,635,5.1,2,3,8.98,187.06,4,0,0,14610.72,0.4199,0,2,37,1.7,0
39440.14,29656.55,0.1433,566,3.9,1,4,4.31,2460.34,10,1,1,11284.47,0.3299,0,2,56,4.6,1
8337.24,54853.28,0.106,663,3.8,2,0,10.41,570.66,5,0,0,39301.12,0.5064,0,0,55,1.3,0
17389.57,36534.52,0.1789,685,21.9,2,1,14.36,403.47,7,1,11,42395.81,0.6201,0,0,26,0.3,0
30867.06,29768.07,0.1105,750,1.1,1,3,7.84,1098.42,6,0,0,35278.08,0.2887,0,1,42,5.2,1
8886.18,33909.27,0.13,724,5.0,2,5,8.42,427.15,6,0,0,47037.35,0.8006,0,2,40,3.5,0
6453.88,22610.63,0.0455,820,10.5,1,2,8.64,304.44,8,0,0,42609.31,0.5533,0,2,50,16.1,0
31252.2,74825.24,0.2503,783,1.2,2,2,13.8,814.53,4,0,0,40333.15,0.7333,1,2,38,6.8,0
14135.76,30248.75,0.1433,679,12.3,2,2,14.83,790.96,5,2,1,10944.94,0.4919,0,3,43,9.6,0
16317.83,22453.63,0.1116,701,4.3,2,5,13.47,317.83,10,0,0,14485.01,0.4389,0,2,33,10.7,0
15379.1,123566.61,0.1455,610,0.7,1,1,12.9,408.02,10,1,5,27585.3,0.2848,0,0,38,1.3,0
26352.19,31114.84,0.2542,638,5.9,1,5,11.35,487.93,5,3,33,9272.63,0.4409,0,2,54,5.1,0
22552.4,37444.03,0.274,626,3.5,2,4,5.98,515.44,10,0,0,12178.35,0.7433,1,0,36,4.9,1
6406.62,88122.44,0.2055,755,10.5,1,5,17.48,400.52,11,0,0,28181.25,0.5693,0,4,22,9.9,0
22554.85,41883.58,0.2057,612,6.8,2,3,9.79,398.16,7,0,0,5000.0,0.5232,0,1,45,5.7,0
21575.74,71031.56,0.0879,723,19.3,2,1,3.0,655.84,6,0,0,105857.53,0.2351,1,0,21,9.3,0
11386.8,44414.63,0.2332,744,18.0,1,2,3.0,516.74,8,0,0,16126.92,0.2996,0,1,30,3.6,0
9505.71,26216.03,0.1595,662,1.1,3,1,11.36,158.85,6,0,0,14632.74,0.2512,0,1,21,2.3,0
9093.36,29790.92,0.1829,682,2.8,2,0,3.0,173.82,8,2,4,15148.77,0.2465,0,1,41,3.6,0
30101.12,36404.1,0.1794,660,1.4,1,3,17.49,774.56,9,1,9,58466.84,0.8598,0,2,58,1.0,0
27339.63,43289.62,0.0751,625,4.6,1,1,15.48,700.93,8,0,0,9948.43,0.1819,0,1,31,0.8,0
12127.51,31433.15,0.0558,667,4.3,1,4,16.08,759.22,13,1,19,8003.75,0.3604,0,1,21,3.5,0
9910.15,33023.58,0.0815,652,2.9,1,3,7.87,176.23,7,0,0,15476.94,0.3358,0,2,37,7.7,0
7487.11,50920.61,0.0848,801,1.5,2,4,9.09,532.69,9,0,0,34980.67,0.1966,0,0,39,0.2,0
13631.78,21056.99,0.2713,778,11.2,1,1,15.18,315.11,9,0,0,15582.86,0.4223,0,1,27,0.7,0
86765.68,164625.91,0.4658,719,2.3,1,1,4.79,3591.14,7,1,30,60977.57,0.5195,0,1,24,5.5,0
13356.71,31915.68,0.0329,674,0.6,0,0,11.3,369.82,11,0,0,84329.26,0.4042,0,0,44,8.2,0
21330.84,16704.24,0.3181,647,2.5,2,1,12.18,645.55,8,0,0,12161.45,0.2942,0,3,28,0.2,0
4949.77,126558.72,0.1064,796,0.0,1,1,5.94,344.4,10,0,0,22720.44,0.2072,0,1,41,9.0,0
15185.63,92435.63,0.1366,750,1.9,1,0,13.65,333.03,5,1,5,29797.77,0.2101,1,1,57,0.0,0
12892.97,55085.24,0.0707,666,0.4,0,3,17.3,338.77,8,0,0,89328.03,0.6846,0,1,51,0.7,0
68300.51,35427.99,0.0818,682,11.3,1,5,12.51,2505.74,11,1,1,39202.61,0.4855,0,1,21,0.1,0
25766.6,41294.24,0.0841,642,5.5,1,1,7.56,587.21,6,1,68,23504.94,0.09,0,1,53,4.0,0
30405.01,39626.33,0.2256,598,2.6,2,1,12.88,2202.25,9,1,11,8864.53,0.6298,0,1,38,10.1,1
42075.85,18821.04,0.1013,700,0.8,2,1,9.33,1135.28,8,0,0,10748.53,0.2274,0,1,23,9.5,0
4303.21,142263.25,0.0559,639,0.2,0,0,10.0,81.59,8,0,0,31217.71,0.3064,0,1,48,5.4,0
18160.37,34944.2,0.0942,653,0.4,0,1,21.35,1297.25,5,0,0,36479.05,0.4976,0,2,35,1.6,1
6705.14,61066.24,0.17,646,2.9,1,2,9.67,252.1,4,1,28,9133.91,0.5929,0,1,40,2.0,1
11824.08,58269.97,0.1499,740,5.5,0,0,7.55,262.57,10,1,30,45472.55,0.4234,0,1,25,0.6,0
14595.71,58010.3,0.2399,614,3.6,2,4,13.51,258.4,7,0,0,5000.0,0.5931,1,0,42,6.9,0
