account_age_months,monthly_active_users,daily_active_users_avg,feature_adoption_score,num_support_tickets_last_month,avg_session_duration_minutes,login_frequency_weekly,num_integrations_enabled,contract_type,plan_tier,num_admin_users,data_storage_used_pct,num_reports_created_last_month,last_login_days_ago,nps_score,onboarding_completed,training_sessions_attended,billing_issues_count,competitor_mention_in_tickets,expansion_revenue_pct,target
1.3,19.0,5.1,77.7,1.0,7.4,4.0,3.0,0.0,2.0,2.0,54.9,5.0,1.5,10.0,1.0,2.0,2.0,0.0,25.0,0
2.1,20.0,13.0,51.9,1.0,35.4,2.0,3.0,1.0,1.0,2.0,52.8,11.0,3.5,8.3,1.0,7.0,0.0,0.0,18.7,0
24.5,12.0,1.2,48.3,2.0,6.1,3.0,3.0,0.0,0.0,3.0,72.9,13.0,3.2,10.0,0.0,0.0,0.0,0.0,1.3,0
6.0,11.0,3.7,67.5,2.0,8.6,2.0,3.0,0.0,2.0,1.0,49.5,9.0,6.4,5.9,1.0,0.0,0.0,0.0,12.7,0
44.3,13.0,6.1,31.5,2.0,20.0,4.0,3.0,1.0,2.0,1.0,81.8,10.0,4.7,10.0,0.0,4.0,0.0,0.0,15.5,0
22.5,12.0,6.7,75.2,1.0,22.5,4.0,0.0,1.0,1.0,2.0,28.9,7.0,2.6,5.7,1.0,1.0,0.0,0.0,12.6,0
27.4,17.0,7.9,58.1,1.0,6.3,4.0,3.0,0.0,0.0,4.0,69.6,7.0,0.8,9.5,1.0,2.0,0.0,0.0,76.4,0
12.0,17.0,5.1,57.9,1.0,15.7,4.0,2.0,0.0,1.0,1.0,15.2,9.0,7.0,5.9,1.0,5.0,0.0,0.0,39.9,0
57.5,11.0,7.5,42.5,1.0,12.5,7.0,4.0,1.0,2.0,4.0,37.8,9.0,25.7,8.0,1.0,1.0,1.0,0.0,5.5,1
1.0,12.0,0.6,49.6,1.0,4.7,3.0,4.0,0.0,1.0,2.0,22.7,7.0,3.2,6.6,0.0,0.0,0.0,1.0,31.8,1
36.4,16.0,6.9,31.2,0.0,13.9,1.0,1.0,0.0,1.0,1.0,54.0,12.0,5.0,9.1,1.0,1.0,1.0,0.0,9.3,1
3.2,11.0,7.5,62.8,0.0,4.0,2.0,3.0,1.0,0.0,2.0,20.3,10.0,0.2,1.8,1.0,3.0,0.0,0.0,10.0,0
1.7,15.0,4.3,33.7,2.0,8.5,7.0,2.0,1.0,1.0,2.0,41.8,6.0,2.2,5.3,1.0,1.0,2.0,0.0,0.3,0
15.3,17.0,8.7,42.4,1.0,17.7,4.0,2.0,0.0,1.0,1.0,84.9,9.0,8.6,8.3,1.0,1.0,0.0,0.0,14.6,0
22.0,12.0,2.5,62.1,1.0,10.3,1.0,2.0,1.0,0.0,3.0,28.7,8.0,4.5,5.7,1.0,0.0,1.0,0.0,3.3,0
28.2,18.0,9.7,32.4,5.0,3.6,4.0,5.0,0.0,0.0,1.0,24.9,7.0,6.1,4.2,1.0,0.0,0.0,0.0,8.1,1
6.9,15.0,3.1,41.1,1.0,2.7,8.0,2.0,1.0,0.0,1.0,23.2,11.0,3.7,9.0,0.0,1.0,0.0,0.0,49.7,0
1.0,6.0,1.8,80.3,2.0,19.6,5.0,1.0,0.0,1.0,3.0,47.2,6.0,7.5,8.2,0.0,2.0,0.0,1.0,17.3,1
32.3,18.0,9.1,7.2,1.0,14.3,15.0,3.0,1.0,1.0,1.0,46.9,5.0,2.9,7.8,1.0,2.0,1.0,0.0,2.0,0
9.1,17.0,3.7,69.6,3.0,23.0,3.0,2.0,0.0,2.0,2.0,25.0,9.0,5.3,5.3,0.0,2.0,0.0,0.0,2.5,0
5.1,15.0,4.4,53.3,0.0,6.1,5.0,2.0,1.0,1.0,4.0,18.9,7.0,3.4,6.8,0.0,1.0,0.0,0.0,7.4,0
16.4,16.0,4.5,36.6,0.0,9.7,5.0,1.0,1.0,2.0,1.0,13.7,11.0,8.8,8.8,1.0,1.0,0.0,0.0,3.6,0
4.1,15.0,5.0,52.4,4.0,13.5,3.0,3.0,0.0,1.0,2.0,41.3,5.0,0.9,5.0,1.0,0.0,0.0,0.0,6.0,0
14.3,13.0,6.9,17.6,0.0,4.6,1.0,2.0,0.0,0.0,1.0,22.3,7.0,11.3,5.1,1.0,2.0,0.0,0.0,0.2,1
1.0,18.0,7.8,73.4,0.0,42.3,2.0,0.0,1.0,1.0,3.0,19.4,16.0,2.7,5.7,0.0,1.0,1.0,0.0,27.8,0
26.1,13.0,5.7,36.8,1.0,68.0,4.0,0.0,1.0,1.0,3.0,8.0,10.0,2.5,5.9,1.0,5.0,0.0,0.0,12.7,0
3.1,12.0,6.7,65.4,1.0,11.6,2.0,4.0,1.0,1.0,1.0,16.3,7.0,0.2,8.6,1.0,0.0,0.0,0.0,27.3,0
18.0,10.0,5.1,60.9,4.0,3.7,2.0,4.0,0.0,1.0,2.0,15.5,5.0,4.0,5.9,1.0,3.0,0.0,0.0,33.2,0
17.5,19.0,4.1,30.7,0.0,12.6,7.0,2.0,1.0,0.0,1.0,39.4,6.0,2.5,4.9,1.0,0.0,1.0,0.0,10.1,0
40.8,14.0,5.6,79.3,2.0,28.4,4.0,2.0,0.0,1.0,1.0,83.6,10.0,6.2,6.6,1.0,1.0,3.0,0.0,18.8,0
20.3,12.0,3.3,39.3,3.0,16.9,5.0,3.0,1.0,2.0,1.0,27.7,4.0,2.7,7.9,0.0,3.0,0.0,0.0,15.5,0
17.1,16.0,6.4,88.6,0.0,8.3,3.0,0.0,0.0,0.0,1.0,47.4,11.0,2.3,8.3,1.0,1.0,0.0,0.0,12.2,0
1.0,12.0,3.2,34.0,1.0,8.3,3.0,0.0,0.0,2.0,1.0,30.0,4.0,1.1,6.9,0.0,2.0,0.0,0.0,7.0,0
29.8,11.0,2.8,25.7,0.0,19.4,7.0,4.0,1.0,1.0,4.0,68.5,13.0,6.8,10.0,0.0,2.0,0.0,0.0,6.4,0
6.2,19.0,4.3,48.3,0.0,5.5,6.0,0.0,0.0,1.0,2.0,40.3,7.0,4.2,6.8,1.0,4.0,0.0,0.0,53.4,0
1.1,11.0,2.8,35.6,0.0,2.3,5.0,2.0,0.0,1.0,1.0,2.9,10.0,7.2,10.0,0.0,4.0,0.0,0.0,12.4,0
7.4,13.0,4.5,68.7,1.0,14.9,3.0,5.0,0.0,0.0,1.0,44.8,4.0,4.4,6.4,1.0,2.0,0.0,0.0,5.3,0
8.3,17.0,6.3,76.4,2.0,26.5,3.0,4.0,0.0,0.0,2.0,51.0,12.0,9.6,5.0,1.0,0.0,0.0,0.0,2.7,0
2.2,14.0,7.1,52.2,0.0,8.7,4.0,3.0,0.0,2.0,2.0,23.8,6.0,3.5,5.0,0.0,1.0,0.0,0.0,7.3,1
12.6,21.0,11.7,63.8,2.0,7.9,4.0,2.0,1.0,0.0,5.0,54.8,8.0,8.1,4.8,1.0,0.0,0.0,0.0,33.0,0
27.1,17.0,6.4,34.9,0.0,15.6,3.0,2.0,1.0,1.0,4.0,35.4,5.0,15.5,7.2,1.0,1.0,0.0,0.0,35.2,1
1.8,10.0,3.7,60.5,1.0,17.0,5.0,0.0,0.0,2.0,4.0,12.1,12.0,3.3,10.0,1.0,1.0,0.0,0.0,6.3,0
15.0,13.0,3.7,17.2,2.0,4.3,3.0,2.0,0.0,0.0,1.0,43.8,7.0,7.3,7.6,1.0,1.0,1.0,0.0,22.7,1
24.9,18.0,9.4,25.9,4.0,6.9,2.0,4.0,1.0,0.0,3.0,88.5,8.0,0.1,8.8,1.0,2.0,1.0,0.0,27.6,0
28.8,12.0,3.2,70.6,3.0,15.4,2.0,0.0,0.0,2.0,4.0,71.2,15.0,3.2,3.3,0.0,1.0,0.0,0.0,58.6,1
3.3,19.0,9.2,74.8,2.0,14.7,2.0,3.0,0.0,0.0,2.0,16.7,7.0,7.4,9.2,1.0,1.0,0.0,0.0,6.7,0
3.3,16.0,8.2,61.8,1.0,7.2,4.0,5.0,1.0,1.0,3.0,28.1,2.0,1.5,7.8,1.0,1.0,0.0,0.0,7.3,0
9.0,12.0,4.7,44.8,0.0,16.5,4.0,0.0,1.0,0.0,1.0,31.3,9.0,6.6,5.4,0.0,1.0,1.0,0.0,19.3,0
29.2,9.0,1.0,31.1,0.0,18.1,9.0,1.0,0.0,1.0,3.0,32.2,7.0,5.8,7.4,0.0,2.0,1.0,0.0,10.2,0
23.4,12.0,5.7,18.5,2.0,14.1,3.0,3.0,1.0,1.0,4.0,45.3,7.0,4.5,8.3,0.0,3.0,0.0,0.0,28.0,0
48.3,24.0,8.5,31.7,2.0,9.7,2.0,1.0,0.0,2.0,5.0,22.7,10.0,5.6,2.8,1.0,2.0,0.0,0.0,7.0,0
5.7,22.0,7.6,21.0,0.0,10.3,2.0,3.0,1.0,1.0,3.0,60.4,9.0,0.6,7.1,1.0,0.0,0.0,0.0,28.3,0
24.7,12.0,2.1,56.7,2.0,30.9,2.0,4.0,1.0,1.0,5.0,53.8,9.0,12.1,5.8,1.0,1.0,0.0,0.0,11.4,0
1.0,17.0,8.2,40.7,4.0,33.2,4.0,1.0,0.0,0.0,2.0,24.7,6.0,7.9,10.0,0.0,3.0,0.0,0.0,15.6,0
17.5,17.0,7.7,34.4,1.0,4.5,2.0,1.0,0.0,1.0,2.0,29.7,13.0,5.9,4.8,1.0,1.0,0.0,0.0,26.0,0
2.5,17.0,9.1,36.7,0.0,3.4,6.0,1.0,0.0,2.0,3.0,33.2,10.0,1.3,5.9,1.0,1.0,0.0,0.0,2.4,0
7.6,13.0,8.1,82.7,1.0,2.3,5.0,0.0,1.0,1.0,4.0,34.1,8.0,9.8,3.5,0.0,1.0,2.0,0.0,29.2,0
62.4,15.0,4.5,63.3,2.0,12.3,3.0,1.0,0.0,1.0,2.0,79.5,9.0,2.5,9.2,0.0,4.0,1.0,0.0,59.4,0
12.6,11.0,6.3,37.1,1.0,4.3,6.0,3.0,0.0,2.0,1.0,28.4,8.0,2.0,9.3,1.0,2.0,0.0,0.0,3.4,0
16.5,7.0,1.0,59.0,0.0,24.1,8.0,1.0,0.0,0.0,2.0,20.4,7.0,11.2,4.0,1.0,1.0,0.0,0.0,6.9,1
1.0,16.0,4.7,83.8,2.0,8.3,2.0,1.0,1.0,1.0,1.0,32.7,5.0,3.5,8.0,1.0,0.0,0.0,0.0,16.5,0
38.6,12.0,1.8,25.2,0.0,16.4,13.0,2.0,0.0,1.0,4.0,53.3,10.0,5.5,7.5,1.0,1.0,1.0,0.0,41.3,0
5.4,14.0,10.3,43.8,2.0,25.8,2.0,2.0,0.0,1.0,2.0,3.4,12.0,5.7,7.5,1.0,2.0,0.0,0.0,5.5,0
24.0,15.0,6.4,86.4,4.0,21.5,3.0,2.0,0.0,1.0,1.0,14.7,5.0,16.8,8.3,1.0,3.0,0.0,0.0,35.0,1
4.2,11.0,3.4,67.2,1.0,41.6,5.0,2.0,1.0,2.0,1.0,34.1,9.0,5.5,6.7,1.0,2.0,0.0,0.0,8.4,0
12.0,23.0,13.7,23.3,3.0,17.3,9.0,0.0,0.0,1.0,1.0,41.5,6.0,22.5,6.0,0.0,0.0,1.0,0.0,4.5,1
12.7,17.0,9.4,19.5,0.0,13.6,4.0,4.0,1.0,1.0,2.0,21.0,7.0,3.0,5.5,1.0,1.0,0.0,0.0,4.6,0
59.4,12.0,7.3,51.1,4.0,12.8,2.0,0.0,0.0,0.0,1.0,57.3,5.0,0.7,5.4,1.0,0.0,2.0,0.0,1.4,0
4.9,19.0,7.7,55.7,2.0,23.8,4.0,3.0,0.0,1.0,5.0,47.6,7.0,19.0,5.8,0.0,4.0,0.0,1.0,30.7,0
10.5,13.0,0.9,49.3,2.0,13.9,7.0,2.0,0.0,2.0,1.0,69.3,15.0,0.6,7.3,0.0,2.0,0.0,0.0,26.5,0
23.1,11.0,3.8,43.0,0.0,12.4,3.0,5.0,1.0,1.0,1.0,44.3,5.0,7.5,9.3,0.0,2.0,0.0,0.0,0.9,1
9.7,13.0,9.5,38.2,1.0,32.8,3.0,1.0,0.0,2.0,4.0,80.2,8.0,2.5,4.6,1.0,2.0,0.0,0.0,0.4,0
20.6,6.0,2.1,34.1,2.0,14.5,2.0,2.0,0.0,2.0,1.0,77.3,13.0,5.5,8.4,0.0,3.0,0.0,0.0,17.2,1
15.5,8.0,4.8,15.8,3.0,13.3,2.0,1.0,0.0,1.0,1.0,28.7,8.0,3.0,3.6,1.0,0.0,0.0,0.0,16.2,1
19.4,15.0,6.8,70.0,1.0,1.5,7.0,2.0,1.0,1.0,4.0,11.6,10.0,9.9,4.9,1.0,3.0,0.0,0.0,6.8,0
6.8,15.0,7.4,78.8,1.0,9.5,2.0,4.0,1.0,0.0,1.0,30.0,9.0,8.7,3.4,1.0,2.0,1.0,0.0,5.6,1
9.5,14.0,10.7,44.2,1.0,4.0,4.0,3.0,1.0,1.0,1.0,54.3,9.0,4.1,6.5,1.0,0.0,0.0,0.0,11.7,0
1.0,13.0,6.6,85.8,1.0,12.6,4.0,2.0,0.0,0.0,4.0,60.9,9.0,0.4,4.7,1.0,2.0,0.0,0.0,32.1,0
75.6,16.0,12.8,81.9,1.0,8.3,3.0,1.0,0.0,1.0,5.0,56.0,9.0,3.2,6.2,0.0,4.0,0.0,0.0,8.3,0
19.4,16.0,10.0,41.8,2.0,21.2,2.0,4.0,0.0,0.0,1.0,54.1,12.0,6.4,8.4,1.0,1.0,0.0,0.0,7.6,0
40.8,17.0,7.8,28.3,0.0,15.7,5.0,1.0,0.0,2.0,3.0,74.1,11.0,0.2,7.9,0.0,1.0,1.0,0.0,7.1,0
8.1,12.0,3.6,49.6,2.0,4.8,2.0,2.0,1.0,0.0,1.0,51.3,9.0,13.3,6.2,1.0,1.0,0.0,0.0,36.7,0
81.4,14.0,2.9,64.7,2.0,12.3,4.0,4.0,1.0,1.0,1.0,36.5,8.0,9.2,10.0,0.0,0.0,1.0,0.0,37.6,0
15.5,10.0,6.7,79.3,0.0,17.4,6.0,4.0,0.0,1.0,1.0,62.0,8.0,6.1,9.0,1.0,0.0,0.0,0.0,4.9,0
63.2,10.0,2.2,58.1,0.0,10.8,5.0,1.0,1.0,1.0,2.0,60.7,4.0,3.6,4.9,1.0,2.0,0.0,0.0,29.8,0
10.0,24.0,7.4,22.3,0.0,7.1,6.0,2.0,0.0,0.0,1.0,38.1,8.0,5.3,4.2,0.0,0.0,0.0,0.0,7.6,0
13.4,16.0,9.5,90.7,0.0,11.7,7.0,1.0,1.0,2.0,1.0,62.3,4.0,0.3,3.6,0.0,1.0,0.0,0.0,32.9,0
12.2,18.0,4.7,72.2,1.0,10.6,4.0,2.0,1.0,2.0,2.0,13.9,8.0,0.4,10.0,1.0,1.0,0.0,0.0,14.1,0
2.7,12.0,5.1,86.8,0.0,15.5,4.0,1.0,0.0,0.0,4.0,31.1,9.0,0.6,6.2,0.0,1.0,0.0,0.0,31.0,0
4.9,23.0,5.2,57.0,3.0,21.3,4.0,3.0,0.0,1.0,3.0,6.4,13.0,0.1,6.8,1.0,0.0,0.0,0.0,13.9,0
60.0,21.0,12.6,48.3,3.0,10.1,4.0,3.0,1.0,1.0,1.0,73.9,12.0,2.0,10.0,1.0,2.0,0.0,0.0,24.5,0
15.7,11.0,7.8,60.4,3.0,61.9,0.0,1.0,1.0,0.0,2.0,4.3,11.0,2.0,5.7,1.0,1.0,0.0,0.0,1.4,0
30.3,17.0,4.8,42.1,2.0,10.4,4.0,4.0,1.0,1.0,1.0,36.6,7.0,2.8,8.6,1.0,2.0,0.0,0.0,42.8,0
59.7,16.0,7.0,74.6,2.0,14.4,5.0,3.0,0.0,2.0,3.0,3.0,5.0,0.6,8.4,1.0,0.0,0.0,0.0,2.0,0
59.0,12.0,4.2,27.3,0.0,11.1,2.0,0.0,1.0,1.0,2.0,84.9,8.0,2.1,5.9,0.0,0.0,2.0,0.0,15.3,1
4.0,12.0,3.9,73.7,2.0,7.0,6.0,4.0,1.0,2.0,2.0,30.1,5.0,0.4,5.3,1.0,1.0,1.0,0.0,27.4,0
17.5,17.0,6.6,53.2,1.0,27.3,8.0,2.0,1.0,2.0,6.0,51.4,9.0,6.4,6.9,1.0,0.0,0.0,0.0,5.4,0
5.3,20.0,4.6,80.6,4.0,8.2,5.0,1.0,0.0,0.0,1.0,61.2,7.0,1.0,7.3,1.0,1.0,1.0,1.0,19.3,0
10.2,17.0,7.3,46.4,0.0,4.0,3.0,1.0,1.0,1.0,1.0,10.3,15.0,5.8,9.6,1.0,1.0,1.0,0.0,16.5,0
16.9,21.0,4.9,49.0,2.0,29.5,8.0,3.0,0.0,1.0,2.0,24.2,12.0,2.9,5.0,1.0,1.0,1.0,0.0,5.8,0
16.2,16.0,9.5,87.7,0.0,4.6,7.0,3.0,0.0,0.0,1.0,89.0,10.0,6.8,3.5,1.0,1.0,0.0,0.0,9.9,0
8.3,12.0,9.2,54.8,0.0,3.1,5.0,4.0,1.0,1.0,1.0,19.0,9.0,2.5,4.8,1.0,0.0,1.0,0.0,4.1,0
2.1,13.0,7.0,89.2,1.0,19.1,4.0,0.0,1.0,1.0,2.0,33.5,6.0,3.3,6.5,1.0,1.0,1.0,0.0,9.9,0
78.3,15.0,6.2,13.5,0.0,23.5,5.0,1.0,1.0,1.0,3.0,37.8,13.0,5.2,9.1,0.0,0.0,0.0,0.0,60.1,0
8.3,9.0,2.1,29.4,0.0,15.6,7.0,0.0,0.0,1.0,1.0,58.5,6.0,0.1,8.3,1.0,0.0,0.0,0.0,27.7,1
22.9,12.0,4.0,49.1,0.0,20.6,5.0,0.0,1.0,0.0,1.0,68.0,10.0,6.6,6.1,1.0,2.0,0.0,0.0,18.9,0
16.3,18.0,2.8,60.0,2.0,4.8,4.0,1.0,0.0,1.0,2.0,61.2,7.0,20.4,4.4,1.0,3.0,1.0,0.0,13.8,1
36.1,16.0,8.3,59.9,0.0,3.7,4.0,1.0,0.0,1.0,1.0,30.6,11.0,1.5,8.4,1.0,1.0,3.0,0.0,3.0,0
2.8,27.0,10.9,39.8,4.0,16.2,2.0,1.0,1.0,2.0,3.0,77.7,9.0,0.2,4.9,1.0,1.0,0.0,0.0,17.8,0
29.7,18.0,4.2,51.0,1.0,8.5,4.0,4.0,0.0,0.0,3.0,40.5,8.0,2.8,10.0,0.0,1.0,0.0,0.0,22.9,0
27.7,21.0,6.5,19.3,2.0,56.8,3.0,0.0,0.0,0.0,2.0,6.1,8.0,5.6,4.7,1.0,2.0,0.0,0.0,8.8,0
2.3,14.0,2.1,77.4,1.0,3.7,7.0,1.0,0.0,0.0,2.0,34.8,7.0,8.4,9.3,1.0,2.0,0.0,0.0,5.4,0
10.1,13.0,3.7,70.5,0.0,2.6,5.0,1.0,1.0,0.0,2.0,6.8,9.0,0.7,7.0,1.0,1.0,0.0,0.0,17.4,0
13.1,11.0,1.6,66.0,0.0,12.9,6.0,3.0,1.0,1.0,5.0,59.0,3.0,1.8,4.2,1.0,2.0,1.0,0.0,16.3,0
1.0,18.0,8.5,48.3,1.0,5.4,3.0,1.0,0.0,1.0,1.0,91.9,7.0,5.8,5.4,0.0,2.0,0.0,0.0,28.0,0
1.2,15.0,3.6,40.6,1.0,30.5,3.0,0.0,1.0,2.0,3.0,37.3,8.0,2.5,8.5,0.0,3.0,0.0,0.0,6.5,0
18.8,20.0,7.8,29.4,0.0,20.0,5.0,2.0,0.0,0.0,1.0,43.6,8.0,9.0,7.3,1.0,2.0,0.0,0.0,5.2,0
1.0,17.0,7.8,52.4,2.0,21.7,5.0,2.0,0.0,2.0,5.0,52.1,4.0,12.1,9.6,1.0,2.0,0.0,0.0,5.5,0
6.1,15.0,6.1,32.9,4.0,11.6,3.0,3.0,0.0,0.0,3.0,41.8,8.0,0.9,7.0,1.0,2.0,1.0,0.0,30.3,0
42.2,13.0,3.0,28.7,1.0,23.2,5.0,2.0,0.0,1.0,3.0,21.2,11.0,2.5,10.0,0.0,2.0,0.0,0.0,0.2,0
7.2,12.0,2.2,57.4,0.0,18.1,6.0,2.0,0.0,1.0,1.0,41.3,7.0,0.3,9.6,1.0,1.0,0.0,0.0,1.1,0
6.4,17.0,9.0,35.4,0.0,40.3,3.0,1.0,1.0,0.0,3.0,47.3,10.0,8.4,7.8,0.0,0.0,0.0,0.0,8.7,0
13.0,13.0,6.6,39.7,1.0,22.0,0.0,4.0,0.0,2.0,2.0,18.9,10.0,0.4,7.3,1.0,1.0,1.0,0.0,6.1,0
46.6,18.0,8.6,37.5,0.0,28.4,5.0,1.0,0.0,1.0,1.0,9.8,7.0,0.2,8.2,1.0,4.0,0.0,0.0,15.9,0
2.9,14.0,5.4,65.9,1.0,6.7,6.0,1.0,1.0,0.0,3.0,25.5,10.0,9.4,6.1,1.0,1.0,0.0,0.0,39.9,0
8.2,15.0,5.4,39.2,1.0,26.4,5.0,1.0,1.0,1.0,2.0,35.4,11.0,4.9,6.8,0.0,0.0,1.0,0.0,18.4,0
28.9,15.0,3.2,68.2,3.0,7.1,4.0,1.0,0.0,0.0,5.0,24.1,11.0,1.3,10.0,1.0,2.0,0.0,0.0,39.5,0
4.9,8.0,1.3,57.1,2.0,35.3,6.0,4.0,1.0,1.0,1.0,14.5,4.0,1.4,6.5,1.0,0.0,1.0,0.0,6.6,0
7.3,19.0,3.6,30.3,0.0,42.0,5.0,2.0,0.0,0.0,5.0,52.8,7.0,7.4,5.7,1.0,2.0,1.0,0.0,28.9,0
7.0,16.0,4.5,29.1,1.0,10.1,6.0,6.0,0.0,0.0,1.0,29.8,6.0,6.9,6.2,0.0,1.0,0.0,0.0,2.5,0
34.5,16.0,7.5,45.8,1.0,5.1,5.0,2.0,1.0,1.0,3.0,65.9,4.0,1.5,8.0,1.0,1.0,0.0,0.0,3.5,0
29.9,15.0,3.1,8.1,2.0,21.1,3.0,3.0,1.0,1.0,1.0,43.8,14.0,1.7,5.5,1.0,2.0,0.0,0.0,5.1,0
72.9,19.0,5.7,66.3,4.0,12.6,2.0,0.0,0.0,1.0,3.0,41.4,3.0,2.4,5.1,1.0,0.0,0.0,0.0,17.1,0
8.7,16.0,4.2,58.4,2.0,7.2,6.0,2.0,1.0,2.0,1.0,52.8,8.0,1.2,6.4,1.0,3.0,0.0,0.0,29.5,0
1.7,9.0,3.1,70.9,1.0,23.9,3.0,1.0,1.0,0.0,3.0,45.9,11.0,1.1,6.7,1.0,2.0,0.0,0.0,22.6,0
13.6,18.0,8.6,95.1,0.0,4.6,4.0,0.0,0.0,2.0,3.0,49.9,13.0,4.6,9.1,1.0,2.0,1.0,0.0,11.4,0
39.5,11.0,6.1,45.6,2.0,4.2,4.0,0.0,1.0,0.0,3.0,47.1,5.0,2.8,8.7,0.0,0.0,1.0,0.0,28.2,0
13.6,18.0,9.6,42.4,1.0,12.9,9.0,3.0,1.0,1.0,2.0,63.3,9.0,0.9,3.7,0.0,0.0,0.0,0.0,11.5,0
12.4,17.0,13.3,54.2,1.0,3.8,2.0,2.0,0.0,1.0,3.0,35.1,4.0,5.8,6.7,0.0,0.0,0.0,0.0,5.6,0
8.2,22.0,5.4,72.4,2.0,7.3,4.0,0.0,0.0,2.0,2.0,45.8,8.0,2.0,4.7,1.0,1.0,1.0,0.0,21.7,0
1.0,14.0,4.9,62.3,3.0,7.2,3.0,4.0,0.0,1.0,2.0,39.1,9.0,0.6,0.6,0.0,3.0,0.0,0.0,0.7,1
10.9,14.0,6.5,76.5,0.0,27.5,11.0,2.0,0.0,0.0,1.0,22.4,10.0,10.9,5.9,1.0,3.0,0.0,0.0,7.7,0
3.1,18.0,5.6,44.4,0.0,48.1,2.0,2.0,0.0,2.0,3.0,55.5,9.0,4.0,5.5,1.0,1.0,0.0,0.0,22.7,1
1.0,20.0,5.6,34.5,0.0,14.9,3.0,3.0,0.0,2.0,4.0,18.1,6.0,1.2,2.1,1.0,0.0,0.0,0.0,36.0,0
18.4,11.0,7.7,70.4,0.0,7.2,5.0,5.0,1.0,0.0,1.0,35.0,7.0,11.5,4.5,1.0,1.0,0.0,0.0,9.6,0
1.9,21.0,6.9,27.3,1.0,4.0,2.0,2.0,0.0,0.0,1.0,63.6,9.0,0.1,6.5,1.0,2.0,0.0,0.0,33.8,0
1.7,13.0,2.2,64.1,3.0,29.3,5.0,1.0,0.0,1.0,4.0,47.5,7.0,7.2,10.0,1.0,1.0,0.0,0.0,11.6,0
12.3,14.0,6.2,70.4,1.0,8.9,4.0,2.0,0.0,2.0,3.0,41.4,7.0,0.9,9.6,0.0,1.0,0.0,0.0,10.7,0
4.8,9.0,2.5,75.5,2.0,12.3,2.0,1.0,0.0,0.0,1.0,43.8,6.0,2.6,8.2,1.0,3.0,0.0,0.0,10.6,0
