scheduled_departure_hour,day_of_week,month,origin_airport_congestion,dest_airport_congestion,aircraft_age_years,aircraft_utilization_hours_today,crew_hours_on_duty,weather_severity_origin,weather_severity_dest,num_prior_flights_today,previous_flight_delay_minutes,gate_turnaround_time_planned,passenger_load_factor,is_holiday_period,route_distance_miles,is_hub_origin,is_hub_destination,maintenance_flag,connecting_pax_pct,target
9.0,4.0,1.0,7.46,4.95,1.0,7.6,12.4,1.0,1.0,4.0,5.5,64.8,85.8,0.0,1454.0,0.0,0.0,0.0,43.2,0
16.0,3.0,9.0,8.5,6.31,5.5,9.6,13.2,4.0,3.0,2.0,16.1,63.3,90.0,0.0,492.0,1.0,0.0,0.0,26.1,1
21.0,3.0,5.0,6.61,5.18,4.8,3.0,3.3,1.0,0.0,4.0,22.1,34.6,77.9,0.0,475.0,1.0,1.0,0.0,7.8,0
10.0,6.0,11.0,4.27,2.76,6.3,12.0,8.7,1.0,2.0,3.0,31.7,47.0,64.7,0.0,1680.0,1.0,0.0,0.0,18.4,1
17.0,4.0,3.0,3.17,3.66,4.0,8.4,10.5,3.0,0.0,4.0,4.0,37.5,70.5,1.0,702.0,0.0,0.0,0.0,19.0,0
14.0,5.0,5.0,6.89,3.41,20.8,12.6,10.4,1.0,1.0,2.0,5.2,45.8,46.4,0.0,2766.0,0.0,1.0,0.0,19.3,1
6.0,3.0,6.0,5.91,7.29,28.8,0.1,12.8,3.0,3.0,1.0,19.9,67.9,80.2,0.0,1214.0,0.0,1.0,0.0,15.2,1
12.0,5.0,8.0,4.75,5.38,5.4,7.1,9.3,0.0,0.0,4.0,12.0,30.6,70.2,0.0,292.0,0.0,1.0,0.0,32.8,0
5.0,6.0,9.0,7.19,4.81,19.0,11.9,4.6,0.0,3.0,0.0,2.4,48.2,73.3,0.0,295.0,0.0,0.0,1.0,43.1,0
14.0,4.0,3.0,7.17,2.48,1.9,5.3,7.3,2.0,3.0,2.0,1.8,35.5,90.5,0.0,1168.0,1.0,1.0,0.0,56.8,0
17.0,3.0,8.0,7.04,5.14,1.2,0.7,1.3,0.0,2.0,4.0,18.0,35.2,64.5,0.0,1249.0,1.0,0.0,0.0,3.4,0
16.0,3.0,5.0,2.37,4.37,3.2,9.7,3.8,0.0,0.0,1.0,5.8,53.3,78.6,0.0,200.0,1.0,1.0,0.0,9.7,0
10.0,4.0,4.0,1.46,4.24,1.9,6.9,2.4,0.0,3.0,3.0,7.2,47.7,79.1,0.0,612.0,0.0,0.0,0.0,38.0,0
11.0,1.0,2.0,8.68,4.85,8.7,3.7,8.5,2.0,2.0,0.0,36.3,49.3,78.8,1.0,731.0,1.0,1.0,0.0,18.1,1
5.0,4.0,1.0,2.6,5.67,3.4,12.0,7.1,4.0,1.0,1.0,11.7,41.9,75.3,0.0,592.0,0.0,0.0,0.0,15.1,1
18.0,4.0,5.0,5.77,4.7,1.3,11.0,11.9,2.0,2.0,2.0,9.9,43.3,63.9,0.0,411.0,0.0,1.0,0.0,37.9,1
13.0,1.0,4.0,5.0,3.28,1.2,1.6,2.1,2.0,1.0,1.0,22.6,47.7,69.5,1.0,416.0,1.0,0.0,0.0,37.0,0
6.0,2.0,3.0,1.93,3.14,4.4,12.8,5.9,3.0,0.0,3.0,19.4,45.5,71.1,0.0,1414.0,0.0,0.0,0.0,12.1,0
23.0,5.0,7.0,8.01,6.13,5.9,12.5,9.6,0.0,1.0,2.0,8.2,68.8,77.9,0.0,951.0,0.0,0.0,0.0,27.8,0
10.0,3.0,7.0,7.44,2.49,1.4,4.6,6.8,4.0,0.0,1.0,0.5,56.6,71.2,0.0,518.0,1.0,0.0,0.0,18.6,1
7.0,2.0,6.0,7.51,8.82,2.0,0.9,8.7,1.0,3.0,5.0,6.9,51.4,65.7,0.0,834.0,0.0,0.0,0.0,24.4,1
21.0,0.0,12.0,6.23,5.87,11.4,3.6,0.8,0.0,0.0,3.0,14.9,25.6,81.4,0.0,441.0,0.0,0.0,0.0,27.6,0
10.0,2.0,4.0,3.32,3.11,8.3,7.2,12.1,1.0,0.0,1.0,5.0,34.3,77.0,0.0,904.0,1.0,0.0,0.0,25.7,0
14.0,3.0,12.0,2.86,3.23,12.3,6.8,8.4,1.0,2.0,2.0,6.1,45.5,89.1,0.0,356.0,1.0,1.0,0.0,15.9,1
15.0,2.0,11.0,6.23,4.75,19.7,13.3,2.3,1.0,3.0,1.0,4.9,36.9,97.9,0.0,1118.0,1.0,0.0,0.0,20.6,1
17.0,2.0,8.0,2.62,4.89,6.1,8.6,4.8,1.0,0.0,0.0,2.0,38.0,84.9,0.0,629.0,0.0,1.0,0.0,15.2,0
9.0,6.0,9.0,2.81,4.72,16.4,10.9,8.3,2.0,2.0,3.0,5.4,35.8,77.5,0.0,204.0,0.0,0.0,0.0,51.0,0
15.0,2.0,12.0,4.96,1.37,28.1,4.5,7.9,3.0,1.0,1.0,2.0,42.6,70.8,0.0,1027.0,0.0,0.0,0.0,60.8,0
7.0,5.0,9.0,5.82,4.09,2.4,5.5,6.0,0.0,1.0,5.0,15.6,38.3,88.6,0.0,773.0,1.0,1.0,0.0,15.3,0
6.0,1.0,1.0,4.05,4.55,0.9,7.5,2.4,0.0,2.0,2.0,23.3,25.5,88.9,1.0,395.0,0.0,1.0,0.0,30.9,0
10.0,5.0,12.0,1.26,4.01,1.3,12.4,8.1,1.0,1.0,2.0,1.6,50.0,45.6,0.0,1210.0,1.0,0.0,0.0,33.3,0
17.0,2.0,11.0,8.31,4.34,10.7,4.9,7.8,3.0,4.0,1.0,79.4,44.3,78.2,0.0,468.0,0.0,1.0,1.0,7.4,1
19.0,3.0,4.0,4.84,5.27,6.9,1.3,9.0,3.0,3.0,0.0,9.6,40.1,92.7,0.0,466.0,0.0,0.0,0.0,25.5,0
23.0,6.0,9.0,3.83,2.71,0.5,4.7,3.4,1.0,2.0,1.0,17.7,64.3,93.1,0.0,769.0,1.0,0.0,0.0,6.0,1
20.0,2.0,5.0,3.86,6.71,10.8,4.4,2.0,1.0,0.0,0.0,15.9,37.7,87.6,0.0,242.0,0.0,0.0,1.0,17.9,0
23.0,3.0,4.0,7.51,6.18,15.1,1.3,6.4,2.0,2.0,2.0,16.4,52.5,93.1,0.0,975.0,0.0,0.0,0.0,41.9,0
18.0,6.0,10.0,6.5,3.68,0.8,9.4,9.5,0.0,0.0,0.0,53.0,60.8,56.0,0.0,501.0,0.0,1.0,0.0,30.8,1
22.0,6.0,11.0,6.48,1.87,4.3,0.8,10.9,2.0,0.0,3.0,4.1,34.3,84.2,0.0,769.0,1.0,0.0,0.0,17.1,0
18.0,4.0,11.0,4.96,6.94,3.5,11.4,2.4,0.0,0.0,2.0,11.3,57.9,65.3,0.0,818.0,0.0,0.0,0.0,18.7,0
12.0,0.0,1.0,4.85,4.18,11.6,12.8,6.6,0.0,0.0,3.0,7.1,51.4,70.6,1.0,808.0,0.0,0.0,0.0,4.9,1
11.0,5.0,8.0,4.83,5.54,3.4,2.9,7.6,4.0,0.0,1.0,19.9,39.1,90.3,0.0,1272.0,0.0,1.0,0.0,31.2,0
18.0,3.0,11.0,4.03,1.96,1.7,1.5,10.7,1.0,0.0,1.0,3.7,26.8,59.2,1.0,1663.0,0.0,0.0,0.0,61.9,0
16.0,6.0,1.0,4.92,6.11,5.3,6.7,4.8,0.0,2.0,1.0,24.7,28.8,98.0,1.0,1230.0,0.0,1.0,0.0,33.9,0
18.0,4.0,5.0,8.94,6.15,13.7,5.2,13.2,1.0,1.0,2.0,2.4,43.7,75.8,1.0,1165.0,0.0,1.0,0.0,10.2,0
14.0,1.0,8.0,4.7,3.93,1.4,13.1,4.8,2.0,2.0,2.0,10.1,44.5,75.3,1.0,1372.0,1.0,0.0,0.0,41.7,0
7.0,0.0,10.0,7.55,6.01,13.3,3.6,6.3,0.0,0.0,2.0,21.3,46.0,86.7,0.0,1599.0,0.0,1.0,0.0,36.8,0
7.0,4.0,3.0,5.18,5.48,13.4,1.2,9.2,2.0,0.0,2.0,5.8,55.5,80.8,0.0,361.0,1.0,0.0,0.0,7.1,0
23.0,0.0,12.0,5.3,5.28,13.3,9.9,4.0,1.0,0.0,1.0,21.0,25.3,71.4,0.0,1936.0,0.0,0.0,0.0,3.7,0
11.0,6.0,1.0,8.31,2.32,8.1,2.8,7.8,1.0,1.0,1.0,8.1,45.2,70.6,1.0,405.0,0.0,0.0,0.0,29.4,0
19.0,1.0,4.0,7.32,4.86,8.0,3.3,3.0,0.0,0.0,1.0,4.9,37.7,90.3,0.0,375.0,0.0,0.0,0.0,53.8,0
9.0,4.0,4.0,5.19,1.92,11.6,0.9,6.5,1.0,3.0,2.0,4.4,46.5,64.7,0.0,1732.0,1.0,1.0,0.0,30.7,0
12.0,3.0,9.0,8.14,7.71,8.4,7.1,0.2,1.0,0.0,1.0,9.8,50.6,80.8,0.0,436.0,0.0,1.0,0.0,44.5,0
13.0,2.0,11.0,3.45,7.83,20.1,9.9,2.1,2.0,1.0,4.0,4.8,60.9,92.1,0.0,527.0,1.0,0.0,0.0,4.5,0
16.0,0.0,9.0,4.34,4.66,5.7,13.5,6.3,0.0,4.0,2.0,20.3,49.7,87.9,0.0,618.0,0.0,1.0,0.0,31.5,0
14.0,3.0,12.0,4.16,4.0,30.0,5.2,10.0,2.0,0.0,1.0,20.6,22.8,81.0,0.0,686.0,0.0,0.0,0.0,63.1,1
9.0,4.0,4.0,6.32,5.35,11.5,2.9,6.8,1.0,2.0,0.0,12.2,65.3,87.7,0.0,285.0,1.0,1.0,0.0,35.2,0
22.0,2.0,5.0,3.99,0.59,18.5,5.8,13.3,2.0,1.0,2.0,29.8,56.4,71.2,0.0,1222.0,1.0,1.0,0.0,55.3,1
22.0,6.0,11.0,6.71,3.32,0.8,4.0,7.3,1.0,0.0,3.0,7.0,53.1,75.6,1.0,2061.0,1.0,0.0,0.0,21.7,0
13.0,2.0,6.0,4.96,4.54,0.5,4.5,5.7,2.0,0.0,1.0,15.6,53.9,84.7,0.0,559.0,0.0,1.0,0.0,28.9,1
17.0,2.0,11.0,2.87,6.82,0.7,4.1,13.2,0.0,1.0,3.0,22.2,48.7,92.7,0.0,672.0,1.0,0.0,0.0,11.2,0
13.0,2.0,1.0,2.93,6.46,1.1,2.4,12.6,1.0,1.0,2.0,21.8,54.9,88.8,1.0,372.0,0.0,1.0,0.0,39.7,0
22.0,4.0,6.0,8.05,3.52,19.7,5.1,5.1,3.0,2.0,5.0,37.6,63.9,99.1,0.0,828.0,1.0,1.0,0.0,47.6,1
16.0,6.0,10.0,7.02,3.47,1.1,12.7,12.4,0.0,2.0,2.0,16.4,50.9,86.9,0.0,1301.0,0.0,0.0,0.0,36.3,0
14.0,0.0,7.0,2.61,6.47,9.0,2.8,4.3,2.0,3.0,2.0,4.1,65.0,95.2,0.0,502.0,1.0,0.0,0.0,56.1,0
22.0,1.0,2.0,5.3,3.95,3.9,0.0,11.6,0.0,0.0,1.0,28.3,38.6,87.2,0.0,527.0,0.0,0.0,0.0,27.1,0
14.0,0.0,6.0,5.84,4.95,0.5,10.4,0.4,0.0,1.0,4.0,47.9,44.8,81.2,1.0,200.0,0.0,0.0,0.0,33.0,1
23.0,3.0,8.0,7.38,4.59,0.5,11.2,4.2,3.0,1.0,0.0,1.9,50.9,84.6,0.0,837.0,1.0,1.0,0.0,61.1,0
18.0,1.0,12.0,5.52,6.74,8.6,9.8,5.4,1.0,0.0,2.0,6.9,68.6,77.4,0.0,420.0,1.0,0.0,0.0,29.2,0
7.0,6.0,11.0,8.15,4.66,12.5,1.4,11.6,1.0,1.0,2.0,0.9,47.4,92.7,0.0,939.0,1.0,1.0,0.0,43.4,0
17.0,6.0,1.0,7.05,6.5,4.7,8.7,12.9,3.0,1.0,3.0,5.0,45.4,93.5,0.0,374.0,1.0,1.0,0.0,19.6,0
19.0,4.0,10.0,4.71,2.63,7.3,7.0,2.0,3.0,0.0,5.0,10.0,45.4,88.3,0.0,954.0,0.0,0.0,0.0,19.7,0
6.0,3.0,6.0,2.3,1.28,1.0,9.0,10.9,1.0,2.0,0.0,10.9,56.1,83.4,0.0,871.0,0.0,1.0,0.0,47.6,0
6.0,1.0,6.0,8.51,2.64,2.4,13.2,5.9,0.0,3.0,2.0,28.8,49.8,90.6,1.0,425.0,1.0,0.0,0.0,54.6,1
12.0,3.0,8.0,6.31,8.31,5.4,4.5,8.5,1.0,0.0,2.0,36.7,40.8,80.8,0.0,215.0,0.0,1.0,0.0,59.1,0
9.0,3.0,10.0,5.66,6.03,17.9,0.2,7.4,1.0,0.0,2.0,29.7,42.5,71.8,1.0,329.0,1.0,1.0,0.0,48.1,0
13.0,6.0,6.0,5.69,7.23,17.3,13.4,4.2,1.0,2.0,2.0,22.7,48.8,89.1,0.0,584.0,0.0,1.0,0.0,45.0,0
21.0,1.0,11.0,2.06,7.75,0.9,8.2,1.6,0.0,2.0,3.0,0.1,51.8,82.6,0.0,440.0,1.0,1.0,0.0,46.7,0
13.0,0.0,2.0,6.33,1.59,3.7,6.1,13.2,0.0,0.0,1.0,26.4,42.7,69.2,0.0,1649.0,0.0,1.0,0.0,46.1,0
16.0,3.0,12.0,6.63,2.55,12.8,9.5,12.5,0.0,1.0,6.0,8.6,37.2,67.7,0.0,705.0,0.0,1.0,0.0,16.4,1
19.0,3.0,10.0,5.15,3.89,2.9,0.6,9.1,0.0,3.0,1.0,15.3,30.1,96.6,0.0,958.0,0.0,0.0,0.0,36.8,0
13.0,0.0,4.0,2.74,6.32,11.9,12.4,12.1,2.0,1.0,4.0,6.3,37.6,85.1,0.0,2405.0,0.0,1.0,0.0,48.0,0
11.0,1.0,8.0,6.58,4.41,9.0,1.0,12.3,1.0,0.0,1.0,5.9,29.8,65.4,0.0,645.0,0.0,0.0,0.0,43.6,1
7.0,3.0,2.0,3.79,6.91,0.6,10.3,11.6,1.0,1.0,1.0,0.5,56.2,93.8,0.0,897.0,0.0,0.0,0.0,44.4,0
19.0,5.0,6.0,4.41,3.72,16.7,11.6,2.5,3.0,4.0,2.0,14.7,46.9,65.6,0.0,604.0,0.0,0.0,0.0,79.4,0
13.0,5.0,8.0,6.86,8.18,5.1,6.7,1.0,1.0,2.0,4.0,15.6,32.7,77.0,0.0,756.0,0.0,0.0,0.0,38.3,1
12.0,5.0,10.0,3.63,2.56,0.5,6.8,2.0,0.0,3.0,0.0,12.0,37.7,52.8,0.0,1727.0,0.0,1.0,0.0,5.2,0
21.0,6.0,2.0,1.55,7.81,4.5,2.4,10.9,0.0,0.0,1.0,10.6,61.1,81.1,0.0,799.0,0.0,0.0,0.0,23.4,0
13.0,4.0,5.0,1.37,4.85,12.1,3.3,2.2,0.0,1.0,3.0,41.6,42.7,88.6,0.0,266.0,0.0,0.0,0.0,13.8,0
13.0,6.0,3.0,3.24,7.9,3.7,7.4,6.5,0.0,0.0,1.0,31.5,63.7,82.5,0.0,423.0,0.0,0.0,0.0,10.6,0
10.0,4.0,12.0,2.56,5.46,21.4,4.4,1.3,0.0,0.0,4.0,56.9,43.9,80.9,1.0,200.0,0.0,0.0,0.0,43.2,1
20.0,5.0,11.0,3.73,8.47,27.9,11.8,4.2,0.0,0.0,5.0,31.0,57.4,87.4,0.0,907.0,0.0,1.0,0.0,26.4,1
23.0,0.0,11.0,5.13,5.86,8.2,11.9,7.0,1.0,0.0,1.0,19.9,36.3,64.5,0.0,247.0,1.0,0.0,0.0,4.3,0
6.0,1.0,2.0,8.93,8.83,2.3,5.6,3.4,2.0,1.0,2.0,21.1,51.4,90.7,0.0,798.0,1.0,0.0,0.0,7.9,0
17.0,3.0,5.0,5.51,5.34,18.2,8.6,9.4,1.0,0.0,4.0,3.2,45.5,70.5,0.0,2123.0,0.0,0.0,0.0,20.6,0
22.0,3.0,1.0,3.05,4.38,8.2,7.7,1.7,3.0,0.0,2.0,67.8,36.9,87.5,0.0,339.0,1.0,0.0,0.0,73.1,1
12.0,4.0,9.0,4.21,4.9,2.6,3.0,6.0,4.0,0.0,3.0,47.0,46.4,83.0,0.0,1134.0,0.0,1.0,0.0,19.0,0
22.0,6.0,7.0,3.39,5.51,10.9,4.7,5.6,3.0,0.0,1.0,5.7,20.0,64.4,1.0,973.0,1.0,0.0,0.0,10.4,0
7.0,4.0,6.0,3.22,5.94,1.9,10.9,5.5,1.0,0.0,1.0,26.6,49.0,78.0,0.0,236.0,0.0,0.0,0.0,18.7,0
14.0,1.0,3.0,5.63,5.69,2.2,7.8,9.7,3.0,2.0,3.0,3.6,57.6,81.2,0.0,1068.0,0.0,1.0,0.0,43.8,0
13.0,6.0,6.0,7.66,3.79,6.3,3.2,5.3,1.0,2.0,1.0,5.6,57.5,74.5,0.0,942.0,0.0,1.0,0.0,29.3,0
8.0,2.0,8.0,4.35,2.95,6.2,13.5,10.4,0.0,0.0,3.0,9.1,43.8,64.8,1.0,1940.0,0.0,0.0,0.0,9.8,0
16.0,6.0,6.0,5.26,6.1,24.4,3.0,3.0,0.0,1.0,0.0,6.0,46.4,94.2,0.0,236.0,1.0,1.0,0.0,36.6,0
18.0,2.0,4.0,5.92,3.9,1.4,11.4,5.0,0.0,0.0,0.0,2.8,35.5,90.8,0.0,489.0,0.0,0.0,0.0,35.3,0
8.0,5.0,9.0,8.23,3.81,30.0,9.5,11.8,0.0,0.0,3.0,0.7,42.1,93.8,0.0,862.0,0.0,1.0,0.0,35.1,1
13.0,0.0,2.0,2.37,2.92,3.8,10.2,4.4,0.0,0.0,5.0,31.9,55.3,61.3,0.0,318.0,0.0,0.0,0.0,18.4,0
21.0,1.0,12.0,2.19,6.07,1.6,8.7,13.6,1.0,3.0,3.0,5.6,45.0,93.0,0.0,582.0,0.0,1.0,0.0,28.0,0
16.0,5.0,7.0,5.98,1.81,1.2,7.6,12.6,0.0,0.0,4.0,58.0,71.0,89.3,0.0,1351.0,0.0,0.0,0.0,26.4,0
20.0,5.0,10.0,1.74,3.53,0.5,13.6,12.8,0.0,2.0,3.0,18.1,45.8,77.7,0.0,724.0,1.0,0.0,0.0,32.8,0
7.0,4.0,4.0,5.88,4.58,3.4,9.3,12.5,1.0,0.0,0.0,24.2,59.2,84.2,0.0,537.0,0.0,1.0,0.0,31.3,0
22.0,6.0,4.0,4.4,6.64,2.1,8.4,8.7,2.0,2.0,3.0,4.6,43.0,89.2,0.0,589.0,1.0,1.0,0.0,19.0,0
21.0,4.0,8.0,1.43,5.23,1.5,12.3,8.6,3.0,1.0,0.0,11.0,42.0,78.6,0.0,1080.0,1.0,0.0,0.0,42.0,0
23.0,2.0,12.0,2.24,3.3,30.0,11.3,13.9,0.0,0.0,1.0,12.9,60.4,86.8,0.0,1723.0,0.0,0.0,0.0,12.1,1
22.0,5.0,1.0,5.34,7.03,15.9,10.1,0.8,1.0,0.0,4.0,21.9,41.9,82.7,0.0,799.0,1.0,0.0,0.0,28.7,0
17.0,6.0,2.0,1.87,7.83,13.1,2.0,4.0,0.0,2.0,1.0,23.5,52.7,67.9,0.0,310.0,0.0,1.0,0.0,31.4,0
18.0,0.0,9.0,2.65,6.92,20.7,7.6,0.7,1.0,1.0,5.0,25.6,34.7,82.6,0.0,494.0,1.0,0.0,0.0,12.3,0
9.0,2.0,4.0,4.35,4.67,8.5,10.5,8.7,1.0,3.0,2.0,6.9,23.0,92.8,0.0,691.0,0.0,0.0,0.0,10.8,0
14.0,2.0,5.0,3.58,4.43,1.6,7.6,12.8,2.0,2.0,2.0,3.3,52.9,85.7,0.0,654.0,0.0,0.0,0.0,28.5,0
7.0,2.0,8.0,3.04,5.25,30.0,9.8,3.2,0.0,2.0,3.0,2.7,36.5,74.3,0.0,652.0,0.0,1.0,0.0,15.7,1
18.0,3.0,2.0,5.56,6.28,2.3,5.9,10.2,2.0,0.0,5.0,20.3,47.3,92.7,1.0,595.0,1.0,1.0,0.0,28.9,0
7.0,6.0,1.0,5.33,4.71,8.2,11.6,8.1,2.0,0.0,1.0,6.7,49.7,50.5,0.0,407.0,0.0,1.0,0.0,64.2,0
7.0,5.0,12.0,1.93,2.54,7.6,13.9,13.3,4.0,1.0,1.0,11.2,50.8,68.9,1.0,1100.0,0.0,0.0,0.0,10.5,0
13.0,1.0,5.0,5.78,8.02,0.5,9.4,4.9,0.0,2.0,1.0,7.7,43.4,86.4,0.0,1928.0,0.0,0.0,0.0,19.2,0
8.0,0.0,9.0,5.38,8.91,7.6,2.7,0.3,0.0,2.0,4.0,10.1,40.1,92.6,0.0,713.0,1.0,0.0,0.0,20.8,0
21.0,3.0,6.0,1.93,3.86,11.5,0.7,9.0,2.0,1.0,3.0,19.8,53.8,93.4,0.0,383.0,0.0,0.0,0.0,32.2,0
10.0,3.0,11.0,3.01,4.7,2.1,4.9,0.8,0.0,4.0,1.0,22.6,47.8,74.6,0.0,512.0,0.0,0.0,0.0,21.6,0
14.0,4.0,9.0,5.84,6.42,5.1,11.9,6.8,2.0,0.0,1.0,12.0,32.2,85.9,0.0,609.0,1.0,0.0,0.0,23.3,0
18.0,4.0,11.0,4.92,9.06,8.6,6.8,1.0,0.0,2.0,1.0,10.0,42.6,71.8,0.0,879.0,0.0,1.0,0.0,44.0,0
15.0,6.0,7.0,1.47,2.52,15.0,10.1,8.0,0.0,3.0,2.0,18.1,31.5,83.5,0.0,3307.0,1.0,0.0,0.0,22.5,0
13.0,5.0,9.0,3.29,3.99,15.2,1.2,4.5,1.0,0.0,0.0,28.3,41.8,84.9,1.0,368.0,0.0,0.0,0.0,18.4,0
21.0,4.0,5.0,4.9,4.81,3.0,7.8,0.3,1.0,0.0,3.0,5.6,56.3,91.7,0.0,600.0,0.0,1.0,0.0,24.7,0
23.0,2.0,4.0,2.88,4.45,3.5,1.3,13.2,0.0,0.0,2.0,33.7,47.6,83.9,0.0,1483.0,0.0,0.0,0.0,9.9,1
15.0,2.0,9.0,8.5,3.08,19.0,4.5,13.9,1.0,3.0,1.0,16.9,46.2,76.4,0.0,349.0,1.0,0.0,0.0,26.2,1
20.0,1.0,11.0,1.09,3.17,8.9,3.4,6.0,2.0,0.0,1.0,14.2,50.9,83.4,0.0,797.0,1.0,0.0,0.0,23.4,0
13.0,1.0,5.0,6.65,3.03,4.1,5.0,3.5,0.0,0.0,2.0,17.9,25.9,62.9,1.0,587.0,0.0,1.0,0.0,36.3,0
8.0,4.0,5.0,1.34,5.51,1.8,0.8,11.0,0.0,3.0,3.0,35.7,39.4,72.3,0.0,203.0,0.0,0.0,0.0,26.4,1
20.0,4.0,6.0,6.27,4.38,17.2,8.6,6.8,1.0,4.0,1.0,21.4,54.4,93.0,0.0,771.0,0.0,0.0,0.0,56.8,1
12.0,2.0,1.0,6.78,5.31,0.5,8.5,8.8,0.0,2.0,5.0,5.3,29.8,82.7,1.0,585.0,1.0,1.0,0.0,38.2,0
19.0,0.0,6.0,3.4,5.71,8.9,3.5,7.7,1.0,0.0,1.0,8.9,51.7,63.3,1.0,1514.0,0.0,1.0,0.0,6.6,0
5.0,5.0,1.0,4.0,1.67,7.5,2.1,12.5,0.0,1.0,2.0,9.8,41.9,46.7,0.0,256.0,1.0,1.0,0.0,36.9,0
7.0,0.0,8.0,4.86,3.71,7.3,1.8,1.3,1.0,4.0,1.0,2.0,37.3,78.8,0.0,1494.0,0.0,1.0,0.0,22.8,0
12.0,4.0,11.0,2.11,7.35,14.7,5.2,0.3,2.0,0.0,3.0,21.4,70.9,62.8,1.0,1471.0,0.0,0.0,0.0,22.4,0
20.0,1.0,12.0,5.68,7.79,16.9,11.5,8.1,0.0,0.0,1.0,10.9,43.4,61.6,1.0,1065.0,1.0,1.0,0.0,10.6,0
10.0,4.0,7.0,4.06,7.0,22.8,8.5,11.6,2.0,1.0,3.0,26.8,46.9,95.0,0.0,484.0,0.0,0.0,0.0,24.9,0
9.0,0.0,2.0,1.64,7.28,5.4,12.2,12.8,1.0,0.0,5.0,0.3,45.3,87.0,0.0,455.0,0.0,1.0,0.0,33.0,0
21.0,2.0,9.0,4.15,3.49,11.1,5.0,11.3,4.0,1.0,0.0,20.4,55.1,74.0,0.0,219.0,1.0,0.0,0.0,18.3,1
11.0,6.0,6.0,6.69,8.38,3.3,11.2,6.0,0.0,0.0,1.0,38.8,44.9,96.1,0.0,1831.0,0.0,0.0,0.0,12.0,0
