supplier_reliability_score,lead_time_days,order_quantity,supplier_country_risk,transportation_mode,days_since_last_disruption,num_disruptions_last_year,supplier_financial_health_score,commodity_price_volatility,weather_risk_index,geopolitical_risk_score,port_congestion_index,num_alternative_suppliers,contract_type,order_complexity_score,seasonal_demand_index,supplier_capacity_utilization,distance_km,customs_complexity_score,target
94.5,6.3,1961.0,0.0,3.0,225.0,0.0,84.3,0.0726,1.61,1.79,1.53,3.0,1.0,7.56,0.5993,83.8,1171.0,1.39,0
69.6,10.9,996.0,1.0,1.0,640.0,2.0,84.8,0.1757,3.15,2.82,0.79,0.0,2.0,7.97,0.5412,61.5,247.0,2.03,0
88.9,21.2,567.0,2.0,1.0,195.0,0.0,66.3,0.1554,2.61,3.47,1.3,3.0,1.0,8.36,0.738,83.6,839.0,4.56,0
88.6,36.9,356.0,2.0,3.0,46.0,3.0,76.1,0.015,0.3,3.27,4.07,1.0,2.0,6.3,0.268,62.5,1647.0,2.98,0
73.3,13.7,1211.0,4.0,2.0,190.0,0.0,55.4,0.0454,2.99,1.6,3.53,0.0,1.0,7.11,0.9615,92.2,2488.0,2.96,0
72.2,35.4,310.0,1.0,0.0,40.0,1.0,80.6,0.4424,1.96,4.53,3.0,4.0,2.0,3.7,0.1462,73.8,1450.0,5.22,0
85.8,35.5,417.0,2.0,3.0,90.0,1.0,47.1,0.0914,2.06,3.02,5.33,5.0,1.0,4.12,0.8319,69.5,514.0,2.99,0
84.6,23.8,685.0,0.0,0.0,262.0,1.0,74.5,0.1083,2.54,4.44,2.9,4.0,0.0,6.7,0.9872,50.4,390.0,4.92,0
89.0,14.0,2077.0,0.0,0.0,387.0,0.0,84.2,0.1944,4.16,2.92,1.95,3.0,2.0,1.12,0.5804,58.9,652.0,3.55,0
73.0,10.9,7483.0,3.0,0.0,184.0,0.0,82.6,0.2403,2.06,1.8,3.47,3.0,1.0,3.5,0.0066,76.0,416.0,4.75,0
56.8,6.0,5248.0,2.0,1.0,318.0,5.0,83.5,0.4541,1.14,2.51,1.56,1.0,1.0,5.97,0.3212,68.1,266.0,6.09,1
79.7,5.9,156.0,0.0,2.0,254.0,0.0,77.1,0.2898,2.12,3.82,5.02,0.0,1.0,3.75,0.4657,57.4,4509.0,4.27,0
74.8,8.8,1577.0,1.0,1.0,131.0,1.0,77.0,0.128,2.69,2.07,4.79,4.0,1.0,7.63,0.4561,77.8,591.0,3.8,0
38.9,20.6,737.0,0.0,1.0,223.0,1.0,41.0,0.1988,3.94,2.4,6.32,4.0,0.0,4.81,0.4898,88.3,1782.0,1.43,1
66.6,14.2,1009.0,1.0,1.0,156.0,0.0,52.7,0.1151,2.22,2.53,5.48,3.0,2.0,6.54,0.1901,84.9,447.0,3.18,0
67.7,9.6,703.0,2.0,1.0,21.0,3.0,80.7,0.161,0.55,1.08,2.35,4.0,0.0,6.6,0.2667,76.8,3369.0,1.06,0
72.2,17.8,209.0,3.0,0.0,60.0,0.0,70.7,0.1663,0.91,3.82,1.18,5.0,2.0,3.48,0.007,33.7,1356.0,2.14,0
97.8,14.8,544.0,0.0,2.0,30.0,0.0,71.0,0.0104,0.92,1.13,7.26,3.0,2.0,5.91,0.3738,50.9,1047.0,4.75,0
75.9,56.8,789.0,0.0,2.0,80.0,0.0,72.1,0.2165,1.51,2.39,5.99,3.0,1.0,3.83,0.1717,73.6,1469.0,4.55,0
77.9,7.3,3110.0,3.0,3.0,113.0,1.0,49.0,0.0271,1.76,0.88,3.21,2.0,2.0,4.32,0.1789,84.7,726.0,1.43,0
91.2,21.6,218.0,0.0,1.0,81.0,2.0,89.0,0.4357,0.72,4.68,5.24,2.0,0.0,1.45,0.7268,93.3,817.0,4.11,1
91.3,10.2,380.0,1.0,3.0,68.0,1.0,77.5,0.1329,0.79,5.05,2.54,4.0,1.0,7.24,0.4558,64.1,394.0,0.52,0
94.2,12.5,235.0,0.0,1.0,23.0,0.0,41.3,0.0288,0.77,0.7,4.26,0.0,1.0,6.61,0.191,98.9,9986.0,2.92,1
69.1,15.0,767.0,0.0,2.0,287.0,0.0,64.5,0.1652,2.21,4.56,1.05,2.0,1.0,4.29,0.9168,86.9,613.0,3.19,0
86.5,9.8,431.0,0.0,1.0,361.0,1.0,52.8,0.0386,3.59,2.76,2.57,6.0,2.0,4.71,0.5521,77.8,228.0,2.87,0
77.9,7.8,1330.0,0.0,1.0,159.0,1.0,81.4,0.0421,1.0,1.24,1.85,3.0,2.0,5.13,0.1163,65.6,1109.0,0.57,0
83.7,10.1,1054.0,3.0,0.0,85.0,3.0,83.3,0.4073,4.77,4.32,1.16,3.0,2.0,6.4,0.5696,54.3,4073.0,2.78,0
73.8,11.6,3990.0,0.0,1.0,19.0,0.0,46.2,0.0753,1.22,3.35,5.27,1.0,1.0,5.32,0.9565,75.2,639.0,4.38,0
96.7,12.8,1279.0,1.0,0.0,1.0,0.0,59.0,0.0945,3.23,0.68,1.06,4.0,1.0,4.77,0.5404,61.0,639.0,3.45,0
80.4,8.0,768.0,4.0,3.0,111.0,0.0,56.1,0.0699,1.34,3.57,5.72,0.0,1.0,7.19,0.3993,65.0,397.0,3.7,0
92.0,36.8,465.0,3.0,1.0,78.0,2.0,36.1,0.1402,3.55,0.7,1.29,4.0,2.0,4.31,0.186,81.6,5317.0,2.05,0
70.2,29.9,545.0,0.0,2.0,58.0,0.0,59.6,0.0074,2.26,1.62,5.4,2.0,0.0,3.95,0.3382,69.4,1774.0,5.21,0
93.1,31.8,590.0,2.0,1.0,137.0,0.0,28.8,0.1199,0.28,0.21,3.94,1.0,1.0,2.67,0.0256,23.5,133.0,1.65,0
65.8,10.5,354.0,2.0,0.0,104.0,1.0,58.8,0.0354,1.03,5.7,2.59,3.0,0.0,4.93,0.8619,50.1,295.0,3.39,1
75.0,5.5,510.0,1.0,1.0,40.0,1.0,80.2,0.037,0.89,0.78,7.08,2.0,0.0,5.76,0.9468,43.4,247.0,1.22,0
83.7,2.6,81.0,2.0,0.0,130.0,2.0,61.9,0.0191,1.85,0.57,1.28,4.0,1.0,5.45,0.8138,68.5,848.0,3.21,0
80.6,50.3,142.0,4.0,1.0,288.0,0.0,74.2,0.6626,1.52,3.48,2.05,4.0,2.0,5.93,0.8133,57.4,870.0,1.57,0
73.2,8.7,298.0,4.0,2.0,145.0,1.0,82.0,0.0295,0.79,3.43,2.07,1.0,0.0,3.52,0.751,87.6,372.0,4.0,0
54.7,7.2,424.0,1.0,3.0,34.0,1.0,65.8,0.0746,2.87,1.41,4.48,1.0,0.0,5.75,0.5133,75.6,436.0,4.8,0
90.4,7.1,1462.0,0.0,0.0,14.0,0.0,83.3,0.0725,1.91,3.28,2.43,2.0,1.0,5.04,0.3834,72.9,1915.0,1.17,0
80.7,5.9,250.0,4.0,1.0,16.0,2.0,78.3,0.1451,1.04,2.58,6.58,2.0,2.0,6.73,0.7129,65.7,462.0,2.34,0
95.9,8.8,140.0,0.0,1.0,278.0,0.0,82.7,0.0304,5.92,3.44,3.7,5.0,1.0,3.39,0.8812,43.6,955.0,4.57,0
79.3,20.8,1494.0,3.0,3.0,70.0,1.0,68.7,0.0089,1.54,3.4,1.44,2.0,1.0,5.93,0.9326,65.3,2734.0,1.12,0
94.9,11.4,1508.0,3.0,1.0,96.0,0.0,86.0,0.3752,1.43,2.34,6.72,1.0,0.0,6.56,0.002,83.6,369.0,3.54,0
90.2,16.3,2632.0,0.0,0.0,19.0,0.0,56.5,0.0183,4.38,3.69,2.16,4.0,2.0,6.82,0.8717,90.4,2355.0,0.61,0
73.8,36.1,1787.0,2.0,1.0,113.0,0.0,88.6,0.0238,0.76,3.64,4.33,2.0,2.0,7.45,0.2746,79.5,510.0,4.3,0
64.4,6.6,1827.0,2.0,1.0,157.0,0.0,58.7,0.0186,1.6,1.22,1.71,0.0,1.0,4.91,0.3021,91.0,563.0,4.04,0
81.0,12.7,405.0,4.0,2.0,46.0,0.0,92.9,0.0081,4.08,1.38,1.19,3.0,2.0,7.23,0.2958,82.2,2285.0,0.7,0
81.5,23.9,160.0,0.0,1.0,4.0,2.0,75.8,0.328,2.56,0.19,1.92,3.0,2.0,2.59,0.11,55.6,595.0,1.12,0
88.3,29.8,1054.0,2.0,3.0,11.0,0.0,84.8,0.0254,3.89,1.9,2.29,6.0,1.0,5.72,0.8346,68.4,561.0,4.19,0
97.1,22.7,65.0,0.0,0.0,14.0,0.0,56.3,0.0058,0.96,1.18,3.33,3.0,0.0,4.01,0.3471,42.8,297.0,2.42,0
80.5,25.7,3470.0,0.0,1.0,208.0,0.0,73.7,0.1656,2.3,3.34,1.02,2.0,0.0,4.18,0.6255,76.1,855.0,1.49,0
83.1,31.7,116.0,1.0,1.0,41.0,1.0,63.9,0.1701,1.71,2.15,0.56,2.0,1.0,5.98,0.2536,73.2,2116.0,6.82,0
77.5,19.2,801.0,0.0,3.0,22.0,1.0,40.0,0.2677,2.69,6.8,2.85,1.0,0.0,3.67,0.5234,80.6,182.0,2.46,0
48.3,18.5,558.0,3.0,1.0,294.0,0.0,74.0,0.0594,3.3,3.2,0.98,4.0,0.0,5.21,0.0711,74.8,1416.0,4.75,1
83.9,4.2,2751.0,1.0,1.0,33.0,2.0,88.1,0.1224,2.74,0.24,3.57,1.0,1.0,5.57,0.6375,56.5,815.0,1.52,0
92.7,5.2,387.0,3.0,1.0,33.0,0.0,83.3,0.0298,0.67,0.63,6.06,3.0,1.0,6.23,0.6943,80.1,434.0,1.26,0
79.3,12.1,3317.0,0.0,1.0,100.0,0.0,98.3,0.1732,0.3,1.56,5.6,1.0,1.0,4.44,0.9913,55.9,3061.0,4.83,0
84.2,4.2,421.0,2.0,3.0,49.0,0.0,69.1,0.108,1.28,5.5,1.18,0.0,1.0,2.86,0.6793,70.6,5952.0,4.76,0
77.8,5.8,99.0,1.0,0.0,18.0,1.0,78.7,0.0619,0.75,1.21,5.45,2.0,2.0,4.13,0.1684,82.1,1503.0,0.2,0
75.9,5.9,125.0,3.0,1.0,50.0,1.0,66.4,0.0149,1.18,2.23,1.99,1.0,0.0,8.16,0.4269,83.9,8277.0,3.38,0
94.2,10.8,1666.0,1.0,1.0,488.0,0.0,53.5,0.2047,3.48,1.55,3.17,4.0,2.0,6.9,0.7087,63.4,989.0,2.52,0
86.0,12.4,1293.0,3.0,0.0,94.0,4.0,81.0,0.021,1.86,2.56,0.95,5.0,2.0,5.75,0.1278,71.0,363.0,3.39,0
85.9,28.8,508.0,0.0,0.0,167.0,0.0,93.1,0.2297,3.48,1.81,0.43,4.0,2.0,3.34,0.3642,36.1,894.0,0.98,0
85.2,26.2,430.0,1.0,2.0,36.0,2.0,76.0,0.2796,3.02,2.59,2.65,1.0,0.0,2.35,0.8774,74.7,1399.0,1.31,0
55.3,7.2,302.0,3.0,0.0,124.0,0.0,53.2,0.0095,1.68,0.47,3.35,4.0,0.0,4.84,0.2403,73.0,3149.0,3.51,0
68.0,17.2,554.0,0.0,3.0,187.0,2.0,35.1,0.0275,1.42,1.98,0.92,4.0,1.0,6.67,0.5077,75.9,10652.0,1.62,1
92.9,7.5,1415.0,1.0,2.0,79.0,1.0,71.2,0.5526,1.57,2.98,0.89,1.0,1.0,5.81,0.0504,59.5,3160.0,4.81,0
60.1,23.0,32.0,2.0,1.0,1.0,1.0,41.1,0.2944,1.08,3.32,0.57,2.0,2.0,2.99,0.6234,54.4,1380.0,1.47,0
91.4,8.6,914.0,0.0,0.0,267.0,1.0,87.4,0.2653,0.85,2.12,3.31,0.0,2.0,4.79,0.4089,56.1,444.0,0.99,0
96.5,33.3,561.0,2.0,0.0,232.0,0.0,42.9,0.1672,5.8,3.39,1.93,1.0,0.0,7.83,0.869,82.9,2677.0,2.58,0
95.9,9.6,532.0,2.0,0.0,836.0,1.0,92.8,0.0445,2.24,3.48,1.6,2.0,1.0,7.09,0.578,79.6,566.0,3.07,0
77.7,6.1,1044.0,3.0,1.0,70.0,1.0,92.0,0.2127,1.85,2.83,1.21,1.0,2.0,1.57,0.637,81.0,199.0,3.92,0
54.5,8.1,327.0,3.0,0.0,25.0,0.0,78.7,0.1455,1.55,4.83,7.26,2.0,2.0,5.88,0.5957,29.7,676.0,5.42,0
92.0,12.6,2190.0,2.0,0.0,7.0,0.0,58.9,0.0101,2.1,1.66,4.1,3.0,2.0,5.77,0.3126,63.1,3249.0,3.74,0
72.8,12.1,1623.0,3.0,1.0,20.0,0.0,90.8,0.0295,0.75,3.18,3.49,6.0,1.0,4.41,0.8584,84.3,3648.0,4.38,0
83.2,5.6,210.0,2.0,2.0,171.0,0.0,71.2,0.1332,1.62,1.86,3.94,2.0,0.0,6.39,0.6082,76.3,2707.0,1.72,0
87.5,5.8,450.0,2.0,1.0,95.0,2.0,81.0,0.0599,1.23,3.59,3.79,2.0,2.0,4.98,0.1309,69.3,263.0,1.09,0
63.4,13.8,1842.0,3.0,1.0,217.0,0.0,93.3,0.1464,3.35,4.51,2.99,4.0,1.0,5.55,0.8688,60.3,2092.0,1.51,0
80.9,5.4,458.0,0.0,2.0,123.0,1.0,81.2,0.2336,2.67,3.89,5.26,0.0,0.0,3.16,0.6151,77.8,5276.0,1.21,0
83.9,25.7,267.0,4.0,0.0,197.0,0.0,70.5,0.0045,2.82,2.56,1.2,3.0,0.0,3.21,0.3987,48.7,2493.0,2.9,0
91.6,4.2,405.0,2.0,0.0,317.0,2.0,86.0,0.337,1.32,2.34,3.9,4.0,0.0,3.56,0.5001,87.3,943.0,2.51,0
84.1,16.7,515.0,2.0,0.0,82.0,1.0,83.3,0.0153,0.58,3.15,0.66,4.0,0.0,8.27,0.576,71.4,732.0,1.54,0
70.7,9.6,1521.0,0.0,0.0,26.0,2.0,36.1,0.1925,2.98,2.51,1.39,3.0,1.0,5.53,0.0555,64.7,508.0,0.48,0
81.7,24.1,2695.0,3.0,3.0,71.0,0.0,93.4,0.1421,4.6,1.71,5.88,3.0,1.0,6.22,0.5861,61.3,983.0,1.2,0
84.6,7.1,489.0,3.0,3.0,435.0,2.0,45.7,0.0064,1.12,1.9,2.09,2.0,0.0,3.29,0.4531,83.1,1518.0,0.49,0
68.4,31.0,230.0,0.0,3.0,338.0,1.0,36.2,0.2632,2.44,3.21,2.55,4.0,1.0,3.94,0.0536,96.0,1625.0,7.81,0
90.9,4.3,103.0,3.0,2.0,60.0,1.0,86.5,0.0811,0.64,6.61,3.0,6.0,2.0,5.21,0.7326,48.0,3568.0,3.53,1
62.7,13.1,135.0,0.0,0.0,293.0,1.0,38.7,0.0976,1.13,0.91,2.08,2.0,0.0,4.74,0.7677,67.1,409.0,2.82,0
77.1,31.1,1042.0,3.0,0.0,147.0,0.0,87.7,0.0318,1.57,4.01,3.05,2.0,1.0,6.75,0.8456,89.2,296.0,1.34,1
70.1,11.3,2535.0,3.0,0.0,116.0,1.0,69.1,0.0907,1.55,2.33,4.54,4.0,0.0,3.67,0.6877,88.8,726.0,3.58,0
69.0,10.9,1193.0,2.0,2.0,105.0,4.0,76.9,0.0223,0.82,2.75,2.32,2.0,0.0,4.32,0.0657,79.7,1431.0,0.65,0
80.5,11.1,539.0,0.0,2.0,32.0,1.0,69.8,0.2426,3.62,2.76,6.11,0.0,1.0,7.58,0.8888,91.4,2385.0,1.86,0
60.3,15.0,2596.0,4.0,3.0,467.0,0.0,84.6,0.0349,2.58,2.36,2.81,1.0,2.0,6.14,0.0001,79.9,3271.0,0.82,0
78.9,4.5,875.0,4.0,2.0,17.0,1.0,78.9,0.3754,0.78,2.78,0.76,5.0,1.0,6.52,0.4322,85.8,1358.0,0.47,0
90.0,10.0,965.0,2.0,3.0,416.0,1.0,76.2,0.2357,1.6,4.69,3.17,3.0,0.0,6.15,0.7528,75.7,174.0,1.75,0
67.6,11.0,398.0,2.0,0.0,177.0,0.0,79.6,0.1214,2.6,2.08,4.79,1.0,2.0,4.71,0.6793,76.1,1748.0,1.47,0
86.7,9.0,1975.0,0.0,1.0,129.0,1.0,91.5,0.2821,3.78,3.27,2.91,4.0,0.0,3.8,0.4777,76.9,1094.0,0.59,0
97.1,10.2,1830.0,1.0,2.0,102.0,0.0,89.2,0.4097,0.88,1.22,6.5,3.0,1.0,4.58,0.6473,92.2,627.0,0.97,0
68.5,12.2,542.0,0.0,0.0,136.0,0.0,52.1,0.3591,3.34,6.23,6.21,3.0,2.0,4.57,0.9557,57.7,987.0,0.38,1
86.8,5.9,865.0,0.0,1.0,47.0,2.0,84.5,0.0662,4.16,4.55,3.24,2.0,0.0,6.02,0.0309,80.1,403.0,3.17,0
72.7,69.2,821.0,3.0,2.0,94.0,2.0,90.7,0.7917,1.3,1.28,2.01,3.0,1.0,8.02,0.617,40.7,686.0,4.53,1
61.6,5.9,274.0,3.0,0.0,72.0,0.0,93.6,0.2321,2.85,0.93,2.0,4.0,2.0,3.85,0.6931,86.0,3129.0,1.01,0
87.5,19.1,2843.0,2.0,1.0,303.0,0.0,77.3,0.3156,0.73,0.22,0.75,0.0,1.0,4.3,0.1386,76.0,966.0,1.41,0
66.0,3.8,244.0,2.0,3.0,94.0,1.0,50.4,0.1594,2.73,1.55,3.3,5.0,2.0,6.32,0.937,77.3,11666.0,2.42,1
85.0,14.8,536.0,1.0,3.0,53.0,2.0,73.3,0.1294,1.39,1.72,0.52,3.0,0.0,3.99,0.1187,87.6,418.0,1.08,0
75.5,6.7,375.0,0.0,1.0,104.0,0.0,89.2,0.2293,3.37,2.36,3.17,3.0,1.0,2.61,0.6916,44.6,1777.0,2.74,0
98.2,19.1,462.0,3.0,3.0,38.0,2.0,85.9,0.1079,1.37,3.1,2.44,1.0,2.0,3.51,0.708,76.6,1971.0,2.57,0
87.2,18.6,1055.0,3.0,0.0,10.0,0.0,80.6,0.1254,1.75,3.59,6.37,1.0,2.0,4.17,0.9165,97.0,1080.0,2.54,0
96.8,22.8,363.0,3.0,0.0,165.0,1.0,77.6,0.0981,1.5,2.95,3.63,1.0,0.0,5.79,0.2571,78.8,5009.0,3.83,0
85.7,4.0,545.0,0.0,2.0,14.0,0.0,72.6,0.3856,3.29,6.74,6.18,2.0,0.0,4.83,0.9174,81.5,8743.0,2.12,0
84.0,20.5,286.0,0.0,1.0,331.0,0.0,88.3,0.3505,4.41,2.0,2.08,0.0,1.0,0.21,0.9168,69.4,1330.0,1.31,0
83.9,9.5,1016.0,3.0,1.0,335.0,2.0,74.6,0.2617,2.35,2.75,0.17,3.0,0.0,2.36,0.4456,26.3,4965.0,5.01,0
81.7,22.4,264.0,0.0,1.0,225.0,0.0,58.0,0.0637,1.42,2.37,3.96,1.0,1.0,9.75,0.5746,87.6,2270.0,3.28,0
98.9,13.4,116.0,2.0,1.0,133.0,2.0,79.1,0.0419,1.15,1.26,2.35,2.0,1.0,6.58,0.0552,75.9,331.0,3.21,0
55.5,77.9,505.0,4.0,1.0,15.0,1.0,75.6,0.3942,1.19,0.84,5.81,4.0,1.0,5.0,0.8614,77.6,930.0,1.88,1
86.7,26.3,409.0,0.0,1.0,86.0,0.0,93.7,0.0077,5.04,2.02,2.7,4.0,1.0,5.36,0.1028,76.0,310.0,1.97,0
70.2,13.7,124.0,4.0,1.0,453.0,0.0,79.3,0.0864,1.89,0.66,3.95,1.0,2.0,6.73,0.2669,84.3,2762.0,5.46,0
75.8,15.0,469.0,2.0,0.0,310.0,1.0,53.9,0.1167,1.52,4.84,1.99,2.0,2.0,5.42,0.319,66.6,214.0,2.88,0
80.1,6.7,2126.0,4.0,1.0,362.0,0.0,64.0,0.2498,1.73,3.41,2.04,2.0,0.0,5.09,0.4147,79.8,920.0,1.62,0
86.6,24.8,557.0,1.0,0.0,224.0,0.0,56.8,0.0601,3.92,2.06,1.39,3.0,1.0,2.36,0.1194,64.3,1308.0,0.53,0
92.4,8.1,1337.0,0.0,0.0,2.0,3.0,86.8,0.2661,1.14,4.6,3.74,5.0,2.0,5.95,0.1994,81.9,312.0,3.16,0
69.1,16.1,5420.0,3.0,3.0,176.0,1.0,68.5,0.2944,4.68,1.91,2.52,3.0,2.0,1.42,0.3162,92.6,811.0,1.51,1
93.8,6.0,445.0,1.0,0.0,70.0,1.0,74.0,0.0435,5.12,1.53,1.87,4.0,2.0,6.01,0.9343,70.6,21601.0,1.67,0
65.3,3.5,906.0,3.0,0.0,197.0,1.0,81.7,0.3223,3.76,0.03,1.81,2.0,2.0,9.12,0.1458,72.0,4638.0,4.61,0
89.1,10.4,622.0,0.0,0.0,72.0,1.0,91.6,0.0513,2.68,3.75,3.21,3.0,1.0,4.4,0.3249,44.2,2819.0,4.0,0
69.8,4.8,367.0,1.0,2.0,47.0,0.0,50.7,0.1106,0.6,2.33,6.5,1.0,2.0,2.9,0.7953,57.8,1075.0,3.44,0
56.4,16.7,428.0,1.0,0.0,551.0,2.0,89.7,0.0457,0.33,3.06,1.67,2.0,2.0,7.75,0.5616,88.5,689.0,3.68,0
93.1,27.8,454.0,1.0,0.0,57.0,1.0,84.4,0.0155,1.94,2.55,0.56,2.0,2.0,2.79,0.9301,69.9,855.0,1.58,0
54.2,12.1,568.0,0.0,0.0,198.0,1.0,40.5,0.5733,4.68,0.93,2.41,4.0,2.0,2.42,0.3298,40.8,2588.0,4.5,0
77.6,4.4,1533.0,1.0,0.0,27.0,0.0,71.5,0.8315,0.75,0.72,3.55,6.0,1.0,8.51,0.0786,67.0,1067.0,3.12,1
93.5,9.3,2134.0,2.0,2.0,241.0,2.0,88.4,0.2439,1.17,0.93,2.64,2.0,2.0,3.52,0.3866,59.0,2005.0,5.61,0
55.3,12.0,748.0,3.0,0.0,5.0,0.0,70.0,0.1806,2.82,3.33,4.35,3.0,1.0,7.07,0.1513,79.3,552.0,3.61,0
77.9,6.7,412.0,0.0,0.0,38.0,0.0,88.7,0.045,1.19,1.54,2.85,0.0,2.0,2.8,0.2737,93.5,1710.0,2.58,0
94.3,7.5,442.0,0.0,0.0,634.0,2.0,73.0,0.2419,1.98,1.49,3.34,2.0,2.0,2.99,0.7185,46.2,2682.0,1.43,0
55.1,33.6,3656.0,2.0,1.0,460.0,1.0,57.5,0.1129,0.63,2.69,4.44,3.0,1.0,6.19,0.7999,91.2,632.0,3.74,1
90.2,17.4,1062.0,0.0,0.0,23.0,0.0,91.1,0.0499,2.2,2.81,3.67,1.0,0.0,4.76,0.6725,79.6,147.0,2.82,0
96.4,27.5,464.0,2.0,0.0,71.0,2.0,78.8,0.3699,2.22,1.76,5.77,4.0,0.0,5.88,0.8546,79.8,10683.0,2.91,0
75.1,7.1,155.0,1.0,1.0,633.0,0.0,74.6,0.1172,0.62,4.56,2.21,0.0,1.0,2.44,0.7458,78.0,618.0,2.47,0
82.7,17.5,286.0,1.0,0.0,510.0,1.0,33.5,0.3064,2.86,2.46,3.72,0.0,1.0,4.54,0.4362,92.5,1230.0,0.69,0
90.7,10.7,359.0,0.0,0.0,35.0,0.0,76.2,0.1849,0.52,2.93,2.21,3.0,0.0,4.38,0.1025,67.2,3515.0,2.02,0
58.9,4.2,167.0,3.0,1.0,112.0,4.0,77.2,0.1692,1.0,5.28,3.62,3.0,1.0,3.73,0.7685,70.1,1404.0,2.73,0
70.2,14.0,537.0,3.0,1.0,639.0,0.0,61.0,0.6598,1.1,0.7,5.81,5.0,2.0,7.12,0.6082,87.4,1401.0,5.5,0
69.5,31.7,349.0,3.0,1.0,672.0,0.0,89.3,0.1259,2.08,2.97,1.64,2.0,0.0,2.9,0.5414,69.6,3712.0,1.89,0
94.2,28.8,1143.0,1.0,2.0,226.0,0.0,79.9,0.0473,3.29,0.71,2.32,2.0,0.0,2.66,0.5961,74.6,552.0,3.3,0
90.0,20.6,1881.0,2.0,1.0,209.0,1.0,90.7,0.0412,3.04,5.5,4.13,1.0,1.0,7.36,0.2864,60.2,471.0,1.71,0
86.4,6.4,498.0,0.0,1.0,11.0,1.0,63.6,0.0381,1.66,2.8,5.89,1.0,0.0,7.06,0.1038,41.6,396.0,1.03,0
77.5,10.0,367.0,3.0,1.0,65.0,0.0,24.6,0.0365,3.3,5.79,0.94,1.0,2.0,8.12,0.8608,67.1,2962.0,3.16,0
53.2,5.3,116.0,2.0,3.0,129.0,0.0,97.4,0.0909,2.81,2.93,2.47,4.0,0.0,4.44,0.2391,55.5,261.0,1.82,0
72.0,4.1,166.0,0.0,0.0,72.0,2.0,97.3,0.1653,1.47,3.41,4.2,1.0,2.0,4.17,0.5338,77.9,839.0,2.26,0
