tenure_months,monthly_charges,total_charges,contract_type,num_support_calls_last_3months,avg_data_usage_gb,num_service_failures,has_internet_service,has_phone_service,has_streaming,payment_method,paperless_billing,num_plan_changes,overage_charges_last_3months,customer_age,household_size,is_senior,target
7,80.56,598.52,0,1,2.85,2,1,1,1,3,0,0,0.32,30,5,0,0
34,64.69,2344.48,2,2,5.8,3,1,1,0,1,1,0,11.95,59,4,0,0
7,69.25,539.57,0,2,2.54,1,1,1,1,2,1,0,4.72,53,2,0,0
18,74.41,1190.23,0,2,1.87,0,1,0,1,3,0,1,2.65,55,6,0,0
5,75.93,355.61,1,1,2.61,3,0,1,0,2,1,0,6.38,42,2,0,0
2,35.54,63.44,1,3,1.27,0,0,0,0,0,0,2,0.49,70,1,1,0
7,92.49,700.72,0,2,8.4,0,1,1,0,0,1,3,5.81,45,1,0,1
78,74.86,4964.6,0,2,2.64,0,1,1,0,2,1,1,0.33,59,6,0,0
20,52.42,1034.78,2,2,41.08,2,0,1,0,2,1,1,11.13,54,4,0,0
22,67.82,1427.89,0,3,9.07,0,0,1,1,1,0,1,0.87,55,3,0,0
5,55.77,255.45,0,4,2.99,1,1,1,0,3,0,0,14.26,22,3,0,1
5,117.43,518.31,1,2,2.13,0,1,1,1,0,0,0,9.54,41,1,0,0
14,55.15,843.94,0,0,3.59,1,1,1,0,2,0,1,0.32,52,1,0,0
38,57.29,2139.38,2,2,9.81,1,1,0,0,3,1,0,0.51,32,4,0,0
2,91.46,161.73,2,0,0.9,0,1,0,0,1,1,1,4.77,51,3,0,0
5,29.39,147.84,0,1,4.04,1,1,1,0,0,1,0,7.91,39,3,0,0
37,86.71,3220.49,0,0,0.9,0,1,0,1,3,0,1,5.07,47,4,0,0
17,79.57,1319.71,1,0,12.71,2,1,0,0,2,0,0,0.38,52,5,0,1
98,77.92,8284.9,0,2,3.26,2,1,0,1,2,0,0,1.02,26,3,0,0
15,54.21,885.65,1,1,2.97,1,1,0,0,1,1,1,4.27,43,5,0,0
1,22.76,19.39,1,1,6.16,1,1,1,0,1,0,0,2.51,43,4,0,0
15,100.18,1535.99,2,2,1.98,0,0,1,0,3,1,0,2.45,40,3,0,1
80,72.74,6462.83,2,4,16.64,0,1,0,0,3,1,1,0.27,59,2,0,0
24,68.4,1664.18,0,0,4.23,0,0,0,0,2,1,0,1.88,46,5,0,1
13,62.57,926.7,1,4,1.31,1,1,1,1,1,1,0,5.87,45,4,0,0
14,49.22,606.51,2,3,7.3,0,1,1,1,2,0,0,2.49,45,3,0,0
29,97.29,2925.16,1,3,20.8,1,0,0,0,3,1,2,0.69,56,4,0,0
34,89.44,3317.71,0,0,4.18,3,0,0,1,1,0,0,9.96,26,5,0,0
50,115.41,6493.3,2,1,1.86,0,0,0,1,1,1,1,7.29,37,1,0,0
6,44.69,246.61,1,1,2.32,1,0,1,0,0,0,0,17.76,45,3,0,0
4,54.29,196.87,0,0,1.63,1,0,1,1,3,0,0,2.76,51,2,0,0
1,61.29,63.43,0,2,4.68,2,0,1,0,2,1,4,2.15,78,5,1,0
21,51.48,1150.97,0,1,46.69,0,1,1,0,0,1,0,1.0,45,2,0,1
3,72.65,205.57,0,2,15.75,1,1,0,0,0,1,2,2.1,57,4,0,1
2,21.16,45.12,1,1,3.7,2,0,1,0,2,0,3,11.59,56,3,0,0
15,87.11,1299.93,0,1,7.27,1,1,0,0,2,1,1,0.63,56,3,0,0
19,43.49,721.59,1,1,29.39,1,1,1,0,0,1,0,1.23,19,2,0,0
36,86.98,3344.25,0,1,2.64,0,1,1,1,1,1,1,2.03,71,3,1,1
8,87.4,737.28,2,1,4.02,2,1,1,0,1,1,0,1.11,38,2,0,0
14,42.3,654.66,2,1,2.96,0,0,1,0,1,1,0,0.06,51,4,0,0
23,101.12,2272.86,0,4,2.6,1,1,0,1,2,0,1,4.76,21,6,0,0
5,38.93,167.56,1,0,2.5,0,1,1,1,1,1,1,10.57,42,4,0,0
21,55.67,1100.5,2,2,8.1,1,1,1,0,1,0,2,2.62,56,2,0,0
1,57.01,53.84,2,1,2.8,1,0,0,0,3,1,1,12.9,59,2,0,0
7,47.26,324.07,2,2,2.7,3,1,0,0,1,0,1,0.06,29,3,0,0
90,47.37,4166.64,2,1,14.48,0,0,1,0,3,1,0,5.36,51,3,0,0
1,73.49,68.53,0,3,4.39,1,0,1,1,1,0,0,3.21,20,2,0,0
37,36.03,1499.46,2,1,2.63,1,1,0,0,2,1,1,1.93,71,4,1,0
68,57.38,4352.85,0,1,1.79,0,1,1,1,2,1,0,5.02,67,3,1,0
4,35.5,128.47,2,1,12.9,0,1,0,0,0,0,1,2.87,57,2,0,0
17,54.81,812.55,0,2,38.85,1,1,0,0,3,1,0,0.01,19,3,0,1
10,51.27,527.61,2,1,6.65,0,1,1,1,0,1,0,2.26,51,6,0,1
24,114.93,2794.78,2,3,3.88,0,0,1,0,0,1,2,13.34,39,2,0,1
9,111.07,1106.47,0,2,10.31,0,1,1,1,1,1,0,0.44,27,4,0,0
53,78.94,3948.75,2,0,6.98,0,1,1,1,0,1,0,8.0,40,2,0,0
31,44.23,1166.08,0,0,12.45,0,1,1,0,2,1,1,2.38,65,2,1,0
51,66.78,3267.08,0,3,6.6,0,1,1,0,2,0,0,5.92,66,3,1,0
22,75.23,1520.58,1,0,4.55,1,1,1,0,3,0,1,13.94,35,3,0,0
9,72.09,697.26,0,1,6.51,0,1,0,0,3,0,3,0.14,44,1,0,0
9,36.86,287.23,0,1,5.44,0,1,1,0,0,0,3,7.04,54,1,0,0
46,105.54,4807.6,0,1,8.58,1,1,0,0,2,0,1,0.06,62,2,0,1
16,92.29,1370.35,0,1,0.69,0,1,0,0,2,1,1,0.05,43,3,0,0
12,41.19,457.66,0,3,6.93,0,0,0,0,2,1,0,1.35,54,4,0,0
10,90.16,807.81,2,1,12.15,1,0,1,0,3,1,1,20.41,29,5,0,0
45,75.18,3152.58,1,2,2.97,0,1,1,1,1,1,1,6.34,59,3,0,0
6,61.64,338.94,0,1,1.34,0,1,1,0,1,1,1,8.63,39,5,0,0
33,52.29,1884.27,1,2,11.92,1,1,1,0,2,1,2,9.48,52,2,0,0
7,66.89,531.66,0,5,5.25,0,0,1,0,2,1,0,6.43,45,6,0,1
5,79.36,348.24,1,3,2.73,2,1,0,1,1,1,0,4.15,45,5,0,1
4,62.84,220.31,2,2,3.74,0,0,1,1,2,0,0,5.76,29,3,0,0
10,65.88,605.85,0,1,2.98,2,1,0,0,1,0,0,1.51,57,3,0,0
46,32.77,1717.55,0,2,11.41,3,1,1,1,0,1,1,8.61,50,2,0,1
14,91.79,1283.51,1,1,2.54,0,1,1,0,0,1,0,5.86,18,2,0,0
9,54.38,508.09,1,2,14.48,2,0,0,0,1,1,1,2.42,54,2,0,0
1,16.79,18.68,1,2,1.01,1,0,0,1,2,1,0,11.11,62,3,0,0
3,50.62,149.5,1,1,5.24,0,1,1,0,0,1,0,7.52,40,2,0,0
47,38.04,1962.38,0,1,6.53,0,0,0,0,1,1,2,3.5,39,4,0,0
8,79.17,606.08,2,0,3.9,1,1,1,1,3,1,1,3.65,55,1,0,0
23,103.48,2590.78,2,1,11.11,0,1,1,1,2,1,0,1.8,37,2,0,0
31,86.74,2528.67,2,3,1.51,0,1,1,0,0,0,0,0.8,22,6,0,0
50,97.97,4585.49,0,3,4.31,0,1,0,0,2,0,3,9.24,38,2,0,1
46,76.7,3417.76,0,2,7.46,0,1,0,1,0,1,1,2.68,61,2,0,1
29,81.91,2404.23,2,4,12.24,0,0,1,0,0,1,0,0.94,39,2,0,0
2,62.67,111.94,1,0,3.05,0,1,1,1,2,0,1,1.12,56,5,0,0
7,44.65,338.14,2,2,1.53,0,0,1,1,2,1,1,4.74,57,5,0,0
11,66.53,789.39,0,2,7.24,2,0,1,1,3,0,1,2.47,63,1,0,0
47,100.82,5233.45,0,0,6.57,2,1,1,1,2,1,0,12.23,57,1,0,0
6,49.15,256.87,0,0,6.58,1,1,1,0,2,0,1,3.57,70,2,1,0
1,15.0,15.78,2,2,9.41,0,1,0,0,2,1,1,7.72,49,1,0,0
9,81.69,653.86,0,3,6.44,1,1,1,1,3,1,2,1.49,32,5,0,1
2,43.23,79.64,0,2,2.25,2,1,0,0,2,1,1,2.55,44,5,0,1
81,72.42,6615.61,0,0,3.85,0,1,1,1,1,1,0,0.02,37,5,0,0
7,67.11,526.26,2,3,3.26,1,1,0,0,1,0,1,2.23,28,6,0,1
18,40.07,686.43,0,2,3.07,1,1,1,0,1,0,0,4.59,33,4,0,0
1,79.18,83.79,0,0,8.19,0,1,1,0,1,0,1,2.52,41,3,0,0
13,58.95,671.92,0,1,1.87,0,1,0,0,1,1,0,9.42,43,2,0,0
6,15.0,92.91,0,0,5.49,2,1,1,1,3,0,0,2.86,57,3,0,1
9,99.82,787.79,0,0,9.65,2,0,0,0,1,0,0,6.62,30,1,0,1
45,106.17,5427.23,0,1,9.58,2,0,0,0,0,1,1,9.65,35,3,0,1
4,41.57,174.08,0,2,5.15,0,1,0,0,0,1,2,7.41,18,4,0,1
19,91.85,1650.42,0,0,6.1,1,1,1,1,1,0,1,1.7,52,1,0,0
7,54.82,423.55,2,1,6.52,2,1,1,0,2,0,1,2.23,53,4,0,0
20,85.15,1817.62,2,1,1.89,2,0,1,1,2,0,2,0.88,43,3,0,0
24,50.93,1370.19,1,0,8.59,1,1,0,0,0,1,0,2.49,74,3,1,0
25,39.54,850.67,1,2,21.42,0,1,0,0,2,1,1,0.5,44,1,0,0
9,66.54,607.99,1,2,5.64,1,1,0,0,2,1,2,9.76,24,5,0,0
113,59.03,6218.29,0,3,9.49,0,0,0,1,2,1,1,2.88,48,4,0,0
15,36.1,489.39,1,1,3.04,0,1,1,1,1,0,0,0.72,38,1,0,0
1,33.52,34.99,0,1,3.0,1,1,0,0,1,1,1,2.87,50,2,0,1
71,93.53,5969.29,0,0,4.75,0,1,1,0,2,1,1,4.74,46,3,0,0
47,81.98,3502.15,2,2,3.59,0,1,1,1,1,0,1,1.69,19,5,0,0
1,68.63,61.6,2,3,32.24,2,1,1,0,2,0,0,1.21,56,4,0,0
8,44.07,397.42,2,0,13.27,1,0,1,0,0,1,1,1.58,33,4,0,0
46,54.53,2224.45,2,2,1.15,2,1,1,1,2,1,1,3.5,58,2,0,0
43,88.16,3909.21,0,1,2.82,1,0,1,1,1,0,1,2.85,44,4,0,0
15,78.85,1262.53,0,3,1.56,1,0,1,1,3,1,0,14.11,51,4,0,0
4,86.08,321.85,0,1,1.79,0,1,1,1,1,0,2,12.27,31,1,0,1
48,92.86,3870.95,0,1,19.91,0,1,1,1,1,1,0,8.7,42,3,0,0
1,43.78,39.76,0,0,7.96,0,1,1,0,1,0,0,0.93,27,4,0,0
63,61.41,3509.07,1,1,9.95,1,1,1,0,3,0,0,2.35,40,1,0,0
11,62.5,712.91,2,3,7.21,1,1,1,1,2,0,0,6.2,59,5,0,0
14,74.71,961.25,0,0,3.59,2,1,1,0,2,1,2,6.85,27,3,0,1
5,37.69,215.18,1,0,7.82,1,0,1,0,2,1,0,2.89,18,1,0,0
14,48.11,578.29,1,0,4.76,2,1,0,0,0,1,0,0.71,70,3,1,0
3,100.83,287.9,1,0,6.77,0,1,1,0,2,0,1,0.28,43,5,0,0
29,36.73,1096.03,2,3,15.36,0,1,1,0,2,1,1,4.91,54,2,0,0
3,60.67,191.43,0,0,2.11,0,1,0,0,0,1,3,9.06,40,1,0,0
51,102.8,5742.33,1,0,0.71,1,1,1,1,0,1,1,9.0,18,2,0,1
2,84.2,192.66,0,1,3.7,0,0,1,0,0,0,0,1.2,48,4,0,1
71,88.52,5992.61,2,2,4.98,0,1,0,0,0,0,1,3.18,45,5,0,0
18,90.79,1678.03,1,1,4.49,0,1,1,0,2,0,2,2.02,57,1,0,0
4,110.05,441.66,0,0,1.73,2,1,1,0,2,0,1,7.96,39,3,0,0
16,55.66,899.17,2,0,1.75,1,0,0,0,2,1,2,8.17,35,1,0,0
4,33.77,138.36,0,3,6.45,1,1,0,1,0,0,1,5.42,42,5,0,1
30,80.69,2219.28,1,0,5.42,2,0,0,0,1,1,2,4.76,30,2,0,0
5,129.09,686.18,0,0,4.79,1,1,0,0,0,1,0,0.64,37,5,0,1
10,65.11,714.49,0,4,1.08,2,0,1,1,3,1,1,1.19,64,1,0,0
43,69.72,2966.89,0,1,3.51,1,1,0,1,1,1,0,0.09,57,3,0,0
13,55.51,760.52,0,1,2.89,0,1,1,0,3,1,0,1.36,56,1,0,0
30,83.01,2738.91,2,1,5.24,0,1,1,0,3,1,3,1.08,39,2,0,0
43,69.44,3030.19,0,1,10.6,1,0,0,0,1,0,0,1.15,34,3,0,0
6,75.88,488.88,2,3,7.02,0,0,1,1,3,1,0,0.17,72,4,1,1
1,20.82,20.6,2,1,8.0,0,0,0,1,2,1,0,1.48,61,5,0,0
2,107.2,193.57,0,0,4.99,0,1,1,0,3,1,1,4.54,40,4,0,1
11,33.38,367.36,2,1,22.11,0,1,1,1,3,0,2,1.87,44,2,0,0
4,58.15,255.07,1,1,2.57,1,1,1,1,0,0,0,2.91,34,2,0,1
41,41.56,1477.95,2,1,4.65,1,0,0,0,3,0,0,5.72,58,2,0,0
2,31.62,69.42,1,1,2.31,0,0,1,0,1,1,1,10.3,34,4,0,0
11,70.95,888.12,1,0,1.24,0,0,0,0,3,0,0,5.96,62,3,0,0
63,26.68,1599.49,2,0,1.59,1,1,1,0,3,0,1,10.84,40,6,0,0
1,69.28,76.11,0,1,1.33,0,0,1,0,3,1,1,4.18,30,3,0,0
7,102.5,745.46,1,2,9.95,1,0,0,0,2,1,0,5.7,45,3,0,0
26,61.86,1603.86,0,1,2.64,0,1,0,1,0,1,1,6.14,18,2,0,0
100,48.85,4572.78,0,2,6.66,0,0,0,0,0,1,0,6.66,22,4,0,0
58,79.84,4307.09,2,3,4.33,1,0,1,0,1,0,0,19.78,58,4,0,0
29,81.3,2334.0,2,2,25.17,1,0,1,0,0,1,0,2.14,71,5,1,0
72,56.47,4444.43,1,0,3.92,0,0,1,0,1,1,0,0.01,77,3,1,0
4,66.34,262.7,0,3,7.85,0,0,1,0,2,1,0,1.57,27,5,0,0
4,39.59,153.67,0,2,4.99,0,1,1,1,3,1,1,3.61,18,1,0,0
8,92.37,716.67,0,0,1.68,0,1,1,1,2,0,1,3.52,29,1,0,0
48,60.09,2477.05,0,1,3.98,1,0,0,1,2,1,0,9.13,57,3,0,0
5,66.46,324.94,2,2,12.79,1,1,1,1,2,1,1,0.59,43,3,0,0
12,15.0,153.46,2,1,1.13,1,1,1,0,2,1,1,3.51,48,3,0,0
29,37.16,993.68,0,1,4.08,0,0,0,1,1,1,1,5.38,45,4,0,0
12,88.78,1013.87,1,1,2.37,1,0,1,0,2,0,1,14.57,60,2,0,0
112,97.82,9504.43,0,1,10.03,0,1,1,0,1,1,1,15.05,37,1,0,0
35,110.28,3554.84,0,3,1.3,2,1,1,0,3,1,0,1.54,48,2,0,0
2,101.51,174.86,1,0,1.31,0,1,1,1,3,1,0,0.98,38,2,0,0
20,63.31,1220.55,2,1,3.23,0,1,1,0,3,1,0,1.3,42,1,0,0
95,75.01,7492.31,1,1,7.42,0,1,1,1,2,1,0,0.36,44,2,0,0
30,63.66,2176.64,1,2,4.45,0,1,1,0,0,1,0,5.37,48,3,0,0
29,36.54,1081.59,0,0,6.19,0,1,1,1,3,1,0,16.44,73,1,1,0
73,47.53,3088.61,1,0,4.85,0,1,1,1,2,0,1,6.71,33,4,0,0
2,84.07,143.93,0,1,5.98,1,0,0,1,0,0,2,6.91,51,5,0,1
2,102.79,210.48,0,2,1.47,0,1,1,0,0,1,0,12.09,18,4,0,1
20,32.89,731.99,2,1,7.28,0,1,0,0,2,1,0,1.28,45,4,0,0
66,46.16,2636.19,0,1,3.41,0,1,0,0,1,1,0,5.73,54,2,0,0
10,60.82,535.38,1,1,1.32,1,1,1,0,1,1,2,5.11,26,1,0,0
57,82.06,4968.5,0,2,1.51,1,1,1,0,2,0,3,2.55,18,2,0,0
20,39.52,858.75,2,3,5.03,2,1,0,0,2,0,2,1.36,33,2,0,0
18,53.1,1005.09,0,0,2.07,2,1,0,0,0,1,1,1.65,42,2,0,0
2,80.19,148.95,0,1,4.32,1,1,1,0,1,1,1,3.18,37,2,0,1
2,85.44,162.15,0,3,11.34,2,1,1,0,2,0,1,4.3,36,3,0,1
94,82.69,7817.47,1,2,4.54,2,1,1,0,3,0,0,1.93,42,4,0,0
1,79.93,73.52,1,0,1.52,1,1,0,0,2,1,1,2.37,36,1,0,0
7,100.94,665.97,0,2,1.8,3,0,1,0,0,0,0,2.61,18,2,0,1
20,96.79,2001.1,0,2,3.6,1,1,0,0,0,1,1,9.43,35,4,0,1
19,67.69,1452.55,1,1,3.91,1,1,0,1,3,1,1,25.6,29,3,0,0
24,15.0,354.6,0,1,1.48,3,1,1,1,2,1,0,1.52,46,1,0,0
8,51.54,357.44,2,0,18.79,0,0,0,0,1,0,0,3.68,18,4,0,0
3,61.22,200.35,0,0,9.41,1,0,1,0,3,0,0,0.27,60,4,0,0
1,55.43,60.4,0,3,3.05,1,1,0,0,2,0,1,11.74,35,3,0,1
6,72.84,381.41,2,3,3.88,1,1,1,0,0,1,0,4.57,18,1,0,0
22,109.88,2155.72,2,1,2.69,2,0,1,0,1,1,0,3.77,54,1,0,0
44,57.89,2523.42,2,0,18.42,0,0,1,0,0,0,0,5.25,42,1,0,0
15,64.96,833.46,0,4,4.1,0,1,1,0,2,1,0,1.02,18,6,0,0
7,49.22,297.63,0,4,27.09,0,1,1,1,0,1,6,8.37,18,2,0,0
20,57.73,1158.69,2,3,1.55,1,1,0,1,3,0,0,1.05,50,1,0,0
41,24.07,1088.56,0,2,3.11,1,1,1,1,3,0,0,4.09,55,2,0,0
89,80.6,7870.87,0,3,9.1,0,1,1,0,3,1,1,5.58,26,1,0,0
5,26.65,129.53,2,1,8.79,0,1,1,0,0,1,0,3.39,18,5,0,0
13,53.81,598.64,0,1,4.51,0,1,0,0,0,0,0,10.52,61,4,0,0
13,34.58,382.22,0,3,20.94,0,0,0,0,0,0,2,0.74,39,1,0,0
4,121.24,429.26,1,2,4.71,0,1,0,1,2,1,1,0.33,18,3,0,0
87,79.73,6370.64,2,2,5.92,1,1,0,0,0,1,0,2.63,31,3,0,0
4,54.55,211.68,2,1,6.81,2,1,1,1,3,0,0,12.1,52,2,0,0
53,58.27,3394.69,0,1,1.6,1,0,1,1,1,1,1,6.78,36,1,0,0
29,84.25,2187.18,1,1,2.0,0,1,1,1,1,0,1,3.8,57,5,0,0
1,38.14,39.21,0,0,1.85,3,1,0,1,3,0,0,9.94,39,3,0,1
1,44.75,41.93,1,1,2.56,2,1,1,0,3,1,3,3.12,72,1,1,0
5,44.59,224.78,2,1,8.32,0,0,0,0,3,1,1,6.44,30,1,0,0
30,39.74,1147.56,0,0,5.5,2,1,1,0,3,1,1,5.38,79,2,1,0
1,60.66,55.17,1,2,4.81,0,1,0,0,3,0,3,1.95,38,3,0,0
23,82.58,1975.6,0,2,1.25,1,1,1,0,1,1,2,5.33,18,5,0,0
23,20.89,492.2,1,1,7.19,0,0,1,1,1,1,1,0.43,30,4,0,0
1,57.52,48.94,0,2,5.97,1,1,1,1,1,0,0,4.91,40,2,0,0
40,54.89,2102.46,2,0,9.62,1,0,0,0,0,1,1,2.83,25,2,0,1
107,34.96,3455.09,2,2,7.37,1,1,1,0,3,1,2,1.04,60,1,0,0
20,63.75,1117.25,0,1,7.25,2,1,1,0,0,0,0,3.37,50,5,0,0
15,63.17,1072.06,1,0,5.65,0,1,1,0,1,1,0,12.45,21,5,0,0
6,68.61,392.5,0,1,5.33,0,1,0,0,1,1,2,4.57,30,3,0,1
46,120.54,5029.2,1,0,1.9,0,1,1,0,0,1,2,10.67,36,1,0,1
25,64.9,1699.42,0,2,7.86,1,1,1,1,2,1,1,3.48,36,2,0,0
120,29.95,3464.15,2,2,11.39,1,0,0,1,0,1,2,2.03,54,2,0,0
55,61.61,3201.9,2,1,1.61,1,0,1,0,1,1,0,0.12,61,2,0,0
29,139.84,4558.63,0,0,1.58,0,0,1,1,2,0,0,4.7,54,2,0,0
37,77.5,2846.85,0,2,13.96,4,0,0,1,1,1,1,5.32,54,3,0,0
19,74.55,1321.17,2,0,12.78,0,1,1,0,0,0,1,1.32,52,5,0,0
43,34.53,1332.67,0,2,0.94,0,0,1,0,2,0,0,0.05,41,5,0,0
10,19.9,206.93,0,2,7.51,1,1,1,1,1,0,0,6.21,80,2,1,0
76,15.0,991.63,0,5,4.01,0,1,1,0,0,1,0,2.87,69,2,1,1
2,49.9,104.33,0,1,5.26,1,1,0,1,0,1,0,0.82,59,2,0,1
6,34.74,237.27,0,2,44.45,0,0,1,0,0,0,1,4.62,51,4,0,1
2,81.89,163.64,0,4,4.35,1,1,0,0,1,1,2,15.69,28,2,0,1
4,59.29,256.6,0,2,2.97,0,1,1,1,0,1,0,1.16,60,2,0,0
4,69.61,314.24,0,3,7.25,2,1,0,0,2,1,1,7.77,27,3,0,1
53,83.78,4447.58,1,2,7.42,0,1,0,0,0,1,0,1.19,38,1,0,0
32,88.06,2768.97,2,1,8.7,1,1,1,0,2,1,1,18.82,34,2,0,0
22,59.59,1161.79,1,3,4.37,0,1,1,0,0,0,1,7.1,44,5,0,0
22,53.59,1099.79,0,2,5.8,1,0,1,0,3,1,1,6.66,18,1,0,0
