word_count,num_named_entities,avg_sentence_length,num_quotes,has_numbers,publish_hour,source_type,author_article_count,article_shares,reading_time_minutes,sentiment_score,num_images,article_text,category
12,1,19.8,0,0,15,2,46,9828,7.3,0.094,2,major sanctions president concerns next leader major recent next leader sector country,World
12,2,15.1,3,0,12,0,199,57,3.6,0.262,0,according concerns market decision world reported sector national diagnosis impact plan major,Health
11,0,4.6,1,1,0,4,160,8,1.9,-0.263,3,called also called million health last last policy merger state public,Business
11,0,18.7,0,1,18,1,1,16,5.2,-0.003,3,announced public country percent local recent plan national year last merger,Business
8,2,9.8,0,1,10,0,35,0,5.1,-0.091,3,world sector impact last new concerns including state,Business
16,4,18.6,2,1,20,4,4,799,3.1,-0.195,1,including called last million expected leader economic percent announced government recent last premiere organization year research,Entertainment
18,4,12.5,0,0,10,0,26,5,7.1,0.553,1,plan security government last system president world sector program state industry last tournament million report championship according called,Sports
14,6,23.4,0,1,8,1,32,2,8.1,-0.143,1,economic plan announced global percent said concerns president new sector system research including coach,Sports
17,5,22.9,0,1,19,0,5,259,4.0,0.024,3,world public sanctions announced sector president company concerns leader health growing world president country new major country,World
15,5,13.1,0,1,4,1,24,4,3.5,0.409,1,year last plan international country policy championship group said called last decision international year security,Sports
11,3,25.4,0,1,13,1,6,146,1.2,0.302,5,next summit national leader expected impact reported according new health decision,World
16,2,16.3,1,0,18,1,57,1057,1.3,-0.129,4,report NASA world research company many called growing global next next reported people impact called called,Science
8,4,18.3,2,1,4,0,24,233,4.8,-0.001,2,people announced leader would international new health next,Science
13,4,23.2,1,0,1,0,24,515,7.5,0.195,2,program leader clinical trial government people million including market major report research expected,Health
13,3,18.2,2,0,4,4,8,1,2.3,0.167,2,reported last percent research many genome country government company report local impact plan,Science
17,4,30.4,3,1,9,3,24,286,3.1,-0.343,2,last senator government policy year economic world group country people leader company could expected program percent world,Politics
11,1,18.0,2,0,11,1,60,591,8.0,0.106,3,percent box office next security impact organization research would celebrity report,Entertainment
8,1,22.6,2,1,4,2,3,34,7.1,-0.03,1,new group according next year also security recent,Technology
12,2,14.2,1,1,16,2,1,115,4.6,0.226,2,company development recent FDA next government concerns impact public reported technology local,Health
18,1,22.3,0,0,19,2,70,74,5.4,0.61,2,market including people growing global concerns world technology clinical trial said said country concerns including global would next,Health
10,5,15.4,0,0,15,2,1,1966,3.8,0.097,4,company industry research development athlete program major program president last,Sports
15,4,15.3,1,1,19,1,1,47,5.6,-0.356,0,said according including plan development year percent percent expected concerns diagnosis local market said security,Health
9,1,27.1,2,1,11,2,131,10,8.0,-0.078,2,new percent said including tournament health development local international,Sports
11,6,13.3,0,1,17,3,89,650,6.3,0.033,2,development diagnosis according announced research research research world report first also,Health
14,2,23.6,0,1,18,1,73,14,3.3,-0.347,2,expected decision national world according partisan economic recent local last security impact recent security,Politics
12,4,19.8,1,0,10,1,192,42,5.6,-0.595,1,partisan group program concerns concerns people program health reported many technology leader,Politics
14,1,26.2,2,0,2,3,25,42,3.4,-0.191,4,called NASA future many officials state recent public percent research country percent impact state,Science
18,2,23.2,0,1,12,1,14,10,5.3,-0.391,2,would would also future expected group program said people industry app local major decision international global system research,Technology
15,2,18.9,0,1,0,1,98,96,6.2,0.237,4,global global including market research system announced people streaming country company industry decision president reported,Entertainment
9,4,22.6,2,0,15,3,36,28,7.2,-0.178,0,could would expected sector many merger development country research,Business
17,3,21.4,0,1,20,3,38,30,8.3,0.262,1,national million health would new officials president called president earnings organization recent reported public country international industry,Business
16,3,15.8,2,0,17,2,45,9,3.2,0.017,2,box office organization growing policy recent health expected sector security also government health according health impact,Entertainment
10,1,21.0,1,1,4,3,33,7,7.3,0.067,2,leader last concerns president merger security impact local market technology,Business
19,5,26.5,2,0,14,0,12,56,3.3,0.175,2,senator national according would economic economic security world next according security economic year bipartisan development major new next decision,Politics
10,3,14.7,1,0,20,2,42,161,5.0,0.018,2,many future called major according national recent people group earnings,Business
18,3,28.5,2,1,19,2,2,160,8.8,0.099,1,government major world senator future president percent many group world concerns would group report percent many reported country,Politics
17,2,18.0,0,1,13,3,3,17,5.9,0.113,3,plan national state president sector sector public system streaming major reported organization market global world year sector,Entertainment
17,5,19.1,0,1,20,4,13,26,5.9,0.482,0,new major first also health reported said growing celebrity local new report could group technology decision national,Entertainment
13,2,20.3,1,1,15,2,70,29,5.2,0.005,1,first sector organization major technology next group according NASA policy future organization health,Science
17,4,27.5,2,1,12,0,68,375,1.4,-0.442,3,sector according international public first leader concerns streaming people president announced officials said company program announced according,Entertainment
9,2,17.2,2,1,2,3,92,12,6.4,-0.52,2,market also world diplomat plan country last policy impact,World
9,2,17.1,0,0,4,2,29,2549,6.4,-0.118,5,people sector genome expected health impact economic market leader,Science
13,4,15.0,1,0,9,0,48,388,7.0,0.198,2,quantum impact organization country technology country called market security growing according called officials,Science
9,1,17.6,2,0,14,0,47,17687,6.6,-0.091,5,could policy growing group national president plan new future,Entertainment
15,3,22.0,2,0,23,1,6,59,6.8,-0.029,2,local system according refugees research international group country expected many company state first announced year,World
13,2,18.1,1,0,7,0,35,5,5.7,-0.016,5,new also concerns major could major public celebrity according next last leader world,Entertainment
14,6,23.7,0,0,5,4,10,197,6.6,-0.224,0,company expected called plan state health technology plan would health impact technology company diagnosis,Health
13,4,21.1,1,0,1,3,74,137,3.0,-0.714,0,officials people next report officials quarterly impact health growing plan research state first,Business
12,5,20.7,2,1,16,3,32,1,5.3,0.036,1,expected organization major year market would also company many program recent system,World
17,5,16.1,0,1,19,3,131,52,3.0,-0.308,1,reported many new security group next impact public bipartisan year leader policy impact including report president global,Politics
18,1,15.4,0,0,18,3,63,582,6.5,0.172,2,president according new policy sector government concerns state many country local system program would would health quarterly according,Business
16,4,19.9,4,0,16,0,160,218,2.9,0.099,1,next decision reported research last development app market percent last organization also group industry new could,Technology
9,1,20.7,4,0,13,4,25,101,3.3,-0.233,3,technology state including last quantum called would group many,Science
21,3,13.9,0,0,4,4,28,126,5.3,-0.158,3,said local decision clinical trial major clinical trial recent organization could organization president report million officials announced country including last decision,Health
19,1,16.4,2,0,17,0,39,166,3.8,0.432,3,group security government reported million policy many policy global earnings industry company local security shareholders future national sector company,Business
10,2,18.7,2,1,13,4,67,22,8.5,0.149,0,security research organization report coach first officials group government health,Sports
10,0,15.2,1,0,23,2,5,348,4.0,0.029,2,new growing first report said senator program organization expected global,Politics
10,1,21.3,2,1,21,4,18,8,6.2,-0.06,1,group world future vaccine many according concerns market would sector,Health
10,4,20.3,1,0,1,2,4,3,2.0,-0.097,2,president would reported program box office security world announced world,Entertainment
15,2,25.5,1,1,14,4,44,27,1.0,0.025,2,group major concerns international announced local coach system reported first policy public called million system,Sports
10,2,20.4,0,0,5,0,11,203,5.9,0.318,1,next national policy senator said public research including next also,Politics
17,2,22.2,1,0,7,3,4,796,2.6,-0.35,3,president sector policy plan system according state percent including technology said group last growing reported international government,Business
14,2,18.0,0,1,21,3,20,872,3.6,0.103,4,group impact state program new next president world next country could FDA technology world,Health
15,2,21.5,1,0,12,4,51,81,5.0,0.709,1,president company government officials startup report first reported year next health app leader also government,Technology
19,1,26.2,0,0,8,4,217,239,6.3,-0.791,1,security development year many sector percent decision program organization president health recent technology would partisan growing legislation would global,Politics
10,2,12.9,1,1,15,3,87,37,5.9,0.148,1,first first earnings group expected government world could sector system,Business
15,6,8.9,1,0,21,2,100,125,5.4,0.221,0,major year local also local world diagnosis according government report state plan group next recent,Health
17,4,20.8,2,0,4,1,62,4,5.5,-0.231,2,local sector major industry development expected including organization growing public program could health announced state plan year,Entertainment
10,1,16.3,3,0,2,3,48,3,5.3,-0.054,2,government new decision reported telescope plan expected organization recent technology,Science
12,4,17.1,1,1,8,2,9,240,2.8,-0.08,1,local including decision country state next last celebrity policy many system program,Entertainment
18,5,21.7,1,0,8,2,40,902,7.7,-0.128,3,coach world could called recent government expected report public growing reported could government state said called report sector,Sports
15,3,17.3,1,1,8,2,12,186,4.4,-0.292,0,plan impact company said economic first major company concerns government industry local called decision many,Health
17,5,18.3,1,1,2,3,121,6,6.0,0.244,1,economic international president many national impact last report economic year state expected market national sanctions growing organization,World
13,1,16.8,4,0,5,3,1,3058,5.7,0.023,2,summit million expected called local economic state international company next state next would,World
19,4,10.9,0,1,18,4,16,122,5.8,-0.273,3,market program next international group public growing decision announced clinical trial also report last next concerns global organization world,Health
14,3,22.1,0,0,1,1,8,51,9.3,-0.276,2,country recent major security would people next also policy announced genome called many industry,Science
11,4,27.0,1,1,0,2,45,413,5.7,0.243,2,vaccine percent concerns called future organization policy plan state concerns organization,Health
16,3,22.4,0,1,1,4,55,68,7.0,0.642,2,policy major development company refugees company sanctions major expected new would group state sector industry people,World
12,0,14.8,2,0,2,0,3,21,6.1,-0.708,2,first health growing championship report group called report health market policy percent,Sports
13,6,13.4,0,1,0,0,26,0,4.7,0.058,3,international security future growing world public million system technology group clinical trial system,Health
11,0,26.9,1,0,17,1,142,1845,5.7,0.298,4,leader quarterly according decision industry including next organization year last expected,Business
11,4,10.9,0,1,9,1,20,259,11.6,0.445,3,industry last major growing industry next system bipartisan report economic president,Politics
17,0,8.8,0,1,3,4,63,4,3.9,0.509,1,people public security first reported according international policy recent plan premiere world economic sector many state group,Entertainment
10,2,16.8,1,1,23,3,12,185,5.3,-0.12,0,major president state called company report research next country policy,Business
14,9,19.1,0,1,19,3,41,0,8.5,0.448,2,group industry local health according program million president sector sector including called impact could,Politics
15,5,9.9,1,0,7,0,158,23,5.3,-0.275,0,many million according next according growing growing people said research next report last according said,Entertainment
9,3,25.5,1,0,21,3,238,244,4.5,0.088,3,streaming health sector percent research officials leader people policy,Entertainment
10,3,25.2,2,0,8,3,7,55,4.6,-0.636,1,recent sector world future technology including local research development championship,Sports
10,2,15.1,5,1,6,3,74,18,3.2,-0.016,3,announced international impact technology announced decision announced impact athlete also,Sports
10,3,14.0,0,1,1,0,37,2178,1.6,-0.062,0,growing could reported program percent celebrity research announced major first,Entertainment
12,4,22.4,2,0,19,4,30,1,2.6,0.246,3,also global impact many health people smartphone announced concerns percent percent expected,Technology
19,0,9.1,2,0,17,4,173,178,2.5,-0.221,3,NASA international country called expected technology national reported called international growing reported world officials major would global world genome,Science
13,4,14.0,3,1,7,3,65,42,2.7,-0.857,4,new government state plan company technology company research according president world would diplomat,World
16,3,18.6,1,1,15,0,91,34,5.1,-0.324,2,state would global percent country health global research many technology many new decision bipartisan health new,Politics
11,3,16.8,2,0,22,3,37,149,3.3,0.039,3,startup international report percent program reported development research organization could startup,Technology
9,0,14.1,0,1,7,2,101,15,7.3,0.316,1,also reported million premiere million organization also program major,Entertainment
9,1,16.7,1,1,10,0,5,45,7.0,0.036,0,merger percent program year sector new said called sector,Business
10,4,15.2,2,1,4,3,64,31,1.0,0.14,4,group would new year sector officials percent summit global world,World
16,4,17.3,1,0,0,0,155,28,3.8,-0.343,2,public industry market economic global quarterly health called state international many country new many security officials,Business
18,1,11.5,1,1,3,0,34,112,1.0,0.006,2,program health sanctions concerns could plan reported company development reported first million million major leader state future plan,World
9,6,13.1,0,1,19,4,36,34,4.5,-0.14,0,policy including system economic next technology organization algorithm group,Technology
11,7,12.2,1,0,23,0,62,7,3.0,-0.276,1,last athlete policy organization percent million research development expected major research,Sports
16,3,15.9,1,1,19,4,23,6,4.2,0.176,2,app security company technology many public government reported officials officials could percent year decision startup million,Technology
18,3,22.9,1,0,6,1,83,139,5.3,-0.924,1,last officials industry technology public summit sanctions sector report impact said concerns state year impact local next group,World
15,6,18.5,1,1,15,1,49,259,6.2,-0.159,2,sanctions people million diplomat research including called concerns percent economic technology according reported would world,World
9,1,19.9,1,1,22,1,13,223,6.9,0.114,2,public state decision bipartisan development state people system leader,Politics
13,8,22.7,0,0,4,0,39,792,8.7,0.373,1,premiere reported according announced policy international plan plan public box office leader organization,Entertainment
15,3,21.0,1,0,9,1,3,9,4.7,0.238,1,growing global group expected government also system new called smartphone security next research national world,Technology
10,4,19.6,2,1,22,4,22,1,5.8,-0.326,1,clinical trial new industry said technology decision global state industry,Health
13,2,18.5,0,0,11,2,20,165,1.8,0.315,2,FDA percent international decision growing decision decision last technology according local people FDA,Health
17,2,15.7,0,0,16,2,38,37,4.1,-0.07,3,impact according according would major shareholders expected program group plan president year announced global announced expected according,Business
13,3,11.9,2,1,17,3,30,56,6.8,-0.403,0,sector health expected sanctions world growing officials group national state plan country global,World
14,1,23.6,1,1,15,2,52,105,4.2,-0.594,2,decision development world next million concerns many including future could concerns vaccine said people,Health
16,3,8.2,1,0,17,1,50,5,3.8,-0.082,2,research tournament also local sector technology industry major plan officials president million said public officials next,Sports
13,3,20.8,1,1,22,4,39,1688,6.5,0.168,3,merger people major research decision future company called expected said concerns decision would,Business
18,1,19.5,1,0,12,3,87,1,1.0,0.068,0,development next leader technology technology growing according research future leader group could organization health telescope policy announced telescope,Science
12,0,15.0,3,1,7,4,1,9,5.9,-0.017,5,international announced economic international last including technology including bipartisan economic legislation policy,Politics
16,3,11.8,1,1,13,4,16,31,6.1,0.215,4,president state according market plan company system growing plan officials reported global president new plan including,World
10,0,19.4,2,0,11,4,24,43,4.9,-0.172,2,new next world company sector million reported local called market,Business
14,3,23.4,1,1,18,0,3,208,3.4,-0.074,3,recent industry government local president security global bipartisan development global program new including global,Politics
12,1,18.7,0,1,7,3,85,60,4.8,-0.183,3,would next health new health international many future tournament growing plan plan,Sports
17,1,18.0,1,0,8,4,40,5,3.4,0.074,2,international industry decision many merger expected program people concerns recent public national economic concerns policy next future,Business
16,2,15.9,1,1,12,2,77,14,3.6,-0.007,1,also plan international including including policy said global according next first million including system said diplomat,World
13,4,15.1,1,0,21,0,4,84,2.4,-0.543,3,security policy world last market economic according people could diagnosis concerns president plan,Health
10,3,14.6,1,1,23,4,27,25,5.4,0.355,1,year development global global would group sanctions technology first market,World
13,2,21.9,2,0,3,1,36,159,6.7,-0.161,4,also world million said also market decision future report policy earnings leader local,Business
13,1,21.4,2,1,2,0,155,41,5.9,0.109,3,new last world according could decision global quarterly officials also would international many,Business
9,1,25.0,0,0,18,1,32,36,8.0,0.082,4,expected national growing new research technology tournament growing plan,Sports
13,2,22.4,1,1,13,2,15,1591,3.2,-0.24,3,reported health technology new industry economic concerns program international many would technology athlete,Sports
16,3,18.6,3,0,23,3,49,80,9.0,-0.029,2,reported world earnings recent earnings public leader recent plan announced organization international could impact last leader,Business
14,1,27.6,1,0,13,2,5,9,4.4,-0.39,2,national said first people health year international local announced sector championship championship would state,Sports
18,3,20.3,0,1,8,4,43,2174,2.0,0.319,1,called said organization report last earnings company reported including public leader decision would called state system officials local,Business
18,3,11.7,0,0,3,4,59,31,6.4,-0.37,1,including new announced system security could research reported diplomat would called said including group future also last including,World
15,1,32.7,0,1,16,4,13,0,4.4,-0.389,0,year world policy government program company first last vaccine people last sector company said market,Health
14,7,12.8,3,1,0,0,94,41,8.8,0.375,1,reported could concerns million company president diagnosis million program many many organization year called,Health
11,4,17.4,2,0,19,3,62,3,4.5,0.324,1,international leader president public sector program million local market tournament would,Sports
14,3,21.0,0,0,14,4,87,206,5.1,-0.1,2,impact million policy coach million report expected president expected sector system next coach market,Sports
15,4,19.0,2,1,12,0,70,11,1.2,-0.5,3,policy health including program could would expected legislation percent called program research concerns officials world,Politics
14,3,15.0,1,1,20,2,71,65,5.1,-0.047,0,international local said global people could last shareholders research year growing growing growing many,Business
13,5,19.3,1,0,2,0,63,6,4.5,0.51,1,according research year year development major premiere called recent first national government country,Entertainment
18,3,11.6,0,1,15,0,13,642,2.9,0.031,1,million security officials refugees state company future economic state officials national national called country according economic security would,World
12,8,14.8,0,0,21,3,1,345,4.6,-0.548,1,said diplomat last said many state company people technology new president new,World
13,0,16.9,1,1,9,2,145,42,4.9,-0.256,1,people leader reported first world government vaccine security impact concerns sector economic international,Health
15,1,11.8,2,1,17,2,6,0,4.9,0.435,4,million including including people state legislation impact policy government plan new global future research impact,Politics
11,4,11.3,0,1,6,4,3,23,8.1,0.294,2,health called year million million public athlete year million company local,Sports
14,2,8.3,1,0,0,4,87,49,7.2,0.241,3,major public said future including group year economic said last senator research would growing,Politics
15,2,15.6,3,0,10,3,21,40,5.5,-0.227,4,local major could also group group also state next also decision first earnings next president,Business
10,2,15.7,0,1,3,0,13,3,3.3,-0.285,1,expected sector next officials NASA leader expected many reported expected,Science
11,0,19.3,1,1,15,1,67,863,4.2,0.581,3,president market government decision plan world recent market diagnosis world leader,Health
15,3,25.7,1,1,22,1,67,26,2.9,0.139,1,major growing million company technology announced according next leader state government athlete would program national,Sports
18,3,11.0,2,0,12,1,67,92,5.8,0.207,4,major app could growing many development world reported called next future new national company international next said also,Technology
19,3,21.4,0,1,13,0,25,43,5.0,-0.114,7,national million concerns including announced said new report sector economic economic clinical trial development state recent policy concerns public,Health
11,3,17.6,1,1,3,2,35,9,6.9,0.148,5,recent diplomat many country health report announced technology local percent president,World
13,5,20.2,1,1,20,3,308,22,4.9,0.266,0,global major local would also report would public decision report growing athlete industry,Sports
13,4,23.1,0,0,11,1,49,2,3.6,-0.476,3,organization research country expected health sector reported global last percent impact recent said,Technology
12,9,17.1,1,1,2,3,71,22,1.3,0.345,2,next last security plan major industry major future new impact future public,Sports
18,2,18.6,1,0,5,4,54,405,5.4,-0.16,6,industry million health officials said said officials next senator state impact many concerns new international growing recent impact,Politics
15,1,12.5,0,0,3,2,4,184,9.1,-0.363,1,major public many program reported quantum impact health global sector industry also people international state,Science
13,1,15.0,2,1,15,0,117,14,6.0,0.263,4,million industry government government according announced national athlete many industry reported organization technology,Sports
12,3,17.3,0,0,4,4,75,1,3.4,1.054,3,impact future next sector industry people athlete reported president growing health organization,Sports
15,3,15.7,1,1,22,0,27,22,6.2,0.137,2,security country reported box office percent sector impact company new percent new next security company,Entertainment
15,5,15.2,1,1,0,3,1,2,3.2,0.103,0,percent world program announced reported market decision program plan recent legislation industry senator according sector,Politics
11,6,17.1,1,1,5,1,110,17,5.4,-0.05,0,impact percent said major app state state program many international smartphone,Technology
16,4,12.0,2,1,21,1,41,106,1.4,0.459,3,summit world public market government international also economic refugees public decision impact global would could impact,World
11,3,20.0,1,1,17,2,18,60,3.5,-0.365,2,company many future new could development health year industry recent health,Business
15,6,23.0,1,0,20,4,47,34,5.7,0.239,1,system national leader future said recent telescope said decision according according country could program including,Science
9,3,19.8,2,1,3,2,22,2185,1.2,0.103,1,percent earnings concerns system plan major major plan market,Business
17,6,21.9,0,0,12,4,1,89,7.0,0.0,0,company said new said vaccine system organization year health reported economic market world country security impact sector,Health
13,2,19.9,1,1,14,3,29,691,1.9,-0.423,1,merger international group concerns development technology national year national leader government called growing,Business
10,3,15.9,1,0,17,0,96,4051,4.2,0.032,1,international world could report state company officials last genome national,Science
9,2,22.4,0,0,21,0,74,33,2.3,0.131,2,percent would million last according national major quarterly called,Business
12,4,16.6,0,0,0,3,70,154,4.1,0.072,0,startup would algorithm economic growing leader group new would year leader including,Technology
9,1,21.7,0,0,11,2,38,19,4.1,0.167,1,government summit report economic policy year president sector industry,World
17,2,16.3,0,0,10,2,32,60,5.0,-0.711,3,national organization according year called policy million last state president many technology year genome local percent expected,Science
13,0,9.8,0,1,5,4,93,58,3.5,0.129,2,announced market including decision research announced box office program market announced future streaming,Entertainment
13,2,14.7,4,1,5,4,47,0,4.2,0.012,3,president group organization local decision officials country next future summit year many research,World
13,3,13.0,1,0,6,1,128,4,7.0,-0.055,2,last development genome including major organization future concerns concerns announced many also national,Science
16,5,10.4,1,0,1,2,3,197,3.7,0.106,2,recent according group announced box office officials according sector growing including government research leader first future,Entertainment
16,1,23.8,0,1,9,1,153,115,4.3,0.248,0,announced decision decision international championship research international public market would could major according country plan major,Sports
15,2,24.5,0,0,14,1,30,3545,6.9,0.273,1,president development last market technology impact sector health diagnosis security major million year development according,Health
11,6,25.1,1,0,18,4,23,372,5.5,0.163,7,leader concerns world startup called group app decision first growing said,Technology
14,2,14.2,1,1,18,4,292,114,7.7,-0.042,1,sector international could new year last including system diplomat said major could first could,World
14,2,22.1,1,0,2,4,59,14,4.8,-0.155,2,last major growing research company leader decision leader could international concerns report percent recent,Health
8,0,18.8,1,0,7,0,34,6,1.1,-0.084,4,future new president many announced future world market,Politics
17,3,13.8,0,0,8,1,4,373,6.8,-0.073,2,major research also system reported development called growing security last reported last organization local major refugees public,World
13,2,20.3,1,0,3,2,22,72,6.2,0.09,3,million streaming percent last government last company health box office impact development leader,Entertainment
13,6,14.9,0,0,6,2,14,37,4.0,-0.177,4,report leader people health program said many local report partisan program officials report,Politics
16,4,20.5,0,1,2,2,131,11,2.0,-0.371,3,world company concerns recent next industry development security public organization major local local clinical trial leader,Health
11,2,27.9,3,1,13,4,52,591,4.6,0.136,3,earnings earnings national report sector said system plan people announced million,Business
15,5,22.3,2,0,4,3,257,155,7.4,0.042,2,security including future percent industry country group million could state policy partisan said global growing,Politics
19,3,14.9,1,0,3,0,34,7,7.7,-0.101,0,report reported also policy world refugees recent international first public concerns diplomat market future sector many world health percent,World
16,3,23.6,0,0,17,2,37,7,7.1,-0.755,3,development technology organization future could report officials world first reported diagnosis year technology year report major,Health
8,0,16.8,2,1,10,1,30,590,7.0,0.195,4,next decision technology officials concerns could system also,Sports
9,2,23.3,0,0,8,0,19,2187,4.6,0.132,3,organization national industry announced economic government market quarterly also,Business
18,4,22.1,0,1,20,3,171,3,2.3,-0.49,1,organization public country announced next new people organization called clinical trial research system security announced industry people future,Health
18,3,20.1,2,0,3,0,84,1205,1.8,0.071,2,algorithm sector group technology people group million first decision system last people government security organization leader startup impact,Technology
16,2,16.0,0,1,15,4,65,294,5.5,-0.122,2,many national also market announced growing government health research championship local said could state said said,Sports
10,2,15.6,1,1,6,3,123,3516,3.8,0.219,0,decision concerns quarterly leader international international concerns organization national research,Business
17,4,19.4,0,1,10,1,46,21,3.0,0.063,1,officials last merger plan first said industry plan industry last including president group said reported year concerns,Business
10,2,24.2,4,0,3,2,67,2496,5.9,0.557,1,last algorithm leader decision public last recent technology global reported,Technology
17,3,15.7,0,0,22,2,5,7,4.1,-0.051,5,could security leader also major plan also impact government expected policy development diplomat concerns technology decision also,World
16,4,16.7,2,1,2,3,63,714,2.9,0.263,1,organization million health state government major industry market major group local system development international concerns policy,Science
12,4,26.2,0,0,5,0,54,17,4.4,-0.358,1,technology expected according including recent state company plan development government merger system,Business
17,3,26.9,0,1,17,1,124,20,4.6,-0.399,0,people also research senator global policy officials group reported next said according expected group could company security,Politics
14,2,13.6,1,0,19,2,85,14,6.3,0.217,2,economic world also according million president economic decision health group technology said said streaming,Entertainment
12,4,22.5,0,1,23,1,18,23,6.0,0.417,1,million world system recent future percent system could president group government last,World
15,3,14.5,1,1,23,4,12,125,4.0,-0.18,1,also policy many global clinical trial security report state impact national leader called security growing,Health
15,5,19.6,2,1,14,2,1,0,5.1,-0.454,2,coach would first government program percent president research industry reported industry industry development according major,Sports
14,3,10.0,2,0,13,1,12,4,3.0,0.101,3,many new country development health refugees national year many sector leader national major percent,World
12,3,12.5,2,1,6,2,44,60,4.9,0.185,2,quarterly future expected according next program country report year impact would market,Business
14,3,22.0,1,1,19,1,63,6,5.3,-0.071,2,program policy system country decision officials million officials international security decision public reported future,Science
13,1,16.8,2,0,15,2,12,23,5.0,0.151,1,policy recent according impact refugees state government called many international officials future national,World
13,5,20.7,4,1,3,4,60,257,4.4,0.644,1,system last million program future new report startup many local many next growing,Technology
16,2,15.9,2,0,17,4,8,454,6.1,0.049,3,country group year global growing recent million including streaming major called major organization international report according,Entertainment
16,6,10.9,0,0,8,1,151,6,4.8,-0.801,0,according percent policy new sector would research announced new system quantum new industry policy group public,Science
11,1,13.9,1,1,1,4,69,107,5.6,-0.29,1,reported next global decision economic startup said group national president impact,Technology
14,5,21.2,1,0,16,3,82,82,8.3,-0.289,3,leader group would premiere could program percent year new technology according president year many,Entertainment
18,4,10.2,2,1,19,2,25,192,4.6,0.071,2,reported partisan impact economic growing year would program industry called company year market program program security country industry,Politics
20,1,27.1,2,1,16,4,19,7610,6.4,-0.123,0,officials new box office million reported major policy celebrity major organization first percent year system plan according health impact recent,Entertainment
13,3,14.0,0,0,6,1,33,1458,5.4,0.127,4,according year sector concerns president plan app also decision recent national algorithm including,Technology
17,1,20.9,2,1,5,1,267,631,7.8,0.113,1,national sector new industry could also research quarterly international reported growing called country said could president impact,Business
17,3,15.7,2,1,21,2,98,178,7.3,-0.606,2,national percent policy organization global organization health health growing leader economic system economic announced quarterly security future,Business
11,1,6.7,1,0,2,0,18,204,3.2,-0.094,1,called could NASA health announced health country telescope decision percent technology,Science
9,4,15.8,0,0,4,1,142,2,3.0,0.057,4,president organization technology legislation group international million officials last,Politics
18,3,16.6,1,1,10,2,103,366,3.0,-0.627,1,according group decision including international sector million security international government celebrity people sector many economic said plan million,Entertainment
12,4,26.0,1,1,12,2,124,31,6.7,0.214,3,global FDA group last also also policy last global policy could first,Health
17,6,27.1,0,1,10,2,5,275,1.9,-0.788,1,million company according international plan including government decision announced many country streaming country first organization government according,Entertainment
