requested_loan_amount,annual_income,employment_length_months,credit_score,num_open_accounts,total_debt,debt_to_income,num_derogatory_marks,months_since_last_derogatory,home_ownership,purpose,application_hour,time_on_page_seconds,num_page_revisits,device_type,previous_applications,referral_source,verification_status,zip_risk_score,target
24127.69,63469.58,50.0,757.0,5.0,21962.93,0.346,1.0,97.0,1.0,3.0,15.0,446.9,0.0,0.0,4.0,0.0,1.0,0.46,0
19523.78,97889.58,95.0,592.0,5.0,14732.66,0.1505,1.0,8.0,0.0,1.0,19.0,285.8,1.0,0.0,2.0,3.0,0.0,2.62,0
8672.67,42610.45,29.0,582.0,9.0,8743.99,0.2052,1.0,47.0,0.0,3.0,9.0,371.1,2.0,0.0,1.0,4.0,0.0,2.9,1
4683.36,27124.41,3.0,536.0,6.0,13771.22,0.5077,0.0,0.0,2.0,4.0,5.0,102.5,0.0,0.0,2.0,0.0,1.0,6.44,1
12754.87,69322.91,6.0,783.0,6.0,19197.56,0.2769,0.0,0.0,0.0,1.0,5.0,82.7,1.0,1.0,0.0,0.0,2.0,1.52,0
5664.1,37176.16,26.0,685.0,4.0,3651.92,0.0982,1.0,15.0,2.0,1.0,0.0,245.5,2.0,0.0,0.0,0.0,1.0,4.84,0
11549.43,195091.72,0.0,622.0,10.0,29183.91,0.1496,2.0,45.0,2.0,1.0,19.0,86.0,2.0,1.0,1.0,4.0,0.0,2.86,0
4736.4,73167.99,10.0,699.0,3.0,6365.12,0.087,1.0,3.0,0.0,5.0,8.0,306.5,1.0,1.0,1.0,0.0,1.0,1.55,0
7436.84,69547.81,241.0,696.0,3.0,19682.88,0.283,1.0,14.0,2.0,2.0,15.0,151.0,0.0,0.0,2.0,1.0,2.0,2.15,0
8649.59,60931.38,11.0,740.0,2.0,5660.06,0.0929,3.0,61.0,0.0,1.0,8.0,78.6,1.0,1.0,0.0,2.0,2.0,3.3,0
10200.95,82909.97,75.0,697.0,5.0,65190.35,0.7863,0.0,0.0,1.0,1.0,11.0,216.1,2.0,1.0,0.0,0.0,0.0,7.73,0
6887.14,44554.78,28.0,661.0,2.0,11246.9,0.2524,2.0,24.0,2.0,5.0,13.0,185.2,3.0,0.0,1.0,3.0,2.0,1.23,0
11795.07,38136.53,63.0,604.0,4.0,11528.41,0.3023,0.0,0.0,1.0,3.0,16.0,430.2,1.0,0.0,1.0,2.0,1.0,2.19,1
6416.32,15000.0,0.0,725.0,5.0,4982.29,0.3322,0.0,0.0,1.0,1.0,0.0,1045.0,2.0,2.0,1.0,2.0,1.0,6.93,0
5763.77,43617.0,55.0,716.0,5.0,11880.27,0.2724,1.0,48.0,1.0,0.0,12.0,346.7,3.0,0.0,0.0,0.0,0.0,3.59,0
11982.87,57231.54,145.0,489.0,4.0,37935.19,0.6628,0.0,0.0,1.0,1.0,21.0,816.0,0.0,1.0,1.0,2.0,2.0,2.19,1
14054.96,84889.84,63.0,689.0,6.0,51370.08,0.6051,2.0,23.0,0.0,5.0,0.0,262.4,1.0,0.0,2.0,2.0,1.0,3.16,0
9000.75,47556.29,164.0,721.0,8.0,25015.41,0.526,0.0,0.0,1.0,0.0,9.0,296.5,0.0,1.0,1.0,0.0,0.0,0.86,0
4476.02,48276.76,2.0,676.0,7.0,13980.34,0.2896,0.0,0.0,1.0,0.0,22.0,478.2,1.0,0.0,0.0,0.0,1.0,1.9,0
3132.32,86670.41,105.0,587.0,6.0,58559.71,0.6757,1.0,24.0,1.0,2.0,14.0,382.4,0.0,0.0,0.0,2.0,0.0,3.27,1
7767.6,45599.64,31.0,728.0,4.0,34608.93,0.759,1.0,69.0,0.0,0.0,16.0,171.5,1.0,1.0,0.0,4.0,2.0,2.61,1
5525.74,88915.95,20.0,742.0,6.0,39503.66,0.4443,1.0,2.0,1.0,5.0,19.0,664.1,1.0,0.0,1.0,3.0,1.0,4.54,0
7352.18,45961.01,165.0,695.0,0.0,13833.12,0.301,2.0,7.0,0.0,1.0,15.0,281.2,1.0,0.0,1.0,3.0,1.0,3.93,0
3998.73,35084.13,19.0,711.0,2.0,5347.9,0.1524,2.0,4.0,1.0,3.0,21.0,140.6,1.0,1.0,0.0,2.0,1.0,0.38,0
6044.58,35800.72,52.0,747.0,8.0,13514.41,0.3775,2.0,8.0,1.0,1.0,2.0,907.0,1.0,0.0,0.0,1.0,1.0,3.37,0
6710.14,112622.43,48.0,534.0,5.0,74312.67,0.6598,0.0,0.0,2.0,4.0,12.0,95.0,0.0,0.0,2.0,3.0,0.0,5.05,1
12743.22,73156.56,8.0,657.0,4.0,71179.26,0.973,2.0,2.0,0.0,4.0,12.0,350.6,0.0,0.0,2.0,1.0,2.0,3.81,1
6923.51,82448.47,108.0,705.0,3.0,12903.67,0.1565,0.0,0.0,1.0,5.0,9.0,114.4,3.0,0.0,0.0,2.0,1.0,1.52,0
19719.28,29386.97,64.0,706.0,6.0,19107.25,0.6502,0.0,0.0,2.0,1.0,14.0,37.7,2.0,1.0,0.0,1.0,2.0,2.84,0
15648.14,71386.88,46.0,676.0,5.0,24324.26,0.3407,0.0,0.0,1.0,3.0,7.0,125.3,2.0,0.0,3.0,1.0,1.0,2.86,1
5670.72,81394.47,4.0,771.0,4.0,56565.16,0.695,1.0,57.0,0.0,0.0,12.0,133.2,2.0,0.0,3.0,1.0,1.0,2.42,0
7468.51,81386.58,11.0,676.0,6.0,45849.85,0.5634,0.0,0.0,0.0,4.0,9.0,77.7,1.0,1.0,1.0,2.0,1.0,6.38,1
9282.06,34708.78,6.0,763.0,3.0,13649.91,0.3933,1.0,1.0,0.0,3.0,15.0,1131.8,1.0,0.0,0.0,2.0,1.0,2.84,0
8848.33,71045.87,11.0,572.0,4.0,74000.7,1.0416,1.0,14.0,1.0,1.0,23.0,89.3,1.0,1.0,2.0,4.0,2.0,3.8,1
8984.87,32363.55,5.0,831.0,7.0,23624.41,0.73,1.0,37.0,1.0,2.0,20.0,211.0,2.0,0.0,0.0,4.0,2.0,1.43,0
6504.34,32374.61,27.0,688.0,0.0,15059.39,0.4652,0.0,0.0,0.0,1.0,18.0,181.2,2.0,1.0,2.0,1.0,1.0,2.66,0
12143.85,45057.6,11.0,702.0,5.0,18584.07,0.4125,1.0,39.0,0.0,3.0,5.0,410.4,3.0,2.0,2.0,4.0,0.0,1.06,0
9669.52,37216.67,25.0,540.0,4.0,23947.1,0.6435,3.0,56.0,1.0,0.0,21.0,46.8,0.0,0.0,0.0,3.0,0.0,3.12,1
14555.85,54414.84,151.0,709.0,5.0,23716.23,0.4358,0.0,0.0,2.0,2.0,3.0,684.8,1.0,1.0,3.0,2.0,1.0,3.75,0
4677.95,58416.86,4.0,749.0,5.0,8051.21,0.1378,0.0,0.0,0.0,0.0,14.0,208.7,1.0,0.0,0.0,4.0,2.0,3.62,0
19400.48,38533.26,51.0,707.0,6.0,9382.93,0.2435,0.0,0.0,2.0,4.0,6.0,117.6,1.0,1.0,0.0,2.0,1.0,4.4,0
34166.49,50425.82,114.0,601.0,6.0,27417.83,0.5437,0.0,0.0,2.0,4.0,20.0,40.1,4.0,1.0,0.0,3.0,1.0,1.09,0
11495.46,101411.92,12.0,668.0,4.0,49089.09,0.4841,1.0,8.0,1.0,5.0,19.0,230.5,1.0,2.0,1.0,1.0,1.0,3.19,1
1517.58,25891.63,10.0,577.0,5.0,3967.93,0.1533,0.0,0.0,2.0,3.0,17.0,81.4,1.0,0.0,1.0,0.0,0.0,3.21,0
16360.43,46254.47,115.0,717.0,3.0,11595.2,0.2507,0.0,0.0,1.0,1.0,13.0,627.4,1.0,0.0,3.0,3.0,0.0,2.48,0
5580.08,44701.75,0.0,704.0,7.0,38380.71,0.8586,0.0,0.0,1.0,2.0,22.0,396.1,1.0,1.0,1.0,0.0,2.0,3.87,0
21497.71,19272.51,44.0,646.0,2.0,17468.88,0.9064,0.0,0.0,0.0,4.0,23.0,1096.5,1.0,1.0,0.0,0.0,0.0,4.13,1
3927.04,38866.91,12.0,697.0,1.0,22706.69,0.5842,1.0,23.0,1.0,0.0,3.0,111.5,1.0,2.0,0.0,4.0,0.0,3.98,0
8730.5,57023.94,116.0,668.0,3.0,44190.06,0.7749,1.0,49.0,2.0,0.0,5.0,80.4,4.0,0.0,1.0,0.0,1.0,0.87,0
1828.01,33887.26,72.0,590.0,6.0,8318.08,0.2455,1.0,11.0,2.0,5.0,9.0,276.4,2.0,0.0,0.0,4.0,1.0,3.07,0
4004.93,67526.18,38.0,637.0,9.0,3387.55,0.0502,0.0,0.0,0.0,5.0,0.0,257.9,1.0,0.0,0.0,2.0,2.0,4.5,0
13195.53,42490.91,153.0,593.0,6.0,13298.2,0.313,0.0,0.0,1.0,5.0,23.0,191.7,3.0,1.0,0.0,0.0,1.0,5.14,1
9902.44,52195.96,90.0,666.0,6.0,30579.18,0.5859,0.0,0.0,1.0,2.0,13.0,170.4,0.0,0.0,1.0,1.0,1.0,2.43,1
5042.25,57473.81,171.0,601.0,3.0,16733.45,0.2911,0.0,0.0,1.0,3.0,4.0,630.9,2.0,0.0,0.0,2.0,2.0,1.39,0
19230.4,46494.01,45.0,671.0,5.0,26362.73,0.567,1.0,24.0,2.0,5.0,10.0,519.8,0.0,1.0,0.0,1.0,1.0,5.8,0
10758.75,71204.36,7.0,677.0,3.0,47591.99,0.6684,1.0,6.0,0.0,4.0,19.0,79.3,2.0,0.0,2.0,0.0,2.0,2.32,0
5353.44,20171.9,38.0,726.0,5.0,6395.73,0.3171,1.0,30.0,0.0,1.0,7.0,265.1,3.0,0.0,1.0,1.0,1.0,0.57,0
13102.08,62610.7,34.0,660.0,7.0,58914.26,0.941,0.0,0.0,1.0,0.0,22.0,272.3,2.0,1.0,1.0,2.0,2.0,1.82,0
11609.4,44004.04,25.0,582.0,7.0,37853.91,0.8602,0.0,0.0,2.0,2.0,8.0,164.2,1.0,1.0,2.0,1.0,1.0,3.03,1
6457.07,57252.1,33.0,712.0,2.0,27903.91,0.4874,0.0,0.0,0.0,2.0,16.0,504.3,4.0,0.0,1.0,1.0,2.0,4.75,0
5417.73,44797.79,76.0,695.0,11.0,30761.88,0.6867,1.0,14.0,1.0,5.0,0.0,90.3,1.0,0.0,3.0,3.0,1.0,4.15,0
4467.71,33877.63,33.0,732.0,5.0,18897.5,0.5578,0.0,0.0,2.0,4.0,3.0,215.1,0.0,1.0,0.0,4.0,1.0,3.0,0
1857.89,30124.88,4.0,638.0,7.0,4994.17,0.1658,0.0,0.0,0.0,4.0,9.0,99.1,2.0,0.0,0.0,3.0,2.0,2.79,0
14253.11,54375.68,9.0,715.0,4.0,61173.77,1.125,2.0,57.0,1.0,5.0,13.0,352.8,3.0,0.0,3.0,2.0,1.0,7.34,1
27337.13,57405.43,25.0,667.0,3.0,22628.76,0.3942,1.0,4.0,1.0,1.0,21.0,134.7,0.0,1.0,0.0,4.0,0.0,1.11,1
9397.74,47002.76,17.0,690.0,3.0,22836.82,0.4859,1.0,12.0,1.0,1.0,4.0,243.2,3.0,0.0,1.0,1.0,1.0,3.08,0
5491.5,24585.36,108.0,652.0,3.0,12864.45,0.5233,0.0,0.0,0.0,5.0,10.0,161.1,3.0,1.0,3.0,4.0,0.0,2.6,0
4183.04,70645.74,58.0,722.0,2.0,8290.01,0.1173,0.0,0.0,1.0,2.0,13.0,435.0,0.0,0.0,1.0,0.0,0.0,1.64,0
15546.05,48703.06,38.0,575.0,3.0,7799.46,0.1601,1.0,12.0,1.0,1.0,20.0,431.5,0.0,2.0,3.0,1.0,2.0,1.28,1
3392.16,85838.86,67.0,696.0,3.0,12883.37,0.1501,1.0,18.0,0.0,3.0,8.0,1226.1,0.0,2.0,0.0,2.0,0.0,0.87,0
5546.19,98228.91,17.0,704.0,6.0,66932.1,0.6814,0.0,0.0,0.0,5.0,6.0,496.2,1.0,0.0,0.0,1.0,1.0,2.93,0
5668.21,53954.44,3.0,549.0,5.0,21329.36,0.3953,0.0,0.0,1.0,3.0,15.0,154.5,2.0,1.0,0.0,2.0,0.0,7.63,1
8658.15,29428.69,47.0,684.0,5.0,30875.39,1.0492,0.0,0.0,2.0,4.0,20.0,1174.3,3.0,1.0,1.0,1.0,2.0,3.57,0
3184.43,18311.14,14.0,715.0,5.0,1631.55,0.0891,0.0,0.0,0.0,4.0,15.0,68.1,1.0,0.0,3.0,4.0,1.0,1.02,0
2713.37,84525.34,324.0,673.0,2.0,40567.99,0.48,0.0,0.0,2.0,2.0,2.0,311.5,3.0,1.0,1.0,3.0,1.0,1.11,0
12359.66,37072.88,5.0,684.0,2.0,44947.94,1.2124,1.0,32.0,1.0,3.0,18.0,388.1,0.0,2.0,0.0,3.0,1.0,4.56,1
18318.7,58840.11,14.0,647.0,6.0,59619.95,1.0133,1.0,44.0,2.0,2.0,15.0,81.3,1.0,2.0,1.0,1.0,0.0,2.65,1
6805.59,82384.14,31.0,661.0,4.0,71109.22,0.8631,2.0,2.0,1.0,0.0,11.0,174.0,2.0,2.0,0.0,2.0,2.0,2.0,0
18212.65,136921.4,38.0,616.0,9.0,101309.29,0.7399,0.0,0.0,2.0,1.0,2.0,89.9,2.0,1.0,0.0,0.0,0.0,2.77,0
1653.51,46009.55,7.0,789.0,2.0,40936.91,0.8897,0.0,0.0,0.0,0.0,6.0,156.9,1.0,1.0,0.0,4.0,1.0,2.1,0
10628.03,78720.33,72.0,649.0,6.0,38551.15,0.4897,0.0,0.0,2.0,1.0,4.0,236.0,1.0,0.0,0.0,3.0,1.0,5.27,0
5567.58,48065.39,9.0,681.0,6.0,15170.86,0.3156,0.0,0.0,1.0,5.0,8.0,69.1,5.0,0.0,0.0,3.0,0.0,1.64,0
9992.96,61667.98,137.0,784.0,2.0,8173.1,0.1325,1.0,56.0,2.0,0.0,20.0,108.1,1.0,0.0,0.0,3.0,2.0,2.83,0
45645.96,67732.28,84.0,666.0,4.0,24995.94,0.369,0.0,0.0,1.0,3.0,19.0,61.3,1.0,1.0,0.0,3.0,1.0,0.65,0
4450.55,41805.63,100.0,582.0,4.0,17469.13,0.4179,0.0,0.0,1.0,1.0,14.0,260.1,2.0,1.0,1.0,0.0,1.0,4.72,0
8845.65,40992.4,2.0,736.0,9.0,29160.1,0.7114,1.0,60.0,0.0,2.0,18.0,148.0,1.0,0.0,2.0,3.0,2.0,0.15,0
10963.54,76873.8,1.0,674.0,3.0,34166.58,0.4445,0.0,0.0,1.0,0.0,0.0,300.3,1.0,0.0,0.0,3.0,1.0,4.08,0
6591.03,33960.35,95.0,694.0,7.0,28285.11,0.8329,1.0,1.0,2.0,1.0,0.0,594.5,1.0,2.0,0.0,0.0,1.0,3.55,0
14711.28,28669.13,14.0,505.0,5.0,17675.71,0.6165,1.0,10.0,1.0,4.0,0.0,126.8,3.0,2.0,0.0,2.0,1.0,1.24,1
7044.69,80343.26,64.0,735.0,3.0,54556.9,0.679,0.0,0.0,2.0,1.0,8.0,1572.2,3.0,0.0,2.0,1.0,0.0,2.59,0
10467.26,46460.52,7.0,667.0,2.0,57410.49,1.2357,0.0,0.0,1.0,0.0,23.0,223.8,1.0,1.0,0.0,1.0,1.0,8.48,1
13929.61,50829.4,16.0,722.0,5.0,8910.91,0.1753,1.0,5.0,2.0,3.0,13.0,184.3,1.0,0.0,0.0,1.0,1.0,1.62,0
10030.99,45010.22,43.0,707.0,5.0,15317.3,0.3403,0.0,0.0,0.0,1.0,14.0,1048.8,0.0,0.0,1.0,4.0,1.0,1.04,0
15273.18,64875.97,53.0,736.0,4.0,58068.36,0.8951,1.0,10.0,1.0,1.0,3.0,18.7,2.0,1.0,2.0,3.0,2.0,2.44,0
11577.58,26697.11,48.0,651.0,3.0,26829.37,1.005,0.0,0.0,1.0,4.0,9.0,356.9,1.0,1.0,2.0,4.0,1.0,1.46,0
4352.05,31173.02,114.0,712.0,6.0,12891.81,0.4136,0.0,0.0,0.0,3.0,12.0,103.8,2.0,0.0,0.0,2.0,2.0,3.89,0
4208.38,33518.05,7.0,712.0,3.0,43358.19,1.2936,0.0,0.0,0.0,1.0,7.0,168.0,2.0,1.0,0.0,4.0,1.0,4.63,0
15345.73,19432.85,107.0,637.0,2.0,5166.26,0.2659,0.0,0.0,2.0,0.0,13.0,517.9,0.0,0.0,2.0,2.0,1.0,3.62,0
9126.32,62725.43,54.0,594.0,5.0,14908.68,0.2377,1.0,54.0,0.0,1.0,18.0,148.5,2.0,0.0,1.0,2.0,2.0,1.84,0
9105.23,17503.94,185.0,688.0,5.0,20447.2,1.1681,0.0,0.0,0.0,5.0,21.0,437.1,2.0,1.0,2.0,3.0,1.0,2.51,1
3516.56,92632.48,18.0,661.0,5.0,53233.08,0.5747,0.0,0.0,1.0,3.0,6.0,462.8,0.0,1.0,0.0,3.0,0.0,2.13,0
7186.4,28259.45,81.0,768.0,3.0,8012.27,0.2835,1.0,61.0,0.0,1.0,20.0,160.9,2.0,1.0,0.0,3.0,1.0,2.12,0
14299.13,42354.27,27.0,592.0,5.0,33080.23,0.781,1.0,3.0,0.0,5.0,0.0,747.2,2.0,0.0,2.0,1.0,2.0,4.19,1
